Category,Code
ADP Employment Change,USA_ADP
Average Hourly Earnings,USA_EARN
Average Weekly Hours,USA_HRS
Balance of Trade,USA_BOT
Business Confidence,USA_BC
Business Inventories,USA_BI
Capacity Utilization,USA_CU
Capital Flows,USA_CF
Challenger Job Cuts,USA_CHJC
Chicago Fed National Activity Index,USA_CFNAI
Chicago Pmi,USA_CP
Consumer Credit,USA_CCR
Consumer Price Index CPI,USA_CPI
Core Consumer Prices,USA_CCPI
Core Inflation Rate,USA_CINF
Dallas Fed Manufacturing Index ,USA_DFMI
Durable Goods Orders,USA_DUR
Durable Goods Orders Ex Transportation,USA_DURET
Export Prices,USA_EXPX
Exports,USA_EXVOL
Factory Orders Ex Transportation,USA_FRET
Foreign Bond Investment,USA_FBI
Government Budget Value,USA_GBVL
Government Payrolls,USA_GPAY
Housing Index,USA_HI
Import Prices,USA_IMPX
Imports,USA_IMVOL
Industrial Production,USA_IP
Industrial Production Mom,USA_IPMOM
Inflation Rate,USA_CPIC
Inflation Rate Mom,USA_CPICM
Job Offers,USA_JBO
Labor Force Participation Rate,USA_LFPR
Leading Economic Index,USA_LEI
Manufacturing Payrolls,USA_MPAY
Manufacturing Production,USA_MP
Nahb Housing Market Index,USA_NAHB
Net Long Term Tic Flows,USA_NLTTF
NFIB Business Optimism Index,USA_NFIB
Non Farm Payrolls,USA_NFP
Non Manufacturing PMI,USA_NMPMI
Nonfarm Payrolls Private,USA_NPP
Pending Home Sales,USA_PHS
Producer Prices,USA_PP
Producer Prices Change,USA_PPIC
Retail Sales MoM,USA_RSM
Retail Sales YoY,USA_RSY
Retail Sales Ex Autos,USA_RSEA
Richmond Fed Manufacturing Index ,USA_RFMI
Total Vehicle Sales,USA_TVS
Unemployment Rate,USA_UNR
Wholesale Inventories,USA_WINV
