<<<<<<< HEAD
DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,77300.0000,77400.0000,77020.0000,77020.0000,125,2559,0,0,0.0000
19900103,76890.0000,77030.0000,76700.0000,76740.0000,1495,3215,0,0,0.0000
19900104,77080.0000,77610.0000,77000.0000,77490.0000,932,3122,0,0,0.0000
19900105,77050.0000,77280.0000,76980.0000,76980.0000,272,2542,0,0,0.0000
19900108,77280.0000,77300.0000,77090.0000,77200.0000,177,2430,0,0,0.0000
19900109,77280.0000,77370.0000,77210.0000,77290.0000,106,2379,0,0,0.0000
19900110,77600.0000,77610.0000,77500.0000,77580.0000,107,2325,0,0,0.0000
19900111,77930.0000,78000.0000,77850.0000,77980.0000,151,2289,0,0,0.0000
19900112,78180.0000,78180.0000,78050.0000,78050.0000,86,2274,0,0,0.0000
19900115,78020.0000,78050.0000,77900.0000,77920.0000,99,2309,0,0,0.0000
19900116,77630.0000,77780.0000,77620.0000,77770.0000,71,2295,0,0,0.0000
19900117,77980.0000,78120.0000,77950.0000,78060.0000,114,2310,0,0,0.0000
19900118,78120.0000,78380.0000,78120.0000,78260.0000,166,2343,0,0,0.0000
19900119,78180.0000,78280.0000,78000.0000,78280.0000,124,2396,0,0,0.0000
19900122,78280.0000,78520.0000,78280.0000,78430.0000,134,2413,0,0,0.0000
19900123,76930.0000,77110.0000,76360.0000,76420.0000,1219,2863,0,0,0.0000
19900124,75620.0000,75710.0000,75050.0000,75520.0000,1126,2767,0,0,0.0000
19900125,75420.0000,75510.0000,74730.0000,74950.0000,1324,2917,0,0,0.0000
19900126,75150.0000,75300.0000,75000.0000,75080.0000,455,3161,0,0,0.0000
19900129,75380.0000,75510.0000,75270.0000,75310.0000,231,3113,0,0,0.0000
19900130,75660.0000,75850.0000,75350.0000,75650.0000,252,3189,0,0,0.0000
19900131,76060.0000,76300.0000,76030.0000,76280.0000,515,3256,0,0,0.0000
19900201,76050.0000,76450.0000,75990.0000,76270.0000,499,3312,0,0,0.0000
19900202,76400.0000,76780.0000,76400.0000,76670.0000,330,3286,0,0,0.0000
19900205,75650.0000,76000.0000,75630.0000,75890.0000,203,3275,0,0,0.0000
19900206,76040.0000,76100.0000,75840.0000,75880.0000,250,3317,0,0,0.0000
19900207,75280.0000,75360.0000,74740.0000,75110.0000,389,3442,0,0,0.0000
19900208,74520.0000,74950.0000,74510.0000,74790.0000,464,3392,0,0,0.0000
19900209,74600.0000,74630.0000,74230.0000,74300.0000,528,3463,0,0,0.0000
19900212,74550.0000,74870.0000,74550.0000,74740.0000,343,3556,0,0,0.0000
19900213,74800.0000,75020.0000,74250.0000,74360.0000,530,3624,0,0,0.0000
19900214,73960.0000,74150.0000,73750.0000,73920.0000,578,3665,0,0,0.0000
19900215,74480.0000,74680.0000,74440.0000,74660.0000,538,3494,0,0,0.0000
19900216,75150.0000,75250.0000,75000.0000,75200.0000,475,3407,0,0,0.0000
19900220,75920.0000,75950.0000,75400.0000,75430.0000,662,3583,0,0,0.0000
19900221,74980.0000,76560.0000,74960.0000,76340.0000,1104,3537,0,0,0.0000
19900222,76200.0000,76370.0000,75790.0000,75970.0000,895,3236,0,0,0.0000
19900223,75870.0000,76300.0000,75870.0000,76250.0000,224,3204,0,0,0.0000
19900226,76300.0000,76360.0000,76050.0000,76320.0000,163,3251,0,0,0.0000
19900227,75630.0000,75800.0000,75400.0000,75400.0000,1058,2810,0,0,0.0000
19900228,75530.0000,75800.0000,75480.0000,75640.0000,297,2793,0,0,0.0000
19900301,76190.0000,76190.0000,76000.0000,76100.0000,459,2761,0,0,0.0000
19900302,76030.0000,76030.0000,75670.0000,75800.0000,149,2740,0,0,0.0000
19900305,75590.0000,75680.0000,75490.0000,75610.0000,198,2714,0,0,0.0000
19900306,75920.0000,75950.0000,75860.0000,75900.0000,541,2707,0,0,0.0000
19900307,75670.0000,75900.0000,75650.0000,75850.0000,76,2680,199006,199006,0.0000
19900308,74460.0000,74700.0000,74460.0000,74700.0000,110,819,0,0,-1420.0000
19900309,74500.0000,74580.0000,74500.0000,74510.0000,131,861,0,0,0.0000
19900312,74350.0000,74350.0000,74150.0000,74260.0000,1205,1242,0,0,0.0000
19900313,74500.0000,75050.0000,74500.0000,74990.0000,1962,1457,0,0,0.0000
19900314,74900.0000,75050.0000,74890.0000,74950.0000,609,1704,0,0,0.0000
19900315,74250.0000,74560.0000,74150.0000,74320.0000,771,1837,0,0,0.0000
19900316,74040.0000,74250.0000,74040.0000,74100.0000,1136,2208,0,0,0.0000
19900319,74200.0000,74350.0000,74170.0000,74320.0000,264,2219,0,0,0.0000
19900320,74500.0000,74520.0000,74340.0000,74430.0000,188,2281,0,0,0.0000
19900321,74000.0000,74080.0000,73980.0000,74000.0000,233,2275,0,0,0.0000
19900322,73670.0000,74040.0000,73530.0000,73980.0000,699,2450,0,0,0.0000
19900323,73530.0000,73900.0000,73470.0000,73540.0000,448,2355,0,0,0.0000
19900326,73560.0000,73730.0000,73300.0000,73340.0000,330,2457,0,0,0.0000
19900327,73510.0000,73550.0000,73460.0000,73500.0000,146,2437,0,0,0.0000
19900328,73600.0000,73700.0000,73600.0000,73620.0000,113,2454,0,0,0.0000
19900329,74100.0000,74240.0000,74100.0000,74190.0000,352,2376,0,0,0.0000
19900330,74300.0000,74490.0000,74280.0000,74390.0000,132,2336,0,0,0.0000
19900402,74450.0000,75020.0000,74450.0000,74890.0000,364,2254,0,0,0.0000
19900403,75120.0000,75190.0000,75050.0000,75110.0000,268,2173,0,0,0.0000
19900404,75550.0000,75810.0000,75520.0000,75540.0000,1149,1760,0,0,0.0000
19900405,75580.0000,75660.0000,75450.0000,75620.0000,355,1935,0,0,0.0000
