DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
20050822,78580.0000,78660.0000,78280.0000,78290.0000,18972,0,0,0,0.0000
20050824,78080.0000,78140.0000,77440.0000,77950.0000,16286,109180,0,0,0.0000
20050825,77530.0000,77600.0000,77160.0000,77360.0000,16771,111201,0,0,0.0000
20050826,77370.0000,77800.0000,77050.0000,77120.0000,13487,112155,0,0,0.0000
20050829,76600.0000,77270.0000,76530.0000,77240.0000,16990,110287,0,0,0.0000
20050830,77400.0000,77710.0000,77230.0000,77290.0000,20293,110876,0,0,0.0000
20050831,77600.0000,78080.0000,77240.0000,77960.0000,16285,110821,0,0,0.0000
20050901,78260.0000,78430.0000,77800.0000,78000.0000,17744,110373,0,0,0.0000
20050902,78000.0000,78260.0000,77690.0000,77900.0000,8820,111214,0,0,0.0000
20050905,77860.0000,78380.0000,77860.0000,78360.0000,20699,113018,0,0,0.0000
20050906,78340.0000,79000.0000,78340.0000,78910.0000,20705,110492,0,0,0.0000
20050907,78990.0000,79190.0000,78740.0000,78880.0000,13747,105727,0,0,0.0000
20050908,78970.0000,79050.0000,78650.0000,78820.0000,15351,104919,0,0,0.0000
20050909,78850.0000,79250.0000,78820.0000,78990.0000,28369,104364,0,0,0.0000
20050912,79270.0000,79500.0000,79070.0000,79200.0000,53633,103316,0,0,0.0000
20050913,79140.0000,79400.0000,78630.0000,78670.0000,49126,108424,200510,200510,0.0000
20050914,78920.0000,79070.0000,78800.0000,78930.0000,28912,111253,0,0,150.0000
20050915,78940.0000,79344.0000,78740.0000,79160.0000,29187,74046,0,0,0.0000
20050916,79290.0000,79960.0000,79140.0000,79790.0000,16445,87279,0,0,0.0000
20050919,79480.0000,80250.0000,79140.0000,80000.0000,19499,92482,0,0,0.0000
20050920,80260.0000,80540.0000,80160.0000,80490.0000,19889,92756,0,0,0.0000
20050921,80000.0000,80200.0000,79470.0000,79480.0000,24696,97398,0,0,0.0000
20050922,79290.0000,79290.0000,78650.0000,78820.0000,14760,98491,0,0,0.0000
20050923,78970.0000,79070.0000,78770.0000,78930.0000,18651,101587,0,0,0.0000
20050926,79410.0000,80040.0000,79410.0000,79960.0000,21432,101714,0,0,0.0000
20050927,79900.0000,80100.0000,79600.0000,79670.0000,17856,100413,0,0,0.0000
20050928,80050.0000,80520.0000,80020.0000,80490.0000,16845,98315,0,0,0.0000
20050929,80570.0000,80600.0000,80030.0000,80160.0000,18572,99213,0,0,0.0000
20050930,80820.0000,80910.0000,80000.0000,80710.0000,18132,100483,0,0,0.0000
20051003,80940.0000,81600.0000,80910.0000,81600.0000,19565,100784,0,0,0.0000
20051004,81590.0000,81850.0000,81240.0000,81750.0000,23520,100233,0,0,0.0000
20051005,81190.0000,81540.0000,81030.0000,81080.0000,34200,101750,0,0,0.0000
20051006,80400.0000,80400.0000,79760.0000,80030.0000,20433,102327,0,0,0.0000
20051007,79680.0000,80160.0000,79580.0000,79760.0000,15109,108802,0,0,0.0000
20051010,80000.0000,80200.0000,79630.0000,79680.0000,28096,110193,0,0,0.0000
20051011,79760.0000,80070.0000,79480.0000,79550.0000,32920,108528,0,0,0.0000
20051012,79290.0000,79846.0000,78710.0000,78760.0000,35993,109741,0,0,0.0000
20051013,78580.0000,78820.0000,77960.0000,78250.0000,26203,111589,0,0,0.0000
20051014,78320.0000,78980.0000,78200.0000,78830.0000,21654,111918,0,0,0.0000
20051017,79070.0000,79260.0000,78760.0000,78850.0000,57499,107230,0,0,0.0000
20051018,79060.0000,79130.0000,78646.0000,78710.0000,77792,107333,200511,200511,0.0000
20051019,78060.0000,78230.0000,77310.0000,77390.0000,28321,106544,0,0,-50.0000
20051020,78200.0000,78400.0000,77640.0000,77780.0000,30685,69079,0,0,0.0000
20051021,77080.0000,78200.0000,76890.0000,77150.0000,16209,88660,0,0,0.0000
20051024,77010.0000,77960.0000,76990.0000,77870.0000,23256,94765,0,0,0.0000
20051025,78100.0000,78240.0000,77470.0000,77640.0000,19328,93160,0,0,0.0000
20051026,77680.0000,78150.0000,77680.0000,78040.0000,22895,95735,0,0,0.0000
20051027,77590.0000,77920.0000,77040.0000,77130.0000,25293,96619,0,0,0.0000
20051028,76900.0000,77350.0000,76570.0000,77120.0000,22735,96554,0,0,0.0000
20051031,77920.0000,78780.0000,77920.0000,78750.0000,19728,96554,0,0,0.0000
20051101,78790.0000,79110.0000,78540.0000,78780.0000,24707,97656,0,0,0.0000
