DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
20061001,15880.0000,15880.0000,15880.0000,15880.0000,0,0,0,0,0.0000
20061003,15570.0000,15570.0000,15570.0000,15570.0000,0,0,0,0,0.0000
20061004,15700.0000,15700.0000,15700.0000,15700.0000,0,0,0,0,0.0000
20061005,15900.0000,15900.0000,15900.0000,15900.0000,50,0,0,0,0.0000
20061006,16020.0000,16020.0000,16020.0000,16020.0000,0,50,0,0,0.0000
20061009,16360.0000,16360.0000,16350.0000,16350.0000,100,50,0,0,0.0000
20061010,16100.0000,16100.0000,16100.0000,16100.0000,0,50,0,0,0.0000
20061011,16170.0000,16170.0000,16170.0000,16170.0000,0,50,0,0,0.0000
20061012,16130.0000,16190.0000,16130.0000,16190.0000,200,50,0,0,0.0000
20061013,16420.0000,16450.0000,16420.0000,16440.0000,130,250,0,0,0.0000
20061016,16770.0000,16770.0000,16770.0000,16770.0000,0,380,0,0,0.0000
20061017,16850.0000,16850.0000,16700.0000,16700.0000,202,380,0,0,0.0000
20061018,16540.0000,16540.0000,16540.0000,16540.0000,0,179,0,0,0.0000
20061019,16710.0000,16710.0000,16710.0000,16710.0000,0,179,0,0,0.0000
20061020,16620.0000,16620.0000,16620.0000,16620.0000,0,179,0,0,0.0000
20061023,16580.0000,16610.0000,16580.0000,16610.0000,1,179,0,0,0.0000
20061024,16530.0000,16750.0000,16530.0000,16680.0000,52,180,0,0,0.0000
20061025,16770.0000,16950.0000,16770.0000,16940.0000,41,192,0,0,0.0000
20061026,16970.0000,16970.0000,16920.0000,16920.0000,12,169,0,0,0.0000
20061027,17020.0000,17020.0000,16950.0000,16950.0000,3,169,0,0,0.0000
20061030,16820.0000,16820.0000,16710.0000,16710.0000,11,169,0,0,0.0000
20061031,16650.0000,16700.0000,16650.0000,16700.0000,61,169,0,0,0.0000
20061101,16720.0000,16760.0000,16630.0000,16760.0000,11,229,0,0,0.0000
20061102,16850.0000,17020.0000,16850.0000,16910.0000,425,230,0,0,0.0000
20061103,16950.0000,16950.0000,16950.0000,16950.0000,0,630,0,0,0.0000
20061106,17020.0000,17020.0000,17020.0000,17020.0000,0,630,0,0,0.0000
20061107,17070.0000,17070.0000,17070.0000,17070.0000,0,630,0,0,0.0000
20061108,17060.0000,17140.0000,17060.0000,17090.0000,112,630,0,0,0.0000
20061109,17250.0000,17250.0000,17250.0000,17250.0000,0,536,0,0,0.0000
20061110,16890.0000,16890.0000,16860.0000,16860.0000,500,536,0,0,0.0000
20061113,16710.0000,16710.0000,16710.0000,16710.0000,0,189,0,0,0.0000
20061114,16780.0000,16780.0000,16780.0000,16780.0000,0,189,0,0,0.0000
20061115,16850.0000,16850.0000,16850.0000,16850.0000,0,189,0,0,0.0000
20061116,16890.0000,16890.0000,16630.0000,16630.0000,71,189,0,0,0.0000
20061117,16540.0000,16640.0000,16540.0000,16640.0000,27,164,0,0,0.0000
20061120,16690.0000,16690.0000,16690.0000,16690.0000,0,147,0,0,0.0000
20061121,16960.0000,16960.0000,16960.0000,16960.0000,0,147,0,0,0.0000
