DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19971022,105713.0000,106500.0000,103475.0000,103600.0000,41282,74396,0,0,0.0000
19971023,103325.0000,103350.0000,98538.0000,99563.0000,41282,74396,0,0,0.0000
19971027,97575.0000,98500.0000,96525.0000,96875.0000,41282,74396,0,0,0.0000
19971028,89375.0000,93900.0000,84000.0000,91550.0000,41282,74396,0,0,0.0000
19971029,95875.0000,95875.0000,93375.0000,95675.0000,41282,74396,0,0,0.0000
19971030,93125.0000,94338.0000,91150.0000,93375.0000,41282,74396,0,0,0.0000
19971031,94975.0000,96125.0000,93625.0000,94375.0000,41282,74396,0,0,0.0000
19971105,95750.0000,97300.0000,95463.0000,96450.0000,15757,79336,0,0,0.0000
19971106,96275.0000,96550.0000,95163.0000,95613.0000,35267,79336,0,0,0.0000
19971107,93750.0000,93850.0000,91850.0000,93475.0000,13359,85134,0,0,0.0000
19971110,93563.0000,94725.0000,93388.0000,93625.0000,13846,82302,0,0,0.0000
19971111,93000.0000,93800.0000,92788.0000,93525.0000,24822,82186,0,0,0.0000
19971112,92500.0000,93100.0000,91338.0000,92725.0000,18857,85376,0,0,0.0000
19971113,92700.0000,93425.0000,92363.0000,92725.0000,24509,83091,0,0,0.0000
19971114,93125.0000,94500.0000,91813.0000,91975.0000,20051,84172,0,0,0.0000
19971117,95000.0000,95975.0000,94688.0000,95938.0000,21068,84172,0,0,0.0000
19971118,96138.0000,96800.0000,95163.0000,96450.0000,24622,83156,0,0,0.0000
19971119,94875.0000,97375.0000,94850.0000,97200.0000,22553,81653,0,0,0.0000
19971120,97450.0000,98850.0000,97288.0000,98563.0000,23128,80567,0,0,0.0000
19971121,99450.0000,99950.0000,98625.0000,98650.0000,23606,81034,0,0,0.0000
19971124,98375.0000,98488.0000,95750.0000,96100.0000,22054,81527,0,0,0.0000
19971125,96225.0000,97088.0000,95500.0000,96625.0000,19489,80401,0,0,0.0000
19971126,97775.0000,98775.0000,97550.0000,98475.0000,11710,77522,0,0,0.0000
19971127,99250.0000,99638.0000,98950.0000,99363.0000,9189,75513,0,0,0.0000
19971128,99238.0000,99725.0000,98650.0000,99675.0000,26102,78122,0,0,0.0000
19971201,101225.0000,103625.0000,100925.0000,103250.0000,22225,77099,0,0,0.0000
19971202,103300.0000,103500.0000,101925.0000,102500.0000,18404,77861,0,0,0.0000
19971203,102500.0000,103075.0000,101513.0000,101875.0000,23925,77986,0,0,0.0000
19971204,102700.0000,104500.0000,102388.0000,104075.0000,22867,76348,0,0,0.0000
19971205,103575.0000,105063.0000,103025.0000,104875.0000,19006,75981,199803,199803,0.0000
