DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19890723,17310.0,17310.0,16970.0,17000.0,0,0,0,0,0.0
19890725,16850.0,16950.0,16810.0,16920.0,0,0,0,0,0.0
19890726,16720.0,16730.0,16500.0,16600.0,0,0,198910,198910,0.0
19890727,16610.0,16830.0,16610.0,16760.0,0,0,0,0,50.0
19890728,16630.0,16810.0,16630.0,16710.0,0,0,0,0,0.0
19890731,16500.0,16840.0,16500.0,16800.0,0,0,0,0,0.0
19890801,16860.0,16910.0,16550.0,16570.0,0,0,0,0,0.0
19890802,16530.0,16600.0,16420.0,16540.0,0,0,0,0,0.0
19890803,16640.0,16730.0,16600.0,16660.0,0,0,0,0,0.0
19890804,16580.0,16580.0,16470.0,16480.0,0,0,0,0,0.0
19890807,16450.0,16500.0,16370.0,16400.0,0,0,0,0,0.0
19890808,16400.0,16560.0,16400.0,16540.0,0,0,0,0,0.0
19890809,16540.0,16650.0,16490.0,16640.0,0,0,0,0,0.0
19890810,16780.0,16950.0,16780.0,16880.0,0,0,0,0,0.0
19890811,17030.0,17150.0,16910.0,16910.0,0,0,0,0,0.0
19890814,16840.0,16840.0,16680.0,16790.0,0,0,0,0,0.0
19890815,16900.0,16960.0,16820.0,16870.0,0,0,0,0,0.0
19890816,16900.0,17070.0,16900.0,16960.0,0,0,0,0,0.0
19890817,16960.0,17020.0,16880.0,16890.0,0,0,0,0,0.0
19890818,16850.0,16890.0,16820.0,16850.0,0,0,0,0,0.0
19890821,16900.0,16990.0,16820.0,16830.0,0,0,0,0,0.0
19890822,17000.0,17050.0,16940.0,17010.0,0,0,0,0,0.0
19890823,16960.0,17000.0,16920.0,16960.0,0,0,198911,198911,0.0
19890824,16810.0,16850.0,16750.0,16850.0,0,0,0,0,-140.0
19890825,16730.0,16750.0,16700.0,16750.0,0,0,0,0,0.0
19890829,16830.0,16910.0,16830.0,16900.0,0,0,0,0,0.0
19890830,16860.0,16920.0,16860.0,16890.0,0,0,0,0,0.0
19890831,17000.0,17170.0,17000.0,17140.0,0,0,0,0,0.0
19890901,17080.0,17130.0,17010.0,17130.0,0,0,0,0,0.0
19890904,17110.0,17270.0,17110.0,17260.0,0,0,0,0,0.0
19890905,17180.0,17290.0,17180.0,17280.0,0,0,0,0,0.0
19890906,17380.0,17580.0,17320.0,17530.0,0,0,0,0,0.0
19890907,17630.0,17650.0,17480.0,17550.0,0,0,0,0,0.0
19890908,17470.0,17550.0,17430.0,17520.0,0,0,0,0,0.0
19890911,17740.0,17750.0,17570.0,17720.0,0,0,0,0,0.0
19890912,17700.0,17700.0,17590.0,17660.0,0,0,0,0,0.0
19890913,17650.0,17790.0,17620.0,17770.0,0,0,0,0,0.0
19890914,17700.0,17840.0,17620.0,17650.0,0,0,0,0,0.0
19890915,17620.0,17630.0,17500.0,17580.0,0,0,0,0,0.0
19890918,17810.0,17860.0,17770.0,17780.0,0,0,0,0,0.0
19890919,17700.0,17710.0,17570.0,17710.0,0,0,0,0,0.0
19890920,17640.0,17740.0,17620.0,17680.0,0,0,0,0,0.0
19890921,17830.0,17900.0,17740.0,17750.0,0,0,0,0,0.0
19890922,17650.0,17720.0,17540.0,17600.0,0,0,0,0,0.0
19890925,17400.0,17500.0,17180.0,17490.0,0,0,198912,198912,0.0
19890926,17430.0,17530.0,17310.0,17510.0,0,0,0,0,60.0
19890927,17630.0,17760.0,17350.0,17500.0,0,0,0,0,0.0
