DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19860602,11950.0,12075.0,11800.0,11825.0,0,0,0,0,0.0
19860604,11350.0,11450.0,11200.0,11325.0,0,0,0,0,0.0
19860605,11600.0,11775.0,11525.0,11625.0,0,0,0,0,0.0
19860606,11825.0,11825.0,11500.0,11550.0,0,0,0,0,0.0
19860609,11500.0,11500.0,11250.0,11450.0,0,0,0,0,0.0
19860610,11450.0,11750.0,11450.0,11575.0,0,0,198608,198608,0.0
19860611,11575.0,12190.0,11500.0,11950.0,0,0,0,0,175.0
19860612,12150.0,12300.0,11825.0,12100.0,0,0,0,0,0.0
19860613,12150.0,12225.0,11900.0,12200.0,0,0,0,0,0.0
19860616,12250.0,12275.0,12050.0,12100.0,0,0,0,0,0.0
19860617,11850.0,12000.0,11800.0,11975.0,0,0,0,0,0.0
19860618,11925.0,11925.0,11550.0,11550.0,0,0,0,0,0.0
19860619,11650.0,11700.0,11160.0,11600.0,0,0,0,0,0.0
19860620,11725.0,11750.0,11450.0,11475.0,0,0,0,0,0.0
19860623,11350.0,11550.0,11325.0,11400.0,0,0,0,0,0.0
19860624,11450.0,11450.0,11325.0,11375.0,0,0,0,0,0.0
19860625,11300.0,11525.0,11147.0,11475.0,0,0,0,0,0.0
19860626,11600.0,11750.0,11500.0,11625.0,0,0,0,0,0.0
19860627,11450.0,11600.0,11400.0,11600.0,0,0,0,0,0.0
19860630,11600.0,11775.0,11170.0,11200.0,0,0,0,0,0.0
19860701,11000.0,11000.0,10575.0,10725.0,0,0,0,0,0.0
19860703,10000.0,10000.0,9600.0,9725.0,0,0,0,0,0.0
19860707,9700.0,9775.0,9600.0,9750.0,0,0,0,0,0.0
19860710,9300.0,9400.0,9000.0,9375.0,0,0,0,0,0.0
19860711,9350.0,9350.0,9225.0,9275.0,0,0,0,0,0.0
19860714,9050.0,9050.0,8650.0,8700.0,0,0,0,0,0.0
19860715,8900.0,9350.0,8750.0,9350.0,0,0,0,0,0.0
19860716,9000.0,9600.0,8700.0,8700.0,0,0,198609,198609,0.0
19860717,10150.0,10825.0,10100.0,10200.0,0,0,0,0,200.0
19860718,9850.0,10275.0,9800.0,10225.0,0,0,0,0,0.0
19860721,10450.0,10825.0,10275.0,10825.0,0,0,0,0,0.0
19860722,10700.0,10700.0,10100.0,10100.0,0,0,0,0,0.0
19860723,9725.0,9900.0,9600.0,9850.0,0,0,0,0,0.0
19860724,9800.0,10375.0,9800.0,10075.0,0,0,0,0,0.0
19860725,11000.0,11000.0,9500.0,9950.0,0,0,0,0,0.0
19860728,9850.0,9980.0,9600.0,9750.0,0,0,0,0,0.0
19860729,9850.0,9850.0,9520.0,9700.0,0,0,0,0,0.0
19860730,10200.0,10600.0,10150.0,10600.0,0,0,0,0,0.0
19860731,10150.0,10500.0,9875.0,9975.0,0,0,0,0,0.0
19860801,9850.0,10000.0,9775.0,9900.0,0,0,0,0,0.0
19860804,9700.0,11500.0,9600.0,11500.0,0,0,0,0,0.0
19860805,13000.0,14000.0,12600.0,13050.0,0,0,0,0,0.0
19860806,12300.0,12700.0,12150.0,12525.0,0,0,0,0,0.0
19860807,12800.0,15050.0,12800.0,13075.0,0,0,0,0,0.0
19860808,12750.0,12750.0,12500.0,12675.0,0,0,0,0,0.0
19860811,12400.0,12475.0,12200.0,12225.0,0,0,0,0,0.0
19860812,12300.0,12700.0,12250.0,12650.0,0,0,0,0,0.0
19860813,12800.0,13250.0,12600.0,12900.0,0,0,0,0,0.0
19860814,12600.0,12800.0,12550.0,12800.0,0,0,198610,198610,0.0
19860815,13400.0,13475.0,13200.0,13450.0,0,0,0,0,550.0
19860818,13600.0,13800.0,13350.0,13550.0,0,0,0,0,0.0
19860819,13250.0,13501.0,13025.0,13025.0,0,0,0,0,0.0
19860820,13025.0,13250.0,12975.0,13225.0,0,0,0,0,0.0
19860821,13450.0,13745.0,13300.0,13500.0,0,0,0,0,0.0
19860822,13450.0,13575.0,13375.0,13500.0,0,0,0,0,0.0
19860826,13550.0,13800.0,13500.0,13800.0,0,0,0,0,0.0
19860827,13750.0,13850.0,13650.0,13650.0,0,0,0,0,0.0
19860828,13575.0,13675.0,13325.0,13325.0,0,0,0,0,0.0
19860829,13500.0,13625.0,13400.0,13575.0,0,0,0,0,0.0
19860902,13850.0,13950.0,13750.0,13825.0,0,0,0,0,0.0
19860903,14000.0,14200.0,13850.0,13850.0,0,0,0,0,0.0
19860904,13700.0,13975.0,13700.0,13950.0,0,0,0,0,0.0
19860905,14000.0,14350.0,14000.0,14150.0,0,0,0,0,0.0
19860908,14100.0,14150.0,13625.0,13775.0,0,0,0,0,0.0
19860909,13500.0,13525.0,13200.0,13325.0,0,0,0,0,0.0
19860910,13000.0,13100.0,12800.0,12900.0,0,0,0,0,0.0
19860911,12700.0,12975.0,12300.0,12300.0,0,0,0,0,0.0
19860912,12650.0,12775.0,12450.0,12700.0,0,0,0,0,0.0
19860915,12700.0,12700.0,11850.0,11850.0,0,0,198611,198611,0.0
19860916,12400.0,12550.0,12100.0,12450.0,0,0,0,0,650.0
19860917,12150.0,12525.0,12050.0,12500.0,0,0,0,0,0.0
19860918,12550.0,12700.0,12450.0,12475.0,0,0,0,0,0.0
19860919,12675.0,12875.0,12675.0,12775.0,0,0,0,0,0.0
19860922,12700.0,12925.0,12575.0,12575.0,0,0,0,0,0.0
19860923,12400.0,12525.0,12300.0,12475.0,0,0,0,0,0.0
19860924,12700.0,12700.0,12475.0,12575.0,0,0,0,0,0.0
19860925,12400.0,12425.0,12250.0,12300.0,0,0,0,0,0.0
19860926,12200.0,12400.0,12175.0,12400.0,0,0,0,0,0.0
19860929,12425.0,12550.0,12350.0,12525.0,0,0,0,0,0.0
19860930,12700.0,12875.0,12650.0,12750.0,0,0,0,0,0.0
19861001,12525.0,12850.0,12475.0,12850.0,0,0,0,0,0.0
19861002,13050.0,13150.0,12925.0,12975.0,0,0,0,0,0.0
19861003,13075.0,13075.0,12600.0,12650.0,0,0,0,0,0.0
19861006,12400.0,12475.0,12325.0,12400.0,0,0,0,0,0.0
19861007,12500.0,12800.0,12400.0,12800.0,0,0,0,0,0.0
19861008,12750.0,12925.0,12600.0,12725.0,0,0,0,0,0.0
19861009,12700.0,12700.0,12450.0,12475.0,0,0,0,0,0.0
19861010,12375.0,12500.0,12150.0,12200.0,0,0,0,0,0.0
19861013,12000.0,12175.0,11900.0,12050.0,0,0,0,0,0.0
19861014,11700.0,11900.0,11700.0,11775.0,0,0,0,0,0.0
19861015,12050.0,12225.0,11975.0,12200.0,0,0,0,0,0.0
19861016,12200.0,12225.0,12025.0,12025.0,0,0,0,0,0.0
19861017,12150.0,12200.0,12000.0,12175.0,0,0,198612,198612,0.0
19861020,12650.0,13000.0,12650.0,12850.0,0,0,0,0,300.0
19861021,12900.0,13100.0,12850.0,13075.0,0,0,0,0,0.0
19861022,13200.0,13225.0,12575.0,12650.0,0,0,0,0,0.0
19861023,12500.0,12600.0,12350.0,12525.0,0,0,0,0,0.0
19861024,12375.0,12425.0,12300.0,12350.0,0,0,0,0,0.0
19861027,12250.0,12275.0,11900.0,11900.0,0,0,0,0,0.0
19861028,11650.0,11750.0,11500.0,11650.0,0,0,0,0,0.0
19861029,11650.0,11750.0,11250.0,11300.0,0,0,0,0,0.0
19861030,10925.0,11800.0,10500.0,11800.0,0,0,0,0,0.0
19861031,12200.0,12775.0,12050.0,12525.0,0,0,0,0,0.0
19861103,12250.0,12600.0,12250.0,12400.0,0,0,0,0,0.0
19861104,12200.0,12600.0,12100.0,12600.0,0,0,0,0,0.0
19861105,12650.0,12800.0,12525.0,12550.0,0,0,0,0,0.0
19861106,12450.0,12900.0,12400.0,12900.0,0,0,0,0,0.0
19861107,12900.0,13150.0,12900.0,12925.0,0,0,0,0,0.0
19861110,12800.0,13200.0,12800.0,13050.0,0,0,0,0,0.0
19861111,13050.0,13125.0,12950.0,13125.0,0,0,0,0,0.0
19861112,13200.0,13200.0,12900.0,12900.0,0,0,0,0,0.0
19861113,12825.0,13100.0,12800.0,13025.0,0,0,198701,198701,0.0
19861114,13650.0,13750.0,13475.0,13700.0,0,0,0,0,350.0
