DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,11520.0,11520.0,11316.0,11322.0,19779,38563,0,0,0.0
19900103,11322.0,11460.0,11298.0,11442.0,16270,39377,0,0,0.0
19900104,11472.0,11520.0,11340.0,11346.0,12743,39220,0,0,0.0
19900105,11298.0,11466.0,11286.0,11418.0,11808,39932,0,0,0.0
19900108,11448.0,11808.0,11442.0,11784.0,20844,40091,0,0,0.0
19900109,11730.0,11820.0,11682.0,11778.0,19457,39502,0,0,0.0
19900110,11760.0,11778.0,11598.0,11724.0,16266,39703,0,0,0.0
19900111,11712.0,11790.0,11706.0,11754.0,13699,39704,0,0,0.0
19900112,11826.0,11844.0,11634.0,11640.0,12677,38444,0,0,0.0
19900115,11598.0,11688.0,11580.0,11652.0,6067,38307,0,0,0.0
19900116,11610.0,11640.0,11490.0,11496.0,13691,37511,0,0,0.0
19900117,11484.0,11616.0,11484.0,11502.0,12378,38223,0,0,0.0
19900118,11508.0,11580.0,11496.0,11538.0,8570,37584,0,0,0.0
19900119,11562.0,11568.0,11400.0,11406.0,14732,36865,0,0,0.0
19900122,11400.0,11448.0,11316.0,11358.0,15163,36837,0,0,0.0
19900123,11382.0,11508.0,11376.0,11466.0,13141,36918,0,0,0.0
19900124,11472.0,11514.0,11436.0,11448.0,10550,36551,0,0,0.0
19900125,11472.0,11478.0,11340.0,11340.0,14579,35655,0,0,0.0
19900126,11340.0,11430.0,11328.0,11418.0,7547,34389,0,0,0.0
19900129,11430.0,11544.0,11370.0,11538.0,11285,34198,0,0,0.0
19900130,11544.0,11574.0,11442.0,11460.0,12167,33318,0,0,0.0
19900131,11460.0,11544.0,11430.0,11502.0,10708,32328,0,0,0.0
19900201,11520.0,11700.0,11502.0,11532.0,17957,32443,0,0,0.0
19900202,11544.0,11580.0,11508.0,11568.0,14151,31419,0,0,0.0
19900205,11568.0,11634.0,11460.0,11478.0,14241,30695,0,0,0.0
19900206,11436.0,11478.0,11382.0,11454.0,12250,30230,0,0,0.0
19900207,11478.0,11586.0,11466.0,11568.0,11313,29871,0,0,0.0
19900208,11604.0,11640.0,11568.0,11628.0,14152,29513,0,0,0.0
19900209,11628.0,11700.0,11598.0,11664.0,16642,28862,0,0,0.0
19900212,11670.0,11850.0,11652.0,11796.0,21942,27627,0,0,0.0
19900213,11802.0,11874.0,11712.0,11796.0,22386,25804,0,0,0.0
19900214,11772.0,11982.0,11742.0,11970.0,22785,25686,0,0,0.0
19900215,11958.0,12072.0,11928.0,12066.0,25213,24834,0,0,0.0
19900216,12078.0,12078.0,11928.0,11964.0,14987,23819,0,0,0.0
19900220,11970.0,12012.0,11892.0,11946.0,15532,23145,0,0,0.0
19900221,11952.0,12312.0,11952.0,12252.0,29360,22692,199005,199005,0.0
19900222,12384.0,12552.0,12366.0,12396.0,31026,34360,0,0,144.0
19900223,12390.0,12540.0,12366.0,12522.0,25095,35502,0,0,0.0
19900226,12498.0,12522.0,12378.0,12396.0,20245,35927,0,0,0.0
