DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,100000.0,100062.5,98875.0,98962.5,7096,19018,0,0,0.0
19900103,99412.5,99525.0,99112.5,99300.0,7495,19103,0,0,0.0
19900104,100037.5,101125.0,99900.0,100975.0,11911,20893,0,0,0.0
19900105,100412.5,101250.0,100375.0,101075.0,9776,22418,0,0,0.0
19900108,101750.0,102225.0,101650.0,102125.0,8756,22638,0,0,0.0
19900109,102150.0,102337.5,101787.5,102262.5,7283,23074,0,0,0.0
19900110,102537.5,102900.0,102250.0,102737.5,8444,23074,0,0,0.0
19900111,102450.0,102600.0,102175.0,102500.0,5674,23019,0,0,0.0
19900112,102775.0,103362.5,102675.0,102850.0,7813,23207,0,0,0.0
19900115,103287.5,103312.5,102550.0,102700.0,6241,22819,0,0,0.0
19900116,102137.5,102587.5,102075.0,102437.5,8153,22291,0,0,0.0
19900117,102062.5,102562.5,101737.5,102062.5,13510,21063,0,0,0.0
19900118,101662.5,102087.5,101562.5,101687.5,8007,21084,0,0,0.0
19900119,101437.5,102037.5,101250.0,101850.0,6682,21298,0,0,0.0
19900122,101525.0,101587.5,101050.0,101275.0,7842,20451,0,0,0.0
19900123,101662.5,102462.5,101362.5,102125.0,9814,21947,0,0,0.0
19900124,102687.5,102875.0,102125.0,102200.0,7684,21879,0,0,0.0
19900125,102500.0,102800.0,102337.5,102700.0,6021,22097,0,0,0.0
19900126,103025.0,103187.5,102487.5,103062.5,6862,22342,0,0,0.0
19900129,103950.0,104175.0,103762.5,104150.0,9999,23585,0,0,0.0
19900130,104212.5,104512.5,102437.5,103600.0,14089,24107,0,0,0.0
19900131,104250.0,104387.5,103875.0,104125.0,7491,24461,0,0,0.0
19900201,104375.0,104587.5,104175.0,104400.0,8022,24780,0,0,0.0
19900202,104312.5,104450.0,104012.5,104412.5,5457,24976,0,0,0.0
19900205,104925.0,105487.5,104850.0,105437.5,9215,26214,0,0,0.0
19900206,105712.5,105800.0,105362.5,105600.0,8058,26467,0,0,0.0
19900207,105775.0,105775.0,105025.0,105175.0,9289,25602,0,0,0.0
