DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,11950.0,11950.0,11875.0,11887.5,26330,102797,0,0,0.0
19900103,11875.0,11925.0,11850.0,11925.0,23895,101558,0,0,0.0
19900104,11937.5,11975.0,11887.5,11912.5,26937,100750,0,0,0.0
19900105,11887.5,11925.0,11875.0,11887.5,21812,99932,0,0,0.0
19900108,11912.5,11950.0,11875.0,11950.0,21044,100062,0,0,0.0
19900109,11937.5,11950.0,11900.0,11937.5,19531,99623,0,0,0.0
19900110,11925.0,11925.0,11875.0,11900.0,21301,98098,0,0,0.0
19900111,11900.0,11925.0,11887.5,11925.0,19130,96007,0,0,0.0
19900112,12100.0,12200.0,12062.5,12112.5,56189,94156,0,0,0.0
19900115,12112.5,12212.5,12075.0,12187.5,53207,92721,0,0,0.0
19900116,12150.0,12162.5,12100.0,12125.0,39377,90897,0,0,0.0
19900117,12087.5,12125.0,12062.5,12075.0,28529,89978,0,0,0.0
19900118,12075.0,12112.5,12062.5,12100.0,30535,87128,0,0,0.0
19900119,12075.0,12100.0,12075.0,12087.5,22161,86132,0,0,0.0
19900122,12075.0,12075.0,12012.5,12025.0,29770,83790,0,0,0.0
19900123,12025.0,12050.0,11987.5,12050.0,24184,81074,0,0,0.0
19900124,12037.5,12087.5,12012.5,12037.5,22338,79687,0,0,0.0
19900125,12025.0,12025.0,11950.0,11962.5,31780,77508,0,0,0.0
19900126,11962.5,11975.0,11900.0,11912.5,31342,75440,0,0,0.0
19900129,11875.0,11987.5,11800.0,11975.0,50105,71772,0,0,0.0
19900130,11987.5,11987.5,11912.5,11925.0,24785,71418,0,0,0.0
19900131,11912.5,11937.5,11887.5,11912.5,25280,70766,0,0,0.0
19900201,11925.0,11925.0,11862.5,11875.0,24356,69859,0,0,0.0
19900202,11875.0,11887.5,11825.0,11837.5,34139,69832,0,0,0.0
19900205,11825.0,11862.5,11812.5,11825.0,31212,70119,0,0,0.0
19900206,11837.5,11925.0,11825.0,11887.5,28659,69368,0,0,0.0
19900207,11925.0,11975.0,11900.0,11962.5,28193,69099,0,0,0.0
19900208,11962.5,11987.5,11925.0,11950.0,24316,67668,0,0,0.0
19900209,11950.0,12000.0,11925.0,11975.0,24202,67733,0,0,0.0
19900212,12012.5,12125.0,12012.5,12100.0,52291,65959,0,0,0.0
19900213,12062.5,12137.5,12062.5,12087.5,45814,62569,0,0,0.0
19900214,12075.0,12150.0,12062.5,12150.0,30334,60096,0,0,0.0
19900215,12150.0,12212.5,12125.0,12137.5,49826,58676,0,0,0.0
19900216,12112.5,12137.5,12050.0,12062.5,34104,54031,0,0,0.0
19900220,12062.5,12087.5,12025.0,12075.0,30095,52497,0,0,0.0
19900221,12075.0,12162.5,12050.0,12150.0,45771,49516,199005,199005,0.0
19900222,12475.0,12725.0,12437.5,12625.0,71589,69065,0,0,337.5
19900223,12625.0,12687.5,12587.5,12662.5,64370,70540,0,0,0.0
19900226,12637.5,12675.0,12600.0,12650.0,60546,74224,0,0,0.0
19900227,12637.5,12637.5,12562.5,12575.0,70920,78938,0,0,0.0
19900228,12550.0,12675.0,12537.5,12662.5,47478,82860,0,0,0.0
19900301,12675.0,12775.0,12625.0,12637.5,55624,85612,0,0,0.0
19900302,12625.0,12637.5,12575.0,12625.0,39098,86594,0,0,0.0
19900305,12600.0,12625.0,12575.0,12600.0,34844,86244,0,0,0.0
19900306,12587.5,12637.5,12537.5,12550.0,43931,86960,0,0,0.0
19900307,12525.0,12562.5,12450.0,12462.5,47795,84211,0,0,0.0
19900308,12450.0,12500.0,12400.0,12475.0,49633,84147,0,0,0.0
19900309,12462.5,12575.0,12450.0,12525.0,36316,84291,0,0,0.0
19900312,12500.0,12700.0,12450.0,12687.5,41739,84429,0,0,0.0
19900313,12637.5,12700.0,12562.5,12575.0,51029,83708,0,0,0.0
19900314,12500.0,12575.0,12475.0,12537.5,40949,81559,0,0,0.0
19900315,12500.0,12687.5,12487.5,12662.5,38196,81677,0,0,0.0
19900316,12650.0,12700.0,12625.0,12687.5,23140,81695,0,0,0.0
19900319,12675.0,12875.0,12675.0,12850.0,51082,84506,0,0,0.0
19900320,12900.0,12975.0,12787.5,12962.5,51873,85747,0,0,0.0
19900321,12950.0,12962.5,12850.0,12862.5,38966,87034,0,0,0.0
19900322,12875.0,13037.5,12837.5,12937.5,57513,87577,0,0,0.0
19900323,12900.0,12937.5,12862.5,12925.0,29947,86725,0,0,0.0
19900326,12887.5,13075.0,12862.5,13037.5,40327,87653,0,0,0.0
19900327,13050.0,13087.5,13025.0,13062.5,38273,88141,0,0,0.0
19900328,13037.5,13062.5,12937.5,12962.5,45426,84960,0,0,0.0
19900329,13000.0,13025.0,12912.5,13000.0,36585,85041,0,0,0.0
19900330,13012.5,13075.0,13000.0,13062.5,32224,83553,0,0,0.0
19900402,13150.0,13237.5,13112.5,13175.0,63774,83365,0,0,0.0
19900403,13175.0,13325.0,13137.5,13325.0,41729,82814,0,0,0.0
19900404,13362.5,13450.0,13325.0,13412.5,54809,83809,0,0,0.0
19900405,13400.0,13512.5,13375.0,13512.5,52231,85775,0,0,0.0
19900406,13575.0,13650.0,13400.0,13462.5,71965,80876,0,0,0.0
19900409,13450.0,13512.5,13412.5,13475.0,34931,78398,0,0,0.0
19900410,13487.5,13650.0,13462.5,13637.5,49004,75908,0,0,0.0
19900411,13700.0,13700.0,13525.0,13562.5,54646,74337,0,0,0.0
19900412,13537.5,13537.5,13437.5,13475.0,40531,72085,0,0,0.0
19900416,13437.5,13625.0,13375.0,13612.5,47083,68442,0,0,0.0
19900417,13600.0,13750.0,13575.0,13700.0,65887,66140,0,0,0.0
19900418,13725.0,13775.0,13675.0,13687.5,58624,64925,0,0,0.0
19900419,13662.5,13875.0,13637.5,13850.0,59776,62370,199007,199007,0.0
19900420,13987.5,14025.0,13900.0,13937.5,63130,105048,0,0,137.5
19900423,13912.5,14025.0,13875.0,13950.0,50793,107136,0,0,0.0
19900424,13912.5,13925.0,13825.0,13850.0,66000,107029,0,0,0.0
19900425,13850.0,14025.0,13825.0,14012.5,68627,108487,0,0,0.0
19900426,14050.0,14175.0,13975.0,14150.0,75678,114481,0,0,0.0
19900427,14087.5,14250.0,14062.5,14137.5,76578,116720,0,0,0.0
19900430,14100.0,14175.0,14037.5,14150.0,52588,116249,0,0,0.0
19900501,14212.5,14562.5,14050.0,14237.5,100856,117493,0,0,0.0
19900502,14262.5,14450.0,14187.5,14450.0,75383,116058,0,0,0.0
19900503,14425.0,14487.5,14287.5,14350.0,63178,118637,0,0,0.0
19900504,14450.0,14500.0,14337.5,14412.5,67641,121394,0,0,0.0
19900507,14412.5,14687.5,14337.5,14562.5,68265,120604,0,0,0.0
19900508,14650.0,14662.5,14425.0,14475.0,64225,118849,0,0,0.0
19900509,14400.0,14575.0,14387.5,14537.5,44261,119072,0,0,0.0
19900510,14575.0,14662.5,14525.0,14587.5,67548,120402,0,0,0.0
19900511,14537.5,14687.5,14350.0,14500.0,89756,118867,0,0,0.0
19900514,14487.5,14587.5,14375.0,14537.5,65517,116216,0,0,0.0
19900515,14512.5,14550.0,14175.0,14237.5,76860,113231,0,0,0.0
19900516,14200.0,14200.0,14025.0,14112.5,77437,112551,0,0,0.0
19900517,14100.0,14262.5,14075.0,14237.5,48831,108443,0,0,0.0
