DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19990104,39275.0,41690.0,39250.0,41690.0,344743,515858,0,0,0.0
19990105,41535.0,42160.0,41535.0,42115.0,341206,532443,0,0,0.0
19990106,42690.0,42690.0,42690.0,42690.0,598328,532443,0,0,0.0
19990107,43360.0,43360.0,43360.0,43360.0,598328,532443,0,0,0.0
19990108,43095.0,43255.0,42560.0,42750.0,77166,26619,0,0,0.0
19990111,42750.0,43230.0,41950.0,42200.0,63748,29658,0,0,0.0
19990112,42630.0,42710.0,41280.0,41290.0,96975,34743,0,0,0.0
19990113,40830.0,41150.0,38820.0,39870.0,127113,34402,0,0,0.0
19990114,40240.0,40600.0,39755.0,40245.0,98107,41025,0,0,0.0
19990115,39515.0,40750.0,39070.0,40730.0,99903,42072,0,0,0.0
19990118,41200.0,41930.0,41070.0,41840.0,65629,42061,0,0,0.0
19990119,41720.0,42130.0,41280.0,41430.0,85807,42398,0,0,0.0
19990120,41990.0,42320.0,41640.0,42180.0,68325,44395,0,0,0.0
19990121,42180.0,42205.0,41520.0,41775.0,98770,46078,0,0,0.0
19990122,41080.0,41475.0,40400.0,40545.0,72841,45884,0,0,0.0
19990125,40400.0,40740.0,39955.0,40480.0,128871,54698,0,0,0.0
19990126,40800.0,40985.0,40250.0,40840.0,132282,55772,0,0,0.0
19990127,41350.0,41670.0,41090.0,41120.0,149285,60145,0,0,0.0
19990128,40500.0,42430.0,40500.0,42385.0,234693,60791,0,0,0.0
19990129,42800.0,43185.0,42035.0,42680.0,178174,61438,0,0,0.0
19990201,43200.0,43810.0,42500.0,43315.0,57785,62107,0,0,0.0
19990202,43000.0,43000.0,42450.0,42590.0,58677,62303,0,0,0.0
19990203,42690.0,42915.0,41860.0,41980.0,68807,61801,0,0,0.0
19990204,42480.0,42840.0,41765.0,41810.0,56558,61651,0,0,0.0
19990205,41780.0,42320.0,41360.0,41865.0,64416,61817,0,0,0.0
19990208,41760.0,42090.0,41265.0,41805.0,48175,62502,0,0,0.0
19990209,41770.0,42110.0,40470.0,40530.0,69504,62475,0,0,0.0
19990210,39960.0,40375.0,39810.0,40145.0,72427,62273,0,0,0.0
19990211,40310.0,40880.0,40090.0,40880.0,51622,62334,0,0,0.0
19990212,41360.0,41700.0,40475.0,40565.0,65969,62102,0,0,0.0
19990215,40350.0,40935.0,40180.0,40835.0,41017,62173,0,0,0.0
19990216,41170.0,41460.0,40590.0,40685.0,67284,62373,0,0,0.0
19990217,40340.0,40480.0,39800.0,40145.0,71622,63837,0,0,0.0
19990218,39850.0,40405.0,39830.0,40405.0,72047,68526,0,0,0.0
19990219,40740.0,41125.0,40260.0,41125.0,98821,87282,0,0,0.0
19990222,41390.0,41790.0,40920.0,41760.0,78121,90700,0,0,0.0
19990223,42260.0,42500.0,41600.0,42230.0,121851,96812,0,0,0.0
19990224,42080.0,42700.0,42000.0,42200.0,216980,125306,0,0,0.0
19990225,41840.0,42300.0,41110.0,41150.0,160322,142886,0,0,0.0
19990226,41500.0,41650.0,40880.0,40930.0,143318,148553,0,0,0.0
19990301,41145.0,41220.0,40050.0,40300.0,56590,149216,0,0,0.0
19990302,40410.0,40700.0,39940.0,40450.0,57352,145435,0,0,0.0
19990303,40640.0,40960.0,39930.0,40010.0,54300,142044,0,0,0.0
19990304,40100.0,41110.0,40045.0,41100.0,57259,143438,0,0,0.0
19990305,41325.0,42255.0,41200.0,42000.0,78860,144885,199906,199906,0.0
19990308,41920.0,41965.0,41560.0,41560.0,51980,8465,0,0,-480.0
19990309,41860.0,41930.0,41345.0,41345.0,50967,9527,0,0,0.0
19990310,41370.0,41615.0,41265.0,41280.0,48850,10996,0,0,0.0
19990311,41500.0,41780.0,41495.0,41680.0,45421,13032,0,0,0.0
19990312,42190.0,42340.0,41380.0,41380.0,60111,15606,0,0,0.0
19990315,41635.0,41650.0,41135.0,41605.0,51695,17620,0,0,0.0
19990316,41865.0,41865.0,41465.0,41575.0,57125,19161,0,0,0.0
19990317,41500.0,41935.0,41270.0,41355.0,56415,19411,0,0,0.0
19990318,41185.0,41210.0,40670.0,41175.0,72481,19040,0,0,0.0
19990319,41600.0,42140.0,41530.0,41940.0,68535,19109,0,0,0.0
19990322,41540.0,41905.0,41430.0,41640.0,73435,18794,0,0,0.0
19990323,41500.0,41500.0,40460.0,40460.0,91851,19771,0,0,0.0
19990324,40050.0,40140.0,39620.0,40070.0,106980,20244,0,0,0.0
19990325,40375.0,41085.0,40100.0,41085.0,113779,21702,0,0,0.0
19990326,41510.0,41510.0,40200.0,40690.0,158164,28169,0,0,0.0
19990329,40700.0,41210.0,40550.0,41175.0,207986,35578,0,0,0.0
19990330,41415.0,41415.0,40995.0,41125.0,179726,38036,0,0,0.0
19990331,41200.0,41700.0,41035.0,41510.0,134670,38243,0,0,0.0
19990401,41140.0,42080.0,41040.0,41945.0,60437,41097,0,0,0.0
19990402,42100.0,42100.0,42050.0,42080.0,4410,40786,0,0,0.0
19990405,42170.0,42170.0,42170.0,42170.0,101,40786,0,0,0.0
19990406,42560.0,42980.0,42195.0,42700.0,56296,42074,0,0,0.0
19990407,42900.0,43130.0,42650.0,42760.0,55936,41958,0,0,0.0
19990408,42900.0,43080.0,42580.0,42980.0,54552,41958,0,0,0.0
19990409,43800.0,43880.0,43130.0,43350.0,81520,43119,0,0,0.0
19990412,43000.0,43240.0,42770.0,43220.0,51606,44051,0,0,0.0
19990413,43700.0,43720.0,43060.0,43110.0,64345,44819,0,0,0.0
19990414,43000.0,43280.0,42720.0,42995.0,84284,46111,0,0,0.0
19990415,42590.0,43140.0,42550.0,42710.0,51207,46456,0,0,0.0
19990416,42760.0,43010.0,42250.0,42480.0,56580,46852,0,0,0.0
19990419,42690.0,43320.0,42690.0,43320.0,44121,47029,0,0,0.0
19990420,42870.0,42870.0,42115.0,42145.0,69960,48758,0,0,0.0
19990421,42485.0,42615.0,42220.0,42580.0,48413,49876,0,0,0.0
19990422,43030.0,43030.0,42370.0,42565.0,120125,49552,0,0,0.0
19990423,42565.0,42850.0,42170.0,42235.0,58675,49951,0,0,0.0
19990426,42480.0,42830.0,42290.0,42435.0,107883,50390,0,0,0.0
19990427,42725.0,43565.0,42580.0,43380.0,184552,51019,0,0,0.0
19990428,43575.0,43575.0,42970.0,43280.0,176133,49974,0,0,0.0
19990429,43070.0,43510.0,42970.0,43375.0,135682,51044,0,0,0.0
19990430,43400.0,43900.0,43385.0,43880.0,115653,51359,0,0,0.0
19990503,43700.0,44000.0,43395.0,44000.0,50004,53343,0,0,0.0
19990504,44410.0,44420.0,43855.0,43855.0,59186,56260,0,0,0.0
19990505,43740.0,43970.0,43230.0,43340.0,54453,57824,0,0,0.0
19990506,43550.0,43870.0,42870.0,42870.0,49351,57488,0,0,0.0
19990507,42870.0,43050.0,42510.0,42580.0,52105,58239,0,0,0.0
19990510,42780.0,43055.0,42250.0,43015.0,42256,58783,0,0,0.0
19990511,43020.0,43255.0,42815.0,43145.0,48578,56575,0,0,0.0
19990512,43130.0,43400.0,42590.0,43105.0,58665,56341,0,0,0.0
19990513,43245.0,43890.0,43090.0,43775.0,23504,57159,0,0,0.0
19990514,43850.0,44050.0,42750.0,42750.0,56110,57065,0,0,0.0
19990517,42430.0,42440.0,42100.0,42125.0,56852,57150,0,0,0.0
19990518,42360.0,42840.0,42280.0,42695.0,47649,57042,0,0,0.0
