DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,9250.0,9380.0,9240.0,9280.0,3406,21305,0,0,0.0
19900103,9300.0,9360.0,9050.0,9110.0,4511,21198,0,0,0.0
19900104,9110.0,9420.0,9090.0,9400.0,6593,21590,0,0,0.0
19900105,9360.0,9520.0,9340.0,9490.0,5155,20920,0,0,0.0
19900108,9520.0,9570.0,9380.0,9400.0,3284,20724,0,0,0.0
19900109,9360.0,9590.0,9360.0,9570.0,5303,21084,0,0,0.0
19900110,9600.0,9690.0,9590.0,9670.0,6444,20570,0,0,0.0
19900111,9680.0,10100.0,9680.0,10060.0,14051,20531,0,0,0.0
19900112,10100.0,10110.0,9850.0,9860.0,9879,20736,0,0,0.0
19900115,9890.0,9970.0,9750.0,9770.0,4417,20411,0,0,0.0
19900116,9650.0,9690.0,9510.0,9580.0,5632,20040,0,0,0.0
19900117,9590.0,9770.0,9560.0,9720.0,5547,19682,0,0,0.0
19900118,9690.0,9730.0,9360.0,9360.0,8622,18480,0,0,0.0
19900119,9250.0,9390.0,9250.0,9320.0,5055,17887,0,0,0.0
19900122,9320.0,9550.0,9270.0,9530.0,3067,17775,0,0,0.0
19900123,9440.0,9750.0,9420.0,9720.0,5045,17421,0,0,0.0
19900124,9670.0,9800.0,9510.0,9520.0,4553,17307,0,0,0.0
19900125,9610.0,9770.0,9600.0,9710.0,2601,17270,0,0,0.0
19900126,9770.0,9960.0,9770.0,9920.0,6236,17052,0,0,0.0
19900129,9990.0,10010.0,9610.0,9680.0,4864,16676,0,0,0.0
19900130,9760.0,9850.0,9720.0,9760.0,3354,16286,0,0,0.0
19900131,9710.0,9750.0,9580.0,9610.0,3991,15868,0,0,0.0
19900201,9610.0,9690.0,9560.0,9610.0,2874,15784,0,0,0.0
19900202,9600.0,9670.0,9530.0,9610.0,9251,15038,0,0,0.0
19900205,9610.0,9780.0,9610.0,9740.0,5787,14115,0,0,0.0
19900206,9770.0,9830.0,9630.0,9650.0,5549,13679,0,0,0.0
