DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
20010906,121800.0000,122500.0000,121800.0000,122300.0000,0,0,0,0,0.0000
20010910,122300.0000,122400.0000,122200.0000,122200.0000,1364,0,0,0,0.0000
20010911,122310.0000,123800.0000,121870.0000,123500.0000,1627,10923,0,0,0.0000
20010912,123600.0000,123750.0000,122900.0000,122900.0000,1865,11107,0,0,0.0000
20010913,122900.0000,123000.0000,122650.0000,122650.0000,1382,11500,0,0,0.0000
20010914,122850.0000,123150.0000,122680.0000,123070.0000,961,10492,0,0,0.0000
20010917,123280.0000,123400.0000,123050.0000,123070.0000,1040,10606,0,0,0.0000
20010918,123150.0000,123390.0000,123000.0000,123170.0000,874,10288,0,0,0.0000
20010919,123070.0000,123140.0000,122900.0000,123050.0000,764,10538,0,0,0.0000
20010920,122870.0000,123020.0000,122870.0000,122950.0000,1368,10722,0,0,0.0000
20010921,122900.0000,122980.0000,122610.0000,122750.0000,1377,10946,0,0,0.0000
20010924,122670.0000,122750.0000,122550.0000,122600.0000,1886,11648,0,0,0.0000
20010925,122640.0000,122850.0000,122640.0000,122770.0000,882,11642,0,0,0.0000
20010926,122790.0000,122790.0000,122510.0000,122620.0000,1088,11868,0,0,0.0000
20010927,122710.0000,122880.0000,122710.0000,122800.0000,2860,11952,0,0,0.0000
20010928,122750.0000,123100.0000,122750.0000,122860.0000,1215,12437,0,0,0.0000
20011001,122840.0000,123000.0000,122790.0000,123000.0000,0,13302,0,0,0.0000
20011002,123100.0000,123300.0000,123050.0000,123240.0000,1068,0,0,0,0.0000
20011003,123500.0000,123500.0000,123350.0000,123400.0000,2279,13763,0,0,0.0000
20011004,123290.0000,123980.0000,123190.0000,123710.0000,1048,14122,0,0,0.0000
20011005,123780.0000,124350.0000,123780.0000,124180.0000,549,14042,0,0,0.0000
20011008,124340.0000,124530.0000,124250.0000,124400.0000,1044,13801,0,0,0.0000
20011009,124440.0000,124440.0000,124150.0000,124160.0000,557,13841,0,0,0.0000
20011010,124070.0000,124250.0000,124050.0000,124250.0000,0,13464,0,0,0.0000
20011011,124110.0000,124240.0000,123920.0000,124050.0000,479,0,0,0,0.0000
20011012,124080.0000,124230.0000,124000.0000,124230.0000,1213,14000,0,0,0.0000
