DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,21800.0,22890.0,21790.0,22890.0,100943,66308,0,0,0.0
19900103,23200.0,23800.0,23000.0,23680.0,121957,61428,0,0,0.0
19900104,23880.0,23920.0,22830.0,23410.0,130841,60995,0,0,0.0
19900105,23420.0,23700.0,23030.0,23080.0,112860,57258,0,0,0.0
19900108,22600.0,22600.0,21550.0,21620.0,117388,54644,0,0,0.0
19900109,21500.0,22120.0,21480.0,22070.0,98166,51669,0,0,0.0
19900110,22480.0,22920.0,22280.0,22900.0,114959,52154,199003,199003,0.0
19900111,21850.0,22200.0,21630.0,22170.0,74632,69547,0,0,-930.0
19900112,22200.0,22400.0,21960.0,22130.0,88006,73265,0,0,0.0
19900115,22000.0,22000.0,21450.0,21490.0,91939,72160,0,0,0.0
19900116,21300.0,21850.0,21050.0,21730.0,100846,73790,0,0,0.0
19900117,21330.0,21480.0,21100.0,21260.0,111385,73836,0,0,0.0
19900118,21520.0,21670.0,21400.0,21590.0,89094,74101,0,0,0.0
19900119,21840.0,22230.0,21710.0,22080.0,106081,70958,0,0,0.0
19900122,22200.0,22310.0,21550.0,21770.0,94068,69870,0,0,0.0
19900123,21500.0,21680.0,21300.0,21600.0,89369,67197,0,0,0.0
19900124,21350.0,21900.0,21250.0,21590.0,92197,64646,0,0,0.0
19900125,21860.0,22300.0,21660.0,22240.0,109946,61790,0,0,0.0
19900126,22150.0,22600.0,21920.0,22560.0,83383,65431,0,0,0.0
19900129,22530.0,22850.0,22380.0,22800.0,68946,65857,0,0,0.0
19900130,22700.0,22760.0,22360.0,22460.0,75129,66039,0,0,0.0
19900131,22170.0,22700.0,22110.0,22680.0,81274,65463,0,0,0.0
19900201,22600.0,22840.0,22460.0,22700.0,69521,63951,0,0,0.0
19900202,22700.0,23050.0,22660.0,23020.0,80757,62516,0,0,0.0
19900205,23000.0,23060.0,22370.0,22390.0,84965,61693,0,0,0.0
19900206,22450.0,22720.0,22300.0,22510.0,76641,60583,0,0,0.0
19900207,22330.0,22430.0,22120.0,22320.0,102379,58309,0,0,0.0
19900208,22290.0,22460.0,22030.0,22090.0,91231,55744,199004,199004,0.0
19900209,21580.0,21700.0,21410.0,21560.0,107966,65331,0,0,-490.0
19900212,21580.0,21870.0,21510.0,21840.0,93448,65842,0,0,0.0
19900213,21900.0,22240.0,21730.0,21820.0,149213,65943,0,0,0.0
19900214,21750.0,21990.0,21620.0,21950.0,99843,66128,0,0,0.0
19900215,22050.0,22480.0,22020.0,22430.0,118491,66598,0,0,0.0
19900216,22330.0,22430.0,22020.0,22250.0,82971,67384,0,0,0.0
19900220,22100.0,22200.0,21970.0,22140.0,88746,70234,0,0,0.0
19900221,22100.0,22170.0,21700.0,21740.0,77811,68581,0,0,0.0
19900222,21810.0,21970.0,21630.0,21750.0,93042,67170,0,0,0.0
19900223,21620.0,21660.0,21400.0,21420.0,108663,67867,0,0,0.0
19900226,21600.0,21930.0,21480.0,21790.0,96258,64725,0,0,0.0
19900227,21880.0,21950.0,21560.0,21580.0,85728,64484,0,0,0.0
19900228,21580.0,21710.0,21460.0,21540.0,73173,64604,0,0,0.0
19900301,21700.0,21770.0,21150.0,21170.0,108935,60333,0,0,0.0
19900302,21220.0,21370.0,21070.0,21350.0,74295,60263,0,0,0.0
19900305,21300.0,21650.0,21200.0,21580.0,74922,59456,0,0,0.0
19900306,21600.0,21620.0,21270.0,21300.0,72787,57493,0,0,0.0
19900307,21210.0,21220.0,20900.0,20930.0,101470,54947,0,0,0.0
19900308,20760.0,20840.0,20640.0,20780.0,97252,53134,199005,199005,0.0
19900309,21180.0,21180.0,20620.0,20650.0,89474,65416,0,0,280.0
19900312,20550.0,20580.0,20270.0,20400.0,92554,65304,0,0,0.0
19900313,20550.0,20710.0,20350.0,20390.0,76473,62949,0,0,0.0
19900314,20300.0,20580.0,20200.0,20320.0,87196,61603,0,0,0.0
19900315,20410.0,20750.0,20300.0,20680.0,87946,61950,0,0,0.0
19900316,20640.0,20640.0,20350.0,20380.0,67273,62070,0,0,0.0
19900319,20050.0,20050.0,19830.0,19960.0,121712,65556,0,0,0.0
19900320,20050.0,20130.0,19650.0,19770.0,116861,68992,0,0,0.0
19900321,19890.0,20080.0,19800.0,19960.0,70067,68716,0,0,0.0
