DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,34425.0,34500.0,34035.0,34170.0,3557,16188,0,0,0.0
19900103,34175.0,34570.0,33900.0,34550.0,5406,16440,0,0,0.0
19900104,34525.0,34635.0,33550.0,33675.0,8463,16594,0,0,0.0
19900105,33250.0,33870.0,33125.0,33155.0,8128,16907,0,0,0.0
19900108,33155.0,33525.0,32925.0,33200.0,6534,17086,0,0,0.0
19900109,33400.0,33595.0,33200.0,33315.0,4855,17257,0,0,0.0
19900110,33205.0,33275.0,32500.0,32740.0,9943,16647,0,0,0.0
19900111,32950.0,33450.0,32950.0,33325.0,5533,16174,0,0,0.0
19900112,32725.0,34150.0,32630.0,33075.0,8493,15546,0,0,0.0
19900115,33300.0,33340.0,32875.0,33110.0,3031,15304,0,0,0.0
19900116,32950.0,33100.0,32700.0,32925.0,3973,15333,0,0,0.0
19900117,32925.0,33475.0,32925.0,33450.0,5345,15685,0,0,0.0
19900118,33550.0,33600.0,33025.0,33250.0,5550,15517,0,0,0.0
19900119,33225.0,33650.0,33225.0,33510.0,4905,15046,0,0,0.0
19900122,33050.0,33460.0,33050.0,33355.0,4145,14960,0,0,0.0
19900123,33400.0,33525.0,33125.0,33395.0,5159,14791,0,0,0.0
19900124,33155.0,33225.0,32900.0,32975.0,6629,14143,0,0,0.0
19900125,33100.0,33350.0,32390.0,32585.0,8605,14259,0,0,0.0
19900126,32510.0,32800.0,32250.0,32255.0,6164,13609,0,0,0.0
19900129,32105.0,32575.0,32075.0,32330.0,5677,13317,0,0,0.0
19900130,32600.0,33000.0,32475.0,32860.0,5745,13132,0,0,0.0
19900131,33250.0,33800.0,33125.0,33525.0,9420,12509,0,0,0.0
19900201,33525.0,33625.0,33350.0,33455.0,5320,11971,0,0,0.0
19900202,33475.0,33575.0,33405.0,33555.0,2551,10158,0,0,0.0
19900205,33650.0,33895.0,33650.0,33820.0,3844,10422,0,0,0.0
19900206,33825.0,33875.0,33200.0,33260.0,6419,10354,0,0,0.0
19900207,33250.0,33480.0,33075.0,33465.0,4757,9768,0,0,0.0
19900208,33500.0,33600.0,33450.0,33585.0,3572,9487,0,0,0.0
19900209,33775.0,33900.0,33010.0,33250.0,5338,9198,0,0,0.0
19900212,33475.0,33650.0,33250.0,33640.0,4914,8909,0,0,0.0
19900213,33725.0,34290.0,33600.0,34215.0,8378,7789,0,0,0.0
19900214,34225.0,34750.0,34100.0,34640.0,11641,6679,199005,199005,0.0
19900215,35125.0,35500.0,35000.0,35480.0,10117,15670,0,0,650.0
19900216,35300.0,35525.0,35250.0,35295.0,7080,15296,0,0,0.0
19900220,35050.0,35200.0,35000.0,35095.0,6589,15627,0,0,0.0
19900221,35025.0,35530.0,34975.0,35490.0,9685,16166,0,0,0.0
19900222,35600.0,35650.0,35200.0,35235.0,5863,16345,0,0,0.0
19900223,35075.0,35250.0,34925.0,35240.0,4610,16439,0,0,0.0
19900226,35125.0,35200.0,35030.0,35040.0,2460,16584,0,0,0.0
19900227,35000.0,35375.0,34960.0,35170.0,4248,16792,0,0,0.0
19900228,35170.0,35310.0,35050.0,35080.0,2466,16620,0,0,0.0
19900301,35125.0,35200.0,34750.0,34775.0,4600,16566,0,0,0.0
19900302,34680.0,34920.0,34675.0,34895.0,3272,16415,0,0,0.0
19900305,34925.0,35895.0,34900.0,35895.0,7415,16590,0,0,0.0
19900306,35915.0,36400.0,35825.0,35850.0,12326,16292,0,0,0.0
19900307,35925.0,36050.0,35775.0,36010.0,4623,16260,0,0,0.0
19900308,36125.0,36225.0,35905.0,36185.0,5304,15889,0,0,0.0
19900309,36190.0,36245.0,35900.0,36225.0,4140,16065,0,0,0.0
19900312,36050.0,36100.0,35525.0,35650.0,5161,15649,0,0,0.0
19900313,35500.0,36040.0,35500.0,36015.0,5403,15622,0,0,0.0
19900314,35970.0,36215.0,35775.0,35825.0,4058,15353,0,0,0.0
19900315,35700.0,35940.0,35530.0,35870.0,4146,15000,0,0,0.0
19900316,35870.0,36005.0,35630.0,35850.0,4578,14772,0,0,0.0
19900319,35650.0,35825.0,35630.0,35805.0,2496,14613,0,0,0.0
19900320,35875.0,35975.0,35275.0,35305.0,8553,14537,0,0,0.0
19900321,35300.0,35525.0,34905.0,35010.0,7780,13702,0,0,0.0
19900322,35105.0,35245.0,34905.0,34980.0,6394,13351,0,0,0.0
19900323,35300.0,35400.0,35175.0,35345.0,5498,13022,0,0,0.0
19900326,35315.0,35350.0,35225.0,35285.0,2550,12751,0,0,0.0
19900327,35240.0,35465.0,35225.0,35380.0,3782,12537,0,0,0.0
19900328,35495.0,35550.0,35270.0,35315.0,4674,12340,0,0,0.0
19900329,35425.0,36125.0,35425.0,36060.0,9373,12245,0,0,0.0
19900330,36125.0,36625.0,36060.0,36350.0,10694,12298,0,0,0.0
19900402,36675.0,37100.0,36575.0,37080.0,10478,12719,0,0,0.0
19900403,36910.0,37025.0,36675.0,37005.0,5406,12788,0,0,0.0
19900404,36875.0,37275.0,36825.0,36985.0,5692,12759,0,0,0.0
19900405,36900.0,36990.0,36625.0,36880.0,5421,12283,0,0,0.0
19900406,37250.0,37375.0,36475.0,36515.0,5503,11771,0,0,0.0
19900409,36600.0,36800.0,36525.0,36565.0,3487,10969,0,0,0.0
19900410,36725.0,37300.0,36700.0,37195.0,6812,10577,0,0,0.0
19900411,37025.0,37280.0,36750.0,36915.0,6218,9418,0,0,0.0
19900412,37000.0,37050.0,36745.0,36940.0,4237,8666,199007,199007,0.0
19900416,36750.0,36925.0,36660.0,36850.0,2626,13825,0,0,-175.0
19900417,36850.0,37075.0,36720.0,36900.0,6848,14322,0,0,0.0
19900418,36950.0,36975.0,36210.0,36375.0,10935,14390,0,0,0.0
19900419,36525.0,36575.0,36155.0,36490.0,6447,14747,0,0,0.0
19900420,36550.0,36965.0,36550.0,36775.0,6926,15183,0,0,0.0
19900423,36900.0,37425.0,36900.0,37415.0,11856,16307,0,0,0.0
19900424,37315.0,37400.0,37080.0,37235.0,6493,16396,0,0,0.0
19900425,37350.0,37550.0,37150.0,37180.0,5800,16714,0,0,0.0
19900426,37250.0,37475.0,37000.0,37450.0,4180,16570,0,0,0.0
19900427,37530.0,37575.0,37300.0,37440.0,1720,16578,0,0,0.0
19900430,37425.0,37440.0,37055.0,37180.0,4018,16777,0,0,0.0
19900501,37000.0,37350.0,36870.0,37100.0,7302,16426,0,0,0.0
19900502,37125.0,37470.0,37125.0,37450.0,4687,16436,0,0,0.0
19900503,37375.0,37500.0,37250.0,37365.0,3304,16133,0,0,0.0
19900504,37400.0,37425.0,36700.0,36880.0,5746,15642,0,0,0.0
19900507,36855.0,37470.0,36760.0,37160.0,7778,15086,0,0,0.0
19900508,37350.0,37420.0,37010.0,37310.0,5315,15027,0,0,0.0
19900509,37350.0,37525.0,37225.0,37485.0,5196,15323,0,0,0.0
19900510,37550.0,37775.0,37400.0,37690.0,7506,15676,0,0,0.0
19900511,37700.0,37750.0,37525.0,37680.0,4759,15637,0,0,0.0
19900514,37575.0,37825.0,37450.0,37460.0,5526,15418,0,0,0.0
19900515,37430.0,37625.0,37325.0,37575.0,4997,15675,0,0,0.0
19900516,37550.0,37625.0,37280.0,37620.0,5223,15741,0,0,0.0
19900517,37665.0,38090.0,37665.0,38075.0,6262,16105,0,0,0.0
19900518,37975.0,38195.0,37975.0,38065.0,3702,15906,0,0,0.0
19900521,38290.0,39065.0,38100.0,39065.0,9390,16729,0,0,0.0
19900522,39050.0,39970.0,38900.0,39885.0,11479,17414,0,0,0.0
19900523,39500.0,40650.0,39500.0,39925.0,10465,17815,0,0,0.0
19900524,40075.0,40235.0,39575.0,39770.0,5012,17412,0,0,0.0
19900525,39920.0,40250.0,39750.0,40015.0,6109,17663,0,0,0.0
19900529,40200.0,41015.0,40015.0,41015.0,7991,18338,0,0,0.0
19900530,40875.0,41075.0,40025.0,40565.0,6466,16948,0,0,0.0
19900531,40950.0,41075.0,39880.0,39960.0,5274,16600,0,0,0.0
19900601,39900.0,40550.0,39750.0,40510.0,5711,15841,0,0,0.0
19900604,40575.0,40625.0,40200.0,40530.0,4373,14799,0,0,0.0
19900605,40475.0,40700.0,40310.0,40670.0,5411,14283,0,0,0.0
19900606,40650.0,41280.0,40430.0,40550.0,10603,13748,0,0,0.0
19900607,40525.0,40625.0,39900.0,40420.0,9260,12587,0,0,0.0
19900608,40245.0,40300.0,39500.0,40005.0,8260,11391,0,0,0.0
19900611,40100.0,40125.0,39625.0,39770.0,5501,10747,0,0,0.0
19900612,39635.0,40720.0,39635.0,40310.0,7556,10573,0,0,0.0
19900613,40130.0,40475.0,40050.0,40140.0,4880,10032,0,0,0.0
19900614,40125.0,40560.0,39700.0,40340.0,8001,9387,199012,199012,0.0
19900615,36100.0,36250.0,35800.0,36230.0,5281,18932,0,0,-4350.0
19900618,36335.0,36900.0,36335.0,36875.0,7621,19456,0,0,0.0
19900619,36925.0,37025.0,36600.0,36615.0,7336,19901,0,0,0.0
19900620,36700.0,36900.0,36525.0,36835.0,9063,20143,0,0,0.0
19900621,36650.0,37045.0,36650.0,36920.0,6389,20439,0,0,0.0
19900622,36800.0,37000.0,36725.0,36795.0,6572,20668,0,0,0.0
19900625,37050.0,37395.0,37050.0,37275.0,6074,21298,0,0,0.0
19900626,37200.0,37290.0,36810.0,37125.0,5767,21241,0,0,0.0
19900627,37075.0,37225.0,36875.0,36915.0,4443,21182,0,0,0.0
19900628,36925.0,37150.0,36850.0,37100.0,2754,21060,0,0,0.0
19900629,37025.0,37300.0,36850.0,37290.0,4184,21320,0,0,0.0
19900702,37400.0,37625.0,37375.0,37615.0,4786,21941,0,0,0.0
19900703,37700.0,37920.0,37625.0,37890.0,4738,22564,0,0,0.0
19900705,37940.0,38500.0,37725.0,37810.0,9432,22892,0,0,0.0
19900706,37650.0,37685.0,36810.0,36810.0,8916,22656,0,0,0.0
19900709,36765.0,37175.0,35810.0,35975.0,11376,21498,0,0,0.0
19900710,35900.0,36250.0,35375.0,35430.0,11525,20840,0,0,0.0
19900711,35700.0,36350.0,35700.0,36025.0,9014,20844,0,0,0.0
19900712,36075.0,36950.0,36035.0,36940.0,6779,21058,0,0,0.0
19900713,37940.0,37940.0,37075.0,37140.0,7662,21149,0,0,0.0
19900716,37000.0,37750.0,36775.0,37440.0,6756,21070,0,0,0.0
19900717,37425.0,37640.0,37200.0,37365.0,6103,21271,0,0,0.0
19900718,37550.0,37590.0,36975.0,37040.0,4501,21473,0,0,0.0
19900719,36575.0,36825.0,36540.0,36710.0,4643,20972,0,0,0.0
19900720,36475.0,36700.0,36350.0,36430.0,4315,20404,0,0,0.0
19900723,35725.0,36950.0,35430.0,36860.0,7332,19910,0,0,0.0
19900724,36930.0,37185.0,36675.0,36920.0,4613,19860,0,0,0.0
19900725,36920.0,37140.0,36605.0,36645.0,4312,19508,0,0,0.0
19900726,36550.0,36975.0,36375.0,36855.0,3889,19721,0,0,0.0
19900727,36800.0,36875.0,36575.0,36700.0,1713,19148,0,0,0.0
19900730,35925.0,36550.0,35925.0,36220.0,4561,19064,0,0,0.0
19900731,36050.0,36425.0,35950.0,36240.0,5363,18468,0,0,0.0
19900801,35925.0,36150.0,35650.0,35685.0,5571,18134,0,0,0.0
19900802,35575.0,35900.0,35005.0,35830.0,10556,17989,0,0,0.0
19900803,35625.0,36625.0,35475.0,36385.0,6778,17540,0,0,0.0
19900806,36125.0,36705.0,36125.0,36215.0,5804,17054,0,0,0.0
19900807,36250.0,36365.0,36025.0,36055.0,3271,16821,0,0,0.0
19900808,36050.0,36205.0,35905.0,35935.0,3109,17068,0,0,0.0
19900809,35925.0,36025.0,35400.0,35475.0,5119,17268,0,0,0.0
19900810,35625.0,35700.0,35035.0,35325.0,7604,19250,0,0,0.0
19900814,34950.0,35025.0,34340.0,34415.0,14002,17323,0,0,0.0
19900815,34525.0,34825.0,34255.0,34430.0,9550,17383,0,0,0.0
19900816,34825.0,34875.0,34200.0,34445.0,7610,16921,0,0,0.0
19900817,34440.0,34725.0,34400.0,34605.0,3387,16650,0,0,0.0
19900820,34605.0,35325.0,34525.0,35050.0,5095,16764,0,0,0.0
19900821,35065.0,35260.0,34850.0,35215.0,4056,16991,0,0,0.0
19900822,35400.0,35500.0,35250.0,35260.0,4117,16604,0,0,0.0
19900823,35010.0,35325.0,34960.0,35215.0,2833,17012,0,0,0.0
19900824,35275.0,36200.0,35275.0,36175.0,7109,16006,0,0,0.0
19900827,36300.0,36620.0,36175.0,36495.0,7521,16777,0,0,0.0
19900828,36350.0,36390.0,35930.0,35950.0,6036,16661,0,0,0.0
19900829,36075.0,36275.0,35850.0,36190.0,3509,16537,0,0,0.0
19900830,36300.0,36475.0,36275.0,36430.0,2688,16381,0,0,0.0
19900831,36350.0,36520.0,35930.0,36095.0,3756,16731,0,0,0.0
19900904,36050.0,36495.0,35725.0,36420.0,4813,16589,0,0,0.0
19900905,36520.0,36725.0,36320.0,36580.0,4638,16435,0,0,0.0
19900906,36425.0,36740.0,36325.0,36355.0,6075,16764,0,0,0.0
19900907,36225.0,36500.0,36125.0,36470.0,4247,16799,0,0,0.0
19900910,36475.0,36475.0,35700.0,36030.0,4789,16892,0,0,0.0
19900911,35850.0,36150.0,35775.0,35920.0,3267,16524,0,0,0.0
19900912,35900.0,36300.0,35810.0,36270.0,4226,16406,0,0,0.0
19900913,36360.0,36535.0,36210.0,36230.0,4333,16475,0,0,0.0
19900914,36015.0,36200.0,35775.0,35795.0,3980,17117,0,0,0.0
19900917,35625.0,36050.0,35600.0,35800.0,3899,17064,0,0,0.0
19900918,35700.0,36175.0,35650.0,36150.0,4170,17426,0,0,0.0
19900919,36125.0,37125.0,36125.0,36975.0,12630,18274,0,0,0.0
19900920,36850.0,37050.0,36635.0,36900.0,8026,18494,0,0,0.0
19900921,36825.0,36975.0,36500.0,36520.0,5026,18537,0,0,0.0
19900924,36275.0,36305.0,35520.0,35570.0,9929,17871,0,0,0.0
19900925,35875.0,36150.0,35575.0,35910.0,8218,17942,0,0,0.0
19900926,35865.0,36150.0,35750.0,36140.0,4035,17345,0,0,0.0
19900927,36150.0,36245.0,35975.0,36170.0,3026,17158,0,0,0.0
19900928,35860.0,36200.0,35800.0,35960.0,4667,17137,0,0,0.0
19901001,35855.0,35970.0,35710.0,35790.0,4530,17132,0,0,0.0
19901002,35850.0,36350.0,35850.0,36175.0,5840,17126,0,0,0.0
19901003,36200.0,36325.0,36000.0,36015.0,3528,17192,0,0,0.0
19901004,36050.0,36150.0,35925.0,35970.0,3221,17084,0,0,0.0
19901005,35900.0,36420.0,35800.0,36400.0,6148,17156,0,0,0.0
19901008,36525.0,37000.0,36525.0,36880.0,8572,18054,0,0,0.0
19901009,36875.0,37200.0,36680.0,36715.0,8328,17713,0,0,0.0
19901010,36775.0,36845.0,36560.0,36605.0,4838,17766,0,0,0.0
19901011,36560.0,36740.0,36550.0,36645.0,2516,17806,0,0,0.0
19901012,36725.0,36745.0,36250.0,36540.0,7035,17472,0,0,0.0
19901015,36515.0,36675.0,36285.0,36415.0,4148,17638,0,0,0.0
19901016,36490.0,36950.0,36325.0,36880.0,6989,17624,0,0,0.0
19901017,36925.0,36965.0,36775.0,36785.0,3915,17407,0,0,0.0
19901018,36450.0,36875.0,36450.0,36605.0,5004,17047,0,0,0.0
19901019,36465.0,36790.0,36465.0,36615.0,3261,17167,0,0,0.0
19901022,36725.0,37600.0,36700.0,37310.0,11216,18712,0,0,0.0
19901023,37225.0,37440.0,37135.0,37340.0,9892,18939,0,0,0.0
19901024,37400.0,37490.0,37030.0,37040.0,6979,18347,0,0,0.0
19901025,37040.0,37425.0,37010.0,37235.0,4541,18750,0,0,0.0
19901026,37200.0,37225.0,36875.0,37130.0,5325,18942,0,0,0.0
19901029,37200.0,37800.0,37200.0,37770.0,8493,19424,0,0,0.0
19901030,37650.0,37900.0,37325.0,37460.0,9873,19173,0,0,0.0
19901031,37750.0,37850.0,37460.0,37515.0,8478,18791,0,0,0.0
19901101,37425.0,37465.0,37250.0,37395.0,5206,19044,0,0,0.0
19901102,37430.0,37585.0,37400.0,37490.0,3273,19096,0,0,0.0
19901105,37310.0,37325.0,36490.0,36490.0,13093,16803,0,0,0.0
19901106,36275.0,36300.0,35525.0,35915.0,21049,14364,0,0,0.0
19901107,36500.0,36915.0,36475.0,36835.0,11997,13691,0,0,0.0
19901108,36750.0,37200.0,36675.0,36935.0,6367,13036,0,0,0.0
19901109,36550.0,36750.0,36455.0,36535.0,3568,12580,0,0,0.0
19901112,36375.0,36625.0,36185.0,36195.0,3722,12731,0,0,0.0
19901113,36350.0,37175.0,36350.0,36935.0,7940,12511,0,0,0.0
19901114,36835.0,37375.0,36835.0,36995.0,6695,12049,199103,199103,0.0
