DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19970805,23500.0000,23560.0000,23500.0000,23500.0000,0,0,0,0,0.0000
19970807,23500.0000,23500.0000,23460.0000,23500.0000,0,0,0,0,0.0000
19970808,23600.0000,23600.0000,23480.0000,23480.0000,0,0,0,0,0.0000
19970811,23600.0000,23600.0000,23400.0000,23400.0000,0,0,0,0,0.0000
19970812,23400.0000,23400.0000,23400.0000,23400.0000,0,0,0,0,0.0000
19970813,23400.0000,23400.0000,23400.0000,23400.0000,0,0,0,0,0.0000
19970814,23380.0000,23380.0000,23380.0000,23380.0000,0,0,0,0,0.0000
19970815,23380.0000,23380.0000,23380.0000,23380.0000,0,0,0,0,0.0000
19970818,23380.0000,23380.0000,23380.0000,23380.0000,0,0,0,0,0.0000
19970819,23360.0000,23360.0000,23360.0000,23360.0000,0,0,0,0,0.0000
19970820,23260.0000,23260.0000,23240.0000,23260.0000,0,0,0,0,0.0000
19970821,23100.0000,23200.0000,23100.0000,23100.0000,0,0,0,0,0.0000
19970822,23100.0000,23120.0000,23100.0000,23100.0000,0,0,0,0,0.0000
19970825,23080.0000,23080.0000,23080.0000,23080.0000,0,0,0,0,0.0000
19970826,23060.0000,23060.0000,22900.0000,22900.0000,0,0,0,0,0.0000
19970827,22820.0000,22840.0000,22800.0000,22820.0000,0,0,0,0,0.0000
19970828,22820.0000,22820.0000,22820.0000,22820.0000,0,0,0,0,0.0000
19970829,22820.0000,22820.0000,22820.0000,22820.0000,0,0,0,0,0.0000
19970902,22900.0000,22900.0000,22900.0000,22900.0000,0,0,0,0,0.0000
19970903,22920.0000,22940.0000,22920.0000,22940.0000,0,0,0,0,0.0000
19970904,22940.0000,22940.0000,22940.0000,22940.0000,0,0,0,0,0.0000
19970905,23000.0000,23000.0000,23000.0000,23000.0000,0,0,0,0,0.0000
19970908,22960.0000,22980.0000,22960.0000,22980.0000,0,0,0,0,0.0000
19970909,22980.0000,22980.0000,22980.0000,22980.0000,0,0,0,0,0.0000
19970910,22980.0000,22980.0000,22980.0000,22980.0000,0,0,0,0,0.0000
19970911,23000.0000,23000.0000,23000.0000,23000.0000,0,0,0,0,0.0000
19970912,23000.0000,23000.0000,23000.0000,23000.0000,0,0,0,0,0.0000
19970915,23000.0000,23000.0000,23000.0000,23000.0000,0,0,0,0,0.0000
19970916,23000.0000,23000.0000,23000.0000,23000.0000,0,0,0,0,0.0000
19970917,23000.0000,23000.0000,23000.0000,23000.0000,0,0,0,0,0.0000
19970918,23000.0000,23000.0000,23000.0000,23000.0000,0,0,0,0,0.0000
19970919,23000.0000,23000.0000,22980.0000,23000.0000,0,0,0,0,0.0000
19970922,23000.0000,23000.0000,23000.0000,23000.0000,0,0,0,0,0.0000
19970923,23000.0000,23000.0000,23000.0000,23000.0000,0,0,0,0,0.0000
19970924,23000.0000,23000.0000,23000.0000,23000.0000,0,0,0,0,0.0000
19970925,23000.0000,23000.0000,23000.0000,23000.0000,0,0,0,0,0.0000
19970926,23000.0000,23000.0000,23000.0000,23000.0000,0,0,0,0,0.0000
19970929,23000.0000,23080.0000,23000.0000,23080.0000,0,0,0,0,0.0000
19970930,23040.0000,23040.0000,23040.0000,23040.0000,0,0,0,0,0.0000
19971001,23040.0000,23040.0000,23040.0000,23040.0000,0,0,0,0,0.0000
19971002,23040.0000,23040.0000,23040.0000,23040.0000,0,0,0,0,0.0000
19971003,23040.0000,23040.0000,23040.0000,23040.0000,0,0,0,0,0.0000
19971006,23060.0000,23300.0000,23060.0000,23300.0000,0,0,0,0,0.0000
19971007,23300.0000,23340.0000,23300.0000,23320.0000,0,0,0,0,0.0000
19971008,23320.0000,23320.0000,23320.0000,23320.0000,0,0,0,0,0.0000
19971009,23360.0000,23440.0000,23360.0000,23400.0000,0,0,0,0,0.0000
19971010,23400.0000,23420.0000,23400.0000,23400.0000,0,0,0,0,0.0000
19971013,23400.0000,23400.0000,23400.0000,23400.0000,0,0,0,0,0.0000
19971014,23460.0000,23460.0000,23460.0000,23460.0000,0,0,0,0,0.0000
19971015,23500.0000,23520.0000,23500.0000,23520.0000,0,0,0,0,0.0000
19971016,23540.0000,23660.0000,23540.0000,23660.0000,0,0,0,0,0.0000
19971017,23720.0000,23720.0000,23700.0000,23720.0000,0,0,0,0,0.0000
19971020,23720.0000,23720.0000,23720.0000,23720.0000,0,0,0,0,0.0000
19971021,23860.0000,23860.0000,23840.0000,23840.0000,0,0,0,0,0.0000
19971022,23780.0000,23780.0000,23780.0000,23780.0000,0,0,0,0,0.0000
19971023,23740.0000,23740.0000,23740.0000,23740.0000,0,0,0,0,0.0000
19971024,23740.0000,23780.0000,23740.0000,23780.0000,0,0,0,0,0.0000
19971027,23780.0000,23780.0000,23780.0000,23780.0000,0,0,0,0,0.0000
19971028,23780.0000,23800.0000,23760.0000,23800.0000,0,0,0,0,0.0000
19971029,23800.0000,23900.0000,23800.0000,23900.0000,0,0,0,0,0.0000
19971030,23940.0000,23940.0000,23940.0000,23940.0000,0,0,0,0,0.0000
19971031,23960.0000,23960.0000,23960.0000,23960.0000,0,0,0,0,0.0000
19971103,23920.0000,23920.0000,23920.0000,23920.0000,0,0,0,0,0.0000
19971104,23840.0000,23840.0000,23800.0000,23800.0000,0,0,0,0,0.0000
19971105,23800.0000,23800.0000,23760.0000,23760.0000,0,0,0,0,0.0000
19971106,23800.0000,23800.0000,23780.0000,23780.0000,0,0,0,0,0.0000
19971107,23780.0000,23780.0000,23780.0000,23780.0000,0,0,0,0,0.0000
19971110,23780.0000,23780.0000,23780.0000,23780.0000,0,0,0,0,0.0000
19971111,23780.0000,23780.0000,23780.0000,23780.0000,0,0,0,0,0.0000
19971112,23800.0000,23800.0000,23780.0000,23780.0000,0,0,0,0,0.0000
19971113,23860.0000,23940.0000,23860.0000,23940.0000,0,0,0,0,0.0000
19971114,23900.0000,23920.0000,23880.0000,23880.0000,0,0,0,0,0.0000
19971117,23860.0000,23860.0000,23860.0000,23860.0000,0,0,0,0,0.0000
19971118,23900.0000,23900.0000,23880.0000,23900.0000,0,0,0,0,0.0000
19971119,24000.0000,24060.0000,23980.0000,24020.0000,0,0,0,0,0.0000
19971120,24040.0000,24040.0000,24000.0000,24040.0000,0,0,0,0,0.0000
19971121,24080.0000,24080.0000,24080.0000,24080.0000,0,0,0,0,0.0000
19971124,24200.0000,24300.0000,24200.0000,24200.0000,0,0,0,0,0.0000
19971125,24240.0000,24240.0000,24160.0000,24160.0000,0,0,0,0,0.0000
19971126,24180.0000,24180.0000,24100.0000,24100.0000,0,0,0,0,0.0000
19971128,24200.0000,24400.0000,24200.0000,24240.0000,0,0,0,0,0.0000
19971201,24300.0000,24300.0000,24200.0000,24200.0000,0,0,0,0,0.0000
19971202,24240.0000,24240.0000,24200.0000,24200.0000,0,0,0,0,0.0000
19971203,24220.0000,24220.0000,24200.0000,24200.0000,0,0,0,0,0.0000
19971204,24240.0000,24320.0000,24220.0000,24220.0000,0,0,0,0,0.0000
19971205,24300.0000,24420.0000,24300.0000,24380.0000,0,0,0,0,0.0000
19971208,24400.0000,24600.0000,24400.0000,24400.0000,0,0,0,0,0.0000
19971209,24700.0000,24900.0000,24700.0000,24900.0000,0,0,0,0,0.0000
19971210,24900.0000,24900.0000,24860.0000,24880.0000,0,0,0,0,0.0000
19971211,24900.0000,24900.0000,24900.0000,24900.0000,0,0,0,0,0.0000
19971212,24900.0000,25260.0000,24900.0000,25260.0000,0,0,0,0,0.0000
19971215,25300.0000,25320.0000,25300.0000,25320.0000,0,0,0,0,0.0000
19971216,25300.0000,25320.0000,25240.0000,25240.0000,0,0,0,0,0.0000
19971217,25360.0000,25440.0000,25240.0000,25300.0000,0,0,0,0,0.0000
