DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
20050315,28490.0000,28490.0000,28490.0000,28490.0000,0,0,0,0,0.0000
20050317,28380.0000,28380.0000,28380.0000,28380.0000,0,0,0,0,0.0000
20050318,28440.0000,28440.0000,28440.0000,28440.0000,42,0,0,0,0.0000
20050321,28415.0000,28425.0000,28300.0000,28300.0000,29,0,0,0,0.0000
20050322,28390.0000,28390.0000,28210.0000,28300.0000,41,37,0,0,0.0000
20050323,28275.0000,28275.0000,28195.0000,28210.0000,320,57,0,0,0.0000
20050324,28220.0000,28295.0000,28185.0000,28265.0000,140,93,0,0,0.0000
20050329,28240.0000,28325.0000,28230.0000,28230.0000,2,407,0,0,0.0000
20050330,28280.0000,28385.0000,28280.0000,28385.0000,21,492,0,0,0.0000
20050331,28435.0000,28530.0000,28435.0000,28530.0000,8,492,0,0,0.0000
20050401,28725.0000,28930.0000,28725.0000,28930.0000,50,471,0,0,0.0000
20050404,28765.0000,28765.0000,28705.0000,28705.0000,30,471,0,0,0.0000
20050405,28745.0000,28855.0000,28745.0000,28855.0000,27,465,0,0,0.0000
20050406,28890.0000,28980.0000,28890.0000,28980.0000,2,435,0,0,0.0000
20050407,29050.0000,29095.0000,29050.0000,29070.0000,11,434,0,0,0.0000
20050408,29285.0000,29340.0000,29285.0000,29315.0000,0,434,0,0,0.0000
20050411,29255.0000,29255.0000,29255.0000,29255.0000,32,436,0,0,0.0000
20050412,29190.0000,29230.0000,29185.0000,29190.0000,394,436,0,0,0.0000
20050413,29245.0000,29300.0000,29245.0000,29275.0000,13,442,0,0,0.0000
20050414,29245.0000,29245.0000,29100.0000,29190.0000,32,745,0,0,0.0000
20050415,29100.0000,29100.0000,28680.0000,28680.0000,372,757,0,0,0.0000
20050418,28165.0000,28165.0000,28010.0000,28060.0000,221,782,0,0,0.0000
20050419,28095.0000,28320.0000,28095.0000,28295.0000,340,1077,0,0,0.0000
20050420,28420.0000,28550.0000,28390.0000,28390.0000,115,1028,0,0,0.0000
20050421,28400.0000,28415.0000,28345.0000,28345.0000,66,1161,0,0,0.0000
20050422,28525.0000,28525.0000,28370.0000,28370.0000,374,1091,0,0,0.0000
20050425,28370.0000,28435.0000,28370.0000,28385.0000,511,1144,0,0,0.0000
20050426,28255.0000,28255.0000,28125.0000,28155.0000,414,1492,0,0,0.0000
20050427,28010.0000,28010.0000,27650.0000,27730.0000,268,1952,0,0,0.0000
20050428,27835.0000,27845.0000,27510.0000,27510.0000,501,2012,0,0,0.0000
20050429,27420.0000,27490.0000,27400.0000,27480.0000,142,1919,0,0,0.0000
20050502,27670.0000,27845.0000,27670.0000,27785.0000,53,1939,0,0,0.0000
20050503,27895.0000,27895.0000,27800.0000,27830.0000,41,2019,0,0,0.0000
20050504,27910.0000,27960.0000,27855.0000,27960.0000,0,2004,0,0,0.0000
20050505,27960.0000,27960.0000,27960.0000,27960.0000,12,2016,0,0,0.0000
