DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
20030323,3510.0000,3510.0000,3390.0000,3400.0000,0,0,0,0,0.0000
20030325,3340.0000,3440.0000,3310.0000,3440.0000,0,0,0,0,0.0000
20030326,3480.0000,3540.0000,3440.0000,3470.0000,0,0,0,0,0.0000
20030327,3450.0000,3470.0000,3360.0000,3440.0000,0,0,0,0,0.0000
20030328,3370.0000,3440.0000,3370.0000,3410.0000,0,0,0,0,0.0000
20030331,3280.0000,3320.0000,3250.0000,3300.0000,0,0,0,0,0.0000
20030401,3290.0000,3380.0000,3280.0000,3320.0000,0,0,0,0,0.0000
20030402,3440.0000,3540.0000,3440.0000,3540.0000,0,0,0,0,0.0000
20030403,3540.0000,3540.0000,3480.0000,3480.0000,0,0,0,0,0.0000
20030404,3470.0000,3520.0000,3460.0000,3480.0000,202,0,0,0,0.0000
20030407,3640.0000,3690.0000,3630.0000,3690.0000,80,1703,0,0,0.0000
20030408,3630.0000,3710.0000,3630.0000,3660.0000,151,1786,0,0,0.0000
20030409,3610.0000,3720.0000,3590.0000,3690.0000,272,1827,0,0,0.0000
20030410,3650.0000,3650.0000,3570.0000,3570.0000,274,1919,0,0,0.0000
20030411,3610.0000,3630.0000,3590.0000,3590.0000,77,1971,0,0,0.0000
20030414,3650.0000,3650.0000,3570.0000,3600.0000,428,2119,0,0,0.0000
20030415,3670.0000,3690.0000,3670.0000,3670.0000,286,2144,0,0,0.0000
20030416,3760.0000,3780.0000,3730.0000,3730.0000,261,2567,0,0,0.0000
20030417,3700.0000,3750.0000,3700.0000,3750.0000,258,2761,0,0,0.0000
20030422,3770.0000,3810.0000,3750.0000,3810.0000,295,2767,0,0,0.0000
20030423,3860.0000,3900.0000,3850.0000,3880.0000,161,2987,0,0,0.0000
20030424,3850.0000,3910.0000,3820.0000,3850.0000,250,3160,0,0,0.0000
20030425,3840.0000,3840.0000,3790.0000,3790.0000,384,3247,0,0,0.0000
20030428,3790.0000,3870.0000,3750.0000,3870.0000,258,3470,0,0,0.0000
20030429,3890.0000,3990.0000,3890.0000,3900.0000,135,3759,0,0,0.0000
20030430,3910.0000,3960.0000,3870.0000,3900.0000,107,3886,0,0,0.0000
20030502,3980.0000,4000.0000,3920.0000,4000.0000,364,4006,0,0,0.0000
20030505,4080.0000,4120.0000,4050.0000,4090.0000,397,3996,0,0,0.0000
20030506,4000.0000,4150.0000,4000.0000,4100.0000,291,4180,0,0,0.0000
20030507,4090.0000,4100.0000,4000.0000,4030.0000,358,4219,0,0,0.0000
20030508,4000.0000,4000.0000,3840.0000,3860.0000,218,4306,0,0,0.0000
20030509,3870.0000,3910.0000,3810.0000,3900.0000,181,4372,0,0,0.0000
20030512,3940.0000,3940.0000,3850.0000,3920.0000,165,4456,0,0,0.0000
20030513,3960.0000,3960.0000,3910.0000,3910.0000,309,4500,0,0,0.0000
20030514,3940.0000,3950.0000,3900.0000,3920.0000,126,4474,0,0,0.0000
20030515,3910.0000,3970.0000,3910.0000,3960.0000,273,4349,0,0,0.0000
20030516,3990.0000,4020.0000,3960.0000,3990.0000,135,4308,0,0,0.0000
20030519,3930.0000,3930.0000,3870.0000,3880.0000,268,4255,0,0,0.0000
20030520,3850.0000,3850.0000,3800.0000,3830.0000,196,4218,0,0,0.0000
20030521,3800.0000,3800.0000,3730.0000,3760.0000,53,4398,0,0,0.0000
20030522,3750.0000,3830.0000,3750.0000,3830.0000,217,4555,0,0,0.0000
20030523,3880.0000,3880.0000,3810.0000,3830.0000,262,4556,0,0,0.0000
20030526,3850.0000,3860.0000,3810.0000,3840.0000,356,4739,0,0,0.0000
20030527,3830.0000,3880.0000,3790.0000,3880.0000,256,4874,0,0,0.0000
20030528,3910.0000,3960.0000,3910.0000,3960.0000,93,5188,0,0,0.0000
20030529,3950.0000,3970.0000,3950.0000,3960.0000,21,5432,0,0,0.0000
20030530,3960.0000,4030.0000,3960.0000,4030.0000,241,5402,0,0,0.0000
20030602,4150.0000,4280.0000,4130.0000,4280.0000,496,5407,0,0,0.0000
20030603,4180.0000,4180.0000,4120.0000,4120.0000,195,5568,0,0,0.0000
20030604,4150.0000,4210.0000,4150.0000,4210.0000,2775,5593,0,0,0.0000
20030605,4240.0000,4240.0000,4140.0000,4200.0000,1083,5527,0,0,0.0000
20030606,4260.0000,4330.0000,4250.0000,4270.0000,320,7929,0,0,0.0000
20030609,4290.0000,4290.0000,4260.0000,4260.0000,463,6672,0,0,0.0000
20030610,4260.0000,4330.0000,4260.0000,4330.0000,286,6494,0,0,0.0000
20030611,4390.0000,4390.0000,4350.0000,4350.0000,769,6111,0,0,0.0000
20030612,4400.0000,4430.0000,4340.0000,4340.0000,165,5922,0,0,0.0000
20030613,4340.0000,4340.0000,4230.0000,4230.0000,222,6227,0,0,0.0000
20030616,4190.0000,4310.0000,4180.0000,4310.0000,2542,6205,0,0,0.0000
20030617,4390.0000,4430.0000,4370.0000,4390.0000,1045,6176,200309,200309,0.0000
20030618,4380.0000,4400.0000,4370.0000,4400.0000,3363,5255,0,0,50.0000
20030619,4400.0000,4410.0000,4360.0000,4360.0000,98,3196,0,0,0.0000
20030620,4330.0000,4380.0000,4330.0000,4340.0000,68,5656,0,0,0.0000
20030623,4330.0000,4330.0000,4240.0000,4260.0000,261,5668,0,0,0.0000
20030624,4200.0000,4230.0000,4180.0000,4230.0000,129,5725,0,0,0.0000
20030625,4220.0000,4250.0000,4210.0000,4230.0000,181,5877,0,0,0.0000
20030626,4220.0000,4260.0000,4190.0000,4260.0000,515,5973,0,0,0.0000
20030627,4350.0000,4350.0000,4240.0000,4240.0000,1508,6024,0,0,0.0000
20030630,4270.0000,4290.0000,4240.0000,4240.0000,1448,6198,0,0,0.0000
20030701,4240.0000,4240.0000,4110.0000,4160.0000,291,7336,0,0,0.0000
20030702,4220.0000,4350.0000,4210.0000,4350.0000,252,8304,0,0,0.0000
20030703,4300.0000,4310.0000,4220.0000,4270.0000,26,8211,0,0,0.0000
20030704,4290.0000,4310.0000,4290.0000,4310.0000,91,8228,0,0,0.0000
20030707,4390.0000,4460.0000,4390.0000,4440.0000,290,8238,0,0,0.0000
20030708,4480.0000,4530.0000,4480.0000,4530.0000,156,8264,0,0,0.0000
20030709,4540.0000,4550.0000,4490.0000,4500.0000,111,8268,0,0,0.0000
20030710,4500.0000,4500.0000,4430.0000,4430.0000,47,8264,0,0,0.0000
20030711,4400.0000,4430.0000,4400.0000,4420.0000,121,8245,0,0,0.0000
20030714,4500.0000,4560.0000,4500.0000,4560.0000,592,8234,0,0,0.0000
20030715,4600.0000,4610.0000,4550.0000,4550.0000,242,8244,0,0,0.0000
20030716,4640.0000,4640.0000,4560.0000,4590.0000,266,8352,0,0,0.0000
20030717,4550.0000,4550.0000,4490.0000,4500.0000,142,8404,0,0,0.0000
20030718,4490.0000,4530.0000,4480.0000,4520.0000,121,8551,0,0,0.0000
20030721,4570.0000,4570.0000,4450.0000,4470.0000,264,8634,0,0,0.0000
20030722,4450.0000,4450.0000,4400.0000,4430.0000,86,8649,0,0,0.0000
20030723,4480.0000,4480.0000,4410.0000,4450.0000,168,8609,0,0,0.0000
20030724,4420.0000,4550.0000,4420.0000,4530.0000,108,8634,0,0,0.0000
20030725,4530.0000,4550.0000,4500.0000,4530.0000,76,8676,0,0,0.0000
20030728,4580.0000,4590.0000,4560.0000,4580.0000,152,8669,0,0,0.0000
20030729,4570.0000,4580.0000,4520.0000,4570.0000,84,8684,0,0,0.0000
20030730,4500.0000,4530.0000,4500.0000,4520.0000,196,8735,0,0,0.0000
20030731,4520.0000,4590.0000,4520.0000,4580.0000,129,8681,0,0,0.0000
20030801,4600.0000,4640.0000,4570.0000,4570.0000,759,8663,0,0,0.0000
20030804,4590.0000,4630.0000,4570.0000,4630.0000,247,8613,0,0,0.0000
20030805,4620.0000,4660.0000,4620.0000,4660.0000,468,8869,0,0,0.0000
20030806,4600.0000,4610.0000,4580.0000,4600.0000,76,9028,0,0,0.0000
20030807,4580.0000,4580.0000,4510.0000,4520.0000,427,9223,0,0,0.0000
20030808,4540.0000,4620.0000,4540.0000,4610.0000,122,9256,0,0,0.0000
20030811,4620.0000,4620.0000,4590.0000,4610.0000,269,9548,0,0,0.0000
20030812,4630.0000,4690.0000,4620.0000,4680.0000,1184,9556,0,0,0.0000
20030813,4690.0000,4790.0000,4690.0000,4740.0000,241,9494,0,0,0.0000
20030814,4740.0000,4770.0000,4730.0000,4730.0000,101,10079,0,0,0.0000
20030815,4750.0000,4760.0000,4730.0000,4730.0000,102,10108,0,0,0.0000
20030818,4780.0000,4840.0000,4780.0000,4830.0000,302,10102,0,0,0.0000
20030819,4900.0000,4950.0000,4890.0000,4900.0000,328,10136,0,0,0.0000
20030820,4910.0000,4950.0000,4850.0000,4930.0000,514,10198,0,0,0.0000
20030821,5150.0000,5150.0000,4970.0000,5070.0000,539,10347,0,0,0.0000
20030822,5060.0000,5210.0000,5030.0000,5130.0000,239,10484,0,0,0.0000
20030825,5100.0000,5100.0000,5050.0000,5100.0000,601,10490,0,0,0.0000
20030826,5140.0000,5150.0000,5050.0000,5080.0000,207,10534,0,0,0.0000
