DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19980922,241175.0,241175.0,241175.0,241175.0,0,0,0,0,0.0
19980924,241275.0,241275.0,241237.5,241275.0,0,0,0,0,0.0
19980925,241287.525,241375.0,241287.525,241337.5,0,0,0,0,0.0
19980928,241337.5,241375.0,241337.5,241337.5,0,0,0,0,0.0
19980929,241362.525,241362.525,241337.5,241337.5,0,0,0,0,0.0
19980930,241350.0,241475.0,241337.5,241475.0,0,0,0,0,0.0
19981001,241512.5,241612.5,241512.5,241575.0,0,0,0,0,0.0
19981002,241600.025,241750.0,241600.025,241750.0,0,0,0,0,0.0
19981005,241750.0,241762.5,241700.0,241737.5,0,0,0,0,0.0
19981006,241762.5,241762.5,241675.025,241687.5,0,0,0,0,0.0
19981007,241612.5,241700.0,241575.0,241675.025,0,0,0,0,0.0
19981008,241687.5,241825.0,241687.5,241775.0,0,0,0,0,0.0
19981009,241650.0,241850.025,241587.5,241850.025,0,0,0,0,0.0
19981012,241825.0,241825.0,241662.5,241662.5,0,0,0,0,0.0
19981013,241725.0,241737.5,241600.025,241625.0,0,0,0,0,0.0
19981014,241662.5,241712.5,241625.0,241650.0,0,0,0,0,0.0
19981015,241625.0,241662.5,241600.025,241600.025,0,0,0,0,0.0
19981016,241825.0,241875.0,241800.0,241812.5,0,0,0,0,0.0
19981019,241837.5,241837.5,241800.0,241800.0,0,0,0,0,0.0
19981020,241762.5,241787.5,241725.0,241725.0,0,0,0,0,0.0
19981021,241650.0,241762.5,241625.0,241762.5,0,0,0,0,0.0
19981022,241737.5,241775.0,241737.5,241737.5,0,0,0,0,0.0
19981023,241750.0,241787.5,241750.0,241775.0,0,0,0,0,0.0
19981026,241750.0,241762.5,241700.0,241700.0,0,0,0,0,0.0
19981027,241700.0,241712.5,241700.0,241700.0,0,0,0,0,0.0
19981028,241700.0,241712.5,241687.5,241687.5,0,0,0,0,0.0
19981029,241687.5,241725.0,241687.5,241725.0,0,0,0,0,0.0
19981030,241750.0,241750.0,241712.5,241712.5,0,0,0,0,0.0
19981102,241637.5,241650.0,241575.0,241575.0,0,0,0,0,0.0
19981103,241600.025,241625.0,241600.025,241600.025,0,0,0,0,0.0
19981104,241587.5,241625.0,241575.0,241575.0,0,0,0,0,0.0
19981105,241525.0,241600.025,241512.5,241600.025,0,0,0,0,0.0
19981106,241575.0,241575.0,241500.0,241500.0,0,0,0,0,0.0
19981109,241425.0,241475.0,241400.0,241462.5,0,0,0,0,0.0
19981110,241450.0,241512.5,241450.0,241500.0,0,0,0,0,0.0
19981111,241500.0,241512.5,241450.0,241462.5,0,0,0,0,0.0
19981112,241475.0,241500.0,241437.5,241437.5,0,0,0,0,0.0
19981113,241437.5,241450.0,241387.5,241387.5,0,0,0,0,0.0
19981116,241350.0,241350.0,241287.525,241337.5,0,0,0,0,0.0
19981117,241362.525,241412.5,241362.525,241387.5,0,0,0,0,0.0
19981118,241425.0,241487.5,241425.0,241487.5,0,0,0,0,0.0
19981119,241512.5,241525.0,241487.5,241487.5,0,0,0,0,0.0
19981120,241450.0,241500.0,241450.0,241487.5,0,0,0,0,0.0
19981123,241537.525,241637.5,241512.5,241625.0,0,0,0,0,0.0
19981124,241650.0,241712.5,241625.0,241687.5,0,0,0,0,0.0
