DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
20050501,17515.0,17630.0,17515.0,17565.0,0,0,0,0,0.0
20050503,17645.0,17645.0,17645.0,17645.0,100,4153,0,0,0.0
20050504,17685.0,17840.0,17685.0,17840.0,0,4153,0,0,0.0
20050505,17800.0,17800.0,17800.0,17800.0,0,4153,0,0,0.0
20050506,17910.0,17910.0,17910.0,17910.0,3,4153,0,0,0.0
20050509,17855.0,17925.0,17855.0,17925.0,0,4153,0,0,0.0
20050510,17695.0,17695.0,17695.0,17695.0,1486,4150,0,0,0.0
20050511,17670.0,17700.0,17670.0,17700.0,0,4150,0,0,0.0
20050512,17765.0,17765.0,17765.0,17765.0,0,5050,0,0,0.0
20050513,17705.0,17705.0,17705.0,17705.0,0,5050,0,0,0.0
20050516,17790.0,17790.0,17790.0,17790.0,0,5050,0,0,0.0
20050517,17705.0,17705.0,17705.0,17705.0,9,5050,0,0,0.0
20050518,17775.0,17955.0,17775.0,17955.0,32,5050,0,0,0.0
20050519,17990.0,17990.0,17980.0,17980.0,113,5050,0,0,0.0
20050520,17985.0,18045.0,17985.0,18045.0,1178,5082,0,0,0.0
20050523,18010.0,18110.0,18010.0,18110.0,55,5057,0,0,0.0
20050524,18065.0,18065.0,18055.0,18055.0,0,6235,0,0,0.0
20050525,17995.0,17995.0,17995.0,17995.0,600,6290,0,0,0.0
20050526,17990.0,17990.0,17990.0,17990.0,7,6290,0,0,0.0
20050527,18020.0,18020.0,17980.0,17980.0,51,6890,0,0,0.0
20050530,18095.0,18125.0,18095.0,18125.0,49,6891,0,0,0.0
20050531,18200.0,18200.0,18165.0,18195.0,94,6891,0,0,0.0
20050601,18375.0,18420.0,18375.0,18420.0,172,6891,0,0,0.0
20050602,18380.0,18395.0,18375.0,18395.0,671,6981,0,0,0.0
20050603,18335.0,18335.0,18280.0,18280.0,0,7053,0,0,0.0
20050606,18335.0,18335.0,18335.0,18335.0,2751,7724,0,0,0.0
20050607,18390.0,18565.0,18390.0,18565.0,50,7724,0,0,0.0
20050608,18485.0,18485.0,18435.0,18435.0,78,10081,0,0,0.0
20050609,18400.0,18490.0,18400.0,18490.0,356,7283,0,0,0.0
20050610,18595.0,18605.0,18570.0,18570.0,618,7283,0,0,0.0
20050613,18540.0,18540.0,18540.0,18540.0,757,7277,0,0,0.0
20050614,18710.0,18710.0,18710.0,18710.0,186,6659,200509,200509,0.0
20050615,18675.0,18675.0,18675.0,18675.0,232,5902,0,0,-75.0
20050616,18770.0,18775.0,18720.0,18740.0,2202,4462,0,0,0.0
20050617,18775.0,18855.0,18775.0,18800.0,0,4639,0,0,0.0
20050620,18755.0,18755.0,18755.0,18755.0,126,6787,0,0,0.0
20050621,18705.0,18955.0,18705.0,18825.0,0,6787,0,0,0.0
20050622,18895.0,18895.0,18895.0,18895.0,51,6789,0,0,0.0
20050623,18935.0,18935.0,18880.0,18880.0,4,6789,0,0,0.0
20050624,18850.0,18850.0,18800.0,18800.0,24,6840,0,0,0.0
20050627,18615.0,18615.0,18600.0,18600.0,1,6836,0,0,0.0
20050628,18645.0,18790.0,18645.0,18790.0,342,6812,0,0,0.0
20050629,18840.0,18840.0,18765.0,18765.0,165,6812,0,0,0.0
20050630,18775.0,18775.0,18700.0,18770.0,121,7076,0,0,0.0
20050701,18745.0,18870.0,18745.0,18870.0,52,7194,0,0,0.0
20050704,18860.0,18885.0,18855.0,18855.0,12,7315,0,0,0.0
