DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,42350.0,42525.0,42325.0,42350.0,660,3026,0,0,0.0
19900103,42350.0,42350.0,42125.0,42237.5,1695,3026,0,0,0.0
19900104,42650.0,42675.0,42125.0,42275.0,1672,2919,199003,199003,0.0
19900105,41550.0,41675.0,41450.0,41475.0,802,3705,0,0,-650.0
19900108,41450.0,41525.0,41325.0,41475.0,905,3769,0,0,0.0
19900109,41425.0,41587.5,41375.0,41550.0,1086,4045,0,0,0.0
19900110,41450.0,41562.5,41350.0,41475.0,2017,4190,0,0,0.0
19900111,41475.0,41725.0,41475.0,41612.5,1201,4333,0,0,0.0
19900112,41500.0,41737.5,41175.0,41212.5,2191,4264,0,0,0.0
19900115,41125.0,41275.0,41062.5,41100.0,2086,4161,0,0,0.0
19900116,41075.0,41075.0,40925.0,41000.0,2265,4401,0,0,0.0
19900117,41050.0,41525.0,41050.0,41512.5,2078,4542,0,0,0.0
19900118,41525.0,41625.0,41400.0,41437.5,1434,4619,0,0,0.0
19900119,41525.0,41725.0,41450.0,41650.0,1132,4630,0,0,0.0
19900122,41725.0,41837.5,41675.0,41800.0,1488,4795,0,0,0.0
19900123,41800.0,41925.0,41725.0,41775.0,2684,4872,0,0,0.0
19900124,41550.0,41750.0,41537.5,41562.5,1342,4784,0,0,0.0
19900125,41700.0,42000.0,41650.0,41687.5,2663,5060,0,0,0.0
19900126,41662.5,41725.0,41425.0,41712.5,1318,5008,0,0,0.0
19900129,41675.0,41762.5,41587.5,41637.5,609,4993,0,0,0.0
19900130,41637.5,41775.0,41600.0,41637.5,846,4971,0,0,0.0
19900131,41637.5,41637.5,41250.0,41262.5,1819,4956,0,0,0.0
19900201,41275.0,41550.0,41225.0,41312.5,1517,4874,0,0,0.0
19900202,41350.0,41600.0,41337.5,41525.0,1056,4795,0,0,0.0
19900205,41475.0,41750.0,41400.0,41587.5,1434,4826,0,0,0.0
19900206,41600.0,41675.0,41212.5,41337.5,1882,4790,0,0,0.0
19900207,41325.0,41412.5,41225.0,41275.0,1281,4804,0,0,0.0
19900208,41275.0,41375.0,41200.0,41212.5,1308,4935,0,0,0.0
19900209,41200.0,41250.0,40800.0,40887.5,3587,4977,0,0,0.0
19900212,40825.0,41087.5,40800.0,40925.0,3313,4630,0,0,0.0
19900213,40950.0,41100.0,40925.0,41037.5,1455,4498,0,0,0.0
19900214,41050.0,41100.0,40950.0,40987.5,905,4515,0,0,0.0
19900215,40950.0,41075.0,40925.0,41012.5,1241,4488,0,0,0.0
