DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
20071118,79728.6,79728.6,79728.6,79728.6,0,0,0,0,0.0
20071120,79371.6,79371.6,79371.6,79371.6,0,0,0,0,0.0
20071121,79531.2,79531.2,79531.2,79531.2,0,0,0,0,0.0
20071123,79531.2,79531.2,79531.2,79531.2,0,0,0,0,0.0
20071126,79531.2,79531.2,79531.2,79531.2,0,0,0,0,0.0
20071127,80031.0,80031.0,80031.0,80031.0,0,0,200712,200712,0.0
20071128,79380.0,79380.0,79380.0,79380.0,0,0,0,0,-651.0
20071129,79380.0,79380.0,79380.0,79380.0,0,0,0,0,0.0
20071130,79380.0,79380.0,79380.0,79380.0,0,0,0,0,0.0
20071203,79800.0,79800.0,79800.0,79800.0,0,0,0,0,0.0
20071204,81480.0,81480.0,81480.0,81480.0,0,0,0,0,0.0
20071205,82320.0,82320.0,82320.0,82320.0,0,0,0,0,0.0
20071206,82320.0,82320.0,82320.0,82320.0,0,0,0,0,0.0
20071207,81900.0,81900.0,81900.0,81900.0,0,0,0,0,0.0
20071210,81900.0,81900.0,81900.0,81900.0,0,0,0,0,0.0
20071211,83160.0,83160.0,83160.0,83160.0,0,0,0,0,0.0
20071212,84042.0,84042.0,84042.0,84042.0,0,0,0,0,0.0
20071213,85680.0,85680.0,85680.0,85680.0,0,0,0,0,0.0
20071214,85932.0,85932.0,85932.0,85932.0,0,0,0,0,0.0
20071217,86856.0,86856.0,86856.0,86856.0,0,0,0,0,0.0
20071218,87696.0,87696.0,87696.0,87696.0,0,0,0,0,0.0
20071219,88074.0,88074.0,88074.0,88074.0,0,0,0,0,0.0
20071220,88746.0,88746.0,88746.0,88746.0,0,0,0,0,0.0
20071221,89187.0,89187.0,89187.0,89187.0,0,0,0,0,0.0
20071224,89817.0,89817.0,89817.0,89817.0,0,0,0,0,0.0
20071226,89447.4,89447.4,89447.4,89447.4,0,0,200801,200801,0.0
20071227,97020.0,97020.0,97020.0,97020.0,0,0,0,0,7215.6
20071228,97440.0,97440.0,97440.0,97440.0,0,0,0,0,0.0
20071231,98280.0,98280.0,98280.0,98280.0,0,0,0,0,0.0
20080102,100800.0,100800.0,100800.0,100800.0,0,0,0,0,0.0
