DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
20050915,12730.0000,12730.0000,12730.0000,12730.0000,0,0,0,0,0.0000
20050919,12770.0000,12770.0000,12770.0000,12770.0000,0,0,0,0,0.0000
20050920,12795.0000,12795.0000,12795.0000,12795.0000,12,0,0,0,0.0000
20050921,12665.0000,12665.0000,12665.0000,12665.0000,0,0,0,0,0.0000
20050922,12610.0000,12610.0000,12610.0000,12610.0000,0,12,0,0,0.0000
20050923,12655.0000,12655.0000,12655.0000,12655.0000,2,12,0,0,0.0000
20050926,12730.0000,12730.0000,12715.0000,12730.0000,0,12,0,0,0.0000
20050927,12705.0000,12705.0000,12705.0000,12705.0000,10,13,0,0,0.0000
20050928,12735.0000,12780.0000,12735.0000,12780.0000,0,13,0,0,0.0000
20050929,12765.0000,12765.0000,12765.0000,12765.0000,2,23,0,0,0.0000
20050930,12750.0000,12815.0000,12750.0000,12815.0000,650,23,0,0,0.0000
20051003,12815.0000,12885.0000,12810.0000,12885.0000,0,23,0,0,0.0000
20051004,12910.0000,12910.0000,12910.0000,12910.0000,48,673,0,0,0.0000
20051005,12790.0000,12825.0000,12790.0000,12825.0000,50,673,0,0,0.0000
20051006,12650.0000,12650.0000,12625.0000,12625.0000,100,673,0,0,0.0000
20051007,12615.0000,12615.0000,12555.0000,12555.0000,60,670,0,0,0.0000
20051010,12560.0000,12590.0000,12560.0000,12590.0000,431,720,0,0,0.0000
20051011,12550.0000,12615.0000,12550.0000,12615.0000,55,720,0,0,0.0000
20051012,12495.0000,12515.0000,12455.0000,12515.0000,70,1149,0,0,0.0000
20051013,12410.0000,12410.0000,12325.0000,12325.0000,0,1204,0,0,0.0000
20051014,12315.0000,12315.0000,12315.0000,12315.0000,172,1184,0,0,0.0000
20051017,12245.0000,12320.0000,12245.0000,12320.0000,297,1184,0,0,0.0000
20051018,12290.0000,12290.0000,12270.0000,12280.0000,0,1356,0,0,0.0000
20051019,12030.0000,12030.0000,12030.0000,12030.0000,190,1060,0,0,0.0000
20051020,12185.0000,12225.0000,12105.0000,12105.0000,251,1060,0,0,0.0000
20051021,11995.0000,12055.0000,11980.0000,12050.0000,40,944,0,0,0.0000
20051024,12030.0000,12200.0000,12030.0000,12195.0000,195,694,0,0,0.0000
20051025,12255.0000,12275.0000,12120.0000,12180.0000,0,655,0,0,0.0000
20051026,12220.0000,12220.0000,12220.0000,12220.0000,35,636,0,0,0.0000
20051027,12025.0000,12050.0000,12025.0000,12050.0000,0,636,0,0,0.0000
20051028,12060.0000,12060.0000,12060.0000,12060.0000,50,636,0,0,0.0000
20051031,12210.0000,12345.0000,12210.0000,12345.0000,0,636,0,0,0.0000
20051101,12360.0000,12360.0000,12360.0000,12360.0000,0,586,0,0,0.0000
20051102,12430.0000,12430.0000,12430.0000,12430.0000,0,586,0,0,0.0000
20051103,12630.0000,12630.0000,12630.0000,12630.0000,0,586,0,0,0.0000
20051104,12625.0000,12625.0000,12625.0000,12625.0000,0,586,0,0,0.0000
20051107,12685.0000,12685.0000,12685.0000,12685.0000,0,586,0,0,0.0000
20051108,12675.0000,12675.0000,12675.0000,12675.0000,35,586,0,0,0.0000
20051109,12660.0000,12690.0000,12660.0000,12690.0000,0,586,0,0,0.0000
20051110,12720.0000,12720.0000,12720.0000,12720.0000,0,551,0,0,0.0000
20051111,12830.0000,12830.0000,12830.0000,12830.0000,0,551,0,0,0.0000
20051114,12840.0000,12840.0000,12840.0000,12840.0000,0,551,0,0,0.0000
20051115,12825.0000,12825.0000,12825.0000,12825.0000,0,551,0,0,0.0000
20051116,12750.0000,12750.0000,12750.0000,12750.0000,0,551,0,0,0.0000
20051117,12810.0000,12810.0000,12810.0000,12810.0000,150,551,0,0,0.0000
20051118,12835.0000,12875.0000,12835.0000,12865.0000,0,551,0,0,0.0000
20051121,12840.0000,12840.0000,12840.0000,12840.0000,0,401,0,0,0.0000
20051122,12880.0000,12880.0000,12880.0000,12880.0000,0,401,0,0,0.0000
20051123,12925.0000,12925.0000,12925.0000,12925.0000,0,401,0,0,0.0000
20051124,12900.0000,12900.0000,12900.0000,12900.0000,0,401,0,0,0.0000
20051125,12950.0000,12950.0000,12950.0000,12950.0000,1,401,0,0,0.0000
20051128,12980.0000,12980.0000,12895.0000,12895.0000,0,401,0,0,0.0000
20051129,12930.0000,12930.0000,12930.0000,12930.0000,0,402,0,0,0.0000
20051130,12895.0000,12895.0000,12895.0000,12895.0000,100,402,0,0,0.0000
20051201,13035.0000,13085.0000,13035.0000,13085.0000,0,402,0,0,0.0000
20051202,13210.0000,13210.0000,13210.0000,13210.0000,0,302,0,0,0.0000
20051205,13170.0000,13170.0000,13170.0000,13170.0000,0,302,0,0,0.0000
20051206,13225.0000,13225.0000,13225.0000,13225.0000,0,302,0,0,0.0000
20051207,13230.0000,13230.0000,13230.0000,13230.0000,13,302,0,0,0.0000
20051208,13150.0000,13165.0000,13150.0000,13165.0000,0,302,0,0,0.0000
20051209,13250.0000,13250.0000,13250.0000,13250.0000,0,305,0,0,0.0000
20051212,13245.0000,13245.0000,13245.0000,13245.0000,0,305,0,0,0.0000
20051213,13260.0000,13260.0000,13260.0000,13260.0000,0,305,200603,200603,0.0000
20051214,13275.0000,13275.0000,13275.0000,13275.0000,21,305,0,0,50.0000
20051215,13280.0000,13280.0000,13280.0000,13280.0000,0,9,0,0,0.0000
20051216,13365.0000,13365.0000,13365.0000,13365.0000,0,21,0,0,0.0000
20051219,13335.0000,13335.0000,13335.0000,13335.0000,0,219,0,0,0.0000
20051220,13375.0000,13375.0000,13375.0000,13375.0000,0,219,0,0,0.0000
20051221,13445.0000,13445.0000,13445.0000,13445.0000,35,219,0,0,0.0000
20051222,13425.0000,13440.0000,13425.0000,13440.0000,0,219,0,0,0.0000
20051223,13460.0000,13460.0000,13460.0000,13460.0000,0,254,0,0,0.0000
20051227,13500.0000,13500.0000,13500.0000,13500.0000,0,254,0,0,0.0000
20051228,13475.0000,13475.0000,13475.0000,13475.0000,0,254,0,0,0.0000
20051229,13545.0000,13545.0000,13545.0000,13545.0000,0,254,0,0,0.0000
20051230,13505.0000,13505.0000,13505.0000,13505.0000,0,254,0,0,0.0000
20060102,13555.0000,13555.0000,13555.0000,13555.0000,0,254,0,0,0.0000
20060103,13640.0000,13640.0000,13640.0000,13640.0000,0,254,0,0,0.0000
20060104,13785.0000,13785.0000,13785.0000,13785.0000,0,254,0,0,0.0000
20060105,13725.0000,13725.0000,13725.0000,13725.0000,0,254,0,0,0.0000
20060106,13765.0000,13765.0000,13765.0000,13765.0000,0,254,0,0,0.0000
20060109,13820.0000,13820.0000,13820.0000,13820.0000,0,254,0,0,0.0000
20060110,13755.0000,13755.0000,13755.0000,13755.0000,0,254,0,0,0.0000
20060111,13880.0000,13880.0000,13880.0000,13880.0000,0,254,0,0,0.0000
