DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,100468.8,100656.3,100312.5,100484.4,6096,80449,0,0,0.0
19900103,100468.8,100468.8,100203.1,100281.3,9133,80815,0,0,0.0
19900104,100265.6,100437.5,100250.0,100312.5,8148,82865,0,0,0.0
19900105,100343.8,100531.3,100203.1,100296.9,5640,82868,0,0,0.0
19900108,100281.3,100328.1,100171.9,100250.0,7353,83010,0,0,0.0
19900109,100250.0,100296.9,100171.9,100203.1,4675,82448,0,0,0.0
19900110,100187.5,100265.6,100062.5,100171.9,7189,81718,0,0,0.0
19900111,100312.5,100312.5,100156.3,100156.3,3946,80984,0,0,0.0
19900112,99859.4,100093.8,99718.8,100015.6,6182,80747,0,0,0.0
19900115,99906.3,99937.5,99687.5,99781.3,478,80941,0,0,0.0
19900116,99781.3,99843.8,99468.8,99484.4,13629,84520,0,0,0.0
19900117,99531.3,99578.1,99406.3,99468.8,10368,83499,0,0,0.0
19900118,99125.0,99281.3,98828.1,98828.1,8912,83760,0,0,0.0
19900119,99062.5,99093.8,98906.3,99093.8,6563,83333,0,0,0.0
19900122,99250.0,99250.0,99031.3,99140.6,3634,82776,0,0,0.0
19900123,99125.0,99250.0,99046.9,99250.0,6580,84445,0,0,0.0
19900124,98625.0,98906.3,98625.0,98796.9,12900,81579,0,0,0.0
19900125,98921.9,99000.0,98609.4,98640.6,6166,79950,0,0,0.0
19900126,98750.0,98750.0,98281.3,98359.4,11221,78923,0,0,0.0
19900129,98421.9,98468.8,98312.5,98343.8,11858,75593,0,0,0.0
19900130,98250.0,98328.1,97921.9,98234.4,16325,73444,0,0,0.0
19900131,98140.6,98484.4,98031.3,98484.4,17469,71794,0,0,0.0
19900201,98625.0,98718.8,98375.0,98531.3,12134,69923,0,0,0.0
19900202,98468.8,98531.3,98156.3,98250.0,7042,68748,0,0,0.0
19900205,98125.0,98203.1,98093.8,98187.5,8911,66199,0,0,0.0
19900206,98093.8,98093.8,97921.9,98015.6,7791,65515,0,0,0.0
19900207,97796.9,97984.4,97781.3,97984.4,10566,64339,0,0,0.0
19900208,98031.3,98312.5,97984.4,98203.1,6391,64323,0,0,0.0
19900209,98375.0,98828.1,98375.0,98750.0,7462,63445,0,0,0.0
19900212,98750.0,98890.6,98468.8,98484.4,20289,60849,0,0,0.0
19900213,98531.3,98781.3,98421.9,98718.8,23477,57645,0,0,0.0
