DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
20050918,14750.0,14770.0,14750.0,14770.0,60,0,0,0,0.0
20050920,14830.0,14830.0,14755.0,14755.0,2,1,0,0,0.0
20050921,14635.0,14635.0,14580.0,14580.0,0,56,0,0,0.0
20050922,14600.0,14600.0,14600.0,14600.0,0,56,0,0,0.0
20050923,14670.0,14670.0,14670.0,14670.0,55,56,0,0,0.0
20050926,14740.0,14845.0,14740.0,14845.0,3,56,0,0,0.0
20050927,14820.0,14820.0,14795.0,14795.0,5,110,0,0,0.0
20050928,14875.0,14875.0,14850.0,14850.0,0,107,0,0,0.0
20050929,14925.0,14925.0,14925.0,14925.0,1,112,0,0,0.0
20050930,14900.0,14980.0,14900.0,14980.0,50,112,0,0,0.0
20051003,14955.0,15005.0,14955.0,15005.0,0,112,0,0,0.0
20051004,15025.0,15025.0,15025.0,15025.0,0,62,0,0,0.0
20051005,14900.0,14900.0,14900.0,14900.0,150,62,0,0,0.0
20051006,14695.0,14700.0,14570.0,14570.0,0,62,0,0,0.0
20051007,14615.0,14615.0,14615.0,14615.0,0,112,0,0,0.0
20051010,14650.0,14650.0,14650.0,14650.0,10,112,0,0,0.0
20051011,14705.0,14705.0,14680.0,14680.0,50,112,0,0,0.0
20051012,14565.0,14565.0,14525.0,14525.0,0,112,0,0,0.0
20051013,14375.0,14375.0,14375.0,14375.0,0,62,0,0,0.0
20051014,14480.0,14480.0,14480.0,14480.0,0,62,0,0,0.0
20051017,14440.0,14440.0,14440.0,14440.0,1,62,0,0,0.0
20051018,14515.0,14515.0,14390.0,14390.0,0,62,0,0,0.0
20051019,14280.0,14280.0,14280.0,14280.0,5,62,0,0,0.0
20051020,14405.0,14405.0,14185.0,14185.0,0,62,0,0,0.0
20051021,14250.0,14250.0,14250.0,14250.0,10,67,0,0,0.0
20051024,14295.0,14380.0,14285.0,14380.0,5,67,0,0,0.0
20051025,14405.0,14405.0,14230.0,14230.0,0,67,0,0,0.0
20051026,14305.0,14305.0,14305.0,14305.0,100,72,0,0,0.0
20051027,14240.0,14240.0,14115.0,14115.0,0,72,0,0,0.0
20051028,14265.0,14265.0,14265.0,14265.0,67,87,0,0,0.0
20051031,14370.0,14500.0,14370.0,14500.0,0,87,0,0,0.0
20051101,14525.0,14525.0,14525.0,14525.0,0,67,0,0,0.0
20051102,14630.0,14630.0,14630.0,14630.0,4,67,0,0,0.0
20051103,14640.0,14815.0,14640.0,14815.0,0,67,0,0,0.0
20051104,14765.0,14765.0,14765.0,14765.0,16,67,0,0,0.0
20051107,14740.0,14850.0,14640.0,14850.0,0,67,0,0,0.0
20051108,14845.0,14845.0,14845.0,14845.0,0,66,0,0,0.0
20051109,14880.0,14880.0,14880.0,14880.0,0,66,0,0,0.0
20051110,14970.0,14970.0,14970.0,14970.0,0,66,0,0,0.0
20051111,15125.0,15125.0,15125.0,15125.0,0,66,0,0,0.0
20051114,15010.0,15010.0,15010.0,15010.0,5,66,0,0,0.0
20051115,15000.0,15000.0,14925.0,14925.0,8,66,0,0,0.0
20051116,14900.0,14900.0,14845.0,14845.0,0,51,0,0,0.0
20051117,14905.0,14905.0,14905.0,14905.0,0,51,0,0,0.0
20051118,15000.0,15000.0,15000.0,15000.0,0,51,0,0,0.0
20051121,15075.0,15075.0,15075.0,15075.0,0,51,0,0,0.0
20051122,15090.0,15090.0,15090.0,15090.0,0,51,0,0,0.0
20051123,15150.0,15150.0,15150.0,15150.0,0,51,0,0,0.0
20051124,15090.0,15090.0,15090.0,15090.0,0,51,0,0,0.0
20051125,15135.0,15135.0,15135.0,15135.0,0,51,0,0,0.0
20051128,15035.0,15035.0,15035.0,15035.0,0,51,0,0,0.0
20051129,15070.0,15070.0,15070.0,15070.0,78,51,0,0,0.0
20051130,14995.0,14995.0,14995.0,14995.0,0,51,0,0,0.0
20051201,15235.0,15235.0,15235.0,15235.0,0,129,0,0,0.0
20051202,15340.0,15340.0,15340.0,15340.0,41,129,0,0,0.0
20051205,15315.0,15315.0,15250.0,15260.0,0,129,0,0,0.0
20051206,15340.0,15340.0,15340.0,15340.0,0,128,0,0,0.0
20051207,15325.0,15325.0,15325.0,15325.0,50,128,0,0,0.0
20051208,15270.0,15330.0,15270.0,15330.0,0,128,0,0,0.0
20051209,15330.0,15330.0,15330.0,15330.0,2,176,0,0,0.0
20051212,15325.0,15345.0,15325.0,15345.0,0,176,0,0,0.0
20051213,15365.0,15365.0,15365.0,15365.0,6,176,200603,200603,0.0
20051214,15330.0,15330.0,15330.0,15330.0,0,176,0,0,15.0
20051215,15355.0,15355.0,15290.0,15290.0,9,1,0,0,0.0
20051216,15400.0,15400.0,15395.0,15395.0,0,7,0,0,0.0
20051219,15395.0,15395.0,15395.0,15395.0,0,104,0,0,0.0
20051220,15450.0,15450.0,15450.0,15450.0,0,104,0,0,0.0
20051221,15530.0,15530.0,15530.0,15530.0,0,104,0,0,0.0
