DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,40060.0,40460.0,40020.0,40210.0,41724,68855,0,0,0.0
19900103,39800.0,39900.0,39450.0,39640.0,57324,66990,0,0,0.0
19900104,39760.0,40110.0,39710.0,40080.0,54288,67619,0,0,0.0
19900105,40420.0,40950.0,40250.0,40850.0,56066,69405,0,0,0.0
19900108,40600.0,40760.0,40470.0,40500.0,30404,66886,0,0,0.0
19900109,40460.0,40630.0,40430.0,40620.0,23095,67086,0,0,0.0
19900110,40820.0,41530.0,40810.0,41420.0,72827,71528,0,0,0.0
19900111,41480.0,41580.0,41320.0,41560.0,47670,73892,0,0,0.0
19900112,41700.0,41980.0,41400.0,41470.0,86145,70570,0,0,0.0
19900115,41720.0,41850.0,41260.0,41510.0,54267,62011,0,0,0.0
19900116,41370.0,41590.0,40900.0,41220.0,62924,57756,0,0,0.0
19900117,41170.0,41390.0,41010.0,41370.0,44114,56325,0,0,0.0
19900118,41480.0,41640.0,41090.0,41120.0,53544,54392,0,0,0.0
19900119,41080.0,41280.0,40900.0,41090.0,43497,51178,199004,199004,0.0
19900122,41350.0,41500.0,41040.0,41360.0,57484,25565,0,0,570.0
19900123,41410.0,42080.0,41370.0,41940.0,77976,32434,0,0,0.0
19900124,42300.0,43150.0,42100.0,42350.0,116353,39993,0,0,0.0
19900125,42170.0,42400.0,41850.0,42200.0,66172,41948,0,0,0.0
19900126,42550.0,42700.0,42260.0,42610.0,66634,44646,0,0,0.0
19900129,42730.0,42750.0,42220.0,42510.0,71832,51472,0,0,0.0
19900130,42430.0,42700.0,42270.0,42390.0,71567,57547,0,0,0.0
19900131,42050.0,42200.0,41700.0,41780.0,69498,54468,0,0,0.0
19900201,41870.0,42350.0,41870.0,42330.0,44850,55085,0,0,0.0
19900202,42330.0,42430.0,42130.0,42340.0,32982,57758,0,0,0.0
19900205,42500.0,43030.0,42480.0,42750.0,53337,63232,0,0,0.0
19900206,42660.0,42740.0,42540.0,42640.0,33393,62886,0,0,0.0
19900207,42550.0,42970.0,42220.0,42310.0,64953,66220,0,0,0.0
19900208,42270.0,42470.0,42120.0,42350.0,39404,67310,0,0,0.0
19900209,42250.0,42380.0,41950.0,42060.0,49208,65601,0,0,0.0
19900212,42000.0,42490.0,41930.0,42360.0,42819,66049,0,0,0.0
19900213,42430.0,42580.0,42120.0,42200.0,42270,64740,0,0,0.0
19900214,41950.0,42130.0,41750.0,42070.0,62834,67675,0,0,0.0
19900215,42100.0,42200.0,41550.0,41620.0,56974,63706,0,0,0.0
19900216,41820.0,42150.0,41630.0,42080.0,62751,59797,0,0,0.0
19900220,42220.0,42470.0,42130.0,42360.0,39766,59851,0,0,0.0
19900221,42470.0,42640.0,42120.0,42160.0,49118,60394,0,0,0.0
19900222,42100.0,42240.0,41810.0,41900.0,41155,56373,0,0,0.0
19900223,41750.0,42110.0,41750.0,41820.0,38958,56757,0,0,0.0
19900226,41550.0,41600.0,40960.0,41180.0,59672,54976,0,0,0.0
19900227,41180.0,41250.0,40970.0,41100.0,29873,53767,0,0,0.0
19900228,41200.0,41230.0,40750.0,40890.0,40181,53014,0,0,0.0
19900301,40920.0,41040.0,40780.0,40900.0,31466,53078,0,0,0.0
19900302,40820.0,40870.0,40400.0,40560.0,59412,53661,0,0,0.0
19900305,40600.0,40750.0,40500.0,40660.0,22910,52273,0,0,0.0
19900306,40690.0,40830.0,40570.0,40610.0,23296,51608,0,0,0.0
19900307,40420.0,40450.0,40080.0,40230.0,40823,52027,0,0,0.0
19900308,40260.0,40390.0,40180.0,40190.0,26904,51688,0,0,0.0
19900309,39950.0,40180.0,39900.0,40160.0,33540,50097,0,0,0.0
19900312,40220.0,40360.0,40020.0,40110.0,31444,49981,0,0,0.0
19900313,39800.0,40120.0,39670.0,40070.0,54325,47308,0,0,0.0
19900314,40000.0,40150.0,39880.0,39950.0,27947,46456,0,0,0.0
19900315,39920.0,40180.0,39850.0,39960.0,51753,48579,0,0,0.0
19900316,40010.0,40260.0,40010.0,40090.0,29870,49289,0,0,0.0
19900319,40270.0,40420.0,40160.0,40190.0,33038,46515,0,0,0.0
19900320,40200.0,40270.0,39250.0,39330.0,73524,44952,0,0,0.0
19900321,39130.0,39390.0,39090.0,39250.0,38501,41726,199006,199006,0.0
19900322,39700.0,40040.0,39700.0,40010.0,33126,34368,0,0,520.0
19900323,39950.0,40060.0,39150.0,39480.0,53678,35294,0,0,0.0
19900326,37730.0,37950.0,36700.0,37140.0,98984,39364,0,0,0.0
19900327,37350.0,37570.0,37290.0,37430.0,48075,40741,0,0,0.0
19900328,37800.0,37850.0,37300.0,37420.0,53973,44861,0,0,0.0
19900329,37620.0,37790.0,37520.0,37600.0,61521,50694,0,0,0.0
19900330,37620.0,37650.0,37180.0,37500.0,47136,52085,0,0,0.0
19900402,37220.0,37460.0,37180.0,37450.0,17471,52197,0,0,0.0
19900403,38150.0,38240.0,37850.0,38010.0,32419,53020,0,0,0.0
19900404,37900.0,38210.0,37780.0,38180.0,21663,54135,0,0,0.0
19900405,38220.0,38330.0,37820.0,37930.0,29095,55288,0,0,0.0
19900406,38280.0,38540.0,38110.0,38520.0,28519,55981,0,0,0.0
19900409,38060.0,38190.0,37880.0,38040.0,27913,56292,0,0,0.0
19900410,37970.0,38020.0,37620.0,37930.0,23873,55692,0,0,0.0
19900411,37780.0,37950.0,37710.0,37840.0,20035,59028,0,0,0.0
19900412,37880.0,37980.0,37820.0,37970.0,13447,59087,0,0,0.0
19900416,37870.0,37920.0,37590.0,37890.0,13660,59846,0,0,0.0
19900417,37760.0,37950.0,37690.0,37880.0,21848,61196,0,0,0.0
19900418,37820.0,38080.0,37770.0,37970.0,21398,63241,0,0,0.0
19900419,38020.0,38140.0,37900.0,38070.0,20534,62581,0,0,0.0
19900420,37990.0,38070.0,37750.0,37990.0,22497,61468,0,0,0.0
19900423,37880.0,38300.0,37830.0,38210.0,26174,61598,0,0,0.0
19900424,38130.0,38210.0,37750.0,37900.0,27434,60751,0,0,0.0
19900425,37730.0,37780.0,37200.0,37360.0,40908,62814,0,0,0.0
19900426,37410.0,37590.0,37310.0,37330.0,20279,62313,0,0,0.0
19900427,37420.0,37490.0,37260.0,37400.0,13647,61802,0,0,0.0
19900430,37020.0,37200.0,36770.0,37140.0,29354,63451,0,0,0.0
19900501,37240.0,37420.0,37040.0,37270.0,28126,63334,0,0,0.0
19900502,37240.0,37290.0,37110.0,37200.0,13957,62003,0,0,0.0
19900503,37110.0,37500.0,37110.0,37370.0,20686,60890,0,0,0.0
19900504,37320.0,37460.0,37260.0,37310.0,20075,60315,0,0,0.0
19900507,37380.0,37470.0,37350.0,37400.0,10666,60211,0,0,0.0
19900508,37420.0,37520.0,37050.0,37200.0,24700,60350,0,0,0.0
19900509,37170.0,37400.0,36860.0,37370.0,38826,62307,0,0,0.0
19900510,37300.0,37430.0,37080.0,37190.0,33100,62369,0,0,0.0
19900511,36900.0,37120.0,36850.0,37050.0,29264,63475,0,0,0.0
19900514,36960.0,37200.0,36960.0,36990.0,28307,60943,0,0,0.0
19900515,36700.0,37400.0,36670.0,37230.0,53010,55742,0,0,0.0
19900516,37100.0,37170.0,36930.0,37030.0,19316,54531,0,0,0.0
19900517,37040.0,37140.0,36970.0,37060.0,23623,50594,0,0,0.0
19900518,37100.0,37670.0,37040.0,37560.0,43728,50508,0,0,0.0
19900521,37450.0,37520.0,37340.0,37410.0,22096,49099,199008,199008,0.0
19900522,37860.0,38250.0,37850.0,38110.0,53173,18306,0,0,510.0
19900523,36500.0,37050.0,36500.0,36910.0,101183,20033,0,0,0.0
19900524,37100.0,37230.0,37050.0,37130.0,81890,21685,0,0,0.0
19900525,37170.0,37350.0,37150.0,37300.0,25778,23266,0,0,0.0
19900529,37350.0,37430.0,37110.0,37190.0,38051,27462,0,0,0.0
19900530,37060.0,37180.0,36800.0,36890.0,53892,35107,0,0,0.0
19900531,36780.0,36900.0,36720.0,36860.0,30586,40809,0,0,0.0
19900601,36750.0,36890.0,36220.0,36350.0,42130,44037,0,0,0.0
19900604,36050.0,36250.0,35960.0,36240.0,32861,47255,0,0,0.0
19900605,36250.0,36450.0,36160.0,36360.0,26263,48639,0,0,0.0
19900606,36430.0,36520.0,36000.0,36100.0,33163,52318,0,0,0.0
19900607,35650.0,35870.0,35570.0,35810.0,37623,53717,0,0,0.0
19900608,35800.0,35950.0,35660.0,35920.0,23496,55255,0,0,0.0
19900611,35930.0,36180.0,35840.0,35970.0,22198,55846,0,0,0.0
19900612,35990.0,36060.0,35890.0,35910.0,24491,57592,0,0,0.0
19900613,35650.0,35710.0,35390.0,35510.0,34568,60325,0,0,0.0
19900614,34850.0,35030.0,34820.0,34980.0,34974,59850,0,0,0.0
19900615,35050.0,35250.0,35000.0,35230.0,19680,60288,0,0,0.0
19900618,35270.0,35330.0,35080.0,35200.0,14663,59501,0,0,0.0
19900619,35200.0,35250.0,35090.0,35180.0,16870,58937,0,0,0.0
19900620,35010.0,35500.0,34950.0,35310.0,35675,59708,0,0,0.0
19900621,35270.0,35330.0,35180.0,35310.0,16009,57708,0,0,0.0
19900622,35100.0,35400.0,35080.0,35280.0,16115,57471,0,0,0.0
19900625,35650.0,35710.0,35590.0,35620.0,12407,56277,0,0,0.0
19900626,35380.0,35420.0,35170.0,35290.0,20579,56737,0,0,0.0
19900627,35310.0,35400.0,35250.0,35320.0,16222,55166,0,0,0.0
19900628,35410.0,35580.0,35370.0,35410.0,20988,54108,0,0,0.0
19900629,35530.0,36100.0,35450.0,35990.0,39837,51780,0,0,0.0
19900702,35950.0,36130.0,35950.0,36080.0,20353,49979,0,0,0.0
19900703,36050.0,36550.0,36000.0,36410.0,39343,53016,0,0,0.0
19900705,36210.0,36400.0,36140.0,36330.0,23258,51443,0,0,0.0
19900706,36330.0,36470.0,36270.0,36290.0,15260,49539,0,0,0.0
19900709,36270.0,36360.0,35850.0,35990.0,32829,50350,0,0,0.0
19900710,35500.0,35740.0,35410.0,35710.0,35430,48933,0,0,0.0
19900711,35570.0,35670.0,35520.0,35560.0,17444,46033,0,0,0.0
19900712,35430.0,36050.0,35200.0,35950.0,56337,45493,0,0,0.0
19900713,36070.0,36900.0,36020.0,36570.0,61735,41663,0,0,0.0
19900716,36370.0,36510.0,36320.0,36450.0,21658,41301,0,0,0.0
19900717,36250.0,36420.0,36160.0,36300.0,26435,38975,0,0,0.0
19900718,36110.0,36390.0,36050.0,36250.0,27219,39567,0,0,0.0
19900719,36250.0,36440.0,36200.0,36210.0,23523,38834,199010,199010,0.0
19900720,36650.0,36780.0,36600.0,36620.0,15026,5888,0,0,490.0
19900723,37050.0,37600.0,36960.0,37400.0,69177,6259,0,0,0.0
19900724,37440.0,37520.0,37180.0,37270.0,43911,6532,0,0,0.0
19900725,37400.0,37980.0,37400.0,37670.0,52053,7048,0,0,0.0
19900726,37500.0,37580.0,37210.0,37380.0,32914,8125,0,0,0.0
19900727,37360.0,37470.0,36980.0,37220.0,47409,8746,0,0,0.0
19900730,37250.0,37320.0,37100.0,37230.0,46938,9578,0,0,0.0
19900731,37650.0,37790.0,37320.0,37460.0,38819,9767,0,0,0.0
19900801,37500.0,38000.0,37460.0,37780.0,36451,9993,0,0,0.0
19900802,38880.0,39100.0,38100.0,38120.0,72063,11098,0,0,0.0
19900803,37800.0,38600.0,37750.0,38160.0,57060,11002,0,0,0.0
19900806,38500.0,38920.0,38500.0,38900.0,42139,10894,0,0,0.0
19900807,38900.0,39000.0,38400.0,38910.0,71363,11779,0,0,0.0
19900808,38900.0,39100.0,38500.0,38760.0,42950,11676,0,0,0.0
19900809,38870.0,39100.0,38740.0,39010.0,23439,11475,0,0,0.0
19900810,39250.0,40200.0,39210.0,40120.0,58060,12853,0,0,0.0
19900814,40750.0,42000.0,40600.0,40920.0,64082,14012,0,0,0.0
19900815,40520.0,40950.0,40200.0,40650.0,53169,14434,0,0,0.0
19900816,40470.0,41320.0,40470.0,41280.0,49253,14355,0,0,0.0
19900817,41380.0,41650.0,41150.0,41320.0,54391,14509,0,0,0.0
19900820,41420.0,41500.0,40950.0,41380.0,39011,14391,0,0,0.0
19900821,41600.0,41970.0,40400.0,41100.0,74331,13884,0,0,0.0
19900822,41280.0,41500.0,41150.0,41430.0,36510,13774,0,0,0.0
19900823,41920.0,42020.0,41150.0,41530.0,60062,13758,0,0,0.0
19900824,41550.0,41870.0,41200.0,41810.0,41029,13897,0,0,0.0
