DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
<<<<<<< HEAD
19940102,41350.0000,41700.0000,41325.0000,41650.0000,0,0,0,0,0.0000
19940104,41650.0000,41875.0000,41400.0000,41800.0000,0,0,0,0,0.0000
19940105,42125.0000,42700.0000,42075.0000,42550.0000,0,0,0,0,0.0000
19940106,42450.0000,42875.0000,42250.0000,42750.0000,0,0,0,0,0.0000
19940107,42700.0000,43000.0000,42625.0000,42825.0000,0,0,0,0,0.0000
19940110,42775.0000,42775.0000,42200.0000,42225.0000,0,0,0,0,0.0000
19940111,42225.0000,42650.0000,42225.0000,42650.0000,0,0,0,0,0.0000
19940112,42800.0000,42850.0000,42300.0000,42350.0000,0,0,0,0,0.0000
19940113,42450.0000,42550.0000,42225.0000,42375.0000,0,0,0,0,0.0000
19940114,42650.0000,43325.0000,42650.0000,42950.0000,0,0,0,0,0.0000
19940117,43400.0000,43750.0000,43350.0000,43400.0000,0,0,0,0,0.0000
19940118,43150.0000,43150.0000,42550.0000,42675.0000,0,0,0,0,0.0000
19940119,42775.0000,42975.0000,42350.0000,42625.0000,0,0,0,0,0.0000
19940120,42725.0000,42725.0000,42325.0000,42425.0000,0,0,0,0,0.0000
19940121,42600.0000,42750.0000,42400.0000,42725.0000,0,0,0,0,0.0000
19940124,42725.0000,43400.0000,42550.0000,43275.0000,0,0,0,0,0.0000
19940125,43450.0000,43500.0000,43150.0000,43225.0000,0,0,0,0,0.0000
19940126,43600.0000,43900.0000,43425.0000,43800.0000,0,0,0,0,0.0000
19940127,43950.0000,44350.0000,43900.0000,43950.0000,0,0,0,0,0.0000
19940128,43975.0000,44175.0000,43725.0000,44100.0000,0,0,199404,199404,0.0000
19940131,43450.0000,43725.0000,43450.0000,43625.0000,0,0,0,0,-800.0000
19940201,43850.0000,44250.0000,43850.0000,44250.0000,0,0,0,0,0.0000
19940202,44250.0000,44400.0000,44200.0000,44300.0000,0,0,0,0,0.0000
19940203,44575.0000,44675.0000,43875.0000,43875.0000,0,0,0,0,0.0000
19940204,43825.0000,43825.0000,43500.0000,43725.0000,0,0,0,0,0.0000
19940207,43525.0000,43550.0000,43325.0000,43450.0000,0,0,0,0,0.0000
19940208,43600.0000,43775.0000,43550.0000,43575.0000,0,0,0,0,0.0000
19940209,43475.0000,43650.0000,43050.0000,43225.0000,0,0,0,0,0.0000
19940210,43375.0000,43475.0000,42950.0000,43225.0000,0,0,0,0,0.0000
19940211,43325.0000,43350.0000,43100.0000,43250.0000,0,0,0,0,0.0000
19940214,43450.0000,43450.0000,42850.0000,42900.0000,0,0,0,0,0.0000
19940215,42875.0000,43000.0000,42725.0000,42825.0000,0,0,0,0,0.0000
19940216,43000.0000,43075.0000,42825.0000,42825.0000,0,0,0,0,0.0000
19940217,42900.0000,43150.0000,42750.0000,42825.0000,0,0,0,0,0.0000
19940218,42975.0000,42975.0000,42775.0000,42875.0000,0,0,0,0,0.0000
19940222,42950.0000,43225.0000,42925.0000,43175.0000,0,0,0,0,0.0000
19940223,43200.0000,43250.0000,42875.0000,42900.0000,0,0,0,0,0.0000
19940224,42925.0000,43475.0000,42875.0000,43400.0000,0,0,0,0,0.0000
19940225,43475.0000,43475.0000,43025.0000,43200.0000,0,0,0,0,0.0000
19940228,43350.0000,43450.0000,42950.0000,42975.0000,0,0,0,0,0.0000
19940301,43075.0000,43075.0000,42800.0000,42950.0000,0,0,0,0,0.0000
19940302,43075.0000,43125.0000,42775.0000,42850.0000,0,0,0,0,0.0000
19940303,42900.0000,42900.0000,42650.0000,42650.0000,0,0,0,0,0.0000
19940304,42625.0000,42900.0000,42550.0000,42800.0000,0,0,0,0,0.0000
19940307,42625.0000,42625.0000,42300.0000,42350.0000,0,0,0,0,0.0000
19940308,42525.0000,42525.0000,42200.0000,42400.0000,0,0,0,0,0.0000
19940309,42475.0000,42550.0000,42225.0000,42350.0000,0,0,0,0,0.0000
19940310,42500.0000,42500.0000,42150.0000,42275.0000,0,0,0,0,0.0000
19940311,42325.0000,42525.0000,42250.0000,42500.0000,0,0,0,0,0.0000
19940314,42550.0000,42575.0000,42300.0000,42450.0000,0,0,0,0,0.0000
19940315,42450.0000,42900.0000,42400.0000,42825.0000,0,0,0,0,0.0000
19940316,42825.0000,43275.0000,42650.0000,43175.0000,0,0,0,0,0.0000
19940317,43150.0000,43200.0000,42850.0000,42875.0000,0,0,0,0,0.0000
19940318,42950.0000,43000.0000,42725.0000,42850.0000,0,0,0,0,0.0000
19940321,42900.0000,43100.0000,42825.0000,43100.0000,0,0,0,0,0.0000
19940322,43075.0000,43250.0000,42925.0000,43050.0000,0,0,0,0,0.0000
19940323,42950.0000,43150.0000,42900.0000,42975.0000,0,0,0,0,0.0000
19940324,42975.0000,43050.0000,42800.0000,42950.0000,0,0,0,0,0.0000
19940325,43000.0000,43175.0000,42925.0000,43000.0000,0,0,0,0,0.0000
19940328,42350.0000,42400.0000,41750.0000,41900.0000,0,0,0,0,0.0000
19940329,42050.0000,42075.0000,41850.0000,42050.0000,0,0,0,0,0.0000
