DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
20050907,106740.0000,106740.0000,106740.0000,106740.0000,11179,0,0,0,0.0000
20050909,106740.0000,107140.0000,106400.0000,107060.0000,8447,0,0,0,0.0000
20050912,106980.0000,107020.0000,105480.0000,105540.0000,9189,5650,0,0,0.0000
20050913,105700.0000,106040.0000,105060.0000,106000.0000,8569,5634,0,0,0.0000
20050914,105800.0000,106420.0000,105760.0000,106120.0000,7191,7924,0,0,0.0000
20050915,105800.0000,106240.0000,105520.0000,105520.0000,6821,9600,0,0,0.0000
20050916,105600.0000,105700.0000,105220.0000,105260.0000,4355,9833,0,0,0.0000
20050919,105580.0000,106320.0000,105480.0000,106240.0000,4186,13076,0,0,0.0000
20050920,106100.0000,106480.0000,106100.0000,106460.0000,7515,13952,0,0,0.0000
20050921,106820.0000,107540.0000,106720.0000,107460.0000,5805,13098,0,0,0.0000
20050922,107620.0000,107880.0000,107100.0000,107480.0000,5829,13597,0,0,0.0000
20050923,107380.0000,107440.0000,106840.0000,106900.0000,6826,14402,0,0,0.0000
20050926,106580.0000,106660.0000,105580.0000,105700.0000,6725,15014,0,0,0.0000
20050927,105680.0000,106140.0000,105080.0000,105920.0000,6206,16168,0,0,0.0000
20050928,105760.0000,106340.0000,105340.0000,106320.0000,9837,16147,0,0,0.0000
20050929,106280.0000,106800.0000,105700.0000,105820.0000,5390,16644,0,0,0.0000
20050930,106020.0000,106420.0000,105900.0000,105900.0000,4725,16354,0,0,0.0000
20051003,106120.0000,106300.0000,105140.0000,105480.0000,4837,16527,0,0,0.0000
20051004,105300.0000,105860.0000,105040.0000,105600.0000,5030,16739,0,0,0.0000
20051005,105740.0000,106140.0000,105700.0000,105760.0000,9708,17018,0,0,0.0000
20051006,106020.0000,106100.0000,105380.0000,105500.0000,5956,17398,0,0,0.0000
20051007,105300.0000,106100.0000,105300.0000,105880.0000,6333,17825,0,0,0.0000
20051010,105780.0000,106220.0000,105780.0000,106100.0000,5752,18515,0,0,0.0000
20051011,106040.0000,106180.0000,105440.0000,105520.0000,11948,18671,0,0,0.0000
20051012,105440.0000,105480.0000,104900.0000,104980.0000,7684,19132,0,0,0.0000
20051013,104820.0000,104860.0000,103820.0000,103880.0000,5662,21018,0,0,0.0000
20051014,104140.0000,104620.0000,103600.0000,103660.0000,4262,21392,0,0,0.0000
20051017,103880.0000,104320.0000,103860.0000,104000.0000,5092,22187,0,0,0.0000
20051018,104000.0000,104180.0000,103640.0000,104160.0000,11532,21807,0,0,0.0000
20051019,104460.0000,104660.0000,104220.0000,104440.0000,8525,21930,0,0,0.0000
20051020,104500.0000,104500.0000,103620.0000,104320.0000,7790,21996,0,0,0.0000
20051021,104420.0000,105340.0000,104400.0000,105220.0000,3141,21435,0,0,0.0000
20051024,105100.0000,105280.0000,104660.0000,104780.0000,6819,21963,0,0,0.0000
20051025,104840.0000,104920.0000,103660.0000,103820.0000,7509,21435,0,0,0.0000
20051026,103520.0000,103620.0000,102900.0000,103100.0000,9828,21754,0,0,0.0000
20051027,103260.0000,103400.0000,102540.0000,102600.0000,8146,23935,0,0,0.0000
20051028,102800.0000,103260.0000,102440.0000,102680.0000,3861,26955,0,0,0.0000
20051031,102720.0000,103400.0000,102700.0000,103140.0000,9925,27271,0,0,0.0000
20051101,103140.0000,103720.0000,102680.0000,102960.0000,8456,27333,0,0,0.0000
20051102,103000.0000,103200.0000,102340.0000,102600.0000,5751,24808,0,0,0.0000
20051103,102240.0000,102860.0000,102160.0000,102340.0000,6219,23693,0,0,0.0000
20051104,102180.0000,102620.0000,101700.0000,102040.0000,0,23479,0,0,0.0000
20051107,102000.0000,102000.0000,102000.0000,102000.0000,7998,27529,0,0,0.0000
20051108,102140.0000,102700.0000,101820.0000,102640.0000,5405,25798,0,0,0.0000
20051109,102700.0000,102760.0000,101740.0000,101920.0000,4289,25073,0,0,0.0000
20051110,102520.0000,102520.0000,101760.0000,101980.0000,1595,25132,0,0,0.0000
20051111,102220.0000,102380.0000,102080.0000,102140.0000,3958,25710,0,0,0.0000
20051114,102260.0000,102660.0000,101660.0000,101780.0000,7454,26370,0,0,0.0000
20051115,102560.0000,102560.0000,101640.0000,102220.0000,6968,26409,0,0,0.0000
20051116,102240.0000,103340.0000,102020.0000,103220.0000,6437,26795,0,0,0.0000
20051117,103300.0000,103320.0000,102420.0000,103000.0000,6022,27005,0,0,0.0000
20051118,102880.0000,103220.0000,101600.0000,101960.0000,4707,26848,0,0,0.0000
