DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,26075.0,26600.0,26075.0,26550.0,4020,19735,0,0,0.0
19900103,26675.0,27450.0,26675.0,27412.5,9806,19213,0,0,0.0
19900104,27500.0,27900.0,27000.0,27137.5,10011,18052,0,0,0.0
19900105,27375.0,27550.0,27175.0,27375.0,4158,18171,0,0,0.0
19900108,27400.0,27950.0,27125.0,27837.5,7958,19334,0,0,0.0
19900109,28000.0,28125.0,27500.0,27550.0,6074,19322,0,0,0.0
19900110,27375.0,27500.0,26962.5,27025.0,5839,18978,0,0,0.0
19900111,27200.0,27375.0,27162.5,27300.0,3028,19141,0,0,0.0
19900112,27000.0,27050.0,26250.0,26475.0,8893,19831,0,0,0.0
19900115,26250.0,26325.0,25750.0,26000.0,7654,19620,0,0,0.0
19900116,25750.0,26375.0,25575.0,26125.0,9177,18422,0,0,0.0
19900117,26100.0,26325.0,25825.0,26000.0,4371,18147,0,0,0.0
19900118,25825.0,26150.0,25500.0,25587.5,6168,18196,0,0,0.0
19900119,25000.0,25200.0,24700.0,24825.0,10791,20153,0,0,0.0
19900122,24900.0,25025.0,24400.0,24687.5,6648,20385,0,0,0.0
19900123,24000.0,24475.0,23937.5,24362.5,7133,20188,0,0,0.0
19900124,23925.0,24250.0,23750.0,24150.0,6470,20783,0,0,0.0
19900125,24600.0,24800.0,24375.0,24425.0,4914,21252,0,0,0.0
19900126,24275.0,24875.0,24175.0,24587.5,6172,21516,0,0,0.0
19900129,24875.0,25050.0,24075.0,24187.5,5860,21184,0,0,0.0
19900130,24000.0,24325.0,23875.0,23912.5,6125,21546,0,0,0.0
19900131,23750.0,24712.5,23750.0,24650.0,8632,21712,0,0,0.0
19900201,24675.0,24925.0,24375.0,24425.0,7294,21953,0,0,0.0
19900202,24650.0,25175.0,24650.0,25012.5,6731,21688,0,0,0.0
19900205,24875.0,24962.5,24650.0,24675.0,3891,21563,0,0,0.0
19900206,24675.0,24925.0,24575.0,24800.0,3576,21673,0,0,0.0
19900207,24550.0,25050.0,24425.0,25012.5,4857,21647,0,0,0.0
19900208,25025.0,25300.0,24775.0,24937.5,4912,21672,0,0,0.0
19900209,25325.0,25425.0,25200.0,25312.5,4872,21716,0,0,0.0
19900212,25450.0,25650.0,24950.0,24975.0,8161,21431,0,0,0.0
19900213,24875.0,26100.0,24750.0,26050.0,12435,20150,0,0,0.0
19900214,25900.0,26825.0,25900.0,26425.0,14929,18101,0,0,0.0
19900215,26725.0,26950.0,26425.0,26762.5,6545,16430,0,0,0.0
19900216,27250.0,27900.0,27137.5,27837.5,12101,14846,0,0,0.0
19900220,28212.5,28775.0,28025.0,28250.0,12235,13759,0,0,0.0
19900221,27625.0,28600.0,27550.0,28550.0,10687,12739,199005,199005,0.0
19900222,27275.0,27325.0,26750.0,27000.0,7524,10963,0,0,-1450.0
19900223,26750.0,26975.0,26600.0,26875.0,6259,11780,0,0,0.0
19900226,26525.0,26900.0,26525.0,26762.5,5666,12246,0,0,0.0
19900227,26700.0,26850.0,26450.0,26687.5,6469,12907,0,0,0.0
19900228,26687.5,27150.0,26687.5,27062.5,5987,13573,0,0,0.0
19900301,27250.0,27475.0,27150.0,27300.0,6802,14230,0,0,0.0
19900302,27800.0,28525.0,27800.0,28425.0,12443,14530,0,0,0.0
19900305,28575.0,29275.0,28475.0,29200.0,10773,15155,0,0,0.0
19900306,29025.0,29350.0,28562.5,28837.5,10703,14756,0,0,0.0
19900307,28775.0,29125.0,28625.0,28662.5,5110,14864,0,0,0.0
19900308,28750.0,29025.0,28750.0,28975.0,3518,15198,0,0,0.0
19900309,29425.0,29487.5,28750.0,28875.0,5968,16034,0,0,0.0
19900312,28375.0,28950.0,28325.0,28737.5,4927,15976,0,0,0.0
19900313,28600.0,28900.0,28050.0,28175.0,7132,15899,0,0,0.0
19900314,28275.0,29687.5,28275.0,29350.0,11537,16634,0,0,0.0
19900315,29875.0,29975.0,29475.0,29887.5,7853,17308,0,0,0.0
19900316,30075.0,30150.0,29625.0,29937.5,6454,17032,0,0,0.0
