<<<<<<< HEAD
DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19900102,31395.0000,32592.0000,31143.0000,32503.8000,35306,33732,0,0,0.0000
19900103,32970.0000,32970.0000,31752.0000,32844.0000,37271,33477,0,0,0.0000
19900104,32844.0000,32844.0000,29904.0000,30739.8000,40397,28902,0,0,0.0000
19900105,30450.0000,30492.0000,28350.0000,28488.6000,46903,31108,0,0,0.0000
19900108,27510.0000,27888.0000,26460.0000,27018.6000,51161,32464,0,0,0.0000
19900109,27090.0000,28056.0000,26880.0000,27321.0000,41546,26525,0,0,0.0000
19900110,27594.0000,28140.0000,27006.0000,28089.6000,39634,26069,199003,199003,0.0000
19900111,25704.0000,26670.0000,25452.0000,26552.4000,37568,22757,0,0,-2058.0000
19900112,26796.0000,26880.0000,26082.0000,26313.0000,35139,22654,0,0,0.0000
19900115,25704.0000,25704.0000,25473.0000,25473.0000,31820,22639,0,0,0.0000
19900116,24717.0000,25347.0000,24276.0000,24973.2000,36292,22092,0,0,0.0000
19900117,24192.0000,24612.0000,24133.2000,24284.4000,46008,21658,0,0,0.0000
19900118,24948.0000,24948.0000,24297.0000,24641.4000,32055,21852,0,0,0.0000
19900119,24780.0000,25242.0000,24696.0000,25065.6000,21267,21753,0,0,0.0000
19900122,25116.0000,25200.0000,24276.0000,24360.0000,23300,21603,0,0,0.0000
19900123,23856.0000,24234.0000,23814.0000,23969.4000,32882,23009,0,0,0.0000
19900124,23520.0000,24192.0000,23436.0000,24091.2000,33066,21756,0,0,0.0000
19900125,24276.0000,24465.0000,23625.0000,24229.8000,32831,21079,0,0,0.0000
19900126,24045.0000,24423.0000,23940.0000,24259.2000,16605,21497,0,0,0.0000
19900129,24192.0000,24969.0000,24108.0000,24872.4000,27567,22954,0,0,0.0000
19900130,24780.0000,25074.0000,24402.0000,24435.6000,26323,24594,0,0,0.0000
19900131,23982.0000,24276.0000,23898.0000,24175.2000,29860,26639,0,0,0.0000
19900201,24318.0000,24486.0000,23772.0000,23830.8000,21231,25858,0,0,0.0000
19900202,23982.0000,24528.0000,23793.0000,24469.2000,19119,24453,0,0,0.0000
19900205,24465.0000,24465.0000,23436.0000,23499.0000,23664,24018,0,0,0.0000
19900206,23520.0000,23793.0000,23247.0000,23599.8000,19254,24195,0,0,0.0000
19900207,23310.0000,23520.0000,23121.0000,23473.8000,16942,24189,0,0,0.0000
19900208,23562.0000,23730.0000,23142.0000,23234.4000,17282,23746,199004,199004,0.0000
19900209,22806.0000,23100.0000,22743.0000,22940.4000,25064,15858,0,0,-336.0000
19900212,23058.0000,23268.0000,22995.0000,23213.4000,18059,16208,0,0,0.0000
19900213,23289.0000,23856.0000,23289.0000,23578.8000,28442,17220,0,0,0.0000
19900214,23562.0000,24108.0000,23478.0000,24049.2000,23067,16703,0,0,0.0000
19900215,24255.0000,24486.0000,24150.0000,24343.2000,27506,17304,0,0,0.0000
19900216,24108.0000,24318.0000,23604.0000,23860.2000,16328,18089,0,0,0.0000
19900220,23688.0000,24045.0000,23583.0000,23814.0000,16905,18297,0,0,0.0000
19900221,23751.0000,23898.0000,23646.0000,23835.0000,13483,18975,0,0,0.0000
19900222,23919.0000,24234.0000,23856.0000,23931.6000,25121,19498,0,0,0.0000
19900223,23772.0000,24108.0000,23667.0000,24053.4000,19786,20342,0,0,0.0000
19900226,24402.0000,24507.0000,24108.0000,24360.0000,21116,20782,0,0,0.0000
19900227,24423.0000,24423.0000,23982.0000,24049.2000,29624,22292,0,0,0.0000
19900228,23982.0000,24045.0000,23688.0000,23755.2000,32938,23012,0,0,0.0000
19900301,23898.0000,23919.0000,22848.0000,22944.6000,27313,22021,0,0,0.0000
19900302,23037.0000,23499.0000,22890.0000,23465.4000,22541,21843,0,0,0.0000
19900305,23436.0000,24570.0000,23373.0000,24355.8000,27386,21728,0,0,0.0000
19900306,24507.0000,24528.0000,23940.0000,24032.4000,23727,20105,0,0,0.0000
19900307,24024.0000,24108.0000,23436.0000,23599.8000,17761,19182,0,0,0.0000
19900308,23436.0000,23478.0000,23058.0000,23242.8000,23271,18232,199005,199005,0.0000
19900309,22974.0000,23058.0000,22134.0000,22180.2000,25072,17248,0,0,-378.0000
