DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
20060608,61720.0,61720.0,61720.0,61720.0,0,0,0,0,0.0
20060612,61500.0,63050.0,61100.0,62240.0,268,0,0,0,0.0
20060613,62150.0,62790.01,61230.0,61630.0,239,135,0,0,0.0
20060614,62710.0,66560.0,62710.0,65900.0,358,171,0,0,0.0
20060615,65560.0,72550.01,65430.0,72070.0,339,185,0,0,0.0
20060616,72100.0,72700.0,70440.0,71850.0,159,218,0,0,0.0
20060619,68950.0,68970.0,67500.0,68930.0,187,242,0,0,0.0
20060620,67210.0,67890.01,64950.0,65020.0,291,211,0,0,0.0
20060621,65300.0,66600.0,64990.0,65880.0,96,288,0,0,0.0
20060622,65360.0,65490.0,63780.0,64390.01,67,254,200608,200608,0.0
20060623,64790.0,64790.0,63930.0,64160.0,16,269,0,0,1960.0
20060626,62680.0,62680.0,61600.0,61690.0,52,17,0,0,0.0
20060627,62730.0,63120.0,62300.0,63120.0,17,38,0,0,0.0
20060628,63000.0,63340.01,61140.0,61600.0,36,49,0,0,0.0
20060629,62100.01,62770.0,60490.0,61350.0,65,68,0,0,0.0
20060630,60980.0,61310.01,60600.0,61040.01,44,63,0,0,0.0
20060705,60360.0,60360.0,57370.0,57650.0,106,87,0,0,0.0
20060706,56280.0,58210.0,56050.0,56640.01,166,125,0,0,0.0
20060707,56700.0,56700.0,54720.0,55230.0,49,159,0,0,0.0
20060710,56200.0,57020.0,55750.0,56080.01,58,165,0,0,0.0
20060711,56730.0,58320.0,55710.0,56330.01,156,163,0,0,0.0
20060712,56660.0,58070.01,56600.0,57820.01,38,203,0,0,0.0
20060713,58500.0,61650.0,57500.0,61290.01,150,210,0,0,0.0
20060714,62400.0,63810.01,61870.0,63470.0,90,213,0,0,0.0
20060717,60930.0,61700.0,57300.0,57830.0,115,194,0,0,0.0
20060718,58110.0,58330.01,55550.0,55550.0,37,201,0,0,0.0
20060719,57050.0,58620.0,56650.0,58620.0,22,196,0,0,0.0
20060720,60180.0,62010.0,59780.0,60910.0,93,203,0,0,0.0
20060721,59500.0,61390.0,59110.0,61390.0,43,203,200609,200609,0.0
20060724,66900.0,67230.01,66900.0,67230.01,1,203,0,0,3380.0
20060725,68500.0,68500.0,63300.0,65130.0,43,26,0,0,0.0
20060726,66000.0,70050.01,66000.0,69740.0,68,35,0,0,0.0
