DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,86925.0,86925.0,85437.5,85587.5,49171,51473,0,0,0.0
19900103,85962.5,86375.0,85812.5,86087.5,39014,53860,0,0,0.0
19900104,86712.5,87875.0,86550.0,87600.0,51940,55699,0,0,0.0
19900105,86900.0,87312.5,86775.0,86875.0,30022,53111,0,0,0.0
19900108,86700.0,87150.0,86700.0,86987.5,19829,52072,0,0,0.0
19900109,86475.0,86587.5,86150.0,86437.5,31429,52111,0,0,0.0
19900110,86312.5,86750.0,86062.5,86087.5,35167,54735,0,0,0.0
19900111,86300.0,86412.5,86150.0,86162.5,19187,54018,0,0,0.0
19900112,86112.5,86587.5,85900.0,85912.5,30315,55290,0,0,0.0
19900115,86150.0,86375.0,86075.0,86212.5,11665,54868,0,0,0.0
19900116,86050.0,86300.0,85937.5,86212.5,26739,54223,0,0,0.0
19900117,86050.0,86500.0,86037.5,86212.5,16209,53624,0,0,0.0
19900118,85750.0,86000.0,85550.0,85662.5,26947,56642,0,0,0.0
19900119,85762.5,86125.0,85737.5,85937.5,18718,56076,0,0,0.0
19900122,85712.5,85750.0,85487.5,85525.0,13688,56133,0,0,0.0
19900123,85725.0,85925.0,85675.0,85850.0,18947,58052,0,0,0.0
19900124,86375.0,86562.5,85950.0,86050.0,30837,58337,0,0,0.0
19900125,86387.5,87187.5,86362.5,86912.5,43130,65463,0,0,0.0
19900126,87350.0,87875.0,87012.5,87775.0,53358,67667,0,0,0.0
19900129,87787.5,87812.5,87337.5,87537.5,35006,63108,0,0,0.0
19900130,87150.0,87300.0,85500.0,86362.5,43974,62846,0,0,0.0
19900131,86787.5,86912.5,86600.0,86737.5,27142,59352,0,0,0.0
19900201,86500.0,86562.5,86337.5,86425.0,17090,58732,0,0,0.0
19900202,86262.5,86337.5,86025.0,86050.0,17427,57599,0,0,0.0
19900205,86000.0,86525.0,85975.0,86475.0,17365,58856,0,0,0.0
19900206,86737.5,86737.5,86062.5,86137.5,28969,60189,0,0,0.0
19900207,86212.5,86262.5,85912.5,86012.5,24332,63811,0,0,0.0
19900208,86175.0,86412.5,86000.0,86125.0,22884,62675,0,0,0.0
19900209,86237.5,86487.5,86112.5,86462.5,23026,61464,0,0,0.0
19900212,86662.5,86912.5,86625.0,86725.0,24970,60874,0,0,0.0
19900213,86600.0,86825.0,86575.0,86712.5,18006,59985,0,0,0.0
19900214,86675.0,86812.5,86600.0,86737.5,20451,59632,0,0,0.0
19900215,86662.5,86725.0,86400.0,86500.0,14437,57857,0,0,0.0
19900216,86387.5,86925.0,86000.0,86912.5,26405,60548,0,0,0.0
19900220,86150.0,86275.0,85937.5,86200.0,36604,61599,0,0,0.0
19900221,86075.0,86212.5,85962.5,86025.0,27688,56089,0,0,0.0
19900222,86037.5,86062.5,85250.0,85275.0,53819,61591,0,0,0.0
19900223,85137.5,85362.5,84925.0,85037.5,46558,66854,0,0,0.0
19900226,84175.0,84262.5,83975.0,84112.5,32741,67411,0,0,0.0
19900227,83987.5,84212.5,83987.5,84162.5,22366,66510,0,0,0.0
19900228,84175.0,84200.0,83837.5,84000.0,22246,67130,0,0,0.0
19900301,83600.0,83837.5,83437.5,83475.0,51998,64953,0,0,0.0
19900302,83550.0,83750.0,83137.5,83262.5,42826,64009,0,0,0.0
19900305,84037.5,84037.5,83400.0,83987.5,35749,60629,0,0,0.0
19900306,83625.0,83712.5,83437.5,83500.0,20395,59563,0,0,0.0
19900307,82887.5,82975.0,82575.0,82937.5,38867,58564,199006,199006,0.0
19900308,83062.5,83212.5,82937.5,82975.0,22367,26002,0,0,150.0
19900309,82850.0,82987.5,82687.5,82850.0,33558,29454,0,0,0.0
19900312,82350.0,82462.5,82100.0,82175.0,46910,38141,0,0,0.0
19900313,81925.0,82475.0,81925.0,82350.0,65210,47501,0,0,0.0
19900314,82337.5,82462.5,82075.0,82350.0,46851,53657,0,0,0.0
19900315,81750.0,82337.5,81725.0,82312.5,47023,54800,0,0,0.0
19900316,82237.5,82462.5,81950.0,82025.0,39494,59307,0,0,0.0
19900319,81550.0,81937.5,81475.0,81912.5,35433,58983,0,0,0.0
19900320,81675.0,81725.0,81062.5,81175.0,45017,60648,0,0,0.0
19900321,81287.5,81425.0,81100.0,81175.0,19666,60838,0,0,0.0
19900322,80650.0,81000.0,80625.0,80700.0,31745,60869,0,0,0.0
19900323,81200.0,82000.0,81025.0,81287.5,49374,65439,0,0,0.0
19900326,80350.0,80450.0,79950.0,80075.0,31248,62347,0,0,0.0
19900327,79862.5,79975.0,79450.0,79650.0,29973,61634,0,0,0.0
19900328,79100.0,79200.0,78625.0,78825.0,42904,63295,0,0,0.0
19900329,79887.5,80237.5,79662.5,80087.5,36725,62651,0,0,0.0
19900330,79412.5,79775.0,79037.5,79275.0,37105,63914,0,0,0.0
19900402,78550.0,79000.0,78362.5,78912.5,33458,65587,0,0,0.0
19900403,79062.5,79175.0,78525.0,78612.5,26953,65697,0,0,0.0
19900404,78937.5,79375.0,78787.5,78850.0,39453,67423,0,0,0.0
19900405,79487.5,79675.0,79325.0,79600.0,22874,64683,0,0,0.0
19900406,79600.0,79787.5,79387.5,79437.5,24625,62183,0,0,0.0
19900409,79862.5,80037.5,79075.0,79150.0,33411,62098,0,0,0.0
19900410,79225.0,79412.5,78912.5,79387.5,26692,59989,0,0,0.0
19900411,79037.5,79387.5,79012.5,79287.5,25956,60984,0,0,0.0
19900412,79100.0,79275.0,79087.5,79250.0,12432,60984,0,0,0.0
19900416,78487.5,78737.5,78387.5,78587.5,14460,61531,0,0,0.0
19900417,78312.5,78462.5,78175.0,78412.5,24938,62470,0,0,0.0
19900418,78400.0,79100.0,78250.0,79075.0,29754,65554,0,0,0.0
19900419,79787.5,80250.0,79662.5,79900.0,48958,65525,0,0,0.0
19900420,79525.0,79700.0,79125.0,79587.5,26302,65869,0,0,0.0
19900423,79525.0,79650.0,79350.0,79475.0,19835,66964,0,0,0.0
19900424,78950.0,79037.5,78787.5,78800.0,22652,66330,0,0,0.0
19900425,78750.0,79037.5,78712.5,78925.0,21826,67587,0,0,0.0
19900426,78812.5,79162.5,78625.0,78662.5,23656,67680,0,0,0.0
19900427,78912.5,79000.0,78587.5,78600.0,23048,65594,0,0,0.0
19900430,78662.5,78900.0,78562.5,78837.5,15326,65713,0,0,0.0
19900501,78875.0,79100.0,78700.0,78837.5,18982,65941,0,0,0.0
19900502,79262.5,79312.5,79062.5,79137.5,21569,68286,0,0,0.0
19900503,79375.0,79412.5,79125.0,79212.5,19283,68432,0,0,0.0
19900504,78925.0,79212.5,78812.5,79162.5,21366,67613,0,0,0.0
19900507,79387.5,79487.5,79100.0,79162.5,21895,70044,0,0,0.0
19900508,79275.0,79437.5,79212.5,79412.5,18984,69367,0,0,0.0
19900509,80000.0,80100.0,79762.5,79950.0,43757,75084,0,0,0.0
19900510,79675.0,79812.5,79600.0,79787.5,14971,75690,0,0,0.0
19900511,81937.5,82037.5,81550.0,81875.0,52295,75107,0,0,0.0
19900514,81775.0,82075.0,81737.5,82037.5,34047,77728,0,0,0.0
19900515,83025.0,83112.5,82587.5,83000.0,42712,73010,0,0,0.0
19900516,82450.0,82737.5,82250.0,82487.5,27933,73122,0,0,0.0
19900517,82350.0,82500.0,82062.5,82250.0,24393,73162,0,0,0.0
19900518,81862.5,81962.5,81700.0,81725.0,14846,72488,0,0,0.0
19900521,81550.0,81662.5,81362.5,81412.5,17421,68354,0,0,0.0
19900522,82312.5,82725.0,82237.5,82637.5,29901,66879,0,0,0.0
19900523,82650.0,82950.0,82537.5,82575.0,25949,65148,0,0,0.0
19900524,82550.0,82900.0,82400.0,82862.5,16875,67344,0,0,0.0
19900525,83587.5,83712.5,83475.0,83575.0,21425,67429,0,0,0.0
19900529,82875.0,83000.0,82687.5,82825.0,21916,66169,0,0,0.0
19900530,82975.0,83025.0,82587.5,82625.0,18067,63645,0,0,0.0
19900531,82137.5,82362.5,81912.5,82162.5,21474,61273,0,0,0.0
19900601,82137.5,82975.0,82137.5,82437.5,26201,60967,0,0,0.0
19900604,81875.0,81987.5,81725.0,81850.0,18708,60262,0,0,0.0
19900605,81825.0,82112.5,81787.5,81987.5,17758,59838,0,0,0.0
19900606,81900.0,82062.5,81900.0,81962.5,9661,58745,0,0,0.0
19900607,81925.0,82012.5,81850.0,81975.0,10203,56957,199009,199009,0.0
19900608,81712.5,81787.5,81625.0,81675.0,22590,16772,0,0,125.0
19900611,81200.0,81237.5,80987.5,81025.0,48726,29954,0,0,0.0
19900612,81200.0,81212.5,81012.5,81050.0,25611,32515,0,0,0.0
19900613,81075.0,81237.5,80850.0,80962.5,31311,37248,0,0,0.0
19900614,81562.5,81575.0,81125.0,81237.5,29282,38165,0,0,0.0
19900615,81075.0,81575.0,80812.5,81400.0,52445,39610,0,0,0.0
19900618,81262.5,81587.5,81262.5,81487.5,26956,40348,0,0,0.0
19900619,81362.5,81675.0,81337.5,81650.0,17214,41395,0,0,0.0
19900620,81350.0,81437.5,81275.0,81400.0,12168,42149,0,0,0.0
19900621,80950.0,81037.5,80862.5,81000.0,14363,43120,0,0,0.0
19900622,80900.0,80987.5,80825.0,80887.5,11188,43980,0,0,0.0
19900625,80450.0,80687.5,80450.0,80550.0,17667,46530,0,0,0.0
19900626,80850.0,81000.0,80662.5,80962.5,23545,46872,0,0,0.0
19900627,81237.5,81237.5,81075.0,81137.5,11367,44228,0,0,0.0
19900628,81437.5,82012.5,81375.0,81825.0,37953,43846,0,0,0.0
19900629,82237.5,82562.5,82125.0,82325.0,28301,42467,0,0,0.0
19900702,82862.5,82987.5,82687.5,82950.0,24424,44608,0,0,0.0
19900703,82587.5,83012.5,82512.5,82975.0,23014,47309,0,0,0.0
19900705,83150.0,83237.5,82900.0,83075.0,23636,49689,0,0,0.0
19900706,82850.0,83150.0,82475.0,82587.5,24372,49645,0,0,0.0
19900709,83025.0,83037.5,82750.0,82800.0,13607,51079,0,0,0.0
19900710,83900.0,84475.0,83812.5,84462.5,48939,60744,0,0,0.0
19900711,84512.5,84562.5,84137.5,84462.5,38724,64862,0,0,0.0
19900712,83987.5,85312.5,83937.5,84762.5,39089,66114,0,0,0.0
19900713,84775.0,84962.5,84437.5,84500.0,23712,67060,0,0,0.0
19900716,84612.5,84787.5,84375.0,84400.0,19044,67065,0,0,0.0
19900717,84425.0,84625.0,84275.0,84612.5,24233,66799,0,0,0.0
19900718,84950.0,85125.0,84637.5,84675.0,28385,66095,0,0,0.0
19900719,84775.0,84850.0,84450.0,84587.5,15539,67545,0,0,0.0
19900720,83925.0,84100.0,83850.0,84025.0,19398,66125,0,0,0.0
19900723,84050.0,84450.0,84012.5,84400.0,21214,66125,0,0,0.0
19900724,84150.0,84437.5,84112.5,84250.0,18189,63487,0,0,0.0
19900725,83900.0,84087.5,83325.0,83412.5,33322,59236,0,0,0.0
19900726,83187.5,83287.5,82862.5,83087.5,27654,56590,0,0,0.0
19900727,82987.5,84000.0,82975.0,83925.0,35224,59171,0,0,0.0
19900730,84375.0,84562.5,84262.5,84512.5,20584,59277,0,0,0.0
19900731,85400.0,85787.5,85275.0,85737.5,39153,58682,0,0,0.0
19900801,85300.0,85412.5,84687.5,85075.0,40831,61409,0,0,0.0
19900802,83000.0,84175.0,82837.5,83712.5,50765,63057,0,0,0.0
19900803,83850.0,84125.0,83100.0,83325.0,35955,60680,0,0,0.0
19900806,83625.0,83862.5,83037.5,83237.5,25998,56023,0,0,0.0
19900807,83650.0,83812.5,83000.0,83125.0,29741,55346,0,0,0.0
19900808,83100.0,83587.5,83050.0,83437.5,22580,54991,0,0,0.0
19900809,83525.0,83650.0,83412.5,83462.5,15881,54794,0,0,0.0
19900810,83287.5,83525.0,83087.5,83100.0,18651,55689,0,0,0.0
19900813,83175.0,83350.0,83087.5,83225.0,14332,58618,0,0,0.0
19900814,83412.5,84112.5,83362.5,84075.0,25461,59800,0,0,0.0
19900815,84962.5,85250.0,84725.0,84775.0,38275,55293,0,0,0.0
19900816,84725.0,84950.0,84212.5,84925.0,33362,57419,0,0,0.0
19900817,84612.5,84962.5,84500.0,84812.5,20278,54489,0,0,0.0
19900820,85412.5,85475.0,85075.0,85450.0,25180,55099,0,0,0.0
19900821,85175.0,85525.0,85037.5,85212.5,25575,55469,0,0,0.0
19900822,85712.5,86087.5,85537.5,85587.5,33081,54363,0,0,0.0
19900823,85625.0,85762.5,85287.5,85587.5,24179,56360,0,0,0.0
19900824,85500.0,85725.0,85200.0,85262.5,17318,54863,0,0,0.0
19900827,86525.0,86787.5,86212.5,86712.5,35372,58958,0,0,0.0
19900828,87387.5,87387.5,86950.0,87062.5,30072,58728,0,0,0.0
19900829,86837.5,87150.0,86775.0,87012.5,20832,60467,0,0,0.0
19900830,86475.0,86900.0,86425.0,86700.0,18201,60934,0,0,0.0
19900831,87137.5,87287.5,86812.5,86975.0,23037,57895,0,0,0.0
19900904,86887.5,87275.0,86850.0,87162.5,30274,58945,0,0,0.0
19900905,88237.5,88312.5,88075.0,88287.5,39022,56360,0,0,0.0
19900906,88637.5,88912.5,88400.0,88837.5,31186,54539,199012,199012,0.0
19900907,89000.0,89300.0,88762.5,89275.0,27656,25330,0,0,-12.5
19900910,89937.5,89975.0,89550.0,89562.5,57049,36725,0,0,0.0
19900911,89012.5,89537.5,88850.0,89050.0,46972,44238,0,0,0.0
19900912,90587.5,90850.0,90337.5,90500.0,57042,46450,0,0,0.0
19900913,90337.5,91712.5,90212.5,91687.5,47035,53258,0,0,0.0
19900914,91400.0,91625.0,90912.5,91237.5,40377,53872,0,0,0.0
19900917,90937.5,91562.5,90912.5,91525.0,38595,60475,0,0,0.0
19900918,90900.0,91275.0,90525.0,90562.5,28787,59443,0,0,0.0
19900919,91075.0,91225.0,90537.5,91000.0,29785,59094,0,0,0.0
19900920,91300.0,91487.5,90725.0,90762.5,18568,59065,0,0,0.0
19900921,91425.0,91625.0,91125.0,91512.5,26039,57724,0,0,0.0
19900924,92212.5,92237.5,90750.0,90987.5,43853,59789,0,0,0.0
19900925,91275.0,91512.5,90787.5,91362.5,33372,60689,0,0,0.0
19900926,91150.0,91412.5,90925.0,91287.5,21428,61463,0,0,0.0
19900927,90537.5,90625.0,90200.0,90475.0,40459,63867,0,0,0.0
19900928,90375.0,90637.5,90200.0,90225.0,23057,64891,0,0,0.0
19901001,91037.5,91562.5,91012.5,91362.5,35472,62821,0,0,0.0
19901002,91287.5,91400.0,91075.0,91350.0,24448,57209,0,0,0.0
