DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,29839.0,30450.0,29681.0,30210.0,2649,19900,0,0,0.0
19900103,30394.0,30844.0,30300.0,30656.0,5409,19988,0,0,0.0
19900104,30656.0,30975.0,30656.0,30930.0,4649,20164,0,0,0.0
19900105,31013.0,31388.0,30000.0,30435.0,9624,20228,0,0,0.0
19900108,30488.0,30713.0,30300.0,30518.0,3373,20040,0,0,0.0
19900109,30150.0,31125.0,30150.0,31065.0,7031,20672,0,0,0.0
19900110,31050.0,31313.0,30563.0,30964.0,9250,20058,0,0,0.0
19900111,30563.0,30731.0,30281.0,30600.0,8459,20245,0,0,0.0
19900112,30188.0,30375.0,29513.0,29640.0,8668,19086,0,0,0.0
19900115,29419.0,29925.0,29063.0,29085.0,9465,18065,0,0,0.0
19900116,29156.0,29344.0,28725.0,29081.0,7648,17440,0,0,0.0
19900117,29288.0,29775.0,29100.0,29535.0,5168,16373,0,0,0.0
19900118,29531.0,29794.0,29363.0,29764.0,4908,15980,0,0,0.0
19900119,29775.0,30544.0,29719.0,30491.0,7430,16238,0,0,0.0
19900122,30413.0,30750.0,30281.0,30559.0,5207,15334,0,0,0.0
19900123,30469.0,30563.0,30000.0,30023.0,4900,15418,0,0,0.0
19900124,29888.0,30506.0,29831.0,30199.0,4785,15102,0,0,0.0
19900125,30713.0,30769.0,30225.0,30491.0,3843,15214,0,0,0.0
19900126,30469.0,30731.0,30300.0,30720.0,4342,14698,0,0,0.0
19900129,30694.0,30825.0,30263.0,30300.0,5327,14221,0,0,0.0
19900130,30000.0,30281.0,29963.0,30139.0,3951,14362,0,0,0.0
19900131,29906.0,30375.0,29906.0,29996.0,4137,14011,0,0,0.0
19900201,29925.0,30281.0,29925.0,30240.0,3610,14067,0,0,0.0
19900202,30525.0,30600.0,30075.0,30143.0,5851,14200,0,0,0.0
19900205,29981.0,30281.0,29850.0,30015.0,5028,13520,0,0,0.0
19900206,29906.0,30075.0,29869.0,30015.0,5624,12933,0,0,0.0
19900207,30094.0,30675.0,30019.0,30623.0,7882,12754,0,0,0.0
19900208,30656.0,30938.0,30563.0,30784.0,9120,12393,199005,199005,0.0
19900209,31575.0,32700.0,31294.0,32531.0,16595,13291,0,0,637.5
19900212,32475.0,33656.0,32475.0,33019.0,13803,14817,0,0,0.0
19900213,33113.0,33525.0,32663.0,33105.0,12316,15810,0,0,0.0
19900214,33750.0,34275.0,32813.0,33041.0,15724,18759,0,0,0.0
19900215,33300.0,33563.0,32531.0,32745.0,10922,18375,0,0,0.0
19900216,32550.0,33525.0,32550.0,33274.0,11110,20017,0,0,0.0
19900220,33394.0,33825.0,33394.0,33480.0,7943,20928,0,0,0.0
19900221,33656.0,34350.0,33263.0,34316.0,9560,20634,0,0,0.0
19900222,34406.0,35025.0,33956.0,34980.0,10077,21246,0,0,0.0
19900223,35250.0,35400.0,34575.0,34826.0,11406,21083,0,0,0.0
19900226,34388.0,35138.0,34388.0,34748.0,2387,20588,0,0,0.0
19900227,34313.0,34763.0,34031.0,34144.0,6817,20339,0,0,0.0
19900228,34200.0,35213.0,34069.0,35171.0,8340,20429,0,0,0.0
19900301,35250.0,36563.0,35250.0,36184.0,11198,20684,0,0,0.0
19900302,36469.0,37313.0,36413.0,37305.0,11548,20557,0,0,0.0
19900305,37350.0,39356.0,37350.0,39090.0,12371,20758,0,0,0.0
19900306,38888.0,39563.0,37500.0,38003.0,14804,20121,0,0,0.0
19900307,38475.0,39131.0,38006.0,38468.0,9536,19404,0,0,0.0
19900308,38719.0,39281.0,38288.0,38314.0,8980,19707,0,0,0.0
19900309,37219.0,37838.0,35906.0,35944.0,14088,20369,0,0,0.0
19900312,35850.0,36469.0,34631.0,35576.0,15491,20515,0,0,0.0
19900313,35906.0,36938.0,35813.0,36698.0,9591,20143,0,0,0.0
19900314,37125.0,37313.0,35250.0,35261.0,11822,19330,0,0,0.0
19900315,34875.0,36281.0,34875.0,36143.0,8544,19487,0,0,0.0
19900316,34969.0,36000.0,33563.0,33900.0,15809,18886,0,0,0.0
19900319,33000.0,33844.0,32738.0,32899.0,13354,18236,0,0,0.0
19900320,33544.0,34575.0,33450.0,34204.0,10918,16968,0,0,0.0
19900321,33900.0,34425.0,33563.0,33773.0,7543,16787,0,0,0.0
19900322,33563.0,34988.0,33563.0,34729.0,8352,16891,0,0,0.0
19900323,35100.0,35363.0,33413.0,33488.0,11181,16467,0,0,0.0
19900326,33394.0,34406.0,33300.0,34140.0,5858,16692,0,0,0.0
19900327,34425.0,34650.0,33469.0,33761.0,8924,17177,0,0,0.0
