DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,21175.0,21175.0,20988.0,20999.0,983,2442,0,0,286.0
19900103,20999.0,21032.0,20911.0,21010.0,1559,2397,0,0,0.0
19900104,21021.0,21538.0,20988.0,21329.0,2268,2740,0,0,0.0
19900105,21373.0,21527.0,21340.0,21428.0,1468,2869,0,0,0.0
19900108,21439.0,21560.0,21406.0,21516.0,1445,3051,0,0,0.0
19900109,21450.0,21472.0,21395.0,21439.0,647,3098,0,0,0.0
19900110,21450.0,21527.0,21406.0,21516.0,733,3117,0,0,0.0
19900111,21538.0,21703.0,21538.0,21681.0,1710,3071,0,0,0.0
19900112,21615.0,21692.0,21505.0,21604.0,1375,3208,0,0,0.0
19900115,21538.0,21648.0,21516.0,21538.0,951,3132,0,0,0.0
19900116,21505.0,21725.0,21483.0,21703.0,1083,3257,0,0,0.0
19900117,21780.0,22253.0,21780.0,22253.0,2315,3255,0,0,0.0
19900118,22165.0,22539.0,22143.0,22517.0,1567,3195,0,0,0.0
19900119,22517.0,22572.0,22253.0,22385.0,1472,3145,0,0,0.0
19900122,22297.0,22407.0,22242.0,22275.0,721,3183,0,0,0.0
19900123,22209.0,22297.0,22033.0,22198.0,1306,3218,0,0,0.0
19900124,22055.0,22253.0,21758.0,22242.0,2135,3344,0,0,0.0
19900125,22286.0,22352.0,22033.0,22088.0,978,3355,0,0,0.0
19900126,22000.0,22165.0,21945.0,22022.0,752,3349,0,0,0.0
19900129,22022.0,22165.0,22011.0,22077.0,358,3395,0,0,0.0
19900130,22033.0,22110.0,22000.0,22044.0,348,3368,0,0,0.0
19900131,22044.0,22385.0,21923.0,22253.0,1192,3318,0,0,0.0
19900201,22330.0,22374.0,22165.0,22330.0,645,3235,0,0,0.0
19900202,22275.0,22330.0,22176.0,22198.0,443,3168,0,0,0.0
19900205,22165.0,22308.0,22121.0,22264.0,286,3119,0,0,0.0
19900206,22242.0,22308.0,22154.0,22198.0,330,3079,0,0,0.0
19900207,22198.0,22231.0,22066.0,22209.0,590,3138,0,0,0.0
19900208,22264.0,22550.0,22253.0,22473.0,1407,3255,0,0,0.0
19900209,22539.0,22572.0,22440.0,22506.0,1187,3121,0,0,0.0
19900212,22517.0,22605.0,22429.0,22605.0,593,3146,0,0,0.0
19900213,22616.0,22814.0,22594.0,22803.0,1235,3202,0,0,0.0
19900214,22825.0,22880.0,22715.0,22803.0,991,3107,0,0,0.0
19900215,22913.0,23045.0,22825.0,23034.0,1744,2882,0,0,0.0
19900216,23100.0,23177.0,22605.0,22627.0,1505,2722,0,0,0.0
19900220,22594.0,22682.0,22242.0,22385.0,1710,2497,0,0,0.0
19900221,22385.0,22539.0,22242.0,22528.0,1209,2410,0,0,0.0
19900222,22550.0,22583.0,22462.0,22550.0,525,2367,0,0,0.0
19900223,22550.0,22550.0,22000.0,22000.0,1693,2123,0,0,0.0
19900226,21945.0,21945.0,21472.0,21813.0,2094,1756,0,0,0.0
19900227,21868.0,21890.0,21769.0,21846.0,2044,1497,0,0,0.0
19900228,21813.0,21923.0,21758.0,21824.0,1683,1225,0,0,0.0
19900301,21483.0,21516.0,21010.0,21197.0,2064,2116,199007,199007,0.0
19900302,20955.0,21197.0,20933.0,21010.0,1758,2293,0,0,-341.0
19900305,21032.0,21307.0,21032.0,21164.0,1389,2318,0,0,0.0
19900306,21175.0,21384.0,21175.0,21373.0,770,2254,0,0,0.0
19900307,21373.0,21373.0,21241.0,21318.0,526,2292,0,0,0.0
19900308,21329.0,21483.0,21252.0,21318.0,957,2410,0,0,0.0
19900309,21296.0,21615.0,21230.0,21483.0,877,2400,0,0,0.0
19900312,21505.0,21527.0,21285.0,21461.0,724,2484,0,0,0.0
19900313,21417.0,21450.0,21285.0,21307.0,489,2512,0,0,0.0
19900314,21263.0,21274.0,21065.0,21098.0,922,2539,0,0,0.0
19900315,21120.0,21527.0,21109.0,21428.0,1161,2605,0,0,0.0
19900316,21384.0,21582.0,21285.0,21527.0,632,2678,0,0,0.0
19900319,21483.0,21593.0,21461.0,21582.0,419,2689,0,0,0.0
19900320,21582.0,21703.0,21494.0,21681.0,1545,2560,0,0,0.0
19900321,21670.0,21681.0,21417.0,21527.0,1846,2681,0,0,0.0
19900322,21505.0,21505.0,21208.0,21263.0,1153,2660,0,0,0.0
19900323,21208.0,21571.0,21153.0,21560.0,857,2641,0,0,0.0
19900326,21637.0,21648.0,21428.0,21604.0,495,2681,0,0,0.0
19900327,21560.0,21560.0,21406.0,21417.0,370,2716,0,0,0.0
19900328,21340.0,21538.0,21296.0,21516.0,338,2735,0,0,0.0
19900329,21483.0,21593.0,21395.0,21560.0,380,2776,0,0,0.0
19900330,21615.0,21802.0,21527.0,21802.0,1232,2676,0,0,0.0
19900402,21725.0,21813.0,21571.0,21626.0,810,2724,0,0,0.0
19900403,21560.0,21604.0,21428.0,21461.0,682,2795,0,0,0.0
19900404,21505.0,21758.0,21483.0,21692.0,1085,2795,0,0,0.0
19900405,21736.0,21956.0,21736.0,21802.0,1267,2705,0,0,0.0
19900406,21879.0,21956.0,21692.0,21769.0,756,2684,0,0,0.0
19900409,21835.0,21956.0,21714.0,21945.0,1154,2592,0,0,0.0
19900410,21945.0,21989.0,21395.0,21494.0,1135,2483,0,0,0.0
19900411,21527.0,21615.0,21373.0,21483.0,1023,2386,0,0,0.0
19900412,21428.0,21538.0,21098.0,21241.0,982,2252,0,0,0.0
19900416,21120.0,21340.0,21098.0,21241.0,843,2224,0,0,0.0
19900417,21153.0,21494.0,21087.0,21340.0,922,2124,0,0,0.0
19900418,21175.0,21406.0,21120.0,21362.0,740,2156,0,0,0.0
19900419,21318.0,21483.0,21296.0,21373.0,657,2079,0,0,0.0
19900420,21329.0,21362.0,21186.0,21329.0,613,2027,0,0,0.0
19900423,21318.0,21318.0,21032.0,21186.0,644,1949,0,0,0.0
19900424,21175.0,21241.0,21109.0,21197.0,584,1891,0,0,0.0
19900425,21175.0,21230.0,21065.0,21164.0,1468,1716,0,0,0.0
19900426,21230.0,21406.0,21230.0,21285.0,1467,1458,0,0,0.0
19900427,21318.0,21329.0,21175.0,21241.0,1003,1355,0,0,0.0
19900430,21307.0,21362.0,21241.0,21307.0,527,1126,0,0,0.0
19900501,21780.0,21912.0,21747.0,21846.0,910,2359,199009,199009,0.0
19900502,21890.0,21934.0,21747.0,21912.0,616,2376,0,0,462.0
19900503,21912.0,21956.0,21868.0,21945.0,524,2387,0,0,0.0
19900504,22000.0,22165.0,22000.0,22165.0,1064,2346,0,0,0.0
19900507,22275.0,22605.0,22187.0,22605.0,2158,2143,0,0,0.0
19900508,22660.0,22660.0,22484.0,22627.0,1217,2061,0,0,0.0
19900509,22594.0,22660.0,22440.0,22583.0,1605,2327,0,0,0.0
19900510,22715.0,22715.0,22517.0,22539.0,1527,2568,0,0,0.0
19900511,22528.0,22605.0,22429.0,22539.0,873,2567,0,0,0.0
19900514,22605.0,22770.0,22517.0,22737.0,1349,2806,0,0,0.0
19900515,22682.0,22726.0,22297.0,22396.0,1372,2761,0,0,0.0
19900516,22275.0,22407.0,22154.0,22187.0,729,2671,0,0,0.0
19900517,22198.0,22308.0,22165.0,22253.0,420,2674,0,0,0.0
19900518,22253.0,22308.0,22154.0,22275.0,335,2705,0,0,0.0
19900521,22264.0,22385.0,22231.0,22308.0,289,2674,0,0,0.0
19900522,22341.0,22385.0,22044.0,22088.0,1022,2531,0,0,0.0
19900523,22055.0,22165.0,22000.0,22055.0,519,2490,0,0,0.0
19900524,22066.0,22495.0,22066.0,22484.0,1037,2483,0,0,0.0
19900525,22462.0,22473.0,22341.0,22385.0,395,2492,0,0,0.0
19900529,22407.0,22473.0,22275.0,22286.0,261,2520,0,0,0.0
19900530,22308.0,22429.0,22264.0,22396.0,349,2531,0,0,0.0
19900531,22352.0,22418.0,22253.0,22352.0,372,2420,0,0,0.0
19900601,22385.0,22583.0,22363.0,22561.0,772,2445,0,0,0.0
