DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,30940.0,31050.0,30880.0,30980.0,7781,36233,0,0,0.0
19900103,30820.0,30880.0,30640.0,30860.0,13262,35995,0,0,0.0
19900104,31080.0,31080.0,30660.0,30780.0,20986,36380,0,0,0.0
19900105,30730.0,30850.0,30660.0,30750.0,12345,36782,0,0,0.0
19900108,30600.0,30700.0,30540.0,30670.0,10550,36537,0,0,0.0
19900109,30620.0,30670.0,30530.0,30590.0,9418,36205,0,0,0.0
19900110,30500.0,30870.0,30450.0,30850.0,18649,36377,0,0,0.0
19900111,30840.0,31040.0,30810.0,31010.0,20456,36453,0,0,0.0
19900112,30940.0,31200.0,30760.0,30880.0,24194,36026,0,0,0.0
19900115,30800.0,30950.0,30760.0,30910.0,10148,36114,0,0,0.0
19900116,30880.0,31120.0,30800.0,31040.0,17206,36039,0,0,0.0
19900117,31080.0,31300.0,31050.0,31290.0,22384,35384,0,0,0.0
19900118,31320.0,31560.0,31300.0,31520.0,25695,34197,0,0,0.0
19900119,31560.0,31750.0,31480.0,31740.0,20461,32337,0,0,0.0
19900122,31640.0,31740.0,31590.0,31700.0,14517,32348,0,0,0.0
19900123,31760.0,31760.0,31400.0,31460.0,23853,29100,0,0,0.0
19900124,31360.0,31510.0,31280.0,31480.0,20248,26532,0,0,0.0
19900125,31760.0,32020.0,31760.0,31800.0,32775,24961,199004,199004,0.0
19900126,30700.0,30850.0,30600.0,30730.0,23063,39248,0,0,-1100.0
19900129,30750.0,30810.0,30620.0,30740.0,14502,40330,0,0,0.0
19900130,30760.0,30910.0,30710.0,30830.0,17543,41314,0,0,0.0
19900131,30760.0,30790.0,30400.0,30410.0,20499,41951,0,0,0.0
19900201,30440.0,30640.0,30370.0,30440.0,20070,41299,0,0,0.0
19900202,30500.0,30600.0,30390.0,30590.0,12519,41611,0,0,0.0
19900205,30620.0,30920.0,30610.0,30810.0,17802,42401,0,0,0.0
19900206,30820.0,31060.0,30790.0,30910.0,21787,43783,0,0,0.0
19900207,30840.0,30990.0,30780.0,30970.0,14899,44203,0,0,0.0
19900208,30980.0,31100.0,30930.0,30990.0,15881,44351,0,0,0.0
19900209,30880.0,30930.0,30790.0,30840.0,14403,45695,0,0,0.0
19900212,30810.0,31060.0,30710.0,31030.0,14620,46207,0,0,0.0
19900213,31030.0,31060.0,30920.0,30970.0,13732,46820,0,0,0.0
19900214,31000.0,31040.0,30920.0,30950.0,13959,47507,0,0,0.0
19900215,30980.0,31140.0,30960.0,31090.0,14645,48841,0,0,0.0
19900216,31080.0,31150.0,31020.0,31050.0,17842,50064,0,0,0.0
19900220,30760.0,30920.0,30660.0,30850.0,26059,51174,0,0,0.0
19900221,30800.0,30800.0,30250.0,30250.0,35361,49740,0,0,0.0
19900222,30200.0,30320.0,30050.0,30220.0,34694,47731,0,0,0.0
19900223,30250.0,30300.0,30080.0,30220.0,20108,46736,0,0,0.0
19900226,30180.0,30300.0,30100.0,30110.0,11860,46462,0,0,0.0
19900227,30080.0,30160.0,29900.0,30150.0,16618,45325,0,0,0.0
19900228,30170.0,30290.0,30150.0,30180.0,12823,44580,0,0,0.0
19900301,30160.0,30380.0,30160.0,30370.0,10878,44965,0,0,0.0
19900302,30390.0,30520.0,30390.0,30500.0,13433,45426,0,0,0.0
19900305,30600.0,30670.0,30530.0,30600.0,11730,45850,0,0,0.0
19900306,30680.0,30740.0,30580.0,30680.0,14545,45168,0,0,0.0
19900307,30680.0,30740.0,30580.0,30670.0,14943,45173,0,0,0.0
19900308,30680.0,30920.0,30650.0,30910.0,20807,45476,0,0,0.0
19900309,30940.0,31120.0,30930.0,31050.0,21231,43928,0,0,0.0
19900312,31040.0,31220.0,30960.0,31210.0,18047,43771,0,0,0.0
19900313,31240.0,31280.0,31140.0,31250.0,23683,43827,0,0,0.0
19900314,31250.0,31310.0,30970.0,31010.0,19714,44452,0,0,0.0
19900315,31040.0,31100.0,30910.0,30920.0,14190,44122,0,0,0.0
19900316,30940.0,31020.0,30940.0,30990.0,8609,43106,0,0,0.0
19900319,31150.0,31340.0,31140.0,31260.0,17510,42204,0,0,0.0
19900320,31180.0,31200.0,30700.0,30730.0,23747,41328,0,0,0.0
19900321,30780.0,30840.0,30600.0,30610.0,16485,39963,0,0,0.0
19900322,30740.0,30870.0,30660.0,30730.0,13623,39325,0,0,0.0
19900323,30770.0,30900.0,30650.0,30880.0,13446,38572,0,0,0.0
19900326,30940.0,30980.0,30880.0,30930.0,11231,36604,199006,199006,0.0
19900327,29140.0,29170.0,29040.0,29060.0,15092,29664,0,0,-1810.0
19900328,29080.0,29380.0,29070.0,29320.0,23611,30359,0,0,0.0
19900329,29320.0,29320.0,29240.0,29270.0,12823,31230,0,0,0.0
19900330,29260.0,29280.0,29160.0,29170.0,14710,31755,0,0,0.0
19900402,29180.0,29360.0,29170.0,29340.0,15546,32436,0,0,0.0
