DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
20081205,68150.0,68150.0,68150.0,68150.0,0,0,0,0,0.0
20081208,70650.0,70650.0,70650.0,70650.0,0,0,0,0,0.0
20081209,70900.0,70900.0,70900.0,70900.0,0,5,0,0,0.0
20081210,72400.0,72400.0,72400.0,72400.0,0,5,0,0,0.0
20081211,76000.0,76000.0,76000.0,76000.0,0,25,0,0,0.0
20081212,74050.0,74050.0,74050.0,74050.0,0,50,0,0,0.0
20081215,74850.0,74850.0,74850.0,74850.0,0,55,0,0,0.0
20081216,73750.0,73750.0,73750.0,73750.0,0,60,0,0,0.0
20081217,74500.0,74500.0,74500.0,74500.0,0,65,0,0,0.0
20081218,73400.0,73400.0,73400.0,73400.0,0,85,0,0,0.0
20081219,73200.0,73200.0,73200.0,73200.0,0,85,0,0,0.0
20081222,73150.0,73150.0,73150.0,73150.0,0,90,0,0,0.0
20081223,73350.0,73350.0,73350.0,73350.0,0,90,0,0,0.0
20081224,73250.0,73250.0,73250.0,73250.0,0,140,0,0,0.0
20081229,75200.0,75200.0,73250.0,75200.0,0,140,200902,200902,0.0
20081230,75000.0,75000.0,75000.0,75000.0,0,140,0,0,-100.0
20081231,75200.0,75200.0,75200.0,75200.0,0,90,0,0,0.0
20090102,74250.0,74250.0,74250.0,74250.0,0,90,0,0,0.0
20090105,76000.0,76000.0,76000.0,76000.0,0,50,0,0,0.0
20090106,80600.0,80600.0,80600.0,80600.0,0,50,0,0,0.0
20090107,78000.0,78000.0,78000.0,78000.0,0,50,0,0,0.0
20090108,77450.0,77450.0,77450.0,77450.0,0,50,0,0,0.0
20090109,76400.0,76400.0,76400.0,76400.0,0,95,0,0,0.0
20090112,76500.0,76500.0,76500.0,76500.0,0,155,0,0,0.0
20090113,76100.0,76100.0,76100.0,76100.0,0,160,0,0,0.0
20090114,76400.0,76400.0,76400.0,76400.0,0,170,0,0,0.0
20090115,77850.0,77850.0,77850.0,77850.0,0,190,0,0,0.0
20090116,79250.0,79250.0,79250.0,79250.0,0,260,0,0,0.0
20090119,77000.0,77000.0,77000.0,77000.0,0,275,0,0,0.0
20090120,75850.0,75850.0,75850.0,75850.0,0,275,0,0,0.0
20090121,76600.0,76600.0,76600.0,76600.0,0,300,0,0,0.0
20090122,77150.0,77150.0,77150.0,77150.0,0,370,0,0,0.0
20090123,78150.0,78150.0,78150.0,78150.0,0,395,0,0,0.0
20090126,76000.0,76000.0,76000.0,76000.0,0,425,0,0,0.0
20090127,76900.0,76900.0,76900.0,76900.0,0,425,200903,200903,0.0
20090128,73350.0,73350.0,73350.0,73350.0,0,425,0,0,-3550.0
