DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19990308,46800.0000,46800.0000,46800.0000,46800.0000,0,0,0,0,0.0000
19990310,47300.0000,47300.0000,47300.0000,47300.0000,0,0,0,0,0.0000
19990311,46400.0000,46400.0000,46400.0000,46400.0000,0,0,0,0,0.0000
19990312,46200.0000,46200.0000,46200.0000,46200.0000,0,0,0,0,0.0000
19990315,47650.0000,47650.0000,47650.0000,47650.0000,0,0,0,0,0.0000
19990316,47600.0000,47600.0000,47600.0000,47600.0000,0,0,0,0,0.0000
19990317,47500.0000,47500.0000,47500.0000,47500.0000,0,0,0,0,0.0000
19990318,48300.0000,48300.0000,48300.0000,48300.0000,0,0,0,0,0.0000
19990319,48200.0000,48200.0000,48200.0000,48200.0000,0,0,0,0,0.0000
19990322,48900.0000,48900.0000,48900.0000,48900.0000,0,0,0,0,0.0000
19990323,49400.0000,49400.0000,49400.0000,49400.0000,0,0,0,0,0.0000
19990325,53250.0000,53250.0000,53250.0000,53250.0000,0,0,0,0,0.0000
19990326,52300.0000,52300.0000,52300.0000,52300.0000,0,0,0,0,0.0000
19990329,53200.0000,53200.0000,52300.0000,53200.0000,0,0,0,0,0.0000
19990330,53650.0000,53650.0000,53650.0000,53650.0000,0,0,0,0,0.0000
19990331,53900.0000,53900.0000,53900.0000,53900.0000,0,0,0,0,0.0000
19990401,53900.0000,53900.0000,53900.0000,53900.0000,0,0,0,0,0.0000
19990405,53200.0000,53200.0000,53200.0000,53200.0000,0,0,0,0,0.0000
19990406,52900.0000,52900.0000,52900.0000,52900.0000,0,0,0,0,0.0000
19990407,53250.0000,53250.0000,53250.0000,53250.0000,0,0,0,0,0.0000
19990408,53700.0000,53700.0000,53700.0000,53700.0000,0,0,0,0,0.0000
19990409,53550.0000,53550.0000,53550.0000,53550.0000,0,0,0,0,0.0000
19990412,53700.0000,53700.0000,53700.0000,53700.0000,0,0,0,0,0.0000
19990413,55300.0000,55300.0000,55300.0000,55300.0000,0,0,0,0,0.0000
19990414,54750.0000,54750.0000,54750.0000,54750.0000,0,0,0,0,0.0000
19990415,55250.0000,55250.0000,55250.0000,55250.0000,0,0,0,0,0.0000
19990416,55000.0000,55000.0000,55000.0000,55000.0000,0,0,0,0,0.0000
19990419,54950.0000,54950.0000,54950.0000,54950.0000,0,0,0,0,0.0000
19990420,53550.0000,53550.0000,53550.0000,53550.0000,0,0,0,0,0.0000
19990421,53550.0000,53550.0000,53550.0000,53550.0000,0,0,0,0,0.0000
19990422,54100.0000,54100.0000,54100.0000,54100.0000,0,0,0,0,0.0000
19990423,54700.0100,54700.0100,54700.0100,54700.0100,0,0,0,0,0.0000
19990426,54350.0000,54350.0000,54350.0000,54350.0000,0,0,0,0,0.0000
19990427,54200.0100,54200.0100,54200.0100,54200.0100,0,0,0,0,0.0000
19990428,54750.0000,54750.0000,54750.0000,54750.0000,0,0,0,0,0.0000
19990429,55250.0000,55250.0000,55250.0000,55250.0000,0,0,0,0,0.0000
19990430,55450.0000,55450.0000,55450.0000,55450.0000,0,0,0,0,0.0000
19990503,55150.0000,55150.0000,55150.0000,55150.0000,0,0,0,0,0.0000
19990504,55100.0000,55100.0000,55100.0000,55100.0000,0,0,0,0,0.0000
19990505,54900.0000,54900.0000,54900.0000,54900.0000,0,0,0,0,0.0000
19990506,55000.0000,55000.0000,55000.0000,55000.0000,0,0,0,0,0.0000
19990507,55450.0000,55450.0000,55450.0000,55450.0000,0,0,0,0,0.0000
19990510,56000.0000,56000.0000,56000.0000,56000.0000,0,0,0,0,0.0000
19990511,56100.0000,56100.0000,56100.0000,56100.0000,0,0,0,0,0.0000
19990512,56350.0000,56350.0000,56350.0000,56350.0000,0,0,0,0,0.0000
19990513,56550.0000,56550.0000,56550.0000,56550.0000,0,0,0,0,0.0000
19990514,56550.0000,56550.0000,56550.0000,56550.0000,0,0,0,0,0.0000
19990517,55900.0000,56550.0000,55900.0000,55900.0000,0,0,0,0,0.0000
19990518,56050.0000,56050.0000,56050.0000,56050.0000,0,0,0,0,0.0000
19990519,56100.0000,56100.0000,56100.0000,56100.0000,0,0,0,0,0.0000
19990520,55650.0000,55650.0000,55650.0000,55650.0000,0,0,0,0,0.0000
19990521,54900.0000,54900.0000,54900.0000,54900.0000,0,0,0,0,0.0000
19990524,54600.0000,54600.0000,54600.0000,54600.0000,0,0,0,0,0.0000
19990525,53600.0000,53600.0000,53600.0000,53600.0000,0,0,0,0,0.0000
19990526,54800.0000,54800.0000,54800.0000,54800.0000,0,0,0,0,0.0000
19990527,54800.0000,54800.0000,54800.0000,54800.0000,0,0,0,0,0.0000
19990528,54350.0000,54350.0000,54350.0000,54350.0000,0,0,0,0,0.0000
19990601,54050.0000,54050.0000,54050.0000,54050.0000,0,0,0,0,0.0000
19990602,54000.0000,54000.0000,54000.0000,54000.0000,0,0,0,0,0.0000
19990603,54000.0000,54000.0000,54000.0000,54000.0000,0,0,0,0,0.0000
19990604,54300.0000,54300.0000,54300.0000,54300.0000,0,0,0,0,0.0000
19990607,54100.0000,54100.0000,54100.0000,54100.0000,0,0,0,0,0.0000
19990608,53700.0000,53700.0000,53700.0000,53700.0000,0,0,0,0,0.0000
19990609,53970.0000,53970.0000,53970.0000,53970.0000,0,0,0,0,0.0000
19990610,53700.0000,53700.0000,53700.0000,53700.0000,0,0,0,0,0.0000
19990611,52900.0000,52900.0000,52900.0000,52900.0000,0,0,0,0,0.0000
19990614,53000.0000,53000.0000,53000.0000,53000.0000,0,0,0,0,0.0000
19990615,53100.0000,53100.0000,53100.0000,53100.0000,0,0,0,0,0.0000
19990616,53650.0000,53650.0000,53650.0000,53650.0000,0,0,0,0,0.0000
19990617,53950.0000,53950.0000,53950.0000,53950.0000,0,0,0,0,0.0000
19990618,54050.0000,54050.0000,54050.0000,54050.0000,0,0,0,0,0.0000
19990621,53500.0000,53500.0000,53500.0000,53500.0000,0,0,0,0,0.0000
19990622,53700.0000,53700.0000,53700.0000,53700.0000,0,0,0,0,0.0000
19990623,53200.0000,53200.0000,53200.0000,53200.0000,0,0,0,0,0.0000
19990624,52500.0000,52500.0000,52500.0000,52500.0000,0,0,0,0,0.0000
19990625,53200.0000,53200.0000,53200.0000,53200.0000,0,0,0,0,0.0000
19990629,53800.0000,53800.0000,53800.0000,53800.0000,0,0,0,0,0.0000
19990630,54100.0000,54100.0000,54100.0000,54100.0000,0,0,0,0,0.0000
19990702,54300.0000,54300.0000,54300.0000,54300.0000,0,0,0,0,0.0000
19990706,54350.0000,54350.0000,54350.0000,54350.0000,0,0,0,0,0.0000
19990707,54500.0000,54500.0000,54500.0000,54500.0000,0,0,0,0,0.0000
19990708,54100.0000,54100.0000,54100.0000,54100.0000,0,0,0,0,0.0000
19990709,53450.0000,53450.0000,53450.0000,53450.0000,0,0,0,0,0.0000
19990712,53000.0000,53000.0000,53000.0000,53000.0000,0,0,0,0,0.0000
19990713,53000.0000,53000.0000,53000.0000,53000.0000,0,0,0,0,0.0000
19990714,53400.0000,53400.0000,53400.0000,53400.0000,0,0,0,0,0.0000
19990715,53400.0000,53400.0000,53400.0000,53400.0000,0,0,0,0,0.0000
19990716,54150.0000,54150.0000,54150.0000,54150.0000,0,0,0,0,0.0000
19990719,54500.0000,54500.0000,54500.0000,54500.0000,0,0,0,0,0.0000
19990720,53600.0000,53600.0000,53600.0000,53600.0000,0,0,0,0,0.0000
19990721,53450.0000,53450.0000,53450.0000,53450.0000,0,0,0,0,0.0000
19990722,53450.0000,53450.0000,53450.0000,53450.0000,0,0,0,0,0.0000
19990723,53450.0000,53450.0000,53450.0000,53450.0000,0,0,0,0,0.0000
19990726,53400.0000,53400.0000,53400.0000,53400.0000,0,0,0,0,0.0000
19990727,53500.0000,53500.0000,53400.0000,53500.0000,0,0,0,0,0.0000
19990728,54400.0000,54400.0000,54400.0000,54400.0000,0,0,0,0,0.0000
19990729,54250.0000,54250.0000,54250.0000,54250.0000,0,0,0,0,0.0000
19990730,54000.0000,54000.0000,54000.0000,54000.0000,0,0,0,0,0.0000
19990802,53450.0000,53450.0000,53450.0000,53450.0000,0,0,0,0,0.0000
19990803,53650.0000,53650.0000,53650.0000,53650.0000,0,0,0,0,0.0000
19990804,53450.0000,53450.0000,53450.0000,53450.0000,0,0,0,0,0.0000
19990805,52800.0000,52800.0000,52800.0000,52800.0000,0,0,0,0,0.0000
19990806,52750.0000,52750.0000,52750.0000,52750.0000,0,0,0,0,0.0000
19990809,52600.0000,52600.0000,52600.0000,52600.0000,0,0,0,0,0.0000
19990810,52410.0000,52410.0000,52410.0000,52410.0000,0,0,0,0,0.0000
19990812,52650.0000,52650.0000,52650.0000,52650.0000,0,0,0,0,0.0000
