DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
<<<<<<< HEAD
20060817,69000.0000,69000.0000,69000.0000,69000.0000,0,0,0,0,0.0000
20060821,69000.0000,69000.0000,69000.0000,69000.0000,0,15,0,0,0.0000
20060822,69500.0000,69500.0000,69500.0000,69500.0000,0,15,0,0,0.0000
20060823,69000.0000,69000.0000,69000.0000,69000.0000,0,15,0,0,0.0000
20060824,69500.0000,69500.0000,69500.0000,69500.0000,0,15,0,0,0.0000
20060825,70000.0000,70000.0000,70000.0000,70000.0000,0,15,0,0,0.0000
20060828,70000.0000,70000.0000,70000.0000,70000.0000,0,15,200610,200610,0.0000
20060829,68500.0000,68500.0000,68500.0000,68500.0000,0,15,0,0,-600.0000
20060830,67850.0000,67850.0000,67850.0000,67850.0000,0,10,0,0,0.0000
20060831,69000.0000,69000.0000,69000.0000,69000.0000,0,10,0,0,0.0000
20060901,67450.0000,67450.0000,67450.0000,67450.0000,0,10,0,0,0.0000
20060904,67000.0000,67000.0000,67000.0000,67000.0000,0,10,0,0,0.0000
20060905,65700.0000,65700.0000,65700.0000,65700.0000,0,10,0,0,0.0000
20060906,65950.0000,65950.0000,65950.0000,65950.0000,0,10,0,0,0.0000
20060907,65200.0000,65200.0000,65200.0000,65200.0000,0,10,0,0,0.0000
20060908,63850.0000,63850.0000,63850.0000,63850.0000,0,15,0,0,0.0000
20060911,62750.0000,62750.0000,62750.0000,62750.0000,0,15,0,0,0.0000
20060912,63500.0000,63500.0000,63500.0000,63500.0000,0,15,0,0,0.0000
20060913,63500.0000,63500.0000,63500.0000,63500.0000,0,15,0,0,0.0000
20060914,63650.0000,63650.0000,63650.0000,63650.0000,0,15,0,0,0.0000
20060915,64500.0000,64500.0000,64500.0000,64500.0000,0,15,0,0,0.0000
20060918,64500.0000,64500.0000,64500.0000,64500.0000,0,15,0,0,0.0000
20060919,63600.0000,63600.0000,63600.0000,63600.0000,0,15,0,0,0.0000
20060920,63000.0000,63000.0000,63000.0000,63000.0000,0,15,0,0,0.0000
20060921,63500.0000,63500.0000,63500.0000,63500.0000,0,15,0,0,0.0000
20060922,63450.0000,63450.0000,63450.0000,63450.0000,0,15,0,0,0.0000
20060925,62850.0000,62850.0000,62850.0000,62850.0000,0,15,200611,200611,0.0000
20060926,63750.0000,63750.0000,63750.0000,63750.0000,0,15,0,0,650.0000
20060927,64600.0000,64600.0000,64600.0000,64600.0000,0,15,0,0,0.0000
20060928,66500.0000,66500.0000,66500.0000,66500.0000,0,15,0,0,0.0000
20060929,67250.0000,67250.0000,67250.0000,67250.0000,0,15,0,0,0.0000
20061002,65250.0000,65250.0000,65250.0000,65250.0000,0,15,0,0,0.0000
20061003,64050.0000,64050.0000,64050.0000,64050.0000,0,15,0,0,0.0000
20061004,64050.0000,64050.0000,64050.0000,64050.0000,0,15,0,0,0.0000
20061005,63650.0000,63650.0000,63650.0000,63650.0000,0,15,0,0,0.0000
20061006,64450.0000,64450.0000,64450.0000,64450.0000,0,15,0,0,0.0000
