DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19840502,11420.0,11465.0,11405.0,11420.0,0,0,0,0,0.0
19840504,11255.0,11360.0,11255.0,11255.0,0,0,0,0,0.0
19840508,11005.0,11170.0,10990.0,11005.0,0,0,0,0,0.0
19840509,10930.0,11105.0,10900.0,10930.0,0,0,0,0,0.0
19840510,10800.0,10830.0,10690.0,10800.0,0,0,0,0,0.0
19840511,10580.0,10720.0,10540.0,10580.0,0,0,0,0,0.0
19840514,10665.0,10720.0,10550.0,10665.0,0,0,0,0,0.0
19840515,10785.0,10790.0,10690.0,10785.0,0,0,0,0,0.0
19840516,10840.0,10900.0,10795.0,10840.0,0,0,0,0,0.0
19840517,10910.0,11010.0,10910.0,10910.0,0,0,0,0,0.0
19840518,10815.0,10860.0,10750.0,10815.0,0,0,0,0,0.0
19840521,10855.0,10870.0,10805.0,10855.0,0,0,0,0,0.0
19840522,10675.0,10780.0,10635.0,10675.0,0,0,0,0,0.0
19840523,10535.0,10725.0,10520.0,10535.0,0,0,0,0,0.0
19840524,10435.0,10535.0,10360.0,10435.0,0,0,0,0,0.0
19840525,10455.0,10530.0,10320.0,10455.0,0,0,0,0,0.0
19840529,10460.0,10590.0,10460.0,10460.0,0,0,0,0,0.0
19840530,10235.0,10420.0,10235.0,10235.0,0,0,0,0,0.0
19840531,10175.0,10425.0,10065.0,10175.0,0,0,0,0,0.0
19840601,10410.0,10425.0,10270.0,10410.0,0,0,0,0,0.0
19840604,10680.0,10690.0,10490.0,10680.0,0,0,0,0,0.0
19840605,10660.0,10685.0,10530.0,10660.0,0,0,0,0,0.0
19840606,10720.0,10770.0,10675.0,10720.0,0,0,0,0,0.0
19840607,10610.0,10750.0,10595.0,10610.0,0,0,0,0,0.0
19840608,10600.0,10605.0,10495.0,10600.0,0,0,0,0,0.0
19840611,10685.0,10720.0,10655.0,10685.0,0,0,0,0,0.0
19840612,10575.0,10600.0,10490.0,10575.0,0,0,0,0,0.0
19840613,10600.0,10600.0,10510.0,10600.0,0,0,0,0,0.0
19840614,10455.0,10540.0,10445.0,10455.0,0,0,0,0,0.0
19840615,10425.0,10450.0,10290.0,10425.0,0,0,0,0,0.0
19840618,10390.0,10435.0,10310.0,10390.0,0,0,0,0,0.0
19840619,10500.0,10550.0,10485.0,10500.0,0,0,0,0,0.0
19840620,10335.0,10480.0,10320.0,10335.0,0,0,0,0,0.0
19840621,10375.0,10450.0,10340.0,10375.0,0,0,0,0,0.0
19840622,10290.0,10340.0,10270.0,10290.0,0,0,0,0,0.0
19840625,10310.0,10325.0,10290.0,10310.0,0,0,198409,198409,0.0
19840626,10135.0,10155.0,10125.0,10135.0,0,0,0,0,-105.0
19840627,10290.0,10290.0,10145.0,10290.0,0,0,0,0,0.0
19840628,10200.0,10280.0,10160.0,10200.0,0,0,0,0,0.0
19840629,10300.0,10350.0,10180.0,10300.0,0,0,0,0,0.0
19840702,10385.0,10385.0,10300.0,10385.0,0,0,0,0,0.0
19840703,10390.0,10410.0,10315.0,10390.0,0,0,0,0,0.0
19840704,10530.0,10570.0,10440.0,10530.0,0,0,0,0,0.0
19840705,10515.0,10560.0,10460.0,10515.0,0,0,0,0,0.0
19840706,10350.0,10470.0,10320.0,10350.0,0,0,0,0,0.0
19840709,10280.0,10310.0,10170.0,10280.0,0,0,0,0,0.0
19840710,10090.0,10285.0,10085.0,10090.0,0,0,0,0,0.0
19840711,9985.0,10010.0,9910.0,9985.0,0,0,0,0,0.0
19840712,9905.0,9960.0,9750.0,9905.0,0,0,0,0,0.0
19840713,9945.0,9995.0,9840.0,9945.0,0,0,0,0,0.0
19840716,10000.0,10045.0,9900.0,10000.0,0,0,0,0,0.0
19840717,10040.0,10050.0,9975.0,10040.0,0,0,0,0,0.0
19840718,10015.0,10095.0,9990.0,10015.0,0,0,0,0,0.0
19840719,9970.0,9990.0,9900.0,9970.0,0,0,0,0,0.0
19840720,10055.0,10110.0,10000.0,10055.0,0,0,0,0,0.0
19840723,9830.0,10030.0,9820.0,9830.0,0,0,0,0,0.0
19840724,9920.0,9925.0,9775.0,9920.0,0,0,0,0,0.0
19840725,9935.0,9960.0,9820.0,9935.0,0,0,0,0,0.0
19840726,10020.0,10050.0,9975.0,10020.0,0,0,0,0,0.0
19840727,9920.0,10020.0,9895.0,9920.0,0,0,0,0,0.0
19840730,9895.0,9950.0,9845.0,9895.0,0,0,0,0,0.0
19840731,10090.0,10090.0,9860.0,10090.0,0,0,0,0,0.0
19840801,10180.0,10190.0,10010.0,10180.0,0,0,0,0,0.0
19840802,10340.0,10345.0,10230.0,10340.0,0,0,0,0,0.0
19840803,10570.0,10640.0,10460.0,10570.0,0,0,0,0,0.0
19840806,10490.0,10625.0,10440.0,10490.0,0,0,0,0,0.0
19840807,10595.0,10610.0,10420.0,10595.0,0,0,0,0,0.0
19840808,10815.0,10830.0,10600.0,10815.0,0,0,0,0,0.0
19840809,10710.0,10800.0,10650.0,10710.0,0,0,0,0,0.0
19840810,10940.0,11010.0,10845.0,10940.0,0,0,0,0,0.0
19840813,10845.0,10970.0,10820.0,10845.0,0,0,0,0,0.0
19840814,10930.0,10950.0,10850.0,10930.0,0,0,0,0,0.0
19840815,10800.0,10950.0,10800.0,10800.0,0,0,0,0,0.0
19840816,10740.0,10770.0,10670.0,10740.0,0,0,0,0,0.0
19840817,10755.0,10755.0,10675.0,10755.0,0,0,0,0,0.0
19840820,10725.0,10775.0,10675.0,10725.0,0,0,0,0,0.0
19840821,10850.0,10850.0,10730.0,10850.0,0,0,0,0,0.0
19840822,10875.0,10950.0,10860.0,10875.0,0,0,0,0,0.0
19840823,10770.0,10825.0,10760.0,10770.0,0,0,0,0,0.0
19840824,10830.0,10835.0,10740.0,10830.0,0,0,0,0,0.0
19840828,10760.0,10820.0,10750.0,10760.0,0,0,0,0,0.0
19840829,10920.0,10920.0,10780.0,10920.0,0,0,0,0,0.0
19840830,10955.0,11010.0,10870.0,10955.0,0,0,0,0,0.0
19840831,11005.0,11050.0,10950.0,11005.0,0,0,0,0,0.0
19840903,11010.0,11040.0,10990.0,11010.0,0,0,0,0,0.0
19840904,10805.0,10950.0,10780.0,10805.0,0,0,0,0,0.0
19840905,10740.0,10740.0,10685.0,10740.0,0,0,0,0,0.0
19840906,10890.0,10895.0,10785.0,10890.0,0,0,0,0,0.0
