DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19920213,15570.0,15600.0,15345.0,15405.0,3082,1241,0,0,0.0
19920214,15340.0,15370.0,15270.0,15310.0,1707,1754,0,0,0.0
19920218,15300.0,15360.0,15060.0,15130.0,888,2061,0,0,0.0
19920219,15105.0,15120.0,14920.0,15025.0,557,2168,0,0,0.0
19920220,15000.0,15250.0,15000.0,15250.0,447,2246,0,0,0.0
19920221,15230.0,15320.0,15090.0,15225.0,528,2404,0,0,0.0
19920224,15190.0,15210.0,14990.0,15010.0,255,2427,0,0,0.0
19920225,14985.0,15015.0,14820.0,14885.0,540,2604,0,0,0.0
19920226,14900.0,15150.0,14900.0,15130.0,248,2560,0,0,0.0
19920227,15140.0,15210.0,15125.0,15180.0,277,2599,0,0,0.0
19920228,15225.0,15230.0,15050.0,15100.0,224,2660,0,0,0.0
19920302,15075.0,15115.0,15015.0,15110.0,343,2496,0,0,0.0
19920303,15050.0,15110.0,15050.0,15080.0,203,2492,0,0,0.0
19920304,15100.0,15100.0,14960.0,14965.0,495,2510,0,0,0.0
19920305,14920.0,14950.0,14725.0,14780.0,306,2529,199206,199206,0.0
19920306,14850.0,14965.0,14680.0,14725.0,695,759,0,0,130.0
19920309,14690.0,14730.0,14675.0,14690.0,736,863,0,0,0.0
19920310,14850.0,14880.0,14815.0,14815.0,447,919,0,0,0.0
19920311,14750.0,14810.0,14700.0,14730.0,903,1133,0,0,0.0
19920312,14730.0,14745.0,14600.0,14745.0,616,1246,0,0,0.0
19920313,14775.0,14815.0,14715.0,14740.0,827,1437,0,0,0.0
19920316,14720.0,14840.0,14710.0,14840.0,1020,1735,0,0,0.0
19920317,14870.0,14930.0,14830.0,14915.0,1012,2048,0,0,0.0
19920318,14890.0,15000.0,14885.0,14925.0,1012,2048,0,0,0.0
19920319,14960.0,15040.0,14940.0,14950.0,894,2129,0,0,0.0
19920320,14955.0,14980.0,14925.0,14945.0,375,2330,0,0,0.0
19920323,14930.0,14940.0,14910.0,14930.0,156,2318,0,0,0.0
19920324,14940.0,14960.0,14790.0,14810.0,205,2345,0,0,0.0
19920325,14810.0,14840.0,14785.0,14815.0,80,2343,0,0,0.0
19920326,14855.0,14855.0,14775.0,14790.0,158,2314,0,0,0.0
19920327,14730.0,14735.0,14525.0,14570.0,260,2396,0,0,0.0
19920330,14565.0,14575.0,14460.0,14475.0,196,2410,0,0,0.0
19920331,14480.0,14530.0,14460.0,14495.0,205,2416,0,0,0.0
19920401,14400.0,14545.0,14380.0,14520.0,371,2594,0,0,0.0
19920402,14540.0,14550.0,14280.0,14325.0,420,2801,0,0,0.0
19920403,14310.0,14330.0,14215.0,14305.0,286,2787,0,0,0.0
19920406,14360.0,14470.0,14350.0,14450.0,250,2837,0,0,0.0
19920407,14435.0,14450.0,14090.0,14100.0,384,2860,0,0,0.0
19920408,14050.0,14050.0,13790.0,13960.0,181,2903,0,0,0.0
19920409,14010.0,14425.0,13960.0,14390.0,505,2887,0,0,0.0
19920410,14440.0,14460.0,14310.0,14385.0,292,2824,0,0,0.0
19920413,14360.0,14370.0,14310.0,14350.0,73,2846,0,0,0.0
19920414,14500.0,14710.0,14500.0,14630.0,336,2876,0,0,0.0
19920415,14680.0,14690.0,14610.0,14685.0,370,2954,0,0,0.0
19920416,14670.0,14670.0,14445.0,14485.0,514,3123,0,0,0.0
19920420,14410.0,14450.0,14025.0,14140.0,371,3142,0,0,0.0
19920421,14160.0,14170.0,13940.0,13990.0,390,3069,0,0,0.0
19920422,13960.0,14085.0,13960.0,14080.0,417,2919,0,0,0.0
19920423,14090.0,14110.0,13950.0,14045.0,290,2911,0,0,0.0
19920424,14080.0,14100.0,13960.0,13960.0,95,2932,0,0,0.0
19920427,13995.0,14015.0,13930.0,13960.0,598,3394,0,0,0.0
19920428,13940.0,13960.0,13740.0,13805.0,340,3436,0,0,0.0
19920429,13850.0,14160.0,13850.0,14150.0,471,3536,0,0,0.0
19920430,14150.0,14395.0,14145.0,14380.0,1037,3527,0,0,0.0
19920501,14410.0,14425.0,14240.0,14310.0,799,3403,0,0,0.0
19920504,14320.0,14510.0,14320.0,14450.0,308,3309,0,0,0.0
19920505,14430.0,14560.0,14415.0,14545.0,353,3296,0,0,0.0
19920506,14600.0,14610.0,14490.0,14560.0,296,3332,0,0,0.0
19920507,14550.0,14570.0,14475.0,14530.0,267,3333,0,0,0.0
19920508,14555.0,14560.0,14440.0,14480.0,238,3314,0,0,0.0
19920511,14485.0,14570.0,14460.0,14560.0,190,3360,0,0,0.0
19920512,14575.0,14575.0,14430.0,14485.0,178,3346,0,0,0.0
19920513,14450.0,14470.0,14390.0,14415.0,303,3359,0,0,0.0
19920514,14380.0,14380.0,14205.0,14250.0,366,3383,0,0,0.0
19920515,14170.0,14300.0,14160.0,14300.0,197,3344,0,0,0.0
19920518,14350.0,14410.0,14340.0,14360.0,240,3405,0,0,0.0
19920519,14370.0,14440.0,14295.0,14440.0,316,3427,0,0,0.0
19920520,14410.0,14420.0,14360.0,14395.0,402,3461,0,0,0.0
19920521,14335.0,14340.0,14260.0,14300.0,252,3413,0,0,0.0
19920522,14320.0,14365.0,14310.0,14360.0,194,3523,0,0,0.0
19920526,14240.0,14270.0,14185.0,14240.0,216,3488,0,0,0.0
19920527,14220.0,14250.0,14200.0,14235.0,151,3550,0,0,0.0
