DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
<<<<<<< HEAD
19970506,68640.0100,68640.0100,68640.0100,68640.0100,0,0,0,0,0.0000
19970508,68400.0000,68560.0000,68400.0000,68400.0000,0,0,0,0,0.0000
19970509,68630.0000,68800.0000,68600.0000,68650.0000,0,0,0,0,0.0000
19970512,69320.0100,69420.0000,69320.0100,69420.0000,0,0,0,0,0.0000
19970513,69520.0000,69520.0000,69410.0000,69410.0000,0,0,0,0,0.0000
19970514,69350.0000,69550.0000,69350.0000,69550.0000,0,0,0,0,0.0000
19970515,69520.0000,69650.0000,69450.0000,69520.0000,0,0,0,0,0.0000
19970516,69400.0000,69400.0000,69400.0000,69400.0000,0,0,0,0,0.0000
19970519,69000.0100,69200.0000,69000.0100,69200.0000,0,0,0,0,0.0000
19970520,69150.0000,69200.0000,69150.0000,69200.0000,0,0,0,0,0.0000
19970521,69450.0000,69450.0000,69450.0000,69450.0000,0,0,0,0,0.0000
19970522,69650.0000,69650.0000,69350.0000,69450.0000,0,0,0,0,0.0000
19970523,68950.0000,68950.0000,68950.0000,68950.0000,0,0,0,0,0.0000
19970526,68950.0000,68950.0000,68950.0000,68950.0000,0,0,0,0,0.0000
19970527,68950.0000,69000.0100,68950.0000,68950.0000,0,0,0,0,0.0000
19970530,68950.0000,68950.0000,68950.0000,68950.0000,0,0,0,0,0.0000
19970602,68780.0000,68950.0000,68650.0000,68950.0000,0,0,0,0,0.0000
19970603,68950.0000,69000.0100,68700.0000,68950.0000,0,0,0,0,0.0000
19970604,68950.0000,68950.0000,68800.0000,68950.0000,0,0,0,0,0.0000
19970605,68750.0100,68750.0100,68600.0000,68750.0100,0,0,0,0,0.0000
19970606,68880.0000,68990.0000,68880.0000,68880.0000,0,0,0,0,0.0000
19970609,69000.0100,69050.0000,69000.0100,69000.0100,0,0,0,0,0.0000
19970610,69150.0000,69150.0000,69150.0000,69150.0000,0,0,0,0,0.0000
19970611,69250.0100,69250.0100,69250.0100,69250.0100,0,0,199709,199709,0.0000
19970612,69000.0100,69000.0100,69000.0100,69000.0100,0,0,0,0,-199.9900
19970613,69000.0100,69000.0100,68750.0100,69000.0100,0,0,0,0,0.0000
19970616,68950.0000,68950.0000,68900.0000,68950.0000,0,0,0,0,0.0000
19970617,68830.0000,68830.0000,68830.0000,68830.0000,0,0,0,0,0.0000
19970618,68830.0000,68830.0000,68830.0000,68830.0000,0,0,0,0,0.0000
19970619,68530.0000,68530.0000,68530.0000,68530.0000,0,0,0,0,0.0000
19970620,68400.0000,68400.0000,68200.0000,68400.0000,0,0,0,0,0.0000
19970623,68100.0100,68250.0000,68100.0100,68160.0000,0,0,0,0,0.0000
19970624,68160.0000,68200.0000,68100.0100,68160.0000,0,0,0,0,0.0000
19970625,68160.0000,68400.0000,68160.0000,68160.0000,0,0,0,0,0.0000
19970626,68500.0100,68500.0100,68500.0100,68500.0100,0,0,0,0,0.0000
19970627,67700.0000,68000.0000,67700.0000,67700.0000,0,0,0,0,0.0000
19970630,68000.0000,68000.0000,67750.0000,68000.0000,0,0,0,0,0.0000
19970701,67900.0000,67900.0000,67900.0000,67900.0000,0,0,0,0,0.0000
19970702,67800.0000,67800.0000,67730.0000,67800.0000,0,0,0,0,0.0000
19970703,67700.0000,67700.0000,67700.0000,67700.0000,0,0,0,0,0.0000
19970707,67700.0000,67700.0000,67440.0000,67700.0000,0,0,0,0,0.0000
19970708,67550.0000,67550.0000,67550.0000,67550.0000,0,0,0,0,0.0000
19970709,67350.0100,67350.0100,67120.0000,67350.0100,0,0,0,0,0.0000
19970710,67080.0000,67080.0000,67000.0000,67080.0000,0,0,0,0,0.0000
19970711,67080.0000,67080.0000,67080.0000,67080.0000,0,0,0,0,0.0000
19970714,66350.0000,66350.0000,66200.0100,66350.0000,0,0,0,0,0.0000
