DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900403,15800.0,16550.0,15800.0,16350.0,918,110,0,0,0.0
19900404,16200.0,16500.0,15990.0,16200.0,656,127,0,0,0.0
19900405,16150.0,16350.0,16100.0,16150.0,554,112,0,0,0.0
19900406,16150.0,16350.0,16100.0,16250.0,436,136,0,0,0.0
19900409,16120.0,16400.0,16120.0,16370.0,307,145,0,0,0.0
19900410,16250.0,16300.0,16130.0,16200.0,107,150,0,0,0.0
19900411,16100.0,16100.0,15950.0,16050.0,160,170,0,0,0.0
19900412,15950.0,16000.0,15900.0,15980.0,198,172,0,0,0.0
19900416,15970.0,16000.0,15920.0,15980.0,71,168,0,0,0.0
19900417,15940.0,16000.0,15850.0,15850.0,141,179,0,0,0.0
19900418,15830.0,15870.0,15830.0,15830.0,143,176,0,0,0.0
19900419,15810.0,15810.0,15500.0,15700.0,247,158,0,0,0.0
19900420,15600.0,15600.0,15400.0,15430.0,331,174,0,0,0.0
19900423,15250.0,15600.0,15250.0,15550.0,143,175,0,0,0.0
19900424,15400.0,15560.0,15400.0,15550.0,203,183,0,0,0.0
19900425,15600.0,15700.0,15520.0,15520.0,163,188,0,0,0.0
19900426,15550.0,15640.0,15550.0,15580.0,150,191,0,0,0.0
19900427,15600.0,15600.0,15500.0,15550.0,24,211,0,0,0.0
19900430,15650.0,15700.0,15650.0,15650.0,78,203,0,0,0.0
19900501,15750.0,15750.0,15650.0,15650.0,191,195,0,0,0.0
19900502,15750.0,15800.0,15750.0,15750.0,167,197,0,0,0.0
19900503,15750.0,15750.0,15750.0,15750.0,207,197,0,0,0.0
19900504,15700.0,15750.0,15700.0,15750.0,148,186,0,0,0.0
19900507,15800.0,15850.0,15750.0,15800.0,185,154,0,0,0.0
19900508,15840.0,15890.0,15820.0,15830.0,240,154,0,0,0.0
19900509,15870.0,15870.0,15760.0,15760.0,192,155,0,0,0.0
19900510,15800.0,15800.0,15740.0,15740.0,314,152,0,0,0.0
19900511,15710.0,15750.0,15650.0,15650.0,493,167,0,0,0.0
19900514,15590.0,15590.0,15550.0,15560.0,566,168,0,0,0.0
19900515,15550.0,15550.0,15520.0,15520.0,423,172,0,0,0.0
19900516,15590.0,15750.0,15590.0,15700.0,244,203,0,0,0.0
19900517,15700.0,15750.0,15700.0,15700.0,519,190,199007,199007,0.0
19900518,16220.0,16350.0,16100.0,16330.0,420,554,0,0,570.0
19900521,16200.0,16250.0,16150.0,16200.0,199,559,0,0,0.0
19900522,16100.0,16200.0,16050.0,16130.0,329,577,0,0,0.0
19900523,16030.0,16060.0,15970.0,16020.0,449,566,0,0,0.0
19900524,16020.0,16020.0,15950.0,16000.0,98,561,0,0,0.0
19900525,15950.0,16000.0,15900.0,15920.0,120,524,0,0,0.0
19900529,15850.0,15880.0,15850.0,15850.0,194,512,0,0,0.0
19900530,15850.0,15950.0,15850.0,15850.0,301,498,0,0,0.0
19900531,15850.0,16040.0,15850.0,15900.0,366,506,0,0,0.0
19900601,15870.0,15900.0,15850.0,15850.0,264,461,0,0,0.0
19900604,15850.0,15850.0,15700.0,15820.0,701,480,0,0,0.0
19900605,15700.0,15750.0,15670.0,15670.0,466,503,0,0,0.0
19900606,15620.0,15640.0,15560.0,15600.0,446,487,0,0,0.0
19900607,15650.0,15850.0,15650.0,15730.0,352,566,0,0,0.0
19900608,15650.0,15800.0,15640.0,15750.0,398,520,0,0,0.0
19900611,15730.0,15750.0,15650.0,15720.0,350,525,0,0,0.0
19900612,15690.0,15740.0,15530.0,15580.0,558,426,0,0,0.0
19900613,15500.0,15500.0,15430.0,15450.0,629,392,0,0,0.0
19900614,15400.0,15500.0,15400.0,15470.0,482,392,0,0,0.0
19900615,15400.0,15500.0,15400.0,15470.0,275,388,199008,199008,0.0
19900618,15750.0,15800.0,15700.0,15700.0,159,516,0,0,400.0
19900619,15650.0,15650.0,15600.0,15650.0,577,477,0,0,0.0
19900620,15610.0,15620.0,15570.0,15590.0,784,445,0,0,0.0
