<<<<<<< HEAD
DATE, OPEN, HIGH, LOW, CLOSE, VOL, OI, P, R, RINFO
19960410,12450.0000,12494.0000,12200.0000,12275.0000,2282,627,0,0,0.0000
19960411,12200.0000,12360.0000,12000.0000,12195.0000,1627,920,0,0,0.0000
19960412,12240.0000,12280.0000,12160.0000,12215.0000,686,941,0,0,0.0000
19960415,12240.0000,12355.0000,12220.0000,12325.0000,744,942,0,0,0.0000
19960416,12440.0000,12620.0000,12440.0000,12620.0000,1166,1120,0,0,0.0000
19960417,12580.0000,12655.0000,12470.0000,12530.0000,707,1129,0,0,0.0000
19960418,12580.0000,12760.0000,12580.0000,12742.0000,605,1186,0,0,0.0000
19960419,12895.0000,12910.0000,12740.0000,12760.0000,529,1368,0,0,0.0000
19960422,12920.0000,12974.0000,12912.0000,12970.0000,461,1345,0,0,0.0000
19960423,13010.0000,13166.0000,12945.0000,13156.0000,1092,1437,0,0,0.0000
19960424,13300.0000,13338.0000,13228.0000,13315.0000,873,1514,0,0,0.0000
19960425,13350.0000,13415.0000,13244.0000,13410.0000,1138,1699,0,0,0.0000
19960426,13470.0000,13480.0000,13380.0000,13416.0000,545,1854,0,0,0.0000
19960429,13310.0000,13430.0000,13310.0000,13405.0000,329,1851,0,0,0.0000
19960430,13400.0000,13420.0000,13330.0000,13380.0000,322,1877,0,0,0.0000
19960501,13365.0000,13550.0000,13360.0000,13527.0000,552,2010,0,0,0.0000
19960502,13465.0000,13530.0000,13210.0000,13232.0000,1496,2203,0,0,0.0000
19960503,13338.0000,13450.0000,13170.0000,13290.0000,1677,2531,0,0,0.0000
19960506,13347.0000,13360.0000,13180.0000,13330.0000,972,2800,0,0,0.0000
19960507,13350.0000,13385.0000,13240.0000,13260.0000,851,3018,0,0,0.0000
19960508,13218.0000,13355.0000,12990.0000,13350.0000,2055,2720,0,0,0.0000
19960509,13360.0000,13450.0000,13265.0000,13330.0000,577,2699,0,0,0.0000
19960510,13460.0000,13535.0000,13400.0000,13530.0000,725,2752,0,0,0.0000
19960513,13510.0000,13845.0000,13510.0000,13835.0000,1319,2862,0,0,0.0000
19960514,13908.0000,14010.0000,13865.0000,13980.0000,1152,3149,0,0,0.0000
19960515,13979.0000,14100.0000,13880.0000,13884.0000,1927,3309,0,0,0.0000
19960516,13800.0000,13980.0000,13740.0000,13960.0000,930,3152,0,0,0.0000
19960517,14040.0000,14040.0000,13890.0000,13900.0000,2615,3456,0,0,0.0000
19960520,13990.0000,14010.0000,13870.0000,13925.0000,1011,3573,0,0,0.0000
19960521,13940.0000,13958.0000,13800.0000,13812.0000,549,3403,0,0,0.0000
19960522,13796.0000,13880.0000,13745.0000,13805.0000,814,3331,0,0,0.0000
19960523,13810.0000,13930.0000,13785.0000,13860.0000,773,3434,0,0,0.0000
19960524,13920.0000,13940.0000,13810.0000,13842.0000,481,3457,0,0,0.0000
19960528,13865.0000,13885.0000,13705.0000,13760.0000,519,3327,0,0,0.0000
19960529,13760.0000,13785.0000,13541.0000,13580.0000,1455,3502,0,0,0.0000
19960530,13560.0000,13740.0000,13530.0000,13710.0000,705,3337,0,0,0.0000
19960531,13780.0000,13892.0000,13720.0000,13820.0000,1962,3668,0,0,0.0000
19960603,13790.0000,13910.0000,13770.0000,13825.0000,995,3807,0,0,0.0000
19960604,13920.0000,13920.0000,13760.0000,13870.0000,805,3929,0,0,0.0000
19960605,13840.0000,14010.0000,13816.0000,13990.0000,1018,4073,0,0,0.0000
19960606,14090.0000,14090.0000,13730.0000,13731.0000,1399,4027,199609,199609,0.0000
19960607,13840.0000,14009.0000,13830.0000,14009.0000,2453,1204,0,0,440.0000
19960610,13980.0000,14011.0000,13950.0000,13950.0000,809,1266,0,0,0.0000
19960611,13990.0000,14095.0000,13960.0000,14020.0000,1297,1450,0,0,0.0000
19960612,14115.0000,14200.0000,14090.0000,14145.0000,1230,1522,0,0,0.0000
19960613,14120.0000,14120.0000,13925.0000,14020.0000,1467,1990,0,0,0.0000
19960614,14035.0000,14035.0000,13815.0000,13815.0000,1030,2331,0,0,0.0000
19960617,13840.0000,13845.0000,13700.0000,13761.0000,1037,2674,0,0,0.0000
19960618,13790.0000,13790.0000,13470.0000,13490.0000,2601,3363,0,0,0.0000
19960619,13520.0000,13635.0000,13491.0000,13530.0000,1022,3536,0,0,0.0000
19960620,13570.0000,13595.0000,13130.0000,13455.0000,5029,5210,0,0,0.0000
19960621,13580.0000,13620.0000,13497.0000,13620.0000,1092,5336,0,0,0.0000
19960624,13640.0000,13770.0000,13590.0000,13670.0000,893,5449,0,0,0.0000
19960625,13740.0000,13740.0000,13505.0000,13515.0000,946,5454,0,0,0.0000
19960626,13500.0000,13520.0000,13175.0000,13320.0000,1821,5377,0,0,0.0000
19960627,13330.0000,13560.0000,13220.0000,13550.0000,1160,5380,0,0,0.0000
19960628,13660.0000,13770.0000,13605.0000,13700.0000,1333,5348,0,0,0.0000
19960701,13730.0000,13922.0000,13710.0000,13895.0000,546,5461,0,0,0.0000
19960702,13874.0000,13874.0000,13754.0000,13757.0000,767,5617,0,0,0.0000
19960703,13730.0000,13750.0000,13600.0000,13618.0000,727,5612,0,0,0.0000
19960705,13250.0000,13465.0000,13240.0000,13280.0000,440,5532,0,0,0.0000
19960708,13260.0000,13405.0000,13225.0000,13255.0000,1621,5719,0,0,0.0000
19960709,13360.0000,13390.0000,13290.0000,13322.0000,621,5705,0,0,0.0000
19960710,13300.0000,13333.0000,13100.0000,13318.0000,2191,5437,0,0,0.0000
19960711,13140.0000,13160.0000,12660.0000,12863.0000,2896,5543,0,0,0.0000
19960712,12980.0000,13020.0000,12640.0000,12785.0000,2452,5859,0,0,0.0000
19960715,12760.0000,12770.0000,12210.0000,12245.0000,2588,5982,0,0,0.0000
19960716,12240.0000,12460.0000,11645.0000,12450.0000,3563,6385,0,0,0.0000
19960717,12600.0000,12840.0000,12500.0000,12707.0000,3530,6622,0,0,0.0000
19960718,12760.0000,12970.0000,12650.0000,12950.0000,3176,6678,0,0,0.0000
19960719,12900.0000,12900.0000,12600.0000,12753.0000,2851,6223,0,0,0.0000
19960722,12662.0000,12662.0000,12480.0000,12570.0000,2321,6130,0,0,0.0000
19960723,12680.0000,12690.0000,12005.0000,12023.0000,1816,6332,0,0,0.0000
19960724,11780.0000,12300.0000,11690.0000,12205.0000,2362,6128,0,0,0.0000
19960725,12201.0000,12510.0000,12201.0000,12495.0000,1307,5892,0,0,0.0000
19960726,12517.0000,12750.0000,12510.0000,12742.0000,1355,5596,0,0,0.0000
19960729,12710.0000,12820.0000,12450.0000,12470.0000,1117,5790,0,0,0.0000
19960730,12620.0000,12710.0000,12450.0000,12705.0000,1344,6010,0,0,0.0000
19960731,12720.0000,12900.0000,12630.0000,12800.0000,1520,5711,0,0,0.0000
19960801,12790.0000,13125.0000,12790.0000,13035.0000,1561,5691,0,0,0.0000
19960802,13240.0000,13495.0000,13240.0000,13427.0000,2314,5083,0,0,0.0000
19960805,13440.0000,13480.0000,13300.0000,13308.0000,1245,5151,0,0,0.0000
19960806,13200.0000,13500.0000,13160.0000,13481.0000,1627,5009,0,0,0.0000
19960807,13560.0000,13705.0000,13445.0000,13682.0000,2305,4884,0,0,0.0000
19960808,13620.0000,13710.0000,13600.0000,13635.0000,763,4723,0,0,0.0000
19960809,13540.0000,13715.0000,13510.0000,13585.0000,936,4652,0,0,0.0000
19960812,13590.0000,13680.0000,13485.0000,13632.0000,1075,4705,0,0,0.0000
19960813,13540.0000,13670.0000,13385.0000,13420.0000,1759,4701,0,0,0.0000
19960814,13460.0000,13625.0000,13460.0000,13625.0000,1072,4756,0,0,0.0000
19960815,13581.0000,13690.0000,13565.0000,13590.0000,915,4670,0,0,0.0000
19960816,13610.0000,13670.0000,13480.0000,13530.0000,1452,4406,0,0,0.0000
19960819,13530.0000,13530.0000,13400.0000,13450.0000,696,4395,0,0,0.0000
19960820,13480.0000,13480.0000,13331.0000,13365.0000,761,4366,0,0,0.0000
19960821,13320.0000,13410.0000,13100.0000,13397.0000,1106,4071,0,0,0.0000
19960822,13420.0000,13658.0000,13420.0000,13658.0000,1270,3834,0,0,0.0000
19960823,13580.0000,13750.0000,13570.0000,13600.0000,993,3916,0,0,0.0000
19960826,13530.0000,13570.0000,13470.0000,13495.0000,818,3854,0,0,0.0000
19960827,13560.0000,13620.0000,13515.0000,13619.0000,619,3796,0,0,0.0000
19960828,13620.0000,13665.0000,13580.0000,13630.0000,461,3733,0,0,0.0000
19960829,13580.0000,13598.0000,13440.0000,13444.0000,1355,3836,0,0,0.0000
19960830,13448.0000,13470.0000,13285.0000,13308.0000,733,3920,0,0,0.0000
19960903,13205.0000,13410.0000,13025.0000,13392.0000,1592,3763,0,0,0.0000
19960904,13370.0000,13448.0000,13320.0000,13370.0000,2985,5297,0,0,0.0000
19960905,13280.0000,13360.0000,13060.0000,13065.0000,2507,5471,199612,199612,0.0000
19960906,13370.0000,13510.0000,13280.0000,13480.0000,2151,573,0,0,370.0000
19960909,13555.0000,13600.0000,13460.0000,13589.0000,1092,582,0,0,0.0000
19960910,13570.0000,13619.0000,13570.0000,13619.0000,1531,635,0,0,0.0000
19960911,13520.0000,13715.0000,13520.0000,13655.0000,1719,918,0,0,0.0000
19960912,13760.0000,13910.0000,13660.0000,13900.0000,2605,2034,0,0,0.0000
19960913,14100.0000,14355.0000,14080.0000,14330.0000,3962,2654,0,0,0.0000
19960916,14365.0000,14520.0000,14335.0000,14355.0000,4478,3282,0,0,0.0000
19960917,14400.0000,14670.0000,14380.0000,14652.0000,5344,4762,0,0,0.0000
19960918,14670.0000,14880.0000,14510.0000,14722.0000,3564,5707,0,0,0.0000
19960919,14680.0000,14945.0000,14670.0000,14893.0000,4828,7245,0,0,0.0000
19960920,14893.0000,15111.0000,14810.0000,15044.0000,4195,7995,0,0,0.0000
19960923,14960.0000,14980.0000,14775.0000,14815.0000,2236,7954,0,0,0.0000
19960924,14815.0000,15050.0000,14660.0000,14900.0000,2395,8249,0,0,0.0000
19960925,14870.0000,15100.0000,14800.0000,15080.0000,1947,8515,0,0,0.0000
19960926,15160.0000,15330.0000,14980.0000,15068.0000,5090,9228,0,0,0.0000
19960927,15065.0000,15130.0000,14965.0000,15030.0000,3794,9476,0,0,0.0000
19960930,15040.0000,15160.0000,14880.0000,14885.0000,2752,10061,0,0,0.0000
19961001,14900.0000,14990.0000,14730.0000,14850.0000,3110,10424,0,0,0.0000
19961002,14880.0000,15170.0000,14880.0000,15112.0000,2517,10358,0,0,0.0000
19961003,15150.0000,15210.0000,15000.0000,15008.0000,2359,10683,0,0,0.0000
19961004,15110.0000,15360.0000,15100.0000,15345.0000,2226,10869,0,0,0.0000
19961007,15360.0000,15500.0000,15320.0000,15479.0000,1737,11097,0,0,0.0000
