DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19910101,121975.0,121975.0,120750.0,121250.0,0,0,0,0,0.0
19910103,122750.0,122750.0,120750.0,120850.0,0,0,0,0,0.0
19910104,123000.0,123500.0,121800.0,123500.0,0,0,0,0,0.0
19910107,119950.0,120375.0,119000.0,119000.0,0,0,0,0,0.0
19910108,116000.0,117175.0,115875.0,116100.0,0,0,0,0,0.0
19910109,119000.0,120600.0,113000.0,113150.0,0,0,0,0,0.0
19910110,117375.0,117650.0,117250.0,117650.0,0,0,0,0,0.0
19910111,117550.0,118875.0,117550.0,118800.0,0,0,0,0,0.0
19910114,115950.0,116500.0,114750.0,116450.0,0,0,0,0,0.0
19910115,116000.0,116750.0,115550.0,116100.0,0,0,0,0,0.0
19910116,113475.0,115625.0,113475.0,115000.0,0,0,0,0,0.0
19910117,119500.0,119500.0,119500.0,119500.0,0,0,0,0,0.0
19910118,120975.0,123450.0,120550.0,123300.0,0,0,0,0,0.0
19910121,118800.0,119950.0,118800.0,119500.0,0,0,0,0,0.0
19910122,119025.0,119450.0,117625.0,117675.0,0,0,0,0,0.0
19910123,117450.0,118450.0,117450.0,118050.0,0,0,0,0,0.0
19910124,119325.0,120650.0,119275.0,120075.0,0,0,0,0,0.0
19910125,120500.0,120750.0,119950.0,120675.0,0,0,0,0,0.0
19910128,119500.0,120000.0,119150.0,119525.0,0,0,0,0,0.0
19910129,119250.0,119250.0,118825.0,119150.0,0,0,0,0,0.0
19910130,119550.0,120700.0,119500.0,120700.0,0,0,0,0,0.0
19910131,117750.0,118275.0,117675.0,118225.0,0,0,0,0,0.0
19910201,118250.0,118375.0,116800.0,117750.0,0,0,0,0,0.0
19910204,118250.0,119750.0,118200.0,119575.0,0,0,0,0,0.0
19910205,121125.0,122000.0,120900.0,122000.0,0,0,0,0,0.0
19910206,120900.0,122575.0,120650.0,122200.0,0,0,0,0,0.0
19910207,122400.0,123600.0,121425.0,121500.0,0,0,0,0,0.0
19910208,122500.0,123300.0,122300.0,123200.0,0,0,0,0,0.0
19910211,123625.0,125300.0,123500.0,124025.0,0,0,0,0,0.0
19910212,125125.0,126225.0,124875.0,125500.0,0,0,0,0,0.0
19910213,126750.0,128400.0,126450.0,128075.0,0,0,0,0,0.0
19910214,127575.0,128275.0,127175.0,127175.0,0,0,0,0,0.0
19910215,128250.0,130000.0,127700.0,129650.0,0,0,0,0,0.0
19910219,132500.0,132900.0,132050.0,132425.0,0,0,0,0,0.0
19910220,131750.0,131750.0,130600.0,130975.0,0,0,0,0,0.0
19910221,131550.0,132375.0,131175.0,131200.0,0,0,0,0,0.0
19910222,130800.0,131550.0,130250.0,130600.0,0,0,0,0,0.0
19910225,134150.0,134150.0,133025.0,133750.0,0,0,0,0,0.0
19910226,131875.0,131875.0,130775.0,131000.0,0,0,0,0,0.0
19910227,131400.0,133150.0,131000.0,132425.0,0,0,0,0,0.0
19910228,132625.0,132875.0,130500.0,130500.0,0,0,0,0,0.0
19910301,129000.0,130050.0,128500.0,129875.0,0,0,0,0,0.0
19910304,130850.0,130875.0,130250.0,130550.0,0,0,199106,199106,0.0
19910305,133750.0,135600.0,133750.0,134850.0,0,0,0,0,3100.0
19910306,136750.0,136750.0,135650.0,135750.0,0,0,0,0,0.0
19910307,135250.0,135250.0,134525.0,135150.0,0,0,0,0,0.0
19910308,135875.0,136500.0,135300.0,135500.0,0,0,0,0,0.0
19910311,136400.0,136450.0,135850.0,135950.0,0,0,0,0,0.0
19910312,136200.0,136200.0,135700.0,135850.0,0,0,0,0,0.0
19910313,134950.0,136300.0,134850.0,136275.0,0,0,0,0,0.0
19910314,136750.0,137050.0,135900.0,136100.0,0,0,0,0,0.0
19910315,138500.0,138625.0,138050.0,138100.0,0,0,0,0,0.0
19910318,138950.0,139000.0,138375.0,138825.0,0,0,0,0,0.0
19910319,137625.0,137900.0,136250.0,137000.0,0,0,0,0,0.0
19910320,136225.0,137150.0,136075.0,136525.0,0,0,0,0,0.0
19910321,137000.0,137700.0,136750.0,137050.0,0,0,0,0,0.0
19910322,136975.0,137125.0,136275.0,136675.0,0,0,0,0,0.0
19910325,136600.0,136750.0,136300.0,136625.0,0,0,0,0,0.0
19910326,134900.0,135950.0,134875.0,135950.0,0,0,0,0,0.0
19910327,134000.0,134350.0,133250.0,133350.0,0,0,0,0,0.0
19910328,133475.0,133550.0,132500.0,132750.0,0,0,0,0,0.0
19910401,131750.0,132100.0,131125.0,131325.0,0,0,0,0,0.0
19910402,133900.0,135250.0,133500.0,135050.0,0,0,0,0,0.0
19910403,136775.0,137075.0,135900.0,135900.0,0,0,0,0,0.0
19910404,136250.0,136425.0,135625.0,136150.0,0,0,0,0,0.0
19910405,136800.0,137300.0,135625.0,135700.0,0,0,0,0,0.0
19910408,135000.0,135000.0,134525.0,134875.0,0,0,0,0,0.0
19910409,134000.0,134150.0,132825.0,132850.0,0,0,0,0,0.0
19910410,134000.0,134000.0,132550.0,133125.0,0,0,0,0,0.0
19910411,133175.0,134125.0,133000.0,133800.0,0,0,0,0,0.0
19910412,135750.0,136000.0,134750.0,135525.0,0,0,0,0,0.0
19910415,136375.0,136500.0,135650.0,136150.0,0,0,0,0,0.0
19910416,136700.0,138025.0,136400.0,137875.0,0,0,0,0,0.0
19910417,137125.0,137575.0,136900.0,137450.0,0,0,0,0,0.0
19910418,136125.0,136250.0,135700.0,135925.0,0,0,0,0,0.0
19910419,135250.0,135300.0,134200.0,134225.0,0,0,0,0,0.0
19910422,133725.0,133725.0,132900.0,133050.0,0,0,0,0,0.0
19910423,134950.0,135050.0,134675.0,135025.0,0,0,0,0,0.0
19910424,133800.0,133975.0,133525.0,133775.0,0,0,0,0,0.0
19910425,132950.0,133175.0,132425.0,132475.0,0,0,0,0,0.0
19910426,132800.0,132850.0,132325.0,132550.0,0,0,0,0,0.0
19910429,132900.0,133325.0,132525.0,132525.0,0,0,0,0,0.0
19910430,132125.0,132850.0,131850.0,132575.0,0,0,0,0,0.0
19910501,134075.0,135100.0,134075.0,134975.0,0,0,0,0,0.0
19910502,134850.0,135100.0,134700.0,135050.0,0,0,0,0,0.0
19910503,134650.0,134875.0,134450.0,134450.0,0,0,0,0,0.0
19910506,134450.0,134525.0,134150.0,134325.0,0,0,0,0,0.0
19910507,133750.0,133750.0,133200.0,133225.0,0,0,0,0,0.0
19910508,133400.0,133625.0,133250.0,133625.0,0,0,0,0,0.0
19910509,133375.0,133750.0,133100.0,133625.0,0,0,0,0,0.0
19910510,133575.0,133625.0,131725.0,132025.0,0,0,0,0,0.0
19910513,132275.0,132525.0,132000.0,132225.0,0,0,0,0,0.0
19910514,131875.0,131875.0,130775.0,130900.0,0,0,0,0,0.0
19910515,130275.0,130300.0,129500.0,129725.0,0,0,0,0,0.0
19910516,129125.0,129950.0,129125.0,129750.0,0,0,0,0,0.0
19910517,130100.0,130300.0,129750.0,130175.0,0,0,0,0,0.0
19910520,128125.0,128400.0,127900.0,128200.0,0,0,0,0,0.0
19910521,129100.0,129550.0,129050.0,129350.0,0,0,0,0,0.0
19910522,128500.0,129125.0,128500.0,128875.0,0,0,0,0,0.0
19910523,129500.0,129500.0,128850.0,128925.0,0,0,0,0,0.0
19910524,128750.0,129450.0,128750.0,129400.0,0,0,0,0,0.0
19910528,128500.0,129150.0,128250.0,129050.0,0,0,0,0,0.0
19910529,128900.0,128900.0,128550.0,128850.0,0,0,0,0,0.0
19910530,129150.0,130000.0,129000.0,129925.0,0,0,0,0,0.0
19910531,130075.0,130625.0,130075.0,130500.0,0,0,0,0,0.0
19910603,129200.0,129700.0,129125.0,129250.0,0,0,0,0,0.0
19910604,128650.0,128775.0,128425.0,128750.0,0,0,0,0,0.0
19910605,126950.0,127000.0,126500.0,126500.0,0,0,0,0,0.0
19910606,126100.0,126250.0,125750.0,126150.0,0,0,0,0,0.0
19910607,125925.0,125925.0,125100.0,125200.0,0,0,0,0,0.0
