DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,7675.0,7675.0,7562.5,7562.5,411,8267,0,0,0.0
19900103,7525.0,7662.5,7512.5,7650.0,869,8360,0,0,0.0
19900104,7750.0,7750.0,7500.0,7537.5,1812,8187,0,0,0.0
19900105,7525.0,7600.0,7525.0,7587.5,284,8117,0,0,0.0
19900108,7612.5,7650.0,7475.0,7537.5,977,8049,0,0,0.0
19900109,7575.0,7587.5,7475.0,7475.0,506,7996,0,0,0.0
19900110,7325.0,7400.0,7250.0,7250.0,3862,7608,0,0,0.0
19900111,7225.0,7250.0,7162.5,7175.0,1597,7608,0,0,0.0
19900112,7200.0,7237.5,7125.0,7150.0,1227,7620,0,0,0.0
19900115,7137.5,7187.5,7125.0,7175.0,584,7562,0,0,0.0
19900116,7150.0,7200.0,7112.5,7112.5,827,7608,0,0,0.0
19900117,7087.5,7100.0,6937.5,6975.0,1644,7417,0,0,0.0
19900118,6875.0,6962.5,6875.0,6912.5,2013,7413,0,0,0.0
19900119,6962.5,7000.0,6912.5,6950.0,1063,7318,0,0,0.0
19900122,6912.5,6950.0,6787.5,6837.5,1832,7014,0,0,0.0
19900123,6850.0,6937.5,6825.0,6925.0,783,6925,0,0,0.0
19900124,6912.5,6975.0,6912.5,6950.0,283,6896,0,0,0.0
19900125,6912.5,6925.0,6850.0,6850.0,759,6836,0,0,0.0
19900126,6825.0,6887.5,6812.5,6862.5,573,6837,0,0,0.0
19900129,6900.0,6925.0,6800.0,6912.5,881,6793,0,0,0.0
19900130,6937.5,6937.5,6850.0,6862.5,389,6749,0,0,0.0
19900131,6825.0,6825.0,6750.0,6762.5,1487,6620,0,0,0.0
19900201,6737.5,6887.5,6675.0,6787.5,1892,6337,0,0,0.0
19900202,6737.5,6812.5,6725.0,6800.0,947,6122,0,0,0.0
19900205,6762.5,6762.5,6725.0,6750.0,1185,5920,0,0,0.0
19900206,6737.5,6787.5,6737.5,6775.0,922,5860,0,0,0.0
19900207,6750.0,6862.5,6750.0,6862.5,1494,5735,0,0,0.0
19900208,6850.0,6850.0,6800.0,6850.0,701,5628,0,0,0.0
19900209,6862.5,6925.0,6837.5,6900.0,1022,5469,0,0,0.0
19900212,6925.0,6975.0,6900.0,6975.0,1743,5184,199005,199005,0.0
19900213,7400.0,7475.0,7400.0,7425.0,1589,4103,0,0,425.0
19900214,7412.5,7475.0,7375.0,7475.0,1951,4531,0,0,0.0
19900215,7475.0,7487.5,7437.5,7450.0,1376,4640,0,0,0.0
19900216,7425.0,7425.0,7325.0,7337.5,615,4689,0,0,0.0
19900220,7250.0,7287.5,7125.0,7137.5,2393,4898,0,0,0.0
19900221,7100.0,7225.0,7100.0,7212.5,2219,5110,0,0,0.0
19900222,7200.0,7300.0,7162.5,7237.5,2196,5316,0,0,0.0
19900223,7225.0,7275.0,7225.0,7250.0,1273,5335,0,0,0.0
19900226,7237.5,7275.0,7200.0,7237.5,2522,5610,0,0,0.0
19900227,7200.0,7212.5,7162.5,7212.5,3236,5956,0,0,0.0
19900228,7237.5,7362.5,7237.5,7362.5,2469,6051,0,0,0.0
19900301,7450.0,7487.5,7400.0,7425.0,2890,6169,0,0,0.0
19900302,7425.0,7450.0,7337.5,7412.5,1743,6298,0,0,0.0
19900305,7400.0,7462.5,7387.5,7462.5,2052,6240,0,0,0.0
19900306,7550.0,7575.0,7475.0,7537.5,2814,6304,0,0,0.0
19900307,7537.5,7562.5,7462.5,7475.0,1192,6296,0,0,0.0
19900308,7425.0,7575.0,7400.0,7575.0,1072,6361,0,0,0.0
19900309,7600.0,7662.5,7600.0,7637.5,2752,6559,0,0,0.0
19900312,7687.5,7712.5,7637.5,7712.5,1201,6579,0,0,0.0
19900313,7650.0,7662.5,7550.0,7575.0,1945,6677,0,0,0.0
19900314,7525.0,7525.0,7400.0,7437.5,1724,6743,0,0,0.0
19900315,7300.0,7437.5,7300.0,7437.5,2958,6255,0,0,0.0
19900316,7475.0,7525.0,7450.0,7500.0,1068,6217,0,0,0.0
19900319,7487.5,7650.0,7487.5,7612.5,1723,5966,0,0,0.0
19900320,7625.0,7625.0,7525.0,7575.0,524,5900,0,0,0.0
19900321,7575.0,7587.5,7425.0,7437.5,952,5880,0,0,0.0
19900322,7400.0,7550.0,7400.0,7487.5,1402,5820,0,0,0.0
19900323,7450.0,7462.5,7325.0,7387.5,1189,5753,0,0,0.0
19900326,7362.5,7487.5,7337.5,7475.0,767,5642,0,0,0.0
19900327,7500.0,7500.0,7387.5,7400.0,594,5617,0,0,0.0
19900328,7337.5,7350.0,7250.0,7262.5,1652,5501,0,0,0.0
19900329,7250.0,7362.5,7250.0,7337.5,745,5473,0,0,0.0
19900330,7337.5,7525.0,7337.5,7500.0,1598,5446,0,0,0.0
19900402,7587.5,7600.0,7550.0,7562.5,1136,5432,0,0,0.0
19900403,7562.5,7612.5,7562.5,7612.5,2245,4991,0,0,0.0
19900404,7625.0,7687.5,7612.5,7612.5,1830,4804,0,0,0.0
