DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,25208.0,25208.0,25208.0,25208.0,3047,5292,0,0,0.0
19900103,25275.0,26408.0,24975.0,26288.0,5417,4562,0,0,0.0
19900104,26325.0,26460.0,25740.0,25890.0,3115,4463,0,0,0.0
19900105,25770.0,26640.0,25770.0,26640.0,1524,4322,0,0,0.0
19900108,27390.0,27390.0,27390.0,27390.0,819,4238,0,0,0.0
19900109,28140.0,28140.0,28140.0,28140.0,2721,4306,0,0,0.0
19900110,28200.0,29100.0,28088.0,28275.0,5323,3924,0,0,0.0
19900111,28200.0,28410.0,28020.0,28275.0,2685,3910,0,0,0.0
19900112,29025.0,29025.0,29025.0,29025.0,1111,3819,0,0,0.0
19900115,29775.0,29775.0,28875.0,29273.0,3323,4096,0,0,0.0
19900116,29100.0,30023.0,29025.0,29805.0,2256,4152,0,0,0.0
19900117,29775.0,30150.0,29700.0,30075.0,2875,4259,0,0,0.0
19900118,29850.0,29955.0,29325.0,29325.0,2712,4472,0,0,0.0
19900119,29175.0,29850.0,29175.0,29670.0,1663,4524,0,0,0.0
19900122,30375.0,30975.0,30375.0,30803.0,1981,4282,0,0,0.0
19900123,30863.0,30863.0,30450.0,30675.0,3217,4104,0,0,0.0
19900124,30188.0,30338.0,29190.0,29273.0,2296,3989,0,0,0.0
19900125,29400.0,29700.0,29115.0,29610.0,3003,3891,0,0,0.0
19900126,29475.0,29610.0,29138.0,29520.0,1709,3955,0,0,0.0
19900129,29663.0,29843.0,29025.0,29640.0,1495,3942,0,0,0.0
19900130,29640.0,29693.0,29363.0,29588.0,770,3901,0,0,0.0
19900131,29550.0,29738.0,29490.0,29715.0,1123,3967,0,0,0.0
19900201,29738.0,29760.0,29415.0,29490.0,974,3963,0,0,0.0
19900202,29340.0,29565.0,29288.0,29550.0,1020,3942,0,0,0.0
19900205,29325.0,29400.0,28538.0,28598.0,2370,4005,0,0,0.0
19900206,28200.0,29325.0,28140.0,29258.0,2934,3942,0,0,0.0
19900207,29175.0,30000.0,28838.0,29768.0,3027,3812,0,0,0.0
19900208,29625.0,29888.0,29475.0,29775.0,2000,3763,0,0,0.0
19900209,29640.0,29738.0,29445.0,29663.0,1499,3533,0,0,0.0
19900212,29363.0,29685.0,29190.0,29648.0,1629,3477,0,0,0.0
19900213,29715.0,30563.0,29715.0,30510.0,2339,3337,0,0,0.0
19900214,30510.0,30510.0,30165.0,30360.0,1013,3257,0,0,0.0
19900215,30360.0,30435.0,30083.0,30180.0,742,3229,0,0,0.0
19900216,30083.0,30090.0,29790.0,29948.0,834,3160,0,0,0.0
19900220,30000.0,30143.0,29970.0,30113.0,871,3083,0,0,0.0
19900221,30113.0,30263.0,30000.0,30158.0,1509,2968,0,0,0.0
19900222,30338.0,30338.0,29475.0,29730.0,1360,2812,199005,199005,0.0
19900223,29025.0,29130.0,28830.0,28958.0,1842,4586,0,0,-750.0
19900226,28755.0,28800.0,28515.0,28553.0,2751,4840,0,0,0.0
19900227,28515.0,29025.0,28440.0,28748.0,2198,5051,0,0,0.0
19900228,28575.0,28860.0,28523.0,28628.0,1524,5024,0,0,0.0
19900301,28725.0,28845.0,28590.0,28620.0,1178,5258,0,0,0.0
