DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,13400.0,13575.0,13200.0,13570.0,169,4179,0,0,0.0
19900103,13570.0,13575.0,13400.0,13475.0,109,4156,0,0,0.0
19900104,13650.0,13650.0,13500.0,13625.0,110,4176,0,0,0.0
19900105,13700.0,13900.0,13550.0,13690.0,309,4241,0,0,0.0
19900108,13700.0,13750.0,13650.0,13680.0,1,4178,0,0,0.0
19900109,13670.0,13750.0,13650.0,13695.0,422,4145,0,0,0.0
19900110,13700.0,13775.0,13700.0,13770.0,119,4157,0,0,0.0
19900111,13775.0,13790.0,13700.0,13725.0,153,4151,0,0,0.0
19900112,13800.0,13900.0,13800.0,13830.0,372,4200,0,0,0.0
19900115,13875.0,13990.0,13850.0,13910.0,575,3993,0,0,0.0
19900116,13800.0,13850.0,13500.0,13720.0,268,4015,0,0,0.0
19900117,13725.0,13725.0,13575.0,13630.0,412,3922,0,0,0.0
19900118,13700.0,13725.0,13575.0,13575.0,239,3911,0,0,0.0
19900119,13550.0,13625.0,13510.0,13590.0,310,3902,0,0,0.0
19900122,13575.0,13600.0,13475.0,13525.0,136,3888,0,0,0.0
19900123,13600.0,13640.0,13575.0,13635.0,161,3869,0,0,0.0
19900124,13700.0,13750.0,13600.0,13615.0,341,3933,0,0,0.0
19900125,13650.0,13700.0,13575.0,13655.0,135,3904,0,0,0.0
19900126,13705.0,13775.0,13700.0,13765.0,171,3890,0,0,0.0
19900129,13800.0,13840.0,13750.0,13780.0,151,3895,0,0,0.0
19900130,13700.0,13775.0,13700.0,13770.0,147,3852,0,0,0.0
19900131,13650.0,13725.0,13650.0,13680.0,214,3799,0,0,0.0
19900201,13700.0,13720.0,13675.0,13695.0,299,3839,0,0,0.0
19900202,13675.0,13700.0,13500.0,13605.0,409,3815,0,0,0.0
19900205,13700.0,13750.0,13675.0,13700.0,254,3753,0,0,0.0
19900206,13700.0,13725.0,13675.0,13685.0,515,3552,0,0,0.0
19900207,13650.0,13775.0,13600.0,13635.0,569,3517,0,0,0.0
19900208,13650.0,13725.0,13625.0,13700.0,421,3420,0,0,0.0
19900209,13700.0,13700.0,13600.0,13625.0,514,3253,0,0,0.0
19900212,13600.0,13800.0,13575.0,13665.0,709,3175,0,0,0.0
19900213,13650.0,13775.0,13650.0,13730.0,795,2997,0,0,0.0
19900214,13700.0,13725.0,13650.0,13675.0,249,2910,0,0,0.0
19900215,13725.0,13800.0,13500.0,13510.0,4296,2907,0,0,0.0
19900216,13600.0,13625.0,13450.0,13495.0,955,2128,0,0,0.0
19900220,13575.0,13775.0,13575.0,13600.0,545,2046,0,0,0.0
19900221,13625.0,13650.0,13500.0,13545.0,531,1919,199006,199006,0.0
19900222,13675.0,13700.0,13600.0,13635.0,689,3432,0,0,125.0
19900223,13625.0,13650.0,13500.0,13535.0,841,3440,0,0,0.0
19900226,13500.0,13500.0,12935.0,12935.0,1617,3569,0,0,0.0
19900227,12850.0,12950.0,12650.0,12825.0,1832,3780,0,0,0.0
19900228,12890.0,13000.0,12800.0,12900.0,1183,3820,0,0,0.0
19900301,12850.0,12925.0,12805.0,12850.0,372,3906,0,0,0.0
19900302,12875.0,13300.0,12875.0,13185.0,766,3765,0,0,0.0
19900305,13150.0,13275.0,13050.0,13235.0,606,3577,0,0,0.0
19900306,13250.0,13340.0,13225.0,13235.0,397,3785,0,0,0.0
19900307,13300.0,13300.0,13100.0,13240.0,242,3760,0,0,0.0
19900308,13250.0,13250.0,13150.0,13225.0,109,3744,0,0,0.0
19900309,13100.0,13250.0,13100.0,13190.0,213,3878,0,0,0.0
19900312,13150.0,13250.0,13150.0,13205.0,117,3771,0,0,0.0
19900313,13125.0,13230.0,13100.0,13225.0,291,3816,0,0,0.0
19900314,13225.0,13225.0,13125.0,13190.0,130,3857,0,0,0.0
19900315,13200.0,13250.0,13175.0,13185.0,435,3913,0,0,0.0
19900316,13235.0,13400.0,13100.0,13225.0,269,3957,0,0,0.0
19900319,13200.0,13300.0,13190.0,13190.0,268,3960,0,0,0.0
19900320,13175.0,13200.0,13025.0,13120.0,297,3968,0,0,0.0
19900321,13000.0,13250.0,12950.0,13200.0,276,3937,0,0,0.0
19900322,13100.0,13320.0,13050.0,13260.0,821,3986,0,0,0.0
19900323,13300.0,13325.0,13200.0,13250.0,312,3853,0,0,0.0
19900326,12950.0,13025.0,12825.0,12910.0,247,3735,0,0,0.0
19900327,12870.0,12925.0,12850.0,12890.0,412,3748,0,0,0.0
19900328,13000.0,13000.0,12900.0,12900.0,331,3828,0,0,0.0
19900329,12900.0,13000.0,12900.0,12970.0,271,3779,0,0,0.0
19900330,12950.0,13050.0,12900.0,12975.0,73,3780,0,0,0.0
19900402,12900.0,12950.0,12850.0,12930.0,241,3702,0,0,0.0
19900403,12950.0,13025.0,12930.0,12995.0,134,3639,0,0,0.0
19900404,12975.0,12995.0,12935.0,12945.0,87,3633,0,0,0.0
19900405,12950.0,12975.0,12900.0,12905.0,99,3637,0,0,0.0
19900406,12975.0,13000.0,12950.0,12955.0,44,3643,0,0,0.0
19900409,12950.0,12975.0,12925.0,12935.0,89,3613,0,0,0.0
19900410,12950.0,13000.0,12940.0,12965.0,230,3529,0,0,0.0
19900411,12925.0,13025.0,12925.0,12985.0,267,3485,0,0,0.0
19900412,13050.0,13050.0,12950.0,12995.0,126,3509,0,0,0.0
19900416,12950.0,13050.0,12925.0,12975.0,99,3486,0,0,0.0
19900417,12950.0,12975.0,12910.0,12910.0,57,3486,0,0,0.0
19900418,12960.0,12960.0,12825.0,12880.0,55,3482,0,0,0.0
19900419,12950.0,12950.0,12880.0,12900.0,75,3460,0,0,0.0
19900420,12850.0,12950.0,12760.0,12770.0,457,3465,0,0,0.0
19900423,12800.0,12850.0,12750.0,12780.0,127,3424,0,0,0.0
19900424,12800.0,12825.0,12550.0,12600.0,1008,3465,0,0,0.0
19900425,12600.0,12600.0,12000.0,12335.0,908,3253,0,0,0.0
19900426,12325.0,12375.0,12275.0,12275.0,234,3112,0,0,0.0
19900427,12300.0,12350.0,12100.0,12105.0,99,3049,0,0,0.0
19900430,11505.0,11775.0,11505.0,11735.0,698,3068,0,0,0.0
19900501,11750.0,12000.0,11750.0,11995.0,276,2987,0,0,0.0
19900502,11970.0,11990.0,11850.0,11985.0,189,2966,0,0,0.0
19900503,11825.0,11940.0,11800.0,11900.0,648,2841,0,0,0.0
19900504,12050.0,12090.0,12010.0,12040.0,200,2835,0,0,0.0
19900507,11980.0,12000.0,11925.0,11940.0,264,2841,0,0,0.0
19900508,11960.0,11975.0,11745.0,11770.0,637,2669,0,0,0.0
19900509,11770.0,11850.0,11740.0,11825.0,140,2634,0,0,0.0
19900510,11800.0,11875.0,11750.0,11850.0,411,2622,0,0,0.0
19900511,11800.0,11925.0,11800.0,11885.0,170,2619,0,0,0.0
19900514,11900.0,11975.0,11850.0,11940.0,372,2594,0,0,0.0
19900515,11925.0,11950.0,11850.0,11930.0,302,2492,0,0,0.0
19900516,11900.0,12100.0,11850.0,12000.0,1001,2407,0,0,0.0
19900517,11900.0,11990.0,11850.0,11925.0,689,2362,0,0,0.0
19900518,11925.0,12350.0,11925.0,12350.0,851,2287,0,0,0.0
19900521,12275.0,12350.0,12075.0,12140.0,761,2103,199009,199009,0.0
19900522,12200.0,12250.0,12150.0,12240.0,1249,2306,0,0,150.0
19900523,12000.0,12250.0,11950.0,12155.0,895,2491,0,0,0.0
19900524,12200.0,12350.0,12200.0,12275.0,1233,2807,0,0,0.0
19900525,12350.0,12375.0,12250.0,12320.0,296,2762,0,0,0.0
19900529,12350.0,12350.0,12200.0,12200.0,1121,2915,0,0,0.0
19900530,12150.0,12200.0,12055.0,12065.0,880,3142,0,0,0.0
19900531,12000.0,12050.0,11855.0,11940.0,1213,3151,0,0,0.0
19900601,11900.0,11950.0,11850.0,11915.0,552,3290,0,0,0.0
19900604,11800.0,11900.0,11750.0,11870.0,217,3332,0,0,0.0
19900605,11850.0,12000.0,11775.0,11915.0,514,3382,0,0,0.0
19900606,11950.0,12000.0,11875.0,11945.0,130,3371,0,0,0.0
19900607,11900.0,11900.0,11725.0,11820.0,273,3380,0,0,0.0
19900608,11820.0,11875.0,11775.0,11865.0,149,3341,0,0,0.0
19900611,11850.0,11900.0,11775.0,11835.0,244,3431,0,0,0.0
19900612,11850.0,11900.0,11825.0,11825.0,187,3371,0,0,0.0
19900613,11750.0,11800.0,11600.0,11670.0,277,3381,0,0,0.0
19900614,11500.0,11500.0,11325.0,11355.0,560,3389,0,0,0.0
19900615,11475.0,11510.0,11450.0,11485.0,223,3436,0,0,0.0
19900618,11500.0,11575.0,11475.0,11500.0,189,3354,0,0,0.0
19900619,11600.0,11600.0,11525.0,11530.0,342,3404,0,0,0.0
19900620,11400.0,11500.0,11350.0,11450.0,293,3396,0,0,0.0
19900621,11500.0,11560.0,11450.0,11450.0,129,3330,0,0,0.0
19900622,11475.0,11475.0,11375.0,11405.0,114,3336,0,0,0.0
19900625,11500.0,11550.0,11450.0,11470.0,81,3322,0,0,0.0
19900626,11325.0,11350.0,11165.0,11315.0,370,3426,0,0,0.0
19900627,11340.0,11375.0,11335.0,11375.0,208,3351,0,0,0.0
19900628,11375.0,11450.0,11375.0,11420.0,121,3356,0,0,0.0
19900629,11490.0,11900.0,11450.0,11765.0,509,3451,0,0,0.0
19900702,11725.0,11800.0,11600.0,11665.0,114,3374,0,0,0.0
19900703,11700.0,11890.0,11625.0,11790.0,369,3476,0,0,0.0
19900705,11700.0,12075.0,11600.0,11900.0,452,3437,0,0,0.0
19900706,11850.0,11925.0,11825.0,11860.0,172,3473,0,0,0.0
19900709,11900.0,11900.0,11700.0,11710.0,92,3398,0,0,0.0
