DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,24200.0,24250.0,23975.0,24110.0,5236,13256,0,0,0.0
19900103,24210.0,24250.0,23650.0,23905.0,6051,14121,0,0,0.0
19900104,24475.0,24745.0,24275.0,24720.0,7098,15126,0,0,0.0
19900105,24900.0,25175.0,24850.0,24990.0,5806,14840,0,0,0.0
19900108,24850.0,24950.0,24510.0,24610.0,3143,14736,0,0,0.0
19900109,24725.0,24900.0,24725.0,24870.0,1876,15059,0,0,0.0
19900110,24975.0,25400.0,24925.0,25270.0,3830,15068,0,0,0.0
19900111,25225.0,25290.0,25130.0,25180.0,2105,14812,0,0,0.0
19900112,25450.0,25730.0,25300.0,25375.0,4988,14838,0,0,0.0
19900115,25550.0,25550.0,25025.0,25305.0,2552,14397,0,0,0.0
19900116,25150.0,25250.0,24975.0,25100.0,2787,13982,0,0,0.0
19900117,25100.0,25225.0,24975.0,25205.0,1833,14388,0,0,0.0
19900118,25300.0,25400.0,24910.0,25005.0,2526,14580,0,0,0.0
19900119,25000.0,25240.0,24900.0,25200.0,1594,14527,0,0,0.0
19900122,25030.0,25125.0,24800.0,25100.0,2520,14583,0,0,0.0
19900123,25125.0,25300.0,25075.0,25230.0,3614,14851,0,0,0.0
19900124,25400.0,25775.0,25325.0,25490.0,5038,14912,0,0,0.0
19900125,25450.0,25800.0,25400.0,25665.0,3142,13972,0,0,0.0
19900126,25950.0,26245.0,25825.0,26180.0,5635,13579,0,0,0.0
19900129,26150.0,26450.0,26055.0,26195.0,6218,12903,0,0,0.0
19900130,26000.0,26125.0,25875.0,25980.0,4259,13359,0,0,0.0
19900131,25725.0,25850.0,25575.0,25610.0,3791,12951,0,0,0.0
19900201,25650.0,25875.0,25625.0,25870.0,1966,12639,0,0,0.0
19900202,25900.0,25925.0,25775.0,25790.0,908,12425,0,0,0.0
19900205,25925.0,26125.0,25900.0,25950.0,2340,12804,0,0,0.0
19900206,25950.0,25990.0,25825.0,25915.0,1530,12686,0,0,0.0
19900207,25825.0,26075.0,25500.0,25600.0,4328,12371,0,0,0.0
19900208,25675.0,25770.0,25600.0,25680.0,2185,12294,0,0,0.0
19900209,25725.0,25775.0,25525.0,25705.0,2223,12298,0,0,0.0
19900212,25700.0,26375.0,25650.0,26195.0,5938,13053,0,0,0.0
19900213,26200.0,26265.0,26080.0,26125.0,2997,13017,0,0,0.0
19900214,26050.0,26575.0,25950.0,26345.0,6389,14419,0,0,0.0
19900215,26450.0,26490.0,26050.0,26145.0,9862,13595,0,0,0.0
19900216,26225.0,26450.0,26125.0,26270.0,5324,11811,0,0,0.0
19900220,26500.0,26750.0,26350.0,26720.0,6237,10662,0,0,0.0
19900221,26725.0,26845.0,26530.0,26540.0,3436,10327,0,0,0.0
19900222,26450.0,26550.0,26250.0,26305.0,4297,10205,0,0,0.0
19900223,26350.0,26440.0,26200.0,26325.0,2495,10313,0,0,0.0
19900226,26100.0,26100.0,25300.0,25555.0,7942,9096,0,0,0.0
19900227,25675.0,25700.0,25230.0,25490.0,6341,8585,0,0,0.0
19900228,25550.0,25625.0,25155.0,25400.0,4135,8000,0,0,0.0
19900301,25350.0,25550.0,25350.0,25400.0,2477,8055,0,0,0.0
19900302,25475.0,25550.0,25280.0,25395.0,2604,7992,0,0,0.0
19900305,25425.0,25575.0,25350.0,25455.0,1437,7717,0,0,0.0
19900306,25550.0,25700.0,25550.0,25600.0,2333,7432,0,0,0.0
19900307,25480.0,25480.0,25230.0,25335.0,2977,7295,0,0,0.0
19900308,25425.0,25590.0,25260.0,25280.0,1701,7598,0,0,0.0
19900309,25100.0,25175.0,24950.0,25150.0,4840,8121,0,0,0.0
19900312,25125.0,25240.0,25075.0,25140.0,1953,7536,0,0,0.0
19900313,24900.0,25170.0,24835.0,25110.0,3292,7265,0,0,0.0
19900314,25150.0,25200.0,25080.0,25120.0,1383,7384,0,0,0.0
19900315,25100.0,25275.0,25025.0,25185.0,2380,7341,0,0,0.0
19900316,25270.0,25375.0,25050.0,25105.0,2194,7102,0,0,0.0
19900319,25175.0,25250.0,25050.0,25105.0,2088,7007,0,0,0.0
19900320,25200.0,25225.0,24530.0,24680.0,5536,6803,0,0,0.0
19900321,24400.0,24800.0,24325.0,24740.0,5078,6309,199007,199007,0.0
19900322,24825.0,25045.0,24775.0,25010.0,2229,5739,0,0,325.0
19900323,25075.0,25175.0,24750.0,24975.0,3916,5922,0,0,0.0
19900326,24550.0,24550.0,24250.0,24465.0,5243,6309,0,0,0.0
19900327,24125.0,24325.0,23975.0,24195.0,7446,7388,0,0,0.0
19900328,24225.0,24250.0,24000.0,24020.0,6586,7736,0,0,0.0
19900329,24175.0,24185.0,23825.0,23985.0,7763,9572,0,0,0.0
19900330,24075.0,24100.0,23855.0,24055.0,5805,10247,0,0,0.0
19900402,23850.0,23925.0,23775.0,23905.0,2795,10259,0,0,0.0
19900403,24175.0,24225.0,24075.0,24150.0,2038,10235,0,0,0.0
19900404,24100.0,24425.0,24075.0,24410.0,2889,10373,0,0,0.0
19900405,24425.0,24490.0,24110.0,24210.0,2362,10665,0,0,0.0
19900406,24350.0,24375.0,24030.0,24130.0,2019,10633,0,0,0.0
19900409,24225.0,24275.0,24000.0,24085.0,2101,10470,0,0,0.0
19900410,24100.0,24175.0,23900.0,24100.0,2509,10577,0,0,0.0
19900411,24120.0,24300.0,24005.0,24240.0,1608,10107,0,0,0.0
19900412,24325.0,24390.0,24240.0,24325.0,1469,10451,0,0,0.0
19900416,24200.0,24300.0,24125.0,24240.0,989,10247,0,0,0.0
19900417,24125.0,24250.0,24105.0,24155.0,1522,10537,0,0,0.0
19900418,24100.0,24325.0,24050.0,24105.0,2587,10672,0,0,0.0
19900419,24230.0,24350.0,24130.0,24335.0,1759,10562,0,0,0.0
19900420,24335.0,24430.0,24150.0,24330.0,2518,10582,0,0,0.0
19900423,24350.0,24800.0,24300.0,24715.0,6381,11356,0,0,0.0
19900424,24515.0,24650.0,24375.0,24390.0,2628,11288,0,0,0.0
19900425,24250.0,24275.0,23250.0,23610.0,9191,12154,0,0,0.0
19900426,23650.0,23765.0,23475.0,23695.0,4481,11485,0,0,0.0
19900427,23770.0,23795.0,23700.0,23780.0,1548,11283,0,0,0.0
19900430,23360.0,23720.0,23350.0,23705.0,1871,11085,0,0,0.0
19900501,23900.0,24275.0,23800.0,23985.0,4745,11118,0,0,0.0
19900502,23950.0,24075.0,23900.0,24025.0,1308,11022,0,0,0.0
19900503,23925.0,24225.0,23925.0,24160.0,1590,10816,0,0,0.0
19900504,24325.0,24375.0,24160.0,24170.0,2070,10917,0,0,0.0
19900507,24150.0,24290.0,24100.0,24230.0,875,10839,0,0,0.0
19900508,24250.0,24275.0,23650.0,23960.0,3073,10760,0,0,0.0
19900509,23950.0,24400.0,23885.0,24325.0,3398,10942,0,0,0.0
19900510,24300.0,24400.0,24150.0,24230.0,2479,10782,0,0,0.0
19900511,24000.0,24200.0,23925.0,24195.0,2195,10908,0,0,0.0
19900514,24250.0,24575.0,24200.0,24360.0,3883,11091,0,0,0.0
19900515,24275.0,24450.0,24150.0,24395.0,2209,10855,0,0,0.0
19900516,24400.0,24425.0,24280.0,24380.0,1208,10654,0,0,0.0
19900517,24450.0,24675.0,24425.0,24645.0,2650,10796,0,0,0.0
19900518,24700.0,25425.0,24650.0,25350.0,7482,10982,0,0,0.0
19900521,25125.0,25390.0,25050.0,25055.0,7631,11374,0,0,0.0
19900522,24975.0,25425.0,24925.0,25245.0,4033,11286,0,0,0.0
19900523,24660.0,24975.0,24550.0,24910.0,4272,10749,0,0,0.0
19900524,25000.0,25150.0,24925.0,25035.0,1432,10436,0,0,0.0
19900525,25125.0,25250.0,25000.0,25240.0,1458,10119,0,0,0.0
19900529,25225.0,25300.0,24950.0,25000.0,2534,10173,0,0,0.0
19900530,24925.0,24975.0,24650.0,24740.0,2684,9734,0,0,0.0
19900531,24705.0,24715.0,24475.0,24685.0,1942,9418,0,0,0.0
19900601,24600.0,24725.0,24200.0,24400.0,3515,8880,0,0,0.0
19900604,24150.0,24350.0,24075.0,24340.0,1848,8935,0,0,0.0
19900605,24375.0,24850.0,24350.0,24615.0,3257,7425,0,0,0.0
19900606,24625.0,24740.0,24370.0,24470.0,2584,8502,0,0,0.0
19900607,24200.0,24500.0,24125.0,24375.0,2480,8598,0,0,0.0
19900608,24325.0,24640.0,24300.0,24440.0,2220,8707,0,0,0.0
19900611,24420.0,24475.0,24250.0,24310.0,2719,8094,0,0,0.0
19900612,24475.0,24600.0,24420.0,24470.0,1922,8069,0,0,0.0
19900613,24250.0,24275.0,23965.0,24060.0,5513,8190,0,0,0.0
19900614,23850.0,23875.0,23575.0,23825.0,6394,7418,0,0,0.0
19900615,23850.0,23890.0,23650.0,23800.0,4235,7039,0,0,0.0
19900618,23900.0,24015.0,23850.0,23955.0,1582,7171,0,0,0.0
19900619,23900.0,24000.0,23725.0,23810.0,1656,7207,0,0,0.0
19900620,23675.0,24225.0,23650.0,24105.0,5099,7072,0,0,0.0
19900621,24025.0,24055.0,23875.0,24000.0,2142,6320,199010,199010,0.0
19900622,24200.0,24350.0,24150.0,24235.0,2370,7356,0,0,325.0
19900625,24500.0,24600.0,24380.0,24380.0,3769,7777,0,0,0.0
19900626,24200.0,24290.0,24125.0,24285.0,2686,8132,0,0,0.0
19900627,24300.0,24425.0,24250.0,24375.0,3178,8753,0,0,0.0
19900628,24400.0,24600.0,24400.0,24495.0,4775,9742,0,0,0.0
19900629,24600.0,24725.0,24460.0,24695.0,6189,11108,0,0,0.0
19900702,24700.0,24825.0,24680.0,24725.0,2338,10763,0,0,0.0
19900703,24800.0,24875.0,24700.0,24720.0,1878,10792,0,0,0.0
19900705,24550.0,24850.0,24475.0,24625.0,3948,10677,0,0,0.0
19900706,24575.0,24750.0,24530.0,24555.0,1335,11178,0,0,0.0
19900709,24600.0,24800.0,24510.0,24550.0,453,10999,0,0,0.0
19900710,24250.0,24450.0,24100.0,24445.0,2396,10995,0,0,0.0
19900711,24260.0,24295.0,24055.0,24065.0,2677,10778,0,0,0.0
19900712,23725.0,24000.0,23625.0,23945.0,6083,11289,0,0,0.0
19900713,24025.0,24350.0,24000.0,24340.0,3299,10557,0,0,0.0
19900716,24200.0,24275.0,24050.0,24090.0,1529,11249,0,0,0.0
19900717,23965.0,24050.0,23825.0,23965.0,1703,11110,0,0,0.0
19900718,23850.0,24100.0,23825.0,23980.0,2150,11191,0,0,0.0
19900719,24075.0,24250.0,24035.0,24115.0,1710,11332,0,0,0.0
19900720,24050.0,24240.0,24025.0,24065.0,997,11316,0,0,0.0
19900723,24300.0,24550.0,24250.0,24380.0,3479,11539,0,0,0.0
19900724,24425.0,24500.0,24050.0,24145.0,2406,11111,0,0,0.0
19900725,24250.0,24475.0,24230.0,24290.0,2577,11467,0,0,0.0
19900726,24225.0,24225.0,23950.0,24070.0,2209,11500,0,0,0.0
19900727,24075.0,24175.0,23825.0,23995.0,2209,11727,0,0,0.0
19900730,24050.0,24075.0,23965.0,24005.0,591,11860,0,0,0.0
19900731,24325.0,24625.0,24310.0,24545.0,4545,12421,0,0,0.0
19900801,24525.0,24725.0,24450.0,24610.0,3357,12676,0,0,0.0
19900802,24950.0,25050.0,24500.0,24525.0,6682,12172,0,0,0.0
19900803,24400.0,24695.0,24355.0,24405.0,2166,11787,0,0,0.0
19900806,24505.0,24585.0,24425.0,24520.0,2630,11251,0,0,0.0
19900807,24585.0,24605.0,23875.0,24105.0,4158,11393,0,0,0.0
19900808,24275.0,24300.0,23925.0,24105.0,2083,11548,0,0,0.0
19900809,24225.0,24375.0,24125.0,24345.0,2171,11502,0,0,0.0
19900810,24400.0,24850.0,24375.0,24815.0,3971,11579,0,0,0.0
19900814,25000.0,25550.0,24950.0,25125.0,8763,13864,0,0,0.0
19900815,24950.0,25150.0,24900.0,25035.0,2652,13267,0,0,0.0
19900816,25000.0,25295.0,24975.0,25230.0,2402,13682,0,0,0.0
