DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
<<<<<<< HEAD
20080907,85650.0000,86000.0000,85600.0000,85870.0000,70,0,0,0,0.0000
20080909,84300.0000,84300.0000,84300.0000,84300.0000,0,6899,0,0,0.0000
20080910,84030.0000,84030.0000,82500.0000,82780.0000,1496,6899,0,0,0.0000
20080911,82600.0000,82600.0000,82420.0000,82500.0000,53,6904,0,0,0.0000
20080912,83160.0000,83500.0000,82780.0000,83500.0000,6,6901,0,0,0.0000
20080915,81630.0000,81630.0000,80220.0000,80890.0000,7,6903,0,0,0.0000
20080916,79330.0000,80790.0000,79330.0000,80790.0000,426,6904,200812,200812,0.0000
20080917,83080.0000,83080.0000,79800.0000,80240.0000,863,6904,0,0,870.0000
20080918,79720.0000,80060.0000,77840.0000,77840.0000,1727,1243,0,0,0.0000
20080919,82390.0000,84150.0000,82070.0000,83960.0000,1472,2435,0,0,0.0000
20080922,84300.0000,84840.0000,83740.0000,83740.0000,57,3885,0,0,0.0000
20080923,82250.0000,82900.0000,82250.0000,82900.0000,221,3883,0,0,0.0000
20080924,82920.0000,82920.0000,82320.0000,82620.0000,327,4103,0,0,0.0000
20080925,82720.0000,83050.0000,82720.0000,82970.0000,104,4143,0,0,0.0000
20080926,82430.0000,82700.0000,82260.0000,82700.0000,2,4241,0,0,0.0000
20080929,82340.0000,82340.0000,79720.0000,79740.0000,4,4140,0,0,0.0000
20080930,77140.0000,80300.0000,76800.0000,80300.0000,47,4139,0,0,0.0000
20081001,81620.0000,81620.0000,80700.0000,80700.0000,22,4137,0,0,0.0000
20081002,80610.0000,80710.0000,79100.0000,79100.0000,60,4158,0,0,0.0000
20081003,77550.0000,78000.0000,77340.0000,77450.0000,237,4217,0,0,0.0000
20081006,74400.0000,74430.0000,70290.0000,70290.0000,124,4452,0,0,0.0000
20081007,72340.0000,72680.0000,69300.0000,69300.0000,245,4338,0,0,0.0000
20081008,66700.0000,69610.0000,65200.0000,66900.0000,226,4457,0,0,0.0000
20081009,68300.0000,68300.0000,66070.0000,67300.0000,30,4598,0,0,0.0000
20081010,63390.0000,63390.0000,62900.0000,63200.0000,54,4513,0,0,0.0000
20081013,67230.0000,69800.0000,67230.0000,69800.0000,1,4533,0,0,0.0000
20081014,74080.0000,74520.0000,71660.0000,71820.0000,210,4533,0,0,0.0000
20081015,71110.0000,71110.0000,70500.0000,70670.0000,24,4533,0,0,0.0000
20081016,68000.0000,68000.0000,66850.0000,67070.0000,127,4511,0,0,0.0000
20081017,67440.0000,67440.0000,67440.0000,67440.0000,0,4626,0,0,0.0000
