DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19990113,198050.0000,201087.5000,197850.0000,198050.0000,0,0,0,0,0.0000
19990115,199200.0000,201087.5000,197850.0000,199200.0000,0,0,0,0,0.0000
19990119,198950.0000,201087.5000,197850.0000,198950.0000,0,0,0,0,0.0000
19990120,200000.0000,200200.0000,197850.0000,200200.0000,0,0,0,0,0.0000
19990125,200000.0000,200000.0000,197850.0000,199750.0000,0,0,0,0,0.0000
19990126,200000.0000,200250.0000,197850.0000,200250.0000,0,0,0,0,0.0000
19990127,200000.0000,201087.5000,197850.0000,201087.5000,0,0,0,0,0.0000
19990201,200000.0000,200962.5000,197850.0000,200337.5000,0,0,0,0,0.0000
19990203,200000.0000,200962.5000,199100.0000,199750.0000,0,0,0,0,0.0000
19990204,200000.0000,200962.5000,199100.0000,199987.5000,0,0,0,0,0.0000
19990205,199987.5000,199987.5000,199100.0000,199775.0000,0,0,0,0,0.0000
19990208,199987.5000,199987.5000,199100.0000,199937.5000,0,0,0,0,0.0000
19990209,199987.5000,200125.0000,199100.0000,200125.0000,0,0,0,0,0.0000
19990210,199987.5000,199987.5000,199062.5000,199062.5000,0,0,0,0,0.0000
19990216,199512.5000,199512.5000,199100.0000,199325.0000,0,0,0,0,0.0000
19990217,199512.5000,199550.0000,199100.0000,199550.0000,0,0,0,0,0.0000
19990218,199512.5000,199662.5000,199312.5000,199662.5000,0,0,0,0,0.0000
19990219,199512.5000,200112.5000,199312.5000,199825.0000,0,0,0,0,0.0000
19990222,199512.5000,200112.5000,199312.5000,199575.0000,0,0,0,0,0.0000
19990223,199512.5000,199700.0000,199000.0000,199000.0000,0,0,0,0,0.0000
19990224,199150.0000,199150.0000,198925.0000,199000.0000,0,0,0,0,0.0000
19990225,198712.5000,198712.5000,198325.0000,198500.0000,0,0,0,0,0.0000
19990226,198712.5000,199075.0000,198325.0000,199075.0000,0,0,0,0,0.0000
19990301,198950.0000,199037.5000,198837.5000,198912.5000,0,0,0,0,0.0000
19990302,198850.0000,199087.5000,198800.0000,198850.0000,0,0,0,0,0.0000
19990303,198725.0000,198775.0000,198475.0000,198725.0000,0,0,0,0,0.0000
19990305,198775.0000,199062.5000,198475.0000,198850.0000,0,0,0,0,0.0000
19990308,198775.0000,199062.5000,198475.0000,198962.5000,0,0,0,0,0.0000
19990309,199500.0000,199500.0000,199500.0000,199500.0000,0,0,0,0,0.0000
19990310,199750.0000,199750.0000,199750.0000,199750.0000,0,0,199906,199906,0.0000
19990311,199562.5000,199562.5000,199562.5000,199562.5000,0,0,0,0,-900.0000
