DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19990110,88450.0,88656.25,88162.5,88625.0125,0,0,0,0,0.0
19990112,88750.0,89050.0125,88406.2625,88750.0,0,0,0,0,0.0
19990113,88925.0,89343.7625,88725.0,88875.0,0,0,0,0,0.0
19990114,88706.25,88881.25,88506.25,88600.0,0,0,0,0,0.0
19990115,88137.5,88743.75,88006.25,88137.5,0,0,0,0,0.0
19990119,87975.0,88162.5,87618.75,87975.0,0,0,0,0,0.0
19990120,88181.2625,88318.75,87731.25,88212.5,0,0,0,0,0.0
19990121,88162.5,88381.25,87837.5,88162.5,0,0,0,0,0.0
19990122,87825.0,88143.7625,87775.0125,87875.0,0,0,0,0,0.0
19990125,87462.5125,87900.0,87406.25,87406.25,0,0,0,0,0.0
19990126,87462.5125,87550.0125,87300.0125,87412.5125,0,0,0,0,0.0
19990127,87162.5,87450.0,87075.0,87162.5,0,0,0,0,0.0
19990128,86868.75,87218.75,86718.75,86868.75,0,0,0,0,0.0
19990129,86637.5,86968.7625,86500.0,86637.5,0,0,0,0,0.0
19990201,86343.7625,86725.0,86312.5,86343.7625,0,0,0,0,0.0
19990202,86806.25,86806.25,86250.0125,86806.25,0,0,0,0,0.0
19990203,86662.5,86850.0,86650.0125,86662.5,0,0,0,0,0.0
19990204,86368.75,86637.5,86237.5,86368.75,0,0,0,0,0.0
19990205,86550.0,86556.25,86162.5,86481.25,0,0,0,0,0.0
19990208,86556.25,86562.5125,86137.5,86556.25,0,0,0,0,0.0
19990209,86525.0125,86618.7625,86450.0,86525.0125,0,0,0,0,0.0
19990210,87325.0,87356.25,86518.7625,87325.0,0,0,0,0,0.0
19990211,86706.2625,87381.25,86587.5,86706.2625,0,0,0,0,0.0
19990212,86625.0,86743.7625,86550.0,86625.0,0,0,0,0,0.0
19990216,85906.25,86250.0125,85656.25,85906.25,0,0,0,0,0.0
19990217,86150.0,86193.75,85900.0125,86150.0,0,0,0,0,0.0
19990218,85750.0,86187.5,85693.75,85750.0,0,0,0,0,0.0
19990219,85318.75,85743.75,85218.7625,85468.75,0,0,0,0,0.0
19990222,84906.2625,85212.5125,84900.0125,84906.2625,0,0,0,0,0.0
19990223,85381.25,85450.0,84893.75,85381.25,0,0,0,0,0.0
19990224,86250.0125,86250.0125,85268.7625,86250.0125,0,0,0,0,0.0
19990225,86168.75,86262.5,86043.75,86168.75,0,0,0,0,0.0
19990226,86018.75,86168.75,85737.5,86018.75,0,0,0,0,0.0
19990301,84700.0,85550.0125,84612.5,84700.0,0,0,0,0,0.0
19990302,84656.25,84768.7625,84525.0,84656.25,0,0,0,0,0.0
19990303,84456.2625,84493.7625,84100.0,84456.2625,0,0,0,0,0.0
