DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
20030316,15625.0,15625.0,15625.0,15625.0,0,0,0,0,0.0
20030318,15480.0,15480.0,15385.0,15385.0,0,0,0,0,0.0
20030319,15385.0,15385.0,15385.0,15385.0,0,0,0,0,0.0
20030320,15385.0,15385.0,15385.0,15385.0,0,0,0,0,0.0
20030321,15385.0,15385.0,15385.0,15385.0,0,0,0,0,0.0
20030324,15385.0,15385.0,15385.0,15385.0,0,0,0,0,0.0
20030325,15385.0,15385.0,15385.0,15385.0,0,0,0,0,0.0
20030326,15385.0,15385.0,15385.0,15385.0,0,0,0,0,0.0
20030327,15385.0,15385.0,15385.0,15385.0,0,0,0,0,0.0
20030328,15385.0,15385.0,15385.0,15385.0,0,0,0,0,0.0
20030331,15385.0,15385.0,15385.0,15385.0,0,0,0,0,0.0
20030401,15420.0,15420.0,15420.0,15420.0,0,0,0,0,0.0
20030402,15445.0,15445.0,15445.0,15445.0,0,0,0,0,0.0
20030403,15445.0,15445.0,15445.0,15445.0,0,0,0,0,0.0
20030404,15450.0,15450.0,15450.0,15450.0,0,0,0,0,0.0
20030407,15455.0,15455.0,15455.0,15455.0,0,0,0,0,0.0
20030408,15455.0,15455.0,15455.0,15455.0,0,0,0,0,0.0
20030409,15455.0,15455.0,15455.0,15455.0,0,0,0,0,0.0
20030410,15430.0,15430.0,15430.0,15430.0,0,0,0,0,0.0
20030411,15430.0,15430.0,15430.0,15430.0,0,0,0,0,0.0
20030414,15445.0,15445.0,15445.0,15445.0,0,0,0,0,0.0
20030415,15445.0,15445.0,15445.0,15445.0,0,0,0,0,0.0
20030416,15435.0,15435.0,15435.0,15435.0,0,0,0,0,0.0
20030417,15410.0,15410.0,15340.0,15340.0,0,0,0,0,0.0
20030421,15340.0,15340.0,15340.0,15340.0,0,0,0,0,0.0
20030422,15410.0,15445.0,15410.0,15445.0,0,0,0,0,0.0
