DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19930204,23370.0,23380.0,23225.0,23270.0,41,32,0,0,0.0
19930205,23255.0,23270.0,22945.0,23020.0,91,72,0,0,0.0
19930208,23020.0,23080.0,23010.0,23050.0,43,92,0,0,0.0
19930209,22990.0,23040.0,22825.0,22830.0,46,108,0,0,0.0
19930210,22850.0,22900.0,22815.0,22870.0,46,125,0,0,0.0
19930211,22950.0,23000.0,22950.0,22970.0,11,123,0,0,0.0
19930212,22990.0,23020.0,22840.0,22840.0,79,183,0,0,0.0
19930216,22780.0,22780.0,22050.0,22140.0,57,220,0,0,0.0
19930217,22100.0,22100.0,21830.0,21860.0,134,281,0,0,0.0
19930218,22000.0,22120.0,21700.0,21950.0,126,295,0,0,0.0
19930219,22100.0,22100.0,22070.0,22090.0,12,306,0,0,0.0
19930222,22070.0,22070.0,21820.0,21850.0,104,363,0,0,0.0
19930223,21870.0,21900.0,21725.0,21830.0,132,379,0,0,0.0
19930224,21850.0,22170.0,21790.0,22170.0,46,374,0,0,0.0
19930225,22140.0,22195.0,22120.0,22180.0,81,407,0,0,0.0
19930226,22180.0,22270.0,22180.0,22270.0,29,409,0,0,0.0
19930301,22320.0,22375.0,22285.0,22300.0,64,441,0,0,0.0
19930302,22300.0,22500.0,22280.0,22500.0,18,458,0,0,0.0
19930303,22520.0,22660.0,22520.0,22655.0,263,445,0,0,0.0
19930304,22620.0,22660.0,22520.0,22560.0,37,455,0,0,0.0
19930305,22570.0,22735.0,22550.0,22600.0,88,503,199306,199306,0.0
19930308,22800.0,23060.0,22800.0,23060.0,124,82,0,0,180.0
19930309,23110.0,23110.0,23060.0,23060.0,59,108,0,0,0.0
19930310,23000.0,23170.0,22960.0,23170.0,199,185,0,0,0.0
19930311,23200.0,23250.0,23165.0,23190.0,93,217,0,0,0.0
19930312,23160.0,23160.0,22840.0,23010.0,190,318,0,0,0.0
19930315,23020.0,23215.0,22970.0,23215.0,95,347,0,0,0.0
19930316,23210.0,23210.0,23090.0,23090.0,152,421,0,0,0.0
19930317,23100.0,23120.0,22955.0,22965.0,166,488,0,0,0.0
19930318,23010.0,23050.0,23010.0,23030.0,42,503,0,0,0.0
19930319,23060.0,23060.0,22880.0,22880.0,66,547,0,0,0.0
19930322,22840.0,22850.0,22680.0,22755.0,73,572,0,0,0.0
19930323,22720.0,22760.0,22630.0,22690.0,416,786,0,0,0.0
19930324,22660.0,22660.0,22500.0,22580.0,283,1016,0,0,0.0
19930325,22580.0,22705.0,22480.0,22705.0,260,1221,0,0,0.0
19930326,22710.0,22750.0,22660.0,22715.0,109,1296,0,0,0.0
19930329,22700.0,22820.0,22690.0,22800.0,88,1355,0,0,0.0
19930330,22750.0,22860.0,22740.0,22825.0,37,1358,0,0,0.0
19930331,22840.0,22990.0,22840.0,22990.0,26,1372,0,0,0.0
