DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19990110,15721250.0000,15961250.0000,15500000.0000,15516250.0000,0,0,0,0,0.0000
19990112,16087500.0000,16165000.0000,15538750.0000,16160000.0000,0,0,0,0,0.0000
19990113,16526250.0000,16630000.0000,16073750.0000,16412500.0000,0,0,0,0,0.0000
19990114,16530000.0000,16611250.0000,16336250.0000,16528750.0000,0,0,0,0,0.0000
19990115,16396250.0000,16556250.0000,16302500.0000,16441250.0000,0,0,0,0,0.0000
19990119,16403750.0000,16532500.0000,16338750.0000,16402500.0000,0,0,0,0,0.0000
19990120,16383750.0000,16408750.0000,16210000.0000,16232500.0000,0,0,0,0,0.0000
19990121,16282500.0000,16523750.0000,16192500.0000,16412500.0000,0,0,0,0,0.0000
19990122,16282500.0000,16552500.0000,16192500.0000,16545000.0000,0,0,0,0,0.0000
19990125,16347500.0000,16552500.0000,16347500.0000,16396250.0000,0,0,0,0,0.0000
19990126,16362500.0000,16468750.0000,16331250.0000,16407500.0000,0,0,0,0,0.0000
19990127,16362500.0000,16556250.0000,16296250.0000,16477500.0000,0,0,0,0,0.0000
19990128,16435000.0000,16586250.0000,16435000.0000,16561250.0000,0,0,0,0,0.0000
19990129,16398750.0000,16565000.0000,16398750.0000,16486250.0000,0,0,0,0,0.0000
19990201,16398750.0000,16432500.0000,16163750.0000,16218750.0000,0,0,0,0,0.0000
19990202,16245000.0000,16245000.0000,15806250.0000,15843750.0000,0,0,0,0,0.0000
19990203,15875000.0000,15950000.0000,15808750.0000,15916250.0000,0,0,0,0,0.0000
19990204,15875000.0000,16022500.0000,15730000.0000,15871250.0000,0,0,0,0,0.0000
19990205,15855000.0000,15980000.0000,15812500.0000,15900000.0000,0,0,0,0,0.0000
19990208,15855000.0000,16212500.0000,15812500.0000,16167500.0000,0,0,0,0,0.0000
19990209,16118750.0000,16225000.0000,16071250.0000,16098750.0000,0,0,0,0,0.0000
19990210,16118750.0000,16323750.0000,16071250.0000,16175000.0000,0,0,0,0,0.0000
19990211,16118750.0000,16173750.0000,16051250.0000,16051250.0000,0,0,0,0,0.0000
19990212,16096250.0000,16106250.0000,15981250.0000,16106250.0000,0,0,0,0,0.0000
19990216,16481250.0000,16598750.0000,16028750.0000,16597500.0000,0,0,0,0,0.0000
19990217,16683750.0000,16696250.0000,16536250.0000,16696250.0000,0,0,0,0,0.0000
19990218,16681250.0000,16801250.0000,16625000.0000,16750000.0000,0,0,0,0,0.0000
19990219,16710000.0000,16837500.0000,16671250.0000,16715000.0000,0,0,0,0,0.0000
19990222,16597500.0000,16822500.0000,16552500.0000,16645000.0000,0,0,0,0,0.0000
19990223,16627500.0000,16681250.0000,16573750.0000,16606250.0000,0,0,0,0,0.0000
19990224,16607500.0000,16716250.0000,16587500.0000,16695000.0000,0,0,0,0,0.0000
19990225,16493750.0000,16590000.0000,16462500.0000,16497500.0000,0,0,0,0,0.0000
19990226,16302500.0000,16568750.0000,16263750.0000,16373750.0000,0,0,0,0,0.0000
19990301,16302500.0000,16372500.0000,16270000.0000,16273750.0000,0,0,0,0,0.0000
19990302,16302500.0000,16457500.0000,16270000.0000,16407500.0000,0,0,0,0,0.0000
19990303,16302500.0000,16572500.0000,16270000.0000,16556250.0000,0,0,0,0,0.0000
19990304,16302500.0000,16746250.0000,16270000.0000,16666250.0000,0,0,0,0,0.0000
19990305,16567500.0000,16662500.0000,16565000.0000,16583750.0000,0,0,0,0,0.0000
19990308,16581250.0000,16662500.0000,16545000.0000,16545000.0000,0,0,0,0,0.0000
19990309,16450000.0000,16450000.0000,16450000.0000,16450000.0000,0,0,0,0,0.0000
19990310,16407500.0000,16407500.0000,16407500.0000,16407500.0000,0,0,0,0,0.0000
19990311,16446250.0000,16446250.0000,16446250.0000,16446250.0000,0,0,199906,199906,0.0000
19990312,16075000.0000,16075000.0000,16075000.0000,16075000.0000,0,0,0,0,-116250.0000
19990315,15973750.0000,15973750.0000,15973750.0000,15973750.0000,0,0,0,0,0.0000
19990316,16066250.0000,16066250.0000,15945000.0000,16066250.0000,0,0,0,0,0.0000
19990317,16115000.0000,16192500.0000,16111250.0000,16115000.0000,0,0,0,0,0.0000
19990318,16085000.0000,16158750.0000,15992500.0000,15992500.0000,0,0,0,0,0.0000
19990319,15848750.0000,15911250.0000,15848750.0000,15848750.0000,0,0,0,0,0.0000
19990322,15926250.0000,16021250.0000,15926250.0000,16005000.0000,0,0,0,0,0.0000
19990323,15981250.0000,15993750.0000,15978750.0000,15986250.0000,0,0,0,0,0.0000
19990324,15981250.0000,15993750.0000,15956250.0000,15956250.0000,0,0,0,0,0.0000
19990325,15900000.0000,15900000.0000,15900000.0000,15900000.0000,0,0,0,0,0.0000
19990326,16088750.0000,16088750.0000,15958750.0000,16088750.0000,0,0,0,0,0.0000
19990329,16028750.0000,16088750.0000,15958750.0000,16028750.0000,0,0,0,0,0.0000
19990330,16022500.0000,16157500.0000,16011250.0000,16022500.0000,0,0,0,0,0.0000
19990331,15911250.0000,15916250.0000,15870000.0000,15911250.0000,0,0,0,0,0.0000
19990401,16023750.0000,16161250.0000,16018750.0000,16161250.0000,0,0,0,0,0.0000
19990405,16247500.0000,16247500.0000,16216250.0000,16230000.0000,0,0,0,0,0.0000
19990406,16273750.0000,16282500.0000,16117500.0000,16273750.0000,0,0,0,0,0.0000
19990407,16256250.0000,16306250.0000,16256250.0000,16256250.0000,0,0,0,0,0.0000
