DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,29100.0,29100.0,28750.0,28787.5,39296,41185,0,0,0.0
19900103,28750.0,29112.5,28700.0,29075.0,41543,42002,0,0,0.0
19900104,29150.0,29212.5,28800.0,28825.0,38533,42314,0,0,0.0
19900105,28775.0,28975.0,28712.5,28850.0,31070,42684,0,0,0.0
19900108,28925.0,29200.0,28900.0,29175.0,32373,42409,0,0,0.0
19900109,29150.0,29225.0,29075.0,29137.5,25414,42582,0,0,0.0
19900110,29100.0,29137.5,28900.0,28987.5,24550,42152,0,0,0.0
19900111,29050.0,29162.5,29000.0,29100.0,22410,41396,0,0,0.0
19900112,29250.0,29325.0,28825.0,28887.5,38319,42398,0,0,0.0
19900115,28850.0,28925.0,28775.0,28787.5,22181,41570,0,0,0.0
19900116,28725.0,28762.5,28362.5,28400.0,42643,41270,0,0,0.0
19900117,28375.0,28575.0,28350.0,28375.0,31536,40902,0,0,0.0
19900118,28425.0,28550.0,28350.0,28512.5,21448,41308,0,0,0.0
19900119,28525.0,28525.0,28250.0,28275.0,21950,41140,0,0,0.0
19900122,28225.0,28350.0,28075.0,28300.0,29017,40181,0,0,0.0
19900123,28325.0,28437.5,28275.0,28362.5,16172,39789,0,0,0.0
19900124,28350.0,28600.0,28237.5,28300.0,27572,39239,0,0,0.0
19900125,28225.0,28275.0,27900.0,27912.5,36722,38233,0,0,0.0
19900126,27950.0,28050.0,27875.0,27925.0,24119,36596,0,0,0.0
19900129,27825.0,28200.0,27675.0,28175.0,31861,36750,0,0,0.0
19900130,28200.0,28225.0,27850.0,27925.0,30111,36274,0,0,0.0
19900131,27950.0,28175.0,27900.0,28050.0,26744,35523,0,0,0.0
19900201,28075.0,28375.0,27975.0,27987.5,31746,35881,0,0,0.0
19900202,27950.0,28075.0,27900.0,28012.5,20714,35503,0,0,0.0
19900205,28050.0,28162.5,27900.0,27912.5,20824,35752,0,0,0.0
19900206,27925.0,28150.0,27875.0,28137.5,23062,35394,0,0,0.0
19900207,28175.0,28425.0,28175.0,28387.5,33691,35518,0,0,0.0
