DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,14773.0,14874.0,14560.0,14582.0,8048,64830,0,0,0.0
19900103,14538.0,15960.0,14538.0,15926.0,36950,65107,0,0,0.0
19900104,15736.0,15960.0,15602.0,15870.0,33602,62775,0,0,0.0
19900105,15814.0,15982.0,15702.0,15859.0,18548,63951,0,0,0.0
19900108,15904.0,16094.0,15736.0,15747.0,18273,64061,0,0,0.0
19900109,15826.0,16061.0,15725.0,16050.0,19707,64064,0,0,0.0
19900110,16240.0,16341.0,16072.0,16285.0,32784,64753,0,0,0.0
19900111,16240.0,16330.0,16173.0,16262.0,17258,63366,0,0,0.0
19900112,16274.0,16531.0,16229.0,16307.0,32109,61254,0,0,0.0
19900115,16218.0,16464.0,16218.0,16408.0,16329,59897,0,0,0.0
19900116,15960.0,16397.0,15882.0,16218.0,36941,59497,0,0,0.0
19900117,16240.0,16498.0,15994.0,16016.0,30236,59031,0,0,0.0
19900118,16016.0,16173.0,15982.0,16139.0,15750,58729,0,0,0.0
19900119,16128.0,16162.0,15960.0,15971.0,9533,58377,0,0,0.0
19900122,15904.0,16419.0,15904.0,16352.0,22498,58771,0,0,0.0
19900123,16442.0,16688.0,16442.0,16475.0,21968,58333,0,0,0.0
19900124,16408.0,16632.0,16341.0,16632.0,15642,58296,0,0,0.0
19900125,16778.0,17080.0,16666.0,16979.0,39443,59062,0,0,0.0
19900126,16957.0,16990.0,16643.0,16643.0,26886,58400,0,0,0.0
19900129,16722.0,16755.0,16542.0,16654.0,17438,56138,0,0,0.0
19900130,16722.0,16856.0,16162.0,16173.0,32366,52725,0,0,0.0
19900131,16206.0,16520.0,16139.0,16498.0,17577,51578,0,0,0.0
19900201,16632.0,16934.0,16240.0,16576.0,35021,50750,0,0,0.0
19900202,16598.0,16710.0,16430.0,16587.0,15552,50732,0,0,0.0
19900205,16464.0,16699.0,16464.0,16643.0,10379,49636,0,0,0.0
19900206,16520.0,16542.0,16330.0,16352.0,19734,50902,0,0,0.0
19900207,16184.0,16800.0,16184.0,16766.0,40273,47606,0,0,0.0
19900208,16666.0,16755.0,16576.0,16643.0,21595,46050,0,0,0.0
19900209,16666.0,16968.0,16621.0,16934.0,57393,46454,0,0,0.0
19900212,16856.0,16990.0,16699.0,16733.0,20689,43718,0,0,0.0
19900213,16632.0,16654.0,16296.0,16307.0,34734,37736,0,0,0.0
19900214,16453.0,16621.0,16408.0,16464.0,26333,34061,0,0,0.0
19900215,16374.0,16554.0,16341.0,16509.0,22004,28940,0,0,0.0
19900216,16453.0,16610.0,16442.0,16554.0,17407,27112,0,0,0.0
19900220,16554.0,16576.0,16173.0,16229.0,28903,23590,0,0,0.0
19900221,16184.0,16330.0,16184.0,16318.0,23734,21414,199005,199005,0.0
19900222,16274.0,16654.0,16195.0,16632.0,32200,55389,0,0,56.0
19900223,16542.0,16610.0,16285.0,16307.0,22899,55182,0,0,0.0
19900226,16218.0,16442.0,16206.0,16218.0,26129,54387,0,0,0.0
19900227,16128.0,16229.0,15938.0,16218.0,42703,54476,0,0,0.0
19900228,16128.0,16274.0,16106.0,16195.0,24904,55366,0,0,0.0
19900301,16173.0,16262.0,15926.0,15938.0,17711,53733,0,0,0.0
19900302,15994.0,16251.0,15882.0,16206.0,24749,51243,0,0,0.0
19900305,16330.0,16800.0,16274.0,16778.0,35246,50888,0,0,0.0
19900306,16733.0,16845.0,16621.0,16643.0,28942,51015,0,0,0.0
19900307,16834.0,16912.0,16755.0,16867.0,17576,51724,0,0,0.0
