DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,80287.5,80337.5,78700.0,78725.0,30286,28313,0,0,0.0
19900103,79250.0,79387.5,78750.0,78912.5,23619,28179,0,0,0.0
19900104,79925.0,81387.5,79762.5,81187.5,29407,29650,0,0,0.0
19900105,80437.5,81437.5,80437.5,81012.5,25572,32682,0,0,0.0
19900108,81562.5,82125.0,81537.5,81875.0,21005,33002,0,0,0.0
19900109,81750.0,82350.0,81425.0,82112.5,21607,34240,0,0,0.0
19900110,82500.0,82975.0,82150.0,82312.5,29335,34956,0,0,0.0
19900111,82375.0,83050.0,81950.0,82787.5,31145,37203,0,0,0.0
19900112,83200.0,83862.5,82875.0,83250.0,35868,35802,0,0,0.0
19900115,83175.0,83275.0,82325.0,82550.0,16929,35044,0,0,0.0
19900116,81625.0,82750.0,81587.5,82487.5,27995,33871,0,0,0.0
19900117,82700.0,83312.5,82550.0,82837.5,22152,33885,0,0,0.0
19900118,82312.5,82575.0,81725.0,81912.5,23469,32233,0,0,0.0
19900119,81800.0,82450.0,81800.0,82012.5,20291,35066,0,0,0.0
19900122,81762.5,81787.5,81037.5,81212.5,22244,34894,0,0,0.0
19900123,82137.5,82962.5,82100.0,82600.0,30484,37809,0,0,0.0
19900124,83525.0,83887.5,83000.0,83150.0,30694,38789,0,0,0.0
19900125,83725.0,84062.5,83500.0,83875.0,25392,37615,0,0,0.0
19900126,83725.0,83850.0,83237.5,83725.0,24956,37631,0,0,0.0
19900129,84250.0,84300.0,83787.5,84100.0,24185,37341,0,0,0.0
19900130,83925.0,84100.0,82437.5,82975.0,25808,36560,0,0,0.0
19900131,83562.5,83750.0,82925.0,83187.5,27463,36880,0,0,0.0
19900201,83375.0,83712.5,83012.5,83687.5,20201,35913,0,0,0.0
19900202,83362.5,83700.0,83112.5,83650.0,21788,38463,0,0,0.0
19900205,84000.0,84750.0,83962.5,84712.5,22444,40927,0,0,0.0
19900206,84687.5,84750.0,84300.0,84450.0,19859,40360,0,0,0.0
19900207,84537.5,84587.5,83562.5,83700.0,32071,38446,0,0,0.0
19900208,83875.0,83875.0,83450.0,83775.0,25301,40365,0,0,0.0
19900209,83700.0,83837.5,83225.0,83737.5,24359,39966,0,0,0.0
19900212,83350.0,83612.5,83162.5,83212.5,22548,38794,0,0,0.0
19900213,83087.5,83575.0,82875.0,83300.0,23069,37448,0,0,0.0
19900214,83512.5,83812.5,83450.0,83612.5,16372,36884,0,0,0.0
19900215,83625.0,83687.5,82825.0,82987.5,18989,35484,0,0,0.0
19900216,83000.0,83812.5,82500.0,83787.5,32758,42309,0,0,0.0
19900220,84262.5,84537.5,83987.5,84512.5,24740,39948,0,0,0.0
19900221,84775.0,84912.5,84425.0,84575.0,20513,42847,0,0,0.0
19900222,84600.0,85062.5,84375.0,84575.0,27586,43600,0,0,0.0
19900223,84737.5,84887.5,84487.5,84850.0,17299,42476,0,0,0.0
19900226,84412.5,84475.0,83662.5,83787.5,28229,40629,0,0,0.0
19900227,83887.5,84350.0,83800.0,84187.5,23517,39292,0,0,0.0
19900228,84062.5,84100.0,83187.5,83362.5,27802,36787,0,0,0.0
19900301,83225.0,83350.0,82500.0,82712.5,35818,35855,0,0,0.0
19900302,83000.0,83375.0,82312.5,82837.5,35227,35232,0,0,0.0
19900305,83400.0,83650.0,83050.0,83550.0,26136,35982,0,0,0.0
19900306,83550.0,83637.5,83187.5,83312.5,16554,34314,0,0,0.0
19900307,83162.5,83325.0,82687.5,83125.0,22775,33643,199006,199006,0.0
19900308,83062.5,83100.0,82750.0,82912.5,19886,7461,0,0,-50.0
19900309,82700.0,82875.0,82375.0,82762.5,21068,9319,0,0,0.0
19900312,82412.5,82587.5,81512.5,81712.5,33909,16112,0,0,0.0
19900313,81662.5,82225.0,81400.0,81950.0,42838,17910,0,0,0.0
19900314,81862.5,82100.0,81637.5,81862.5,20694,19165,0,0,0.0
19900315,81737.5,82362.5,81662.5,82287.5,21302,19076,0,0,0.0
19900316,82350.0,83000.0,82312.5,82700.0,24510,19925,0,0,0.0
19900319,82750.0,82962.5,82650.0,82762.5,17285,20839,0,0,0.0
