DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19821103,114562.5,114812.5,114562.5,114562.5,0,0,0,0,0.0
19821105,114425.0,114612.5,114412.5,114425.0,0,0,0,0,0.0
19821108,114300.0,114300.0,114137.5,114300.0,0,0,0,0,0.0
19821109,114250.0,114287.5,114212.5,114250.0,0,0,0,0,0.0
19821110,114400.0,114450.0,114350.0,114400.0,0,0,0,0,0.0
19821111,114250.0,114375.0,114225.0,114250.0,0,0,0,0,0.0
19821112,114237.5125,114275.0,114187.5,114237.5125,0,0,0,0,0.0
19821115,114037.5,114100.0,114025.0,114037.5,0,0,0,0,0.0
19821116,113950.0,113950.0,113812.5,113950.0,0,0,0,0,0.0
19821117,113950.0,114075.0,113862.5,113950.0,0,0,0,0,0.0
19821118,113800.0,113962.5,113687.5,113800.0,0,0,0,0,0.0
19821119,114062.5,114125.0,113925.0125,114062.5,0,0,0,0,0.0
19821122,113875.0,114037.5,113725.0,113875.0,0,0,0,0,0.0
19821123,113812.5,113862.5,113712.5,113812.5,0,0,0,0,0.0
19821124,113825.0,113887.5,113762.5,113825.0,0,0,0,0,0.0
19821125,113425.0,113812.5,113400.0,113425.0,0,0,0,0,0.0
19821126,112562.5,113025.0,112487.5,112562.5,0,0,0,0,0.0
19821129,112425.0,112462.5,112087.5,112425.0,0,0,0,0,0.0
19821130,112812.5,112875.0,112337.5,112812.5,0,0,0,0,0.0
19821201,113337.5,113362.5,113187.5,113337.5,0,0,0,0,0.0
19821202,113412.5,113450.0,113187.5,113412.5,0,0,0,0,0.0
19821203,113887.5,113912.5,113700.0,113887.5,0,0,0,0,0.0
19821206,113625.0,113750.0,113450.0,113625.0,0,0,0,0,0.0
19821207,113225.0125,113312.5,113025.0,113225.0125,0,0,0,0,0.0
19821208,112875.0,113112.5,112587.5,112875.0,0,0,0,0,0.0
19821209,112712.5,112862.5,112500.0,112712.5,0,0,0,0,0.0
19821210,112712.5,112787.5,112637.5,112712.5,0,0,198306,198306,0.0
19821213,112212.5,112375.0,112100.0,112212.5,0,0,0,0,-262.5
19821214,112700.0,112750.0,112562.5,112700.0,0,0,0,0,0.0
19821215,112487.5,112525.0,112462.5,112487.5,0,0,0,0,0.0
19821216,112625.0,112650.0,112325.0,112625.0,0,0,0,0,0.0
19821217,112537.5,112587.5,112462.5,112537.5,0,0,0,0,0.0
19821220,112425.0,112475.0,112300.0,112425.0,0,0,0,0,0.0
19821221,112400.0,112437.5,112337.5,112400.0,0,0,0,0,0.0
19821222,112337.5,112412.5,112275.0,112337.5,0,0,0,0,0.0
19821223,112312.5,112375.0,112275.0,112312.5,0,0,0,0,0.0
