DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19910416,16680.0000,16685.0000,16680.0000,16685.0000,0,0,0,0,0.0000
19910418,16765.0000,16770.0000,16430.0000,16590.0000,0,0,0,0,0.0000
19910419,16520.0000,16620.0000,16520.0000,16560.0000,0,0,0,0,0.0000
19910422,16460.0000,16518.0000,16400.0000,16400.0000,0,0,0,0,0.0000
19910423,16520.0000,16668.0000,16510.0000,16634.0000,0,0,0,0,0.0000
19910424,16710.0000,16740.0000,16590.0000,16610.0000,0,0,0,0,0.0000
19910425,16550.0000,16609.0000,16510.0000,16511.0000,0,0,0,0,0.0000
19910426,16500.0000,16550.0000,16480.0000,16480.0000,0,0,0,0,0.0000
19910429,16562.0000,16562.0000,16539.0000,16540.0000,0,0,0,0,0.0000
19910430,16440.0000,16520.0000,16340.0000,16500.0000,0,0,0,0,0.0000
19910502,16609.0000,16680.0000,16570.0000,16680.0000,0,0,0,0,0.0000
19910503,16618.0000,16618.0000,16550.0000,16552.0000,0,0,0,0,0.0000
19910506,16440.0000,16480.0000,16440.0000,16480.0000,0,0,0,0,0.0000
19910507,16520.0000,16590.0000,16520.0000,16587.0000,0,0,0,0,0.0000
19910508,16430.0000,16509.0000,16420.0000,16420.0000,0,0,0,0,0.0000
19910510,16520.0000,16580.0000,16500.0000,16570.0000,0,0,0,0,0.0000
19910513,16370.0000,16500.0000,16370.0000,16450.0000,0,0,0,0,0.0000
19910514,16530.0000,16558.0000,16425.0000,16431.0000,0,0,0,0,0.0000
19910515,16380.0000,16410.0000,16330.0000,16402.0000,0,0,0,0,0.0000
19910516,16430.0000,16478.0000,16402.0000,16450.0000,0,0,0,0,0.0000
19910517,16540.0000,16540.0000,16401.0000,16450.0000,0,0,0,0,0.0000
19910521,16549.0000,16639.0000,16540.0000,16630.0000,0,0,0,0,0.0000
19910522,16785.0000,16821.0000,16760.0000,16786.0000,0,0,0,0,0.0000
19910523,16900.0000,16940.0000,16792.0000,16850.0000,0,0,0,0,0.0000
19910524,16800.0000,16880.0000,16780.0000,16855.0000,0,0,0,0,0.0000
19910528,17239.0000,17249.0000,17140.0000,17245.0000,0,0,0,0,0.0000
19910529,17331.0000,17355.0000,17099.0000,17105.0000,0,0,0,0,0.0000
19910530,17120.0000,17160.0000,17030.0000,17115.0000,0,0,0,0,0.0000
19910531,17210.0000,17350.0000,17210.0000,17250.0000,0,0,0,0,0.0000
19910603,17338.0000,17387.0000,17250.0000,17283.0000,0,0,0,0,0.0000
19910604,17180.0000,17250.0000,17155.0000,17185.0000,0,0,0,0,0.0000
19910605,17241.0000,17334.0000,17241.0000,17250.0000,0,0,0,0,0.0000
19910606,17259.0000,17280.0000,17150.0000,17175.0000,0,0,0,0,0.0000
19910607,17150.0000,17218.0000,17110.0000,17151.0000,0,0,0,0,0.0000
