DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,99625.0,99937.5,99468.8,99625.0,13547,69657,0,0,0.0
19900103,99593.8,99687.5,99343.8,99406.3,30099,68404,0,0,0.0
19900104,99375.0,99687.5,99343.8,99468.8,17601,67566,0,0,0.0
19900105,99500.0,99875.0,99312.5,99437.5,18813,68180,0,0,0.0
19900108,99343.8,99437.5,99218.8,99312.5,17144,68418,0,0,0.0
19900109,99343.8,99468.8,99218.8,99281.3,13159,67867,0,0,0.0
19900110,99281.3,99375.0,99031.3,99250.0,12871,65324,0,0,0.0
19900111,99437.5,99437.5,99187.5,99218.8,19972,66219,0,0,0.0
19900112,98937.5,99156.3,98656.3,98937.5,29695,64815,0,0,0.0
19900115,98718.8,98781.3,98375.0,98468.8,6497,66477,0,0,0.0
19900116,98468.8,98656.3,98156.3,98250.0,29616,68121,0,0,0.0
19900117,98312.5,98437.5,98187.5,98281.3,19267,68386,0,0,0.0
19900118,97843.8,98125.0,97406.3,97500.0,30249,69900,0,0,0.0
19900119,97875.0,97875.0,97562.5,97843.8,20550,71257,0,0,0.0
19900122,97937.5,97968.8,97718.8,97812.5,15292,72319,0,0,0.0
19900123,97750.0,98000.0,97593.8,97968.8,20962,72996,0,0,0.0
19900124,97125.0,97375.0,97062.5,97281.3,28551,73907,0,0,0.0
19900125,97406.3,97593.8,97000.0,97031.3,24038,74721,0,0,0.0
19900126,97218.8,97218.8,96437.5,96531.3,37019,71700,0,0,0.0
19900129,96625.0,96718.8,96500.0,96562.5,12716,72359,0,0,0.0
19900130,96468.8,96656.3,95968.8,96406.3,30937,73196,0,0,0.0
19900131,96250.0,97031.3,96062.5,97000.0,32672,71169,0,0,0.0
19900201,97187.5,97375.0,96781.3,97125.0,26222,72225,0,0,0.0
19900202,97031.3,97125.0,96562.5,96656.3,24330,72460,0,0,0.0
19900205,96437.5,96500.0,96312.5,96468.8,13527,72189,0,0,0.0
19900206,96281.3,96343.8,96062.5,96218.8,25371,72496,0,0,0.0
19900207,95812.5,96250.0,95781.3,96250.0,43962,74558,0,0,0.0
19900208,96281.3,96937.5,96187.5,96625.0,38482,72925,0,0,0.0
19900209,96968.8,97718.8,96875.0,97593.8,40757,72231,0,0,0.0
19900212,97593.8,97812.5,97031.3,97093.8,28029,70069,0,0,0.0
19900213,97125.0,97468.8,96906.3,97406.3,30936,69012,0,0,0.0
19900214,97500.0,97562.5,97250.0,97343.8,29123,66587,0,0,0.0
19900215,97218.8,97281.3,96750.0,96812.5,45945,63899,0,0,0.0
19900216,96906.3,97125.0,96718.8,96906.3,30896,60935,0,0,0.0
19900220,96187.5,96343.8,95437.5,95656.3,52665,60811,0,0,0.0
19900221,95687.5,95875.0,95343.8,95687.5,36889,55185,0,0,0.0
19900222,95687.5,96312.5,95468.8,96218.8,31734,53849,199006,199006,0.0
19900223,96187.5,96500.0,96000.0,96156.3,35257,32209,0,0,-31.3
19900226,96312.5,96687.5,96187.5,96656.3,35005,38726,0,0,0.0
19900227,96750.0,97000.0,96750.0,97000.0,39849,42191,0,0,0.0
19900228,96875.0,96937.5,96281.3,96312.5,33284,45987,0,0,0.0
19900301,96312.5,96343.8,95750.0,95812.5,30426,49396,0,0,0.0
19900302,95875.0,96437.5,95812.5,96062.5,34332,55617,0,0,0.0
19900305,96000.0,96000.0,95312.5,95375.0,21398,57159,0,0,0.0
19900306,95531.3,95812.5,95281.3,95750.0,23876,57337,0,0,0.0
19900307,95937.5,96031.3,95781.3,95812.5,14186,57768,0,0,0.0
19900308,95937.5,96000.0,95718.8,95906.3,19018,57936,0,0,0.0
19900309,96000.0,96031.3,95187.5,95375.0,37302,59719,0,0,0.0
19900312,95375.0,95562.5,95281.3,95531.3,11548,61697,0,0,0.0
19900313,95406.3,95531.3,94781.3,94937.5,28183,63182,0,0,0.0
19900314,95000.0,95531.3,94937.5,95500.0,19204,64164,0,0,0.0
19900315,95437.5,95500.0,95218.8,95375.0,13269,63999,0,0,0.0
19900316,95312.5,96000.0,95281.3,95906.3,23597,64513,0,0,0.0
19900319,95718.8,95906.3,95562.5,95875.0,10400,64096,0,0,0.0
19900320,95843.8,96250.0,95406.3,96250.0,38846,67312,0,0,0.0
19900321,96156.3,96312.5,95968.8,96125.0,23500,68998,0,0,0.0
19900322,95937.5,96656.3,95937.5,96187.5,26782,66527,0,0,0.0
19900323,96312.5,96625.0,96062.5,96312.5,20972,66136,0,0,0.0
19900326,96593.8,96718.8,96375.0,96437.5,10575,66276,0,0,0.0
19900327,96375.0,96500.0,96250.0,96312.5,11920,66718,0,0,0.0
19900328,96218.8,96593.8,96093.8,96437.5,11940,68148,0,0,0.0
19900329,96187.5,96375.0,95812.5,95843.8,20670,68168,0,0,0.0
19900330,95875.0,95937.5,95343.8,95437.5,24010,70079,0,0,0.0
19900402,95593.8,95750.0,95437.5,95500.0,14769,68559,0,0,0.0
19900403,95593.8,95843.8,95468.8,95625.0,12114,69000,0,0,0.0
19900404,95625.0,96593.8,95593.8,96281.3,19841,70714,0,0,0.0
19900405,96031.3,96187.5,95875.0,96187.5,12973,70784,0,0,0.0
19900406,96125.0,96625.0,95937.5,96187.5,22922,71184,0,0,0.0
19900409,96062.5,96062.5,95812.5,95937.5,6579,70708,0,0,0.0
19900410,95718.8,96187.5,95656.3,95875.0,15896,71453,0,0,0.0
19900411,95687.5,96093.8,95625.0,95718.8,17846,71834,0,0,0.0
19900412,95812.5,95968.8,95531.3,95593.8,10744,71639,0,0,0.0
19900416,95812.5,95812.5,95281.3,95406.3,12348,72374,0,0,0.0
19900417,95562.5,95718.8,94593.8,94875.0,27735,72812,0,0,0.0
19900418,94906.3,95125.0,94156.3,94250.0,31596,74862,0,0,0.0
19900419,94062.5,94375.0,94000.0,94218.8,21487,76578,0,0,0.0
19900420,94343.8,94437.5,93656.3,93750.0,19801,76922,0,0,0.0
19900423,93625.0,93843.8,93531.3,93593.8,20586,77458,0,0,0.0
19900424,93687.5,93843.8,93343.8,93468.8,26823,79223,0,0,0.0
19900425,93468.8,93750.0,93375.0,93468.8,24022,77983,0,0,0.0
19900426,93562.5,93593.8,92906.3,93125.0,27507,79246,0,0,0.0
19900427,93125.0,93562.5,92937.5,93156.3,24233,77697,0,0,0.0
19900430,93125.0,93312.5,93093.8,93250.0,8602,76940,0,0,0.0
19900501,93406.3,93656.3,92906.3,93093.8,19011,77598,0,0,0.0
19900502,93000.0,93125.0,92812.5,93031.3,23873,76836,0,0,0.0
19900503,93218.8,93406.3,93156.3,93250.0,21118,75704,0,0,0.0
19900504,93437.5,94687.5,93093.8,94562.5,41814,73804,0,0,0.0
19900507,94406.3,94468.8,94250.0,94343.8,12929,74085,0,0,0.0
19900508,94468.8,94625.0,94375.0,94593.8,20788,70864,0,0,0.0
19900509,94187.5,94312.5,93937.5,94000.0,30983,69078,0,0,0.0
19900510,94156.3,94562.5,94156.3,94562.5,29039,65461,0,0,0.0
19900511,94718.8,95656.3,94687.5,95625.0,53821,64406,0,0,0.0
19900514,95406.3,95906.3,95375.0,95843.8,23968,65034,0,0,0.0
19900515,95656.3,95750.0,95406.3,95531.3,19984,64480,0,0,0.0
19900516,95500.0,95687.5,95250.0,95406.3,38969,60980,0,0,0.0
19900517,95468.8,95687.5,95187.5,95312.5,24098,58648,0,0,0.0
19900518,95156.3,95218.8,94843.8,94968.8,23004,61362,0,0,0.0
19900521,94906.3,95062.5,94781.3,95000.0,22366,54761,0,0,0.0
19900522,95125.0,95687.5,95125.0,95625.0,33569,52959,0,0,0.0
19900523,95718.8,96093.8,95437.5,95812.5,43384,50939,199009,199009,0.0
19900524,95968.8,96156.3,95656.3,95656.3,38906,37736,0,0,-31.3
19900525,95468.8,95468.8,95187.5,95218.8,18582,39564,0,0,0.0
19900529,95343.8,95531.3,95250.0,95531.3,28480,46572,0,0,0.0
19900530,95625.0,95843.8,95625.0,95781.3,42069,57325,0,0,0.0
19900531,95781.3,95875.0,95562.5,95875.0,24577,61117,0,0,0.0
19900601,95875.0,97000.0,95781.3,96875.0,56859,66704,0,0,0.0
19900604,96906.3,97000.0,96781.3,96906.3,24722,70010,0,0,0.0
19900605,97125.0,97156.3,96593.8,96656.3,21143,69753,0,0,0.0
19900606,96562.5,96718.8,96500.0,96687.5,24055,71615,0,0,0.0
19900607,96843.8,96875.0,96562.5,96718.8,16943,71755,0,0,0.0
19900608,96781.3,96875.0,96562.5,96687.5,12079,71824,0,0,0.0
19900611,96406.3,96656.3,96375.0,96593.8,14803,71712,0,0,0.0
19900612,96687.5,96718.8,96531.3,96593.8,12470,70633,0,0,0.0
19900613,96656.3,97125.0,96625.0,97062.5,17777,69226,0,0,0.0
19900614,97343.8,97406.3,97000.0,97281.3,26364,70933,0,0,0.0
19900615,97312.5,97437.5,96531.3,96718.8,31422,70015,0,0,0.0
19900618,96562.5,96625.0,96375.0,96437.5,12995,69461,0,0,0.0
19900619,96468.8,96593.8,96281.3,96406.3,17140,71029,0,0,0.0
19900620,96406.3,96593.8,96062.5,96125.0,20819,72498,0,0,0.0
19900621,96250.0,96375.0,96031.3,96343.8,17784,72887,0,0,0.0
19900622,96437.5,96531.3,96281.3,96406.3,12493,72846,0,0,0.0
19900625,96437.5,96437.5,95812.5,95843.8,12713,72238,0,0,0.0
19900626,95875.0,96500.0,95843.8,96125.0,21746,71813,0,0,0.0
19900627,96250.0,96406.3,96125.0,96343.8,12776,70810,0,0,0.0
19900628,96625.0,96750.0,96500.0,96687.5,12457,70294,0,0,0.0
19900629,96781.3,97031.3,96531.3,97000.0,24986,71452,0,0,0.0
19900702,96875.0,97031.3,96781.3,96937.5,12370,71671,0,0,0.0
19900703,96937.5,97156.3,96843.8,97156.3,8321,71304,0,0,0.0
19900705,97125.0,97218.8,96937.5,96968.8,9611,70738,0,0,0.0
19900706,96875.0,96937.5,96281.3,96312.5,27786,69342,0,0,0.0
19900709,96093.8,96156.3,95906.3,96031.3,16670,69363,0,0,0.0
19900710,96062.5,96187.5,95875.0,95906.3,13479,67595,0,0,0.0
19900711,96000.0,96281.3,95937.5,96062.5,14354,67998,0,0,0.0
19900712,96093.8,96593.8,95625.0,96531.3,31084,70132,0,0,0.0
19900713,96500.0,97000.0,96125.0,96781.3,26444,68410,0,0,0.0
19900716,96718.8,96937.5,96625.0,96906.3,10205,68976,0,0,0.0
19900717,96812.5,97031.3,96750.0,96968.8,12952,69129,0,0,0.0
19900718,96906.3,96937.5,96312.5,96468.8,99910,70141,0,0,0.0
19900719,96437.5,96562.5,96312.5,96437.5,16620,69870,0,0,0.0
19900720,96562.5,96750.0,96531.3,96687.5,16890,70000,0,0,0.0
19900723,96312.5,97375.0,96156.3,96656.3,29807,68934,0,0,0.0
19900724,96312.5,96531.3,96093.8,96281.3,728,69021,0,0,0.0
19900725,96343.8,96656.3,96312.5,96593.8,21122,68108,0,0,0.0
19900726,96593.8,96687.5,96562.5,96656.3,13731,66471,0,0,0.0
19900727,96656.3,97156.3,96593.8,97125.0,31092,67337,0,0,0.0
19900730,97250.0,97781.3,97250.0,97750.0,28754,69166,0,0,0.0
19900731,97625.0,97718.8,97437.5,97531.3,18720,67389,0,0,0.0
19900801,97531.3,98156.3,97531.3,97968.8,26556,66635,0,0,0.0
19900802,97156.3,97625.0,97000.0,97250.0,28444,65428,0,0,0.0
19900803,96937.5,97625.0,96531.3,97000.0,34786,63586,0,0,0.0
19900806,96531.3,96625.0,95093.8,95281.3,50748,61994,0,0,0.0
19900807,95312.5,95781.3,94687.5,94875.0,1210,61175,0,0,0.0
19900808,95218.8,95250.0,94500.0,94843.8,58620,62457,0,0,0.0
19900809,94875.0,95562.5,94812.5,95531.3,31936,60136,0,0,0.0
19900810,95531.3,95812.5,94968.8,95406.3,36467,58290,0,0,0.0
19900813,95093.8,95406.3,95031.3,95375.0,17597,59069,0,0,0.0
19900814,95375.0,95750.0,95187.5,95562.5,24977,61055,0,0,0.0
19900815,95875.0,96062.5,95375.0,95718.8,25528,59615,0,0,0.0
19900816,95562.5,95593.8,94812.5,94906.3,934,59533,0,0,0.0
19900817,94750.0,94843.8,94531.3,94656.3,17679,59629,0,0,0.0
19900820,94593.8,94781.3,94437.5,94656.3,16120,59755,0,0,0.0
19900821,94375.0,94625.0,94000.0,94531.3,29122,59850,0,0,0.0
19900822,94375.0,94531.3,94000.0,94062.5,26362,59993,0,0,0.0
19900823,93625.0,93937.5,93343.8,93531.3,35641,57484,199012,199012,0.0
19900824,93312.5,93625.0,92906.3,93125.0,39514,28246,0,0,-187.5
19900827,93718.8,94125.0,93718.8,94000.0,28354,31664,0,0,0.0
19900828,94062.5,94156.3,93812.5,93812.5,22632,33938,0,0,0.0
19900829,94000.0,94468.8,93906.3,94468.8,24723,36648,0,0,0.0
19900830,94312.5,94406.3,94062.5,94312.5,25638,38753,0,0,0.0
19900831,94375.0,94437.5,94156.3,94343.8,25860,43209,0,0,0.0
19900904,94000.0,94156.3,93906.3,94031.3,21684,45114,0,0,0.0
19900905,94093.8,94343.8,94031.3,94312.5,26674,50125,0,0,0.0
19900906,94250.0,94500.0,94187.5,94437.5,14968,50585,0,0,0.0
19900907,94468.8,94781.3,94031.3,94656.3,36705,54922,0,0,0.0
19900910,94750.0,94875.0,94375.0,94375.0,14582,55981,0,0,0.0
19900911,94375.0,94500.0,94187.5,94437.5,156202,56174,0,0,0.0
19900912,94531.3,94656.3,94406.3,94468.8,16364,55998,0,0,0.0
19900913,94437.5,94750.0,94406.3,94531.3,12724,56603,0,0,0.0
19900914,94312.5,94406.3,94125.0,94187.5,21936,55989,0,0,0.0
19900917,93937.5,94125.0,93875.0,94000.0,26606,59734,0,0,0.0
19900918,93687.5,94093.8,93625.0,94031.3,20525,60392,0,0,0.0
19900919,94093.8,94218.8,93750.0,94125.0,27226,61767,0,0,0.0
19900920,94125.0,94218.8,93843.8,93906.3,11180,62291,0,0,0.0
19900921,93781.3,93843.8,93406.3,93500.0,20696,62561,0,0,0.0
19900924,93250.0,93375.0,93000.0,93187.5,19755,62814,0,0,0.0
19900925,93437.5,93531.3,93187.5,93406.3,18506,62809,0,0,0.0
19900926,93593.8,93656.3,93375.0,93468.8,16940,63413,0,0,0.0
19900927,93812.5,94062.5,93593.8,94031.3,22390,64613,0,0,0.0
19900928,94093.8,94656.3,94000.0,94625.0,24130,65312,0,0,0.0
19901001,94843.8,95375.0,94718.8,95281.3,27376,62915,0,0,0.0
19901002,95375.0,95625.0,95281.3,95406.3,26345,64270,0,0,0.0
19901003,95156.3,95531.3,95125.0,95343.8,19617,61938,0,0,0.0
19901004,95312.5,95562.5,95187.5,95531.3,15770,64006,0,0,0.0
19901005,95531.3,95875.0,95187.5,95687.5,27772,65320,0,0,0.0
19901008,95562.5,95625.0,95343.8,95468.8,2120,64993,0,0,0.0
19901009,95000.0,95031.3,94500.0,94531.3,19329,64064,0,0,0.0
19901010,94312.5,94437.5,94062.5,94250.0,19027,63617,0,0,0.0
19901011,94187.5,94406.3,93812.5,93937.5,28636,62293,0,0,0.0
19901012,94093.8,94781.3,94031.3,94531.3,24047,62564,0,0,0.0
19901015,94843.8,94875.0,94531.3,94750.0,15294,61518,0,0,0.0
19901016,94625.0,94906.3,94562.5,94843.8,15891,62137,0,0,0.0
19901017,95187.5,95218.8,94781.3,95031.3,28929,61937,0,0,0.0
19901018,95093.8,95625.0,95031.3,95343.8,25903,61396,0,0,0.0
19901019,95937.5,96187.5,95718.8,95906.3,27365,64128,0,0,0.0
19901022,96093.8,96125.0,95562.5,95875.0,15945,63715,0,0,0.0
19901023,95781.3,95875.0,95562.5,95718.8,12233,63491,0,0,0.0
19901024,95562.5,95750.0,95437.5,95656.3,15388,63481,0,0,0.0
19901025,95593.8,96000.0,95562.5,95937.5,15786,62513,0,0,0.0
19901026,95750.0,95937.5,95656.3,95843.8,12526,62368,0,0,0.0
19901029,95906.3,96031.3,95437.5,95437.5,14293,62577,0,0,0.0
19901030,95343.8,95406.3,95125.0,95406.3,20917,60851,0,0,0.0
19901031,95531.3,95875.0,95406.3,95750.0,15203,61100,0,0,0.0
19901101,95718.8,96437.5,95718.8,96250.0,25244,63816,0,0,0.0
19901102,96375.0,96531.3,96093.8,96250.0,27357,64290,0,0,0.0
19901105,96218.8,96687.5,96218.8,96687.5,12859,66373,0,0,0.0
19901106,96593.8,96812.5,96500.0,96625.0,27393,65377,0,0,0.0
19901107,96843.8,96906.3,96156.3,96218.8,40097,64521,0,0,0.0
19901108,96281.3,96531.3,96093.8,96156.3,27498,61279,0,0,0.0
19901109,96375.0,96781.3,96281.3,96781.3,22543,62324,0,0,0.0
19901112,97125.0,97375.0,97000.0,97343.8,13130,65142,0,0,0.0
19901113,97375.0,97468.8,97125.0,97468.8,24888,66571,0,0,0.0
19901114,97375.0,97562.5,97250.0,97562.5,26462,62315,0,0,0.0
19901115,97437.5,97593.8,97187.5,97437.5,22365,61695,0,0,0.0
19901116,97406.3,98062.5,97375.0,97812.5,28879,59675,0,0,0.0
19901119,97968.8,98000.0,97406.3,97593.8,30150,55739,0,0,0.0
19901120,97625.0,97906.3,97562.5,97781.3,23178,53840,0,0,0.0
19901121,97937.5,98156.3,97906.3,98125.0,23417,52335,0,0,0.0
19901123,97875.0,97937.5,97781.3,97843.8,9102,19683,199106,199106,0.0
19901126,97375.0,98000.0,97343.8,97968.8,43438,29129,0,0,-125.0
19901127,97875.0,98062.5,97781.3,97843.8,37262,37010,0,0,0.0
19901128,97718.8,97937.5,97625.0,97687.5,42597,42452,0,0,0.0
19901129,97562.5,97843.8,97250.0,97531.3,42703,48474,0,0,0.0
19901130,97437.5,97937.5,97406.3,97843.8,20209,51139,0,0,0.0
19901203,98187.5,98375.0,98093.8,98125.0,23702,54557,0,0,0.0
19901204,98218.8,98468.8,98093.8,98250.0,28030,56784,0,0,0.0
19901205,98468.8,98500.0,98218.8,98468.8,28225,58436,0,0,0.0
19901206,98750.0,98781.3,98281.3,98312.5,24590,59158,0,0,0.0
19901207,98437.5,99343.8,98375.0,99343.8,39666,63262,0,0,0.0
19901210,99656.3,99781.3,99562.5,99593.8,32796,66722,0,0,0.0
19901211,99718.8,99875.0,99593.8,99875.0,25059,68569,0,0,0.0
19901212,100000.0,100031.3,99750.0,100031.3,30907,68102,0,0,0.0
19901213,100031.3,100125.0,99468.8,99531.3,28207,67878,0,0,0.0
19901214,99625.0,99718.8,98937.5,99062.5,27485,65668,0,0,0.0
19901217,98875.0,99281.3,98875.0,99250.0,16171,65121,0,0,0.0
19901218,99312.5,99593.8,99156.3,99468.8,22984,67063,0,0,0.0
19901219,99843.8,99843.8,99218.8,99343.8,31057,67940,0,0,0.0
19901220,99031.3,99250.0,98843.8,98968.8,22377,69318,0,0,0.0
19901221,98937.5,99156.3,98625.0,98656.3,15675,69989,0,0,0.0
19901224,98437.5,98468.8,97687.5,97968.8,10988,68077,0,0,0.0
19901226,98187.5,98437.5,98125.0,98375.0,7929,67907,0,0,0.0
19901227,98625.0,98812.5,98500.0,98593.8,6812,68172,0,0,0.0
19901228,98687.5,98781.3,98218.8,98312.5,10795,68407,0,0,0.0
19901231,98468.8,98812.5,98468.8,98750.0,4743,68677,0,0,0.0
19910102,98937.5,99531.3,98937.5,99500.0,18272,70314,0,0,0.0
19910103,99656.3,99968.8,99593.8,99750.0,22728,72471,0,0,0.0
19910104,99812.5,99843.8,99031.3,99250.0,34528,73546,0,0,0.0
19910107,98750.0,98843.8,98500.0,98531.3,27181,73107,0,0,0.0
19910108,98562.5,98906.3,98312.5,98312.5,32897,70241,0,0,0.0
19910109,98906.3,99125.0,97593.8,97656.3,38289,66394,0,0,0.0
19910110,98125.0,98312.5,97875.0,98281.3,23742,67121,0,0,0.0
19910111,98531.3,98656.3,98000.0,98218.8,22571,66128,0,0,0.0
19910114,97562.5,97937.5,97562.5,97906.3,24198,65436,0,0,0.0
19910115,98062.5,98250.0,97937.5,98000.0,21970,66263,0,0,0.0
19910116,97906.3,98062.5,97718.8,98031.3,20284,67176,0,0,0.0
19910117,99406.3,99625.0,98906.3,99281.3,39714,65355,0,0,0.0
19910118,98906.3,99437.5,98875.0,99406.3,27749,65683,0,0,0.0
19910121,99218.8,99312.5,99093.8,99250.0,5301,65183,0,0,0.0
19910122,99062.5,99343.8,98937.5,99125.0,22576,66327,0,0,0.0
19910123,99125.0,99343.8,99125.0,99312.5,12484,66448,0,0,0.0
19910124,99500.0,99625.0,99406.3,99562.5,13486,64197,0,0,0.0
19910125,99656.3,99781.3,99156.3,99187.5,25111,66127,0,0,0.0
