DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19990104,109070.0,109070.0,108980.0,108980.0,1,1,0,0,0.0
19990105,109010.0,109010.0,109010.0,109010.0,1,1,0,0,0.0
19990106,109030.0,109030.0,109030.0,109030.0,1,1,0,0,0.0
19990107,109060.0,109060.0,109060.0,109060.0,1,1,0,0,0.0
19990108,109160.0,109160.0,109160.0,109160.0,1,1,0,0,0.0
19990111,109040.0,109040.0,109040.0,109040.0,1,1,0,0,0.0
19990112,109390.0,109390.0,109390.0,109390.0,1,1,0,0,0.0
19990113,109500.0,109500.0,109500.0,109500.0,1,1,0,0,0.0
19990114,109640.0,109640.0,109640.0,109640.0,1,1,0,0,0.0
19990115,109680.0,109680.0,109680.0,109680.0,1,1,0,0,0.0
19990118,109800.0,109800.0,109800.0,109800.0,1,1,0,0,0.0
19990119,109760.0,109760.0,109760.0,109760.0,1,1,0,0,0.0
19990120,109600.0,109600.0,109540.0,109540.0,10,1,0,0,0.0
19990121,109710.0,109710.0,109710.0,109710.0,10,1,0,0,0.0
19990122,109800.0,109800.0,109800.0,109800.0,10,401,0,0,0.0
19990125,109800.0,109800.0,109800.0,109800.0,10,401,0,0,0.0
19990126,109750.0,109750.0,109750.0,109750.0,10,401,0,0,0.0
19990127,109730.0,109740.0,109730.0,109740.0,321,401,0,0,0.0
19990128,109740.0,109740.0,109740.0,109740.0,321,401,0,0,0.0
19990129,109710.0,109710.0,109630.0,109630.0,22,413,0,0,0.0
19990201,109410.0,109410.0,109410.0,109410.0,22,413,0,0,0.0
19990202,109480.0,109480.0,109480.0,109480.0,22,413,0,0,0.0
19990203,109310.0,109340.0,109310.0,109340.0,25,436,0,0,0.0
19990204,109070.0,109070.0,109070.0,109070.0,25,436,0,0,0.0
19990205,109200.0,109200.0,109200.0,109200.0,25,436,0,0,0.0
19990208,108970.0,108970.0,108970.0,108970.0,400,636,0,0,0.0
19990209,109190.0,109190.0,109190.0,109190.0,380,826,0,0,0.0
19990210,109230.0,109230.0,109200.0,109200.0,466,1104,0,0,0.0
19990211,109290.0,109290.0,109290.0,109290.0,579,1104,0,0,0.0
19990212,109020.0,109020.0,109020.0,109020.0,579,975,0,0,0.0
19990215,108900.0,108900.0,108810.0,108810.0,360,1104,0,0,0.0
19990216,108800.0,108800.0,108800.0,108800.0,360,1415,0,0,0.0
19990217,108950.0,108950.0,108950.0,108950.0,250,1555,0,0,0.0
19990218,109010.0,109010.0,108870.0,108880.0,398,1555,0,0,0.0
19990219,108900.0,109040.0,108900.0,109040.0,1563,2353,0,0,0.0
19990222,108990.0,109150.0,108960.0,109110.0,1563,2702,0,0,0.0
19990223,109110.0,109220.0,109110.0,109220.0,1435,3350,199906,199906,0.0
19990224,108960.0,108990.0,108820.0,108820.0,977,8158,0,0,-200.0
19990225,108760.0,108810.0,108390.0,108390.0,1494,8295,0,0,0.0
19990226,108350.0,108510.0,108290.0,108330.0,1433,15039,0,0,0.0
19990301,108420.0,108470.0,107980.0,108040.0,4068,24234,0,0,0.0
19990302,108030.0,108120.0,107940.0,108040.0,9434,40032,0,0,0.0
19990303,108000.0,108100.0,107670.0,107720.0,20296,72406,0,0,0.0
19990304,107700.0,107860.0,107650.0,107840.0,49846,124514,0,0,0.0
19990305,107870.0,108620.0,107850.0,108490.0,111099,211450,0,0,0.0
19990308,108410.0,108530.0,108410.0,108420.0,115370,220250,0,0,0.0
19990309,108490.0,108600.0,108220.0,108400.0,202599,221722,0,0,0.0
19990310,108460.0,108520.0,108380.0,108480.0,190571,222547,0,0,0.0
19990311,108420.0,109090.0,108400.0,108850.0,302417,229482,0,0,0.0
19990312,108900.0,109050.0,108640.0,108760.0,249930,231673,0,0,0.0
19990315,108830.0,108870.0,108670.0,108700.0,122706,224236,0,0,0.0
19990316,108710.0,108900.0,108640.0,108880.0,198230,216099,0,0,0.0
19990317,108890.0,108950.0,108800.0,108910.0,153098,206334,0,0,0.0
19990318,108910.0,109060.0,108840.0,108910.0,186387,217413,0,0,0.0
19990319,108880.0,108990.0,108840.0,108910.0,124837,211868,0,0,0.0
19990322,108840.0,108900.0,108730.0,108880.0,96639,212065,0,0,0.0
19990323,108840.0,108850.0,108580.0,108730.0,160005,224344,0,0,0.0
19990324,108800.0,108940.0,108770.0,108850.0,155220,227152,0,0,0.0
19990325,108920.0,109000.0,108870.0,108870.0,129656,223331,0,0,0.0
19990326,108840.0,108890.0,108660.0,108780.0,153363,213515,0,0,0.0
19990329,108680.0,108930.0,108680.0,108810.0,137917,224889,0,0,0.0
19990330,108820.0,108970.0,108760.0,108960.0,107001,223988,0,0,0.0
19990331,109000.0,109150.0,108920.0,109060.0,160684,229973,0,0,0.0
19990401,109090.0,109230.0,109090.0,109150.0,125820,234482,0,0,0.0
