DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19900102,98562.5,98781.3,98250.0,98406.3,140931,249885,0,0,0.0
19900103,98375.0,98500.0,97906.3,98000.0,293462,252487,0,0,0.0
19900104,97937.5,98312.5,97937.5,98062.5,219081,244967,0,0,0.0
19900105,98062.5,98500.0,97625.0,97812.5,332874,262280,0,0,0.0
19900108,97718.8,97812.5,97437.5,97593.8,253864,263320,0,0,0.0
19900109,97625.0,97843.8,97406.3,97500.0,196738,264961,0,0,0.0
19900110,97531.3,97687.5,97312.5,97562.5,268377,266408,0,0,0.0
19900111,97750.0,97843.8,97531.3,97562.5,151260,262239,0,0,0.0
19900112,97218.8,97468.8,96750.0,97000.0,484746,276403,0,0,0.0
19900115,96718.8,96812.5,96531.3,96593.8,68318,270104,0,0,0.0
19900116,96406.3,96656.3,96125.0,96312.5,348645,269886,0,0,0.0
19900117,96375.0,96562.5,96125.0,96312.5,258075,268083,0,0,0.0
19900118,95812.5,96156.3,95218.8,95250.0,499692,264868,0,0,0.0
19900119,95687.5,95843.8,95343.8,95843.8,288593,263403,0,0,0.0
19900122,95906.3,95968.8,95531.3,95625.0,205097,262154,0,0,0.0
19900123,95500.0,95875.0,95250.0,95875.0,309610,261887,0,0,0.0
19900124,94625.0,94781.3,94343.8,94750.0,385277,263303,0,0,0.0
19900125,95062.5,95125.0,94250.0,94281.3,388638,262947,0,0,0.0
19900126,94406.3,94562.5,93218.8,93375.0,548956,267315,0,0,0.0
19900129,93531.3,93781.3,93343.8,93500.0,229228,257820,0,0,0.0
19900130,93312.5,93750.0,92562.5,93218.8,516618,262222,0,0,0.0
19900131,93093.8,94281.3,92937.5,94250.0,445820,259151,0,0,0.0
19900201,94531.3,94687.5,93968.8,94500.0,389153,254437,0,0,0.0
19900202,94375.0,94562.5,93656.3,93843.8,437245,259351,0,0,0.0
19900205,93593.8,93656.3,93406.3,93593.8,165287,249596,0,0,0.0
19900206,93312.5,93406.3,93031.3,93250.0,267535,242667,0,0,0.0
19900207,92750.0,93343.8,92562.5,93312.5,389466,246257,0,0,0.0
19900208,93281.3,94281.3,93156.3,93687.5,528683,251553,0,0,0.0
19900209,94156.3,95031.3,94093.8,94843.8,442041,250447,0,0,0.0
19900212,94906.3,95093.8,94000.0,94062.5,347154,250896,0,0,0.0
19900213,94156.3,94562.5,93906.3,94437.5,373682,247719,0,0,0.0
19900214,94531.3,94656.3,94218.8,94343.8,256839,241718,0,0,0.0
19900215,94218.8,94250.0,93593.8,93687.5,367697,235365,0,0,0.0
19900216,93843.8,94125.0,93562.5,93750.0,286262,223292,0,0,0.0
19900220,92875.0,93031.3,91718.8,92062.5,540778,222970,0,0,0.0
19900221,92156.3,92312.5,91593.8,92093.8,382058,204979,0,0,0.0
19900222,92062.5,93281.3,91812.5,93125.0,451275,204735,199006,199006,0.0
19900223,93031.3,93468.8,92687.5,93000.0,510914,114038,0,0,-31.3
19900226,93250.0,93718.8,93062.5,93687.5,264110,123948,0,0,0.0
19900227,93843.8,94187.5,93781.3,94125.0,355525,143172,0,0,0.0
19900228,93937.5,94031.3,93187.5,93187.5,396272,165901,0,0,0.0
19900301,93156.3,93343.8,92437.5,92531.3,431150,185846,0,0,0.0
