DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
19990104,105020.0,105020.0,105020.0,105020.0,,,0,0,0.0
19990105,105060.0,105060.0,105060.0,105060.0,,,0,0,0.0
19990106,105070.0,105070.0,105070.0,105070.0,,,0,0,0.0
19990107,105130.0,105130.0,105130.0,105130.0,,,0,0,0.0
19990108,105180.0,105180.0,105180.0,105180.0,,,0,0,0.0
19990111,105130.0,105130.0,105130.0,105130.0,,,0,0,0.0
19990112,105250.0,105250.0,105250.0,105250.0,,,0,0,0.0
19990113,105310.0,105310.0,105310.0,105310.0,,,0,0,0.0
19990114,105370.0,105370.0,105370.0,105370.0,,,0,0,0.0
19990115,105440.0,105440.0,105440.0,105440.0,,,0,0,0.0
19990118,105480.0,105480.0,105480.0,105480.0,600.0,,0,0,0.0
19990119,105460.0,105460.0,105460.0,105460.0,1336.0,100.0,0,0,0.0
19990120,105400.0,105420.0,105340.0,105390.0,2214.0,646.0,0,0,0.0
19990121,105420.0,105460.0,105410.0,105460.0,14822.0,1466.0,0,0,0.0
19990122,105480.0,105490.0,105480.0,105490.0,8642.0,7276.0,0,0,0.0
19990125,105510.0,105510.0,105470.0,105470.0,9204.0,9087.0,0,0,0.0
19990126,105440.0,105480.0,105440.0,105460.0,6052.0,7512.0,0,0,0.0
19990127,105410.0,105430.0,105380.0,105430.0,1386.0,7695.0,0,0,0.0
19990128,105430.0,105430.0,105430.0,105430.0,1200.0,7765.0,0,0,0.0
19990129,105400.0,105400.0,105400.0,105400.0,4448.0,7835.0,0,0,0.0
19990201,105400.0,105400.0,105400.0,105400.0,9056.0,8854.0,0,0,0.0
19990202,105260.0,105260.0,105250.0,105250.0,1221.0,11711.0,0,0,0.0
19990203,105200.0,105220.0,105200.0,105220.0,782.0,11806.0,0,0,0.0
19990204,105170.0,105170.0,105150.0,105150.0,850.0,12078.0,0,0,0.0
19990205,105160.0,105190.0,105160.0,105190.0,556.0,12128.0,0,0,0.0
19990208,105200.0,105200.0,105100.0,105100.0,1000.0,12352.0,0,0,0.0
19990209,105180.0,105180.0,105180.0,105180.0,300.0,12842.0,0,0,0.0
19990210,105180.0,105180.0,105180.0,105180.0,1.0,12104.0,0,0,0.0
19990211,105180.0,105200.0,105180.0,105200.0,1.0,12104.0,0,0,0.0
19990212,105210.0,105210.0,105150.0,105150.0,208.0,12052.0,0,0,0.0
19990215,105090.0,105090.0,105090.0,105090.0,604.0,12104.0,0,0,0.0
19990216,105060.0,105060.0,105060.0,105060.0,604.0,11679.0,0,0,0.0
19990217,105120.0,105120.0,105120.0,105120.0,3906.0,11679.0,0,0,0.0
19990218,105140.0,105140.0,105090.0,105090.0,1432.0,12722.0,0,0,0.0
19990219,105130.0,105170.0,105130.0,105170.0,642.0,13303.0,0,0,0.0
19990223,105200.0,105220.0,105200.0,105210.0,300.0,13496.0,199906,199906,0.0
19990224,105240.0,105250.0,105210.0,105210.0,2313.0,15918.0,0,0,60.0
19990225,105180.0,105180.0,104960.0,104990.0,3928.0,15949.0,0,0,0.0
19990226,105000.0,105060.0,104890.0,104950.0,3727.0,18940.0,0,0,0.0
19990301,105000.0,105000.0,104800.0,104810.0,5043.0,23382.0,0,0,0.0
19990302,104850.0,104850.0,104780.0,104810.0,8989.0,25048.0,0,0,0.0
19990303,104830.0,104860.0,104700.0,104710.0,19125.0,32694.0,0,0,0.0
19990304,104730.0,104790.0,104670.0,104750.0,19125.0,47289.0,0,0,0.0
19990305,104790.0,105040.0,104790.0,105000.0,37247.0,72880.0,0,0,0.0
19990308,104980.0,105070.0,104980.0,105050.0,42943.0,84330.0,0,0,0.0
19990309,105080.0,105120.0,104970.0,105070.0,53112.0,88495.0,0,0,0.0
19990310,105090.0,105110.0,105060.0,105090.0,58184.0,87336.0,0,0,0.0
19990311,105070.0,105350.0,105060.0,105260.0,63343.0,89052.0,0,0,0.0
19990312,105300.0,105340.0,105150.0,105170.0,77188.0,94808.0,0,0,0.0
19990315,105220.0,105240.0,105170.0,105190.0,29035.0,92128.0,0,0,0.0
19990316,105200.0,105230.0,105150.0,105220.0,39268.0,96913.0,0,0,0.0
19990317,105220.0,105300.0,105180.0,105250.0,94202.0,107169.0,0,0,0.0
19990318,105250.0,105320.0,105220.0,105250.0,71979.0,117424.0,0,0,0.0
19990319,105250.0,105280.0,105200.0,105210.0,33711.0,111797.0,0,0,0.0
19990322,105230.0,105230.0,105170.0,105210.0,23380.0,111835.0,0,0,0.0
19990323,105190.0,105190.0,105120.0,105160.0,40020.0,108622.0,0,0,0.0
19990324,105220.0,105260.0,105160.0,105240.0,71253.0,112488.0,0,0,0.0
19990325,105260.0,105310.0,105260.0,105280.0,41646.0,109212.0,0,0,0.0
19990326,105250.0,105270.0,105190.0,105250.0,43290.0,112564.0,0,0,0.0
19990329,105200.0,105320.0,105200.0,105270.0,39782.0,112104.0,0,0,0.0
19990330,105260.0,105360.0,105250.0,105360.0,46972.0,108085.0,0,0,0.0
19990331,105380.0,105400.0,105320.0,105380.0,42914.0,109903.0,0,0,0.0
19990401,105400.0,105420.0,105370.0,105400.0,43008.0,113193.0,0,0,0.0
19990406,105460.0,105500.0,105430.0,105490.0,41174.0,109604.0,0,0,0.0
19990407,105500.0,105500.0,105390.0,105400.0,44347.0,111927.0,0,0,0.0
19990408,105430.0,105720.0,105350.0,105670.0,85949.0,119131.0,0,0,0.0
19990409,105670.0,105680.0,105550.0,105570.0,75730.0,130065.0,0,0,0.0
19990412,105600.0,105630.0,105570.0,105580.0,30342.0,126861.0,0,0,0.0
19990413,105570.0,105590.0,105540.0,105560.0,41163.0,126279.0,0,0,0.0
19990414,105580.0,105600.0,105540.0,105550.0,31939.0,125314.0,0,0,0.0
19990415,105560.0,105580.0,105470.0,105490.0,38331.0,120035.0,0,0,0.0
19990416,105490.0,105550.0,105480.0,105550.0,40938.0,116849.0,0,0,0.0
19990419,105510.0,105610.0,105490.0,105600.0,46388.0,122772.0,0,0,0.0
19990420,105620.0,105660.0,105600.0,105650.0,48039.0,136606.0,0,0,0.0
19990421,105650.0,105690.0,105630.0,105650.0,48169.0,133700.0,0,0,0.0
19990422,105640.0,105670.0,105630.0,105640.0,32332.0,131630.0,0,0,0.0
19990423,105630.0,105720.0,105620.0,105680.0,43157.0,140198.0,0,0,0.0
19990426,105680.0,105680.0,105640.0,105660.0,24699.0,149191.0,0,0,0.0
19990427,105710.0,105710.0,105660.0,105690.0,24127.0,150971.0,0,0,0.0
19990428,105690.0,105690.0,105590.0,105600.0,43164.0,151912.0,0,0,0.0
19990429,105610.0,105710.0,105610.0,105690.0,37324.0,148343.0,0,0,0.0
19990430,105680.0,105710.0,105590.0,105610.0,45905.0,151373.0,0,0,0.0
19990503,105610.0,105640.0,105570.0,105630.0,27187.0,149492.0,0,0,0.0
19990504,105630.0,105640.0,105560.0,105580.0,52118.0,151830.0,0,0,0.0
19990505,105570.0,105610.0,105550.0,105600.0,56033.0,155162.0,0,0,0.0
19990506,105620.0,105640.0,105560.0,105580.0,67799.0,156031.0,0,0,0.0
19990507,105570.0,105670.0,105570.0,105630.0,53279.0,161647.0,0,0,0.0
19990510,105630.0,105650.0,105600.0,105640.0,45013.0,157385.0,0,0,0.0
19990511,105640.0,105680.0,105630.0,105670.0,42391.0,167948.0,0,0,0.0
19990512,105650.0,105710.0,105640.0,105700.0,81084.0,185341.0,0,0,0.0
19990514,105730.0,105830.0,105510.0,105560.0,122273.0,174689.0,0,0,0.0
19990517,105560.0,105610.0,105560.0,105590.0,45510.0,164484.0,0,0,0.0
19990518,105610.0,105620.0,105590.0,105600.0,39989.0,156515.0,0,0,0.0
19990519,105590.0,105590.0,105500.0,105520.0,72394.0,159844.0,0,0,0.0
19990520,105550.0,105580.0,105500.0,105540.0,50334.0,153252.0,0,0,0.0
19990521,105530.0,105680.0,105520.0,105670.0,55414.0,153223.0,199909,199909,0.0
19990525,105520.0,105530.0,105510.0,105530.0,55404.0,11496.0,0,0,-160.0
19990526,105540.0,105540.0,105470.0,105480.0,50324.0,15445.0,0,0,0.0
19990527,105480.0,105480.0,105390.0,105390.0,62210.0,16453.0,0,0,0.0
19990528,105380.0,105430.0,105380.0,105400.0,66700.0,18607.0,0,0,0.0
19990531,105410.0,105420.0,105350.0,105350.0,22768.0,19494.0,0,0,0.0
19990601,105330.0,105330.0,105130.0,105130.0,107350.0,22582.0,0,0,0.0
19990602,105140.0,105210.0,105040.0,105140.0,143553.0,40710.0,0,0,0.0
19990604,105170.0,105170.0,105030.0,105100.0,130149.0,54414.0,0,0,0.0
19990607,105110.0,105160.0,104990.0,105130.0,127503.0,73281.0,0,0,0.0
19990608,105130.0,105230.0,105130.0,105190.0,77427.0,84767.0,0,0,0.0
19990609,105150.0,105190.0,105120.0,105140.0,46653.0,83483.0,0,0,0.0
19990610,105110.0,105130.0,104830.0,104850.0,104545.0,104615.0,0,0,0.0
19990611,104820.0,104960.0,104740.0,104830.0,99387.0,110293.0,0,0,0.0
19990614,104780.0,104960.0,104780.0,104950.0,48328.0,106221.0,0,0,0.0
19990615,104930.0,104980.0,104900.0,104950.0,50788.0,102176.0,0,0,0.0
19990616,104930.0,105050.0,104900.0,104950.0,93657.0,105077.0,0,0,0.0
19990617,104940.0,105040.0,104870.0,105040.0,63134.0,112504.0,0,0,0.0
19990618,105040.0,105050.0,104980.0,105010.0,37163.0,112395.0,0,0,0.0
19990621,105040.0,105040.0,104770.0,104820.0,76160.0,112452.0,0,0,0.0
19990622,104810.0,104850.0,104720.0,104770.0,105165.0,116376.0,0,0,0.0
19990623,104710.0,104820.0,104600.0,104650.0,118071.0,123537.0,0,0,0.0
19990624,104650.0,104730.0,104460.0,104540.0,143386.0,134211.0,0,0,0.0
19990625,104560.0,104580.0,104450.0,104550.0,108853.0,148819.0,0,0,0.0
19990628,104540.0,104580.0,104420.0,104560.0,106349.0,146973.0,0,0,0.0
19990629,104570.0,104620.0,104530.0,104610.0,78200.0,147691.0,0,0,0.0
19990630,104590.0,104650.0,104550.0,104630.0,56821.0,145731.0,0,0,0.0
19990701,104740.0,104850.0,104550.0,104620.0,130211.0,160989.0,0,0,0.0
19990702,104650.0,104680.0,104540.0,104650.0,93842.0,159064.0,0,0,0.0
19990705,104650.0,104710.0,104630.0,104670.0,28644.0,155354.0,0,0,0.0
19990706,104660.0,104660.0,104510.0,104610.0,75447.0,149382.0,0,0,0.0
19990707,104610.0,104630.0,104480.0,104520.0,84945.0,160513.0,0,0,0.0
19990708,104490.0,104530.0,104320.0,104520.0,129131.0,171358.0,0,0,0.0
19990709,104520.0,104570.0,104300.0,104430.0,92850.0,168305.0,0,0,0.0
19990712,104420.0,104570.0,104340.0,104560.0,74401.0,164838.0,0,0,0.0
