DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,P,R,RINFO
20010321,105650.0,105650.0,105650.0,105650.0,0,0,0,0,0.0
20010323,105500.0,105520.0,105460.0,105460.0,0,0,0,0,0.0
20010326,105450.0,105550.0,105450.0,105550.0,0,0,0,0,0.0
20010327,105630.0,105660.0,105390.0,105390.0,0,0,0,0,0.0
20010328,105210.0,105410.0,105210.0,105410.0,0,0,0,0,0.0
20010329,105460.0,105460.0,105380.0,105380.0,0,0,0,0,0.0
20010330,105340.0,105470.0,105340.0,105470.0,0,0,0,0,0.0
20010402,105580.0,105580.0,105350.0,105390.0,0,0,0,0,0.0
20010403,105320.0,105480.0,105270.0,105390.0,0,0,0,0,0.0
20010404,105550.0,105550.0,105240.0,105280.0,0,0,0,0,0.0
20010405,105200.0,105220.0,105160.0,105220.0,0,0,0,0,0.0
20010406,105210.0,105500.0,105210.0,105500.0,265,0,0,0,0.0
20010409,105560.0,105590.0,105540.0,105550.0,2339,872,0,0,0.0
20010410,105470.0,105570.0,105290.0,105330.0,2484,1318,0,0,0.0
20010411,105190.0,105280.0,104870.0,104870.0,0,2186,0,0,0.0
20010412,104780.0,104820.0,104570.0,104790.0,0,0,0,0,0.0
20010417,104750.0,104790.0,104590.0,104650.0,5729,0,0,0,0.0
20010418,104370.0,104890.0,104260.0,104700.0,6072,6829,0,0,0.0
20010419,104900.0,104900.0,104300.0,104440.0,8452,12724,0,0,0.0
20010420,104240.0,104520.0,104240.0,104470.0,5241,11305,0,0,0.0
20010423,104460.0,104620.0,104440.0,104550.0,7300,16121,0,0,0.0
20010424,104460.0,104480.0,104200.0,104250.0,3332,23161,0,0,0.0
20010425,104320.0,104410.0,104260.0,104270.0,5304,25956,0,0,0.0
20010426,104340.0,104820.0,104330.0,104640.0,6285,24107,0,0,0.0
20010427,104760.0,104760.0,104210.0,104250.0,1912,26763,0,0,0.0
20010430,103950.0,104190.0,103720.0,103740.0,2388,28635,0,0,0.0
20010501,103790.0,103790.0,103790.0,103790.0,0,30749,0,0,0.0
20010502,103930.0,104060.0,103850.0,103870.0,4875,30749,0,0,0.0
20010503,103870.0,104190.0,103870.0,104190.0,5463,34870,0,0,0.0
20010504,104180.0,104550.0,104180.0,104360.0,3377,40321,0,0,0.0
20010507,104360.0,104470.0,104360.0,104440.0,2160,36957,0,0,0.0
20010508,104530.0,104530.0,104300.0,104450.0,5142,34803,0,0,0.0
20010509,104450.0,104690.0,104450.0,104620.0,3123,30753,0,0,0.0
20010510,104730.0,105020.0,104650.0,104910.0,4654,33838,0,0,0.0
20010511,104980.0,104980.0,104640.0,104680.0,8973,34392,0,0,0.0
20010514,104570.0,104570.0,104300.0,104370.0,6801,33530,0,0,0.0
20010515,104380.0,104430.0,104260.0,104270.0,8332,30618,0,0,0.0
20010516,104370.0,104570.0,104300.0,104390.0,16334,37968,0,0,0.0
20010517,104340.0,104450.0,104300.0,104390.0,10748,24838,0,0,0.0
20010518,104460.0,104500.0,104280.0,104280.0,10360,26701,0,0,0.0
20010521,104210.0,104350.0,104160.0,104330.0,8343,29451,0,0,0.0
20010522,104400.0,104520.0,104150.0,104180.0,10501,29830,0,0,0.0
20010523,104140.0,104260.0,104030.0,104230.0,16076,28382,0,0,0.0
20010524,104240.0,104320.0,104180.0,104260.0,2127,30395,0,0,0.0
20010525,104100.0,104180.0,104050.0,104130.0,10021,32125,0,0,0.0
